ALPM IN Equity,price,volume,mc,pe,bm,div
2011-09-30,42.25,1082126.0,7964.7968,9.3267,2.6841,0.0
2011-10-31,44.9,1222418.0,8464.3639,9.9117,2.8525,0.0
2011-11-30,41.3,1252899.0,7785.7067,9.117,2.6238,0.0
2011-12-31,35.45,708075.0,6682.8886,7.8256,2.2521,0.0
2012-01-31,38.15,1265704.0,7191.8816,8.4216,2.4237,0.0
2012-02-29,45.15,3845126.0,8511.4929,9.9669,2.8684,0.0
2012-03-31,48.25,2814422.0,9095.8922,6.9928,2.3028,0.0
2012-04-30,54.5,5426944.0,10274.1165,7.8986,2.6011,0.0
2012-05-31,49.5,1925071.0,9331.537,7.1739,2.3624,0.0
2012-06-30,55.8,2527805.0,10519.1872,8.087,2.6631,0.0
2012-07-31,59.95,4040692.0,11301.5282,8.6884,2.8612,1.4
2012-08-31,68.8,7998061.0,12969.8939,9.971,3.2835,1.4
2012-09-30,71.55,6246079.0,13488.3126,10.3696,3.4148,1.4
2012-10-31,67.85,3455990.0,12790.8038,9.8333,3.2382,1.4
2012-11-30,63.55,2314504.0,11980.1854,9.2101,3.033,1.4
2012-12-31,72.5,2968351.0,13667.4027,10.5072,3.4601,1.4
2013-01-31,77.45,6238239.0,14600.5564,11.2246,3.6964,1.4
2013-02-28,83.3,2729800.0,15703.3744,12.0725,3.9756,1.4
2013-03-31,105.0,9993740.0,19794.1695,11.9726,3.9357,1.4
2013-04-30,113.75,4364558.0,21443.6836,12.9704,4.2636,1.4
2013-05-31,136.4,10782784.0,25713.5687,15.553,5.1126,1.4
2013-06-30,132.65,8442320.0,25006.6361,15.1254,4.9721,1.4
2013-07-31,154.7,8321407.0,29163.412,17.6397,5.7986,2.5
2013-08-31,134.4,5421464.0,25336.539,15.325,5.0377,2.5
2013-09-30,139.05,3179003.0,26213.138,15.8552,5.212,2.5
2013-10-31,199.4,8613413.0,37590.0734,22.7366,7.474,2.5
2013-11-30,204.6,5125269.0,38570.3562,23.3295,7.6689,2.5
2013-12-31,211.1,4224491.0,39795.7096,24.0707,7.9126,2.5
2014-01-31,222.5,8007444.0,41944.7911,25.3706,8.3399,2.5
2014-02-28,267.8,4008111.0,50484.562,30.5359,10.0378,2.5
2014-03-31,285.05,9605449.0,53736.4615,22.8223,7.9542,2.5
2014-04-30,298.0,6547325.0,56177.7426,23.8591,8.3156,2.5
2014-05-31,246.5,5445065.0,46469.173,19.7358,6.8785,2.5
2014-06-30,266.25,5180913.0,50192.3623,21.3171,7.4296,2.5
2014-07-31,348.05,10341639.0,65612.9642,27.8663,9.7122,3.0
2014-08-31,371.15,5998233.0,69967.6818,29.7158,10.3568,3.0
2014-09-30,414.5,6828474.0,78139.8467,33.1865,11.5665,3.0
2014-10-31,409.4,4088054.0,77178.4156,32.7782,11.4242,3.0
2014-11-30,420.8,3842882.0,79327.497,33.691,11.7423,3.0
2014-12-31,445.15,2636941.0,83917.8595,35.6405,12.4218,3.0
2015-01-31,470.1,3309926.0,88621.3316,37.6381,13.118,3.0
2015-02-28,404.35,6279358.0,76226.4472,32.3739,11.2833,3.0
2015-03-31,454.6,4827681.0,85699.3349,30.2865,9.6875,3.0
2015-04-30,473.35,4841472.0,89234.0083,31.5356,10.0871,3.0
2015-05-31,552.05,4410505.0,104070.2108,36.7788,11.7641,3.0
2015-06-30,662.95,7007880.0,124976.6258,44.1672,14.1274,3.0
2015-07-31,710.1,6772238.0,133865.1512,47.3085,15.1322,3.5
2015-08-31,714.95,3837381.0,134779.4534,47.6316,15.2355,3.5
2015-09-30,683.65,2706584.0,128878.9052,45.5463,14.5685,3.5
2015-10-31,678.9,5176436.0,127983.4546,45.2298,14.4673,3.5
2015-11-30,692.75,2334904.0,130594.4001,46.1526,14.7625,3.5
2015-12-31,696.05,2142732.0,131216.5026,46.3724,14.8328,3.5
2016-01-31,617.45,3721529.0,116399.1517,41.1359,13.1578,3.5
2016-02-29,618.05,2786242.0,116512.2612,41.1759,13.1706,3.5
2016-03-31,598.4,2449763.0,112807.9235,15.669,7.0621,3.5
2016-04-30,602.5,4848338.0,113580.8387,15.7764,7.1105,3.5
2016-05-31,532.55,3111084.0,100394.1505,13.9447,6.285,3.5
2016-06-30,573.8,2836931.0,108170.432,15.0249,6.7718,3.5
2016-07-31,627.65,3211790.0,118322.014,16.4349,7.4073,4.0
2016-08-31,628.55,1732126.0,118491.6783,16.4585,7.4179,4.0
2016-09-30,654.8,2319221.0,123440.2211,17.1458,7.7277,4.0
2016-10-31,669.1,2317811.0,126135.9987,17.5203,7.8965,4.0
2016-11-30,661.9,1966049.0,124778.6841,17.3318,7.8115,4.0
2016-12-31,595.1,960067.0,112185.821,15.5826,7.0232,4.0
2017-01-31,560.25,863392.0,105616.0413,14.6701,6.6119,4.0
2017-02-28,580.0,1037160.0,109339.2307,15.1872,6.845,4.0
2017-03-31,627.45,5031890.0,118284.3108,29.3338,6.2179,4.0
2017-04-30,612.35,1610848.0,115437.7205,28.6279,6.0682,4.0
2017-05-31,536.95,1424238.0,101223.6205,25.1029,5.321,4.0
2017-06-30,506.2,1560558.0,95426.7561,23.6653,5.0163,4.0
2017-07-31,530.4,2133411.0,99988.8413,24.7966,5.2561,4.0
2017-08-31,519.3,1272474.0,97896.3146,24.2777,5.1461,4.0
2017-09-30,506.15,1108116.0,95417.3303,23.6629,5.0158,4.0
2017-10-31,504.75,1164293.0,95153.4081,23.5975,5.0019,4.0
2017-11-30,517.65,2219701.0,97585.265,24.2006,5.1298,4.0
2017-12-31,530.6,925093.0,100026.5461,24.806,5.2581,4.0
2018-01-31,567.1,2862025.0,106907.3771,26.5124,5.6198,4.0
2018-02-28,552.75,1748044.0,104202.1715,25.8415,5.4776,4.0
2018-03-31,548.35,1879569.0,103372.7014,25.0503,4.6561,4.0
2018-04-30,534.05,1683025.0,100676.9239,24.397,4.5347,4.0
2018-05-31,427.5,779723.0,80590.5532,19.5295,3.63,4.0
2018-06-30,502.6,5770424.0,94748.0984,22.9603,4.2677,4.0
2018-07-31,559.8,2302445.0,105531.2087,25.5733,4.7534,4.0
2018-08-31,599.6,1478223.0,113034.142,27.3915,5.0913,4.0
2018-09-30,629.0,3474745.0,118576.5099,28.7346,5.3409,4.0
2018-10-31,596.9,2344572.0,112525.1491,27.2682,5.0684,4.0
2018-11-30,617.45,647509.0,116399.1511,28.2069,5.2429,4.0
2018-12-31,599.7,918212.0,113052.9936,27.3961,5.0922,4.0
2019-01-31,593.65,1495434.0,111912.4723,27.1197,5.0408,4.0
2019-02-28,554.95,824581.0,104616.9065,25.3518,4.7122,4.0
2019-03-31,537.8,1209338.0,101383.8585,17.3484,3.729,4.0
2019-04-30,557.25,693348.0,105050.4931,17.9758,3.8638,4.0
2019-05-31,518.1,839939.0,97670.095,16.7129,3.5924,4.0
2019-06-30,508.75,925338.0,95907.4712,16.4113,3.5275,4.0
2019-07-31,523.9,2020957.0,98763.4873,16.9,3.6326,5.5
2019-08-31,497.9,921014.0,93862.0736,16.0613,3.4523,5.5
2019-09-30,509.4,498686.0,96030.0066,16.4323,3.532,5.5
2019-10-31,550.05,2294343.0,103693.1785,17.7435,3.8139,5.5
2019-11-30,551.9,3759350.0,104041.9329,17.8032,3.8267,5.5
2019-12-31,571.3,1349310.0,107699.1417,18.429,3.9612,5.5
2020-01-31,630.7,9245710.0,118896.987,20.3452,4.3731,5.5
2020-02-29,629.95,4769902.0,118755.6,20.321,4.3679,5.5
2020-03-31,534.25,4049123.0,100714.6271,12.1503,3.1284,10.0
2020-04-30,743.5,15012059.0,140161.5821,16.9093,4.3536,10.0
2020-05-31,871.15,9451837.0,164225.6385,19.8124,5.1011,10.0
2020-06-30,912.8,9310240.0,172077.3263,20.7596,5.345,10.0
2020-07-31,985.05,13617884.0,185697.6011,22.4028,5.7681,10.0
2020-08-31,942.1,12770531.0,185182.1191,21.426,5.5166,10.0
2020-09-30,938.05,10970142.0,184386.0385,21.3339,5.4928,10.0
2020-10-31,964.6,7579241.0,189604.7884,21.9377,5.6483,10.0
2020-11-30,998.1,5266205.0,196189.6531,22.6996,5.8445,10.0
2020-12-31,1033.75,6418212.0,203197.1284,23.5103,6.0532,10.0
2021-01-31,952.7,9799997.0,187265.6873,21.667,5.5786,10.0
2021-02-28,920.75,8256695.0,180985.4955,20.9404,5.3915,10.0
2021-03-31,964.95,8153856.0,189673.5855,15.8683,3.6991,7.0
2021-04-30,985.7,7971885.0,193752.2703,16.2095,3.7786,7.0
2021-05-31,951.1,10471523.0,186951.1863,15.6405,3.646,0.0
2021-06-30,984.2,9594720.0,193457.4257,16.1848,3.7729,0.0
2021-07-31,787.3,16051212.0,154754.1475,12.9469,3.0181,14.0
2021-08-31,751.35,7372320.0,147687.7032,12.3557,2.8802,14.0
2021-09-30,789.1,7995518.0,155107.9611,12.9765,3.025,14.0
2021-10-31,777.15,9622364.0,152759.0318,12.78,2.9791,14.0
2021-11-30,806.7,11074133.0,158567.4721,13.2659,3.0924,14.0
2021-12-31,801.9,8319036.0,157623.9691,13.187,3.074,14.0
2022-01-31,756.75,7858627.0,148749.1441,12.4445,2.9009,14.0
2022-02-28,725.3,6188566.0,142567.2338,11.9273,2.7804,14.0
2022-03-31,741.6,5748995.0,145771.2128,27.9849,2.7832,14.0
2022-04-30,781.15,4438078.0,153545.2843,29.4774,2.9316,14.0
2022-05-31,732.0,5768990.0,143884.2068,27.6226,2.7472,14.0
2022-06-30,728.25,2709317.0,143147.0951,27.4811,2.7331,14.0
2022-07-31,702.0,1360791.0,137987.313,26.4906,2.6346,14.0
2022-08-31,648.2,2297449.0,127412.217,24.4604,2.4327,10.0
2022-09-30,604.65,3145271.0,118851.8929,22.817,2.2692,10.0
2022-10-31,550.1,2740524.0,108129.3745,20.7585,2.0645,10.0
2022-11-30,594.6,7205187.0,116876.4335,22.4377,2.2315,10.0
2022-12-31,572.9,1547236.0,112611.0137,21.6189,2.1501,10.0
2023-01-31,538.25,1532969.0,105800.1015,20.3113,2.02,10.0
2023-02-28,511.3,2670814.0,100502.7253,19.2943,1.9189,10.0
2023-03-31,496.35,3912275.0,97564.1066,28.5259,2.2323,10.0
2023-04-30,556.15,2188613.0,109318.5814,31.9626,2.5013,10.0
2023-05-31,546.55,3603285.0,107431.5754,31.4109,2.4581,10.0
2023-06-30,636.4,6878494.0,125092.7721,36.5747,2.8622,10.0
2023-07-31,774.4,8258273.0,152218.4832,44.5057,3.4829,8.0
2023-08-31,776.7,4541516.0,152670.5784,44.6379,3.4932,8.0
2023-09-30,784.45,3425847.0,154193.9426,45.0833,3.5281,8.0
2023-10-31,713.05,5198098.0,140159.3356,40.9799,3.207,8.0
2023-11-30,745.8,7566476.0,146596.7779,42.8621,3.3542,8.0
2023-12-31,759.4,2539690.0,149270.0364,43.6437,3.4154,8.0
2024-01-31,960.5,15300495.0,188798.8806,55.2011,4.3199,8.0
2024-02-29,1019.65,4795916.0,200425.5894,58.6006,4.5859,8.0
2024-03-31,984.8,2334391.0,193575.3645,31.4331,4.0176,8.0
2024-04-30,999.6,2329084.0,196484.4988,31.9055,4.078,8.0
2024-05-31,923.1,2724539.0,181447.4198,29.4638,3.7659,8.0
2024-06-30,876.6,3896866.0,172307.2345,27.9796,3.5762,8.0
2024-07-31,1179.55,17672599.0,231856.0329,37.6492,4.8121,11.0
2024-08-31,1059.1,5345564.0,208180.0046,33.8047,4.3207,11.0
2024-09-30,1205.5,9629908.0,236956.846,38.4775,4.918,11.0
2024-10-31,1128.85,5387416.0,221890.2825,36.031,4.6053,11.0
2024-11-30,1092.2,2450522.0,214686.244,34.8612,4.4557,11.0
2024-12-31,1066.25,2417663.0,209585.431,34.0329,4.3499,11.0
2025-01-31,920.15,4308420.0,180867.5585,29.3696,3.7538,11.0
2025-02-28,743.65,2775200.0,146174.1672,23.736,3.0338,11.0
2025-03-31,929.75,6975141.0,182754.5645,31.3258,3.5206,11.0
2025-04-30,875.55,3697469.0,172100.8432,29.4997,3.3154,11.0
2025-05-31,1018.05,5822902.0,200111.0884,34.3009,3.855,11.0
2025-06-30,1039.1,18369859.0,204248.7421,35.0101,3.9347,11.0
2025-07-31,977.9,4405239.0,192219.079,32.9481,3.703,11.0
2025-08-31,936.95,1986833.0,184169.819,31.5684,3.5479,11.0
2025-09-30,901.35,2721017.0,177172.1718,30.3689,3.4131,11.0
2025-10-31,897.4,1830414.0,176395.7475,30.2358,3.3981,11.0
2025-11-30,907.2,7687712.0,178322.0661,30.566,3.4353,11.0
2025-12-31,846.15,1207460.0,166321.8874,28.5091,3.2041,11.0
2026-01-31,785.0,1204908.0,154302.0523,26.4488,2.9725,11.0
2026-02-28,711.2,1348324.0,139795.6938,23.9623,2.6931,11.0
2026-03-31,708.25,170207.0,139215.8326,23.8629,2.6819,11.0
