BRGR IN Equity,price,volume,mc,pe,bm,div
2000-11-30,2.31,310020.0,2472.5711,,,0.0992
2000-12-31,2.3,943690.0,2465.928,,,0.0992
2001-01-31,2.33,1116300.0,2492.5005,,,0.0992
2001-02-28,2.3,3890356.0,2465.928,,,0.0992
2001-03-31,2.18,731445.0,2338.38,8.2089,1.6287,0.0992
2001-04-30,2.16,368364.0,2311.8075,8.1156,1.6102,0.0992
2001-05-31,2.18,356268.0,2338.38,8.2089,1.6287,0.0992
2001-06-30,1.91,2292797.0,2050.0684,7.1968,1.4279,0.124
2001-07-31,2.2,515975.0,2352.9949,8.2602,1.6389,0.124
2001-08-31,2.11,257282.0,2258.6625,7.9291,1.5732,0.124
2001-09-30,2.03,267483.0,2177.6164,7.6446,1.5167,0.124
2001-10-31,1.99,445375.0,2129.7859,7.4766,1.4834,0.124
2001-11-30,1.97,156563.0,2105.8706,7.3927,1.4667,0.124
2001-12-31,1.76,223453.0,1889.3048,6.6324,1.3159,0.124
2002-01-31,1.71,350824.0,1836.1943,6.4459,1.2789,0.124
2002-02-28,1.79,1484542.0,1917.2419,6.7304,1.3353,0.124
2002-03-31,1.78,538836.0,1909.27,6.1389,1.2594,0.124
2002-04-30,1.77,544562.0,1899.9695,6.109,1.2533,0.124
2002-05-31,1.79,327721.0,1914.5846,6.156,1.2629,0.124
2002-06-30,1.95,920223.0,2092.6237,6.7285,1.3803,0.124
2002-07-31,1.71,2082044.0,1833.5025,5.8954,1.2094,0.124
2002-08-31,1.76,274942.0,1886.6475,6.0663,1.2445,0.124
2002-09-30,1.84,2654830.0,1966.365,6.3226,1.2971,0.124
2002-10-31,1.88,794748.0,2008.881,6.4593,1.3251,0.124
2002-11-30,1.77,452713.0,1899.9338,6.109,1.2533,0.124
2002-12-31,1.84,476179.0,1966.365,6.3226,1.2971,0.124
2003-01-31,1.74,577745.0,1860.075,5.9809,1.227,0.124
2003-02-28,1.77,837769.0,1899.9338,6.109,1.2533,0.124
2003-03-31,1.76,760193.0,1885.3189,5.6242,1.131,0.124
2003-04-30,1.69,164062.0,1810.9159,5.4022,1.0864,0.124
2003-05-31,2.0,1879356.0,2141.7435,6.3891,1.2849,0.062
2003-06-30,2.22,3666862.0,2375.5815,7.0867,1.4252,0.062
2003-07-31,2.11,3830158.0,2258.6625,6.7379,1.355,0.1488
2003-08-31,2.33,3904226.0,2497.815,7.4514,1.4985,0.1488
2003-09-30,2.82,7147405.0,3022.6219,9.0169,1.8133,0.1488
2003-10-31,3.05,7384850.0,3268.4175,9.7502,1.9608,0.1488
2003-11-30,3.35,3574892.0,3587.2875,10.7014,2.1521,0.1488
2003-12-31,4.22,7383076.0,4519.9823,13.4838,2.7116,0.1488
2004-01-31,4.73,3595294.0,5064.7185,15.1088,3.0384,0.0868
2004-02-29,4.29,2720229.0,4595.7139,13.7097,2.7571,0.0868
2004-03-31,3.81,9773151.0,4081.541,6.1535,1.4569,0.0868
2004-04-30,4.55,1754350.0,4876.7241,7.3523,1.7407,0.0868
2004-05-31,4.08,1596323.0,4368.5244,6.5861,1.5593,0.0868
2004-06-30,4.5,826130.0,4822.9147,7.2712,1.7215,0.0868
2004-07-31,4.53,1015177.0,4852.8088,7.3162,1.7322,0.2232
2004-08-31,7.18,4458290.0,7692.7486,11.5978,2.7459,0.2232
2004-09-30,6.53,8130195.0,6995.2196,10.5462,2.4969,0.2232
2004-10-31,5.99,4598942.0,6417.267,9.6749,2.2906,0.2232
2004-11-30,6.25,3948726.0,6696.2786,10.0955,2.3902,0.2232
2004-12-31,7.13,9402285.0,7642.9251,11.5227,2.7281,0.2232
2005-01-31,7.78,34857199.0,8340.4542,12.5743,2.9771,0.2418
2005-02-28,7.71,64340425.0,8260.7366,12.4541,2.9487,0.2418
2005-03-31,7.77,55186699.0,8320.5248,15.1076,3.9707,0.2418
2005-04-30,8.38,34695930.0,8978.195,16.3017,4.2846,0.2418
2005-05-31,8.95,45329491.0,9586.0417,17.4054,4.5746,0.2418
2005-06-30,11.11,91735021.0,11907.8169,21.621,5.6826,0.2418
2005-07-31,11.07,38927681.0,11857.9934,21.5306,5.6589,0.2604
2005-08-31,11.88,63719352.0,12724.9223,23.1046,6.0726,0.2604
2005-09-30,11.23,46423889.0,12027.3933,21.8381,5.7397,0.2604
2005-10-31,11.17,25957091.0,11967.6051,21.7296,5.7112,0.2604
2005-11-30,11.93,19343869.0,12784.7105,23.2132,6.1011,0.3162
2005-12-31,13.5,58238477.0,14458.7802,26.2528,6.9,0.3162
2006-01-31,13.6,17098492.0,14568.3919,26.4518,6.9523,0.3162
2006-02-28,13.58,13966531.0,14548.4625,26.4156,6.9428,0.3162
2006-03-31,15.82,33331340.0,16949.9552,22.7895,7.1099,0.3162
2006-04-30,16.52,19444863.0,17488.0491,23.7943,7.4234,0.3162
2006-05-31,13.38,15624742.0,14339.2038,19.2793,6.0148,0.3162
2006-06-30,13.63,19157016.0,14598.286,19.6276,6.1235,0.3162
2006-07-31,14.14,2957010.0,15146.3445,20.3645,6.3534,0.372
2006-08-31,14.96,8666150.0,16033.2028,21.5569,6.7254,0.372
2006-09-30,16.06,16779157.0,17209.0374,23.1378,7.2186,0.372
2006-10-31,15.79,12176409.0,16916.0743,22.7439,7.0957,0.372
2006-11-30,14.21,4618149.0,15226.3629,20.4717,6.3868,0.372
2006-12-31,14.06,7756116.0,15066.9245,20.2573,6.32,0.372
2007-01-31,13.35,8587676.0,14301.6204,19.2284,5.9989,0.186
2007-02-28,11.95,4074444.0,12802.8999,17.2134,5.3703,0.3646
2007-03-31,10.82,5461344.0,11591.1684,13.2183,4.0132,0.3646
2007-04-30,11.31,6289396.0,12117.3149,13.8183,4.1954,0.3646
2007-05-31,13.24,12435300.0,14190.0135,16.182,4.913,0.3646
2007-06-30,14.6,28586262.0,15640.9026,17.8366,5.4154,0.3646
2007-07-31,14.91,28609130.0,15975.7231,18.2184,5.5313,0.2976
2007-08-31,14.66,10374659.0,15704.6779,17.9093,5.4375,0.2976
2007-09-30,15.37,8353971.0,16469.9978,18.782,5.7024,0.2976
2007-10-31,14.29,8213816.0,15306.0967,17.4548,5.2994,0.2976
2007-11-30,14.09,8491308.0,15098.8266,17.2184,5.2277,0.2976
2007-12-31,19.3,73162515.0,20679.1744,23.5821,7.1598,0.2976
2008-01-31,12.92,29100295.0,13839.2624,15.782,4.7916,0.2976
2008-02-29,12.25,8466834.0,13121.7891,14.9638,4.5432,0.119
2008-03-31,10.71,10239116.0,11479.5725,12.3397,3.1677,0.119
2008-04-30,13.39,8725016.0,14349.4656,15.4246,3.9596,0.119
2008-05-31,11.31,11108150.0,12117.3265,13.0252,3.3437,0.119
2008-06-30,11.35,6410890.0,12165.1581,13.0766,3.3569,0.119
2008-07-31,11.93,16901217.0,12786.9683,13.745,3.5285,0.1488
2008-08-31,11.76,7368567.0,12595.6421,13.5394,3.4757,0.1488
2008-09-30,10.73,9305846.0,11495.5164,12.3568,3.1721,0.1488
2008-10-31,9.12,3400145.0,9773.5805,10.5059,2.6969,0.1488
2008-11-30,9.02,3852307.0,9661.9735,10.3859,2.6661,0.1488
2008-12-31,10.15,2059532.0,10873.7062,11.6884,3.0005,0.1488
2009-01-31,9.81,1975529.0,10506.9976,11.2942,2.8993,0.1488
2009-02-28,9.97,3431857.0,10682.38,11.4828,2.9477,0.1488
2009-03-31,10.39,14821451.0,11128.8078,13.4231,2.8531,0.1488
2009-04-30,11.04,7151464.0,11830.3372,14.2692,3.0329,0.1488
2009-05-31,12.68,6248938.0,13584.1608,16.3846,3.4826,0.1488
2009-06-30,12.07,15536462.0,12930.4629,15.5962,3.315,0.1488
2009-07-31,12.92,5158336.0,13839.2624,16.6923,3.548,0.1786
2009-08-31,16.19,25549235.0,17346.9096,20.9231,4.4472,0.1786
2009-09-30,17.68,128275916.0,18941.2946,22.8462,4.856,0.1786
2009-10-31,16.61,22613902.0,17793.3374,21.4615,4.5617,0.1786
2009-11-30,16.77,29444493.0,17968.7197,21.6731,4.6066,0.1786
2009-12-31,17.86,36264288.0,19132.6208,23.0769,4.905,0.1786
2010-01-31,16.68,24586756.0,19397.5985,21.5577,4.5821,0.1786
2010-02-28,16.62,35739799.0,19328.3832,21.4808,4.5657,0.1786
2010-03-31,17.5,24866093.0,20349.3094,16.0656,3.4116,0.1786
2010-04-30,17.96,17810386.0,20885.7283,16.4891,3.5015,0.1786
2010-05-31,20.37,46245965.0,23688.9495,18.7022,3.9715,0.1786
2010-06-30,22.72,103121545.0,26422.9553,20.8607,4.4299,0.1786
2010-07-31,23.15,36193866.0,26924.7665,21.2568,4.514,0.3274
2010-08-31,26.99,37958350.0,31389.1558,24.7814,5.2625,0.3274
2010-09-30,32.26,109932194.0,37514.7133,29.6175,6.2894,0.3274
2010-10-31,30.12,33359148.0,35022.9611,27.6503,5.8717,0.3274
2010-11-30,28.62,17240913.0,33275.2738,26.2705,5.5787,0.3274
2010-12-31,30.51,33884068.0,35472.8608,28.0055,5.9471,0.3274
2011-01-31,25.88,9828571.0,30091.3683,23.7568,5.0449,0.3274
2011-02-28,24.14,9087560.0,28066.8196,22.1585,4.7055,0.3274
2011-03-31,26.59,15426385.0,30921.9523,20.5876,4.4845,0.1488
2011-04-30,27.92,10055956.0,32461.9936,21.6129,4.7078,0.1488
2011-05-31,31.06,26663088.0,36113.1027,24.0438,5.2373,0.1488
2011-06-30,29.67,25067962.0,34503.8461,22.9724,5.004,0.1488
2011-07-31,32.37,17155790.0,37635.8401,25.0576,5.4582,0.3869
2011-08-31,29.88,10675819.0,34746.0997,23.1336,5.0391,0.3869
2011-09-30,29.69,19917610.0,34521.1499,22.9839,5.0065,0.3869
2011-10-31,29.84,10135017.0,34700.154,23.0991,5.0316,0.3869
2011-11-30,30.68,18386626.0,35687.6742,23.7558,5.1746,0.3869
2011-12-31,25.7,5236258.0,29889.7252,19.8963,4.3339,0.3869
2012-01-31,28.81,7373315.0,33506.9531,22.3041,4.8584,0.3869
2012-02-29,30.86,19295092.0,35895.3619,23.894,5.2047,0.3869
2012-03-31,31.76,8014289.0,36934.556,20.5192,4.6662,0.2381
2012-04-30,35.88,16061556.0,41728.7791,23.1827,5.2718,0.2381
2012-05-31,41.52,29318399.0,48289.9463,26.8269,6.1006,0.2381
2012-06-30,40.85,17593541.0,47511.0762,26.3942,6.0022,0.2381
2012-07-31,41.28,12899322.0,48013.0147,26.6731,6.0656,0.4167
2012-08-31,41.16,17747826.0,47874.5489,26.5962,6.0481,0.4167
2012-09-30,43.79,20431270.0,50938.1047,28.2981,6.4351,0.4167
2012-10-31,41.83,12090984.0,48671.0435,27.0288,6.1465,0.4167
2012-11-30,44.73,15042629.0,52047.3699,28.9038,6.5729,0.4167
2012-12-31,47.65,17934245.0,55441.0108,30.7885,7.0014,0.4167
2013-01-31,51.76,38281639.0,60219.8113,33.4423,7.6049,0.4167
2013-02-28,56.49,40607922.0,65725.8205,36.5,8.3003,0.4167
2013-03-31,58.11,32247029.0,67613.1003,30.9429,7.0936,0.4167
2013-04-30,57.23,13990472.0,66593.7987,30.4754,6.9864,0.4167
2013-05-31,66.92,35607251.0,77865.9159,35.6339,8.169,0.4167
2013-06-30,68.3,12130168.0,79476.6806,36.3708,8.3379,0.4167
2013-07-31,61.15,22172731.0,71148.0786,32.5594,7.4641,0.5357
2013-08-31,60.39,11782431.0,70265.0044,32.1553,7.3715,0.5357
2013-09-30,64.6,14701478.0,75201.9497,34.3978,7.8856,0.5357
2013-10-31,68.54,14051664.0,79792.716,36.4976,8.367,0.5357
2013-11-30,72.11,13598437.0,83951.6112,38.3994,8.8029,0.5357
2013-12-31,66.79,7864376.0,77750.4089,35.5626,8.1526,0.5357
2014-01-31,60.51,8852421.0,70439.653,32.2187,7.386,0.5357
2014-02-28,63.1,7183317.0,73454.0405,33.5975,7.7021,0.5357
2014-03-31,68.41,14026821.0,79638.7321,31.9236,7.1085,0.5357
2014-04-30,72.38,8449096.0,84264.2578,33.7778,7.5214,0.5357
2014-05-31,73.66,11324423.0,85756.8089,34.375,7.6544,0.5357
2014-06-30,86.37,19524355.0,100552.024,40.3056,8.9749,0.5357
2014-07-31,89.33,13505614.0,103999.6209,41.6875,9.2827,0.6548
2014-08-31,102.63,16667243.0,119487.8203,47.8958,10.6651,0.6548
2014-09-30,112.8,20732168.0,131377.0282,52.6389,11.7212,0.6548
2014-10-31,118.27,28907521.0,137755.2269,55.1944,12.2903,0.6548
2014-11-30,117.17,25083909.0,136472.9788,54.6806,12.1758,0.6548
2014-12-31,119.87,44368152.0,139610.0894,55.9375,12.4557,0.6548
2015-01-31,136.28,73785076.0,158727.399,63.5972,14.1613,0.6548
2015-02-28,133.3,22520466.0,155260.951,62.2083,13.8521,0.3571
2015-03-31,124.2,14455320.0,144653.7314,54.6204,11.475,0.3571
2015-04-30,125.39,21126129.0,146040.2996,55.144,11.585,0.3571
2015-05-31,126.58,13220567.0,147426.8678,55.6675,11.695,0.3571
2015-06-30,116.28,10911027.0,135433.8753,51.1387,10.7435,0.3571
2015-07-31,129.7,11337435.0,151067.5271,57.0419,11.9837,0.7738
2015-08-31,126.49,15691074.0,147323.7701,55.6283,11.6867,0.7738
2015-09-30,130.74,7759638.0,152322.4219,57.5,12.08,0.7738
2015-10-31,131.96,5720775.0,153744.0516,58.0366,12.1927,0.7738
2015-11-30,131.01,9503051.0,152634.487,57.6178,12.1047,0.7738
2015-12-31,160.03,20252071.0,186441.5348,70.3796,14.7858,0.7738
2016-01-31,158.6,14451980.0,184777.1879,69.7513,14.6538,0.7738
2016-02-29,133.51,11631692.0,155547.0942,58.7173,12.3357,0.7738
2016-03-31,145.71,12732088.0,169763.3912,45.9287,10.8677,0.7738
2016-04-30,153.27,8400608.0,178570.5606,48.3114,11.4315,0.7738
2016-05-31,168.33,20252333.0,196115.5516,53.0582,12.5547,0.7738
2016-06-30,164.4,6776861.0,191538.5974,51.8199,12.2617,0.7738
2016-07-31,198.21,17407820.0,230921.2106,62.4747,14.7828,1.2202
2016-08-31,216.96,18725756.0,252765.7649,68.3846,16.1813,1.2202
2016-09-30,217.54,13104448.0,253445.3732,68.5685,16.2248,1.2202
2016-10-31,215.29,7290270.0,250824.0267,67.8593,16.057,1.2202
2016-11-30,190.71,30444126.0,222183.3889,60.1107,14.2235,1.2202
2016-12-31,175.46,19594127.0,204434.1548,55.3039,13.0861,1.2202
2017-01-31,176.25,10205722.0,205356.5601,55.5535,13.1451,1.2202
2017-02-28,193.17,15126368.0,225074.7016,60.8856,14.4068,1.2202
2017-03-31,201.75,40207256.0,235075.8639,49.6107,12.3634,1.2202
2017-04-30,217.71,14897498.0,253670.2579,53.5348,13.3414,0.8333
2017-05-31,209.79,19928026.0,244445.8849,51.5881,12.8562,0.8333
2017-06-30,205.21,13031112.0,239105.4585,50.4611,12.5754,0.8333
2017-07-31,206.5,10235600.0,240610.4877,50.7787,12.6545,1.4583
2017-08-31,205.0,20672290.0,238862.7118,50.4098,12.5626,1.4583
2017-09-30,204.25,27255673.0,237988.8238,50.2254,12.5166,1.4583
2017-10-31,221.71,17680170.0,258330.9938,54.5184,13.5865,1.4583
2017-11-30,215.46,13011613.0,251048.5909,52.9816,13.2035,1.4583
2017-12-31,228.13,20907245.0,265807.5875,56.0963,13.9797,1.4583
2018-01-31,208.63,30300290.0,243097.7223,51.3012,12.7847,1.4583
2018-02-28,207.25,14315042.0,241495.5161,50.9631,12.7005,1.4583
2018-03-31,213.92,13408740.0,249263.7676,54.0421,11.3596,1.4583
2018-04-30,238.83,16436104.0,278298.3415,60.3368,12.6827,1.4583
2018-05-31,248.5,35116024.0,289562.6415,62.7789,13.1961,1.4583
2018-06-30,234.17,14530949.0,272860.8392,59.1579,12.4349,1.4583
2018-07-31,262.88,29023585.0,306312.9955,66.4105,13.9594,1.5
2018-08-31,278.92,29964156.0,325005.4195,70.4632,14.8113,1.5
2018-09-30,244.21,23121149.0,284561.8111,61.6947,12.9682,1.5
2018-10-31,233.25,22059001.0,271792.7007,58.9263,12.3862,1.5
2018-11-30,266.5,26628109.0,310536.9978,67.3263,14.1519,1.5
2018-12-31,275.25,21461768.0,320732.8655,69.5368,14.6166,1.5
2019-01-31,265.63,34290841.0,309547.5954,67.1053,14.1054,1.5
2019-02-28,254.13,24183562.0,296146.0054,64.2,13.4948,1.5
2019-03-31,269.79,17347949.0,314403.2439,63.6051,12.8665,1.5
2019-04-30,265.79,12932782.0,309741.8213,62.6621,12.6757,1.5
2019-05-31,275.25,26891815.0,320764.1435,64.8919,13.1268,1.5
2019-06-30,264.58,23157082.0,308333.6832,62.3772,12.6181,1.5
2019-07-31,275.67,25676584.0,321249.7084,64.9902,13.1467,1.5833
2019-08-31,307.63,34706478.0,358492.5328,72.5246,14.6708,1.5833
2019-09-30,362.33,32321374.0,422247.1983,85.4224,17.2799,1.5833
2019-10-31,439.13,61431666.0,511736.8012,103.5265,20.9421,1.5833
2019-11-30,413.79,90215971.0,482214.458,97.554,19.7339,1.5833
2019-12-31,429.63,40316939.0,500665.9225,101.2868,20.489,1.5833
2020-01-31,466.79,37655237.0,543978.3076,110.0491,22.2615,1.5833
2020-02-29,472.13,31636570.0,550244.5664,111.3065,22.5159,1.5833
2020-03-31,414.96,46081242.0,483618.8895,73.6612,18.182,3.1667
2020-04-30,423.67,32392698.0,493768.1362,75.2071,18.5636,3.1667
2020-05-31,409.79,40780016.0,477597.3268,72.7441,17.9556,3.1667
2020-06-30,411.58,46526867.0,479685.4493,73.0621,18.0341,3.1667
2020-07-31,438.75,43214962.0,511347.2142,77.8846,19.2245,1.5833
2020-08-31,448.08,44708404.0,522224.8757,79.5414,19.6334,1.5833
2020-09-30,486.42,41147888.0,566900.9856,86.3462,21.313,1.8333
2020-10-31,519.21,36112259.0,605118.5113,92.1672,22.7498,1.8333
2020-11-30,539.79,30932500.0,629107.641,95.821,23.6517,1.8333
2020-12-31,632.88,29265924.0,737592.8953,112.3447,27.7303,1.8333
2021-01-31,589.04,29375640.0,686559.8842,104.5636,25.8097,1.8333
2021-02-28,566.54,43568389.0,660334.9187,100.5695,24.8238,1.8333
2021-03-31,637.5,31895363.0,743040.6895,103.2389,22.0059,0.25
2021-04-30,586.67,17485770.0,683791.6934,95.0067,20.2512,0.25
2021-05-31,671.29,39314587.0,782426.7026,108.7112,23.1724,0.25
2021-06-30,670.92,18488449.0,781989.6198,108.6505,23.1594,0.25
2021-07-31,702.96,25639834.0,819335.9285,113.8394,24.2655,0.25
2021-08-31,684.0,26165608.0,797238.9664,110.7692,23.611,2.5833
2021-09-30,674.17,18688094.0,785777.6849,109.1768,23.2716,2.3333
2021-10-31,617.92,24354154.0,720215.2699,100.0675,21.3299,2.3333
2021-11-30,626.46,26103898.0,730171.0441,101.4507,21.6248,2.3333
2021-12-31,643.13,17260000.0,749596.9448,104.1498,22.2001,2.3333
2022-01-31,602.0,10941954.0,701684.0885,97.4899,20.7805,2.3333
2022-02-28,575.38,15027126.0,670650.303,93.1781,19.8614,2.3333
2022-03-31,583.08,24301070.0,679635.0453,81.5501,17.3084,2.3333
2022-04-30,598.29,10030212.0,697380.1933,83.6772,17.7598,2.3333
2022-05-31,512.42,23064313.0,597282.6532,71.6667,15.2107,2.3333
2022-06-30,473.58,26295080.0,552017.7782,66.2354,14.058,2.3333
2022-07-31,520.58,30767861.0,606801.8759,72.8089,15.4531,2.3333
2022-08-31,561.42,29023190.0,654397.9891,78.5198,16.6652,2.5833
2022-09-30,514.17,24779262.0,599322.4866,71.9114,15.2627,2.5833
2022-10-31,488.17,20856144.0,569016.3901,68.2751,14.4909,2.5833
2022-11-30,518.67,21068221.0,604567.7726,72.5408,15.3962,2.5833
2022-12-31,484.46,16233097.0,564693.8859,67.7564,14.3808,2.5833
2023-01-31,457.63,14080308.0,533444.0003,64.0035,13.5843,2.5833
2023-02-28,483.0,17129998.0,563023.1131,67.5524,14.3375,2.5833
2023-03-31,484.75,18956035.0,565076.4595,65.6546,12.5749,2.5833
2023-04-30,508.63,12538700.0,592907.7137,68.8883,13.1942,2.5833
2023-05-31,542.04,22965515.0,631861.7554,73.4142,14.0611,2.5833
2023-06-30,565.08,18448512.0,658721.5871,76.535,14.6588,2.5833
2023-07-31,568.67,14206718.0,662898.7038,77.0203,14.7517,2.5833
2023-08-31,598.83,30165031.0,698064.1977,81.1061,15.5343,2.6667
2023-09-30,568.85,38110337.0,663112.4167,77.0451,14.7565,2.6667
2023-10-31,558.6,22914751.0,651163.9201,75.6569,14.4906,2.6667
2023-11-30,574.4,16235119.0,669582.0905,77.7968,14.9005,2.6667
2023-12-31,604.65,30158758.0,704844.7267,81.8939,15.6852,2.6667
2024-01-31,565.15,18210793.0,658820.1312,76.544,14.6605,2.6667
2024-02-29,606.7,30501255.0,707272.4916,82.1716,15.7384,2.6667
2024-03-31,573.05,18989766.0,668059.4259,57.1906,12.4198,2.6667
2024-04-30,508.55,16609737.0,592865.5807,50.7535,11.0219,2.6667
2024-05-31,460.0,81219308.0,536266.1825,45.9082,9.9697,2.6667
2024-06-30,504.2,43788236.0,587794.3679,50.3194,10.9276,2.6667
2024-07-31,554.9,36583553.0,646900.2276,55.3792,12.0265,2.6667
2024-08-31,571.05,32680306.0,665727.8338,56.991,12.3765,3.5
2024-09-30,622.3,42031514.0,725474.8813,62.1058,13.4872,3.5
2024-10-31,536.8,22712508.0,625799.3191,53.5729,11.6342,3.5
2024-11-30,493.7,15352417.0,575553.5094,49.2715,10.7001,3.5
2024-12-31,448.55,28624642.0,522933.5744,44.7655,9.7215,3.5
2025-01-31,472.75,22262444.0,551146.6889,47.1806,10.246,3.5
2025-02-28,488.55,22471836.0,569597.8943,48.7575,10.5885,3.5
2025-03-31,500.2,14220661.0,583180.5685,49.4269,9.4763,3.5
2025-04-30,544.2,20505339.0,634479.9387,53.7747,10.3099,3.5
2025-05-31,568.3,12085727.0,662578.0029,56.1561,10.7664,3.5
2025-06-30,592.65,17196006.0,690967.5408,58.5623,11.2278,3.5
2025-07-31,564.9,10672928.0,658613.9607,55.8202,10.702,3.5
2025-08-31,533.0,11208587.0,621421.9172,52.668,10.0977,3.8
2025-09-30,515.2,10515973.0,600668.9901,50.9091,9.7605,3.8
2025-10-31,542.1,8132600.0,632031.5597,53.5672,10.2701,3.8
2025-11-30,564.6,9111020.0,658264.1922,55.7905,10.6964,3.8
2025-12-31,536.55,8957360.0,625578.2338,53.0188,10.1649,3.8
2026-01-31,462.9,5474799.0,539725.7771,45.7411,8.7696,3.8
2026-02-28,456.1,11343867.0,531797.2066,45.0692,8.6408,3.8
2026-03-31,434.55,2137708.0,506670.6197,42.9397,8.2326,3.8
