BRGR IN Equity,price,volume,mc,pe,bm,div
1995-01-31,1.86,,628.65,,,0.0
1995-02-28,1.92,,649.605,,,0.0
1995-03-31,1.74,,586.74,,,0.0
1995-04-30,1.24,,419.1,,,0.0
1995-05-31,1.22,,410.718,,,0.0186
1995-06-30,1.28,,604.301,,,0.0186
1995-07-31,1.28,,604.301,,,0.0186
1995-08-31,1.25,,592.567,,,0.0434
1995-09-30,1.26,,598.434,,,0.0434
1995-10-31,1.22,,574.966,,,0.0434
1995-11-30,0.88,,416.557,,,0.0434
1995-12-31,1.03,,486.961,,,0.0434
1996-01-31,0.62,,293.35,,,0.0434
1996-02-29,0.78,,366.6875,,,0.0434
1996-03-31,0.62,,293.35,,,0.0496
1996-04-30,0.74,,352.02,,,0.0496
1996-05-31,0.7,120960.0,330.0188,,,0.0496
1996-06-30,0.93,3588480.0,879.15,,,0.062
1996-07-31,0.81,2241792.0,761.93,,,0.062
1996-08-31,0.77,444326.0,726.764,,,0.062
1996-09-30,0.72,137088.0,679.876,,,0.062
1996-10-31,0.64,282240.0,609.544,,,0.062
1996-11-30,0.5,309335.0,468.88,,,0.062
1996-12-31,0.61,144184.0,574.378,,,0.062
1997-01-31,0.68,304739.0,644.71,,,0.062
1997-02-28,0.74,220147.0,703.32,,,0.062
1997-03-31,0.68,588672.0,638.849,,,0.0744
1997-04-30,0.74,603913.0,703.32,,,0.0744
1997-05-31,0.84,3269065.0,791.235,,,0.0744
1997-06-30,1.07,4536564.0,1008.092,,,0.0744
1997-07-31,1.38,1686505.0,1301.142,,,0.0744
1997-08-31,1.06,1958988.0,1002.231,,,0.0744
1997-09-30,0.97,1032434.0,914.316,,,0.0744
1997-10-31,0.92,1141540.0,873.289,,,0.0744
1997-11-30,0.92,899297.0,867.428,,,0.0744
1997-12-31,1.05,1549417.0,990.509,,,0.0744
1998-01-31,0.91,1272499.0,855.706,,,0.0744
1998-02-28,0.92,2608381.0,873.289,,,0.0744
1998-03-31,1.02,968083.0,961.204,,,0.0744
1998-04-30,1.12,3163991.0,1054.98,,,0.0744
1998-05-31,1.43,9180783.0,1350.3744,,,0.0744
1998-06-30,1.32,4112237.0,1245.0888,,,0.0744
1998-07-31,1.23,837688.0,1166.538,,,0.0496
1998-08-31,1.25,561254.0,1184.124,,,0.0496
1998-09-30,1.35,584156.0,1274.3988,,,0.0496
1998-10-31,1.37,4442861.0,1299.0192,,,0.0496
1998-11-30,1.25,1090253.0,1177.0896,,,0.0496
1998-12-31,1.4,578632.0,1324.812,,,0.0496
1999-01-31,1.49,6883511.0,1412.742,,,0.0992
1999-02-28,1.5,1996929.0,1418.604,,,0.0992
1999-03-31,1.85,4081916.0,1748.0484,,,0.0992
1999-04-30,1.44,3124961.0,1359.984,,,0.0992
1999-05-31,1.51,2107446.0,1430.267,,,0.0992
1999-06-30,1.59,1358623.0,1500.608,,,0.0992
1999-07-31,1.71,1395516.0,1617.843,,,0.0992
1999-08-31,2.22,7877036.0,2098.5065,,,0.0992
1999-09-30,2.16,2919773.0,2043.4061,,,0.0992
1999-10-31,1.93,2036160.0,1828.866,,,0.0992
1999-11-30,2.14,1624896.0,2023.4761,,,0.0992
1999-12-31,1.97,2242437.0,1864.0365,,,0.0992
2000-01-31,2.26,3976278.0,2136.0217,,,0.0992
2000-02-29,1.98,2087286.0,1875.76,,,0.0992
2000-03-31,2.47,1987050.0,2338.8383,,,0.0496
2000-04-30,2.48,1633121.0,2344.7001,,,0.1488
2000-05-31,2.43,845914.0,2604.154,,,0.1488
2000-06-30,2.36,1098115.0,2524.435,,,0.1488
2000-07-31,2.38,1045296.0,2549.6793,,,0.1488
2000-08-31,2.41,530047.0,2577.5325,,,0.1488
2000-09-30,2.36,280345.0,2524.3875,,,0.1488
2000-10-31,2.26,594841.0,2418.0975,,,0.0992
