FORH IN Equity,price,volume,mc,pe,bm,div
2007-05-31,87.65,83327278.0,19867.3191,,4.6323,0.0
2007-06-30,82.65,15656373.0,18733.9865,,4.368,0.0
2007-07-31,93.25,28403083.0,21136.6515,,4.9282,0.0
2007-08-31,85.05,9872707.0,19277.9862,,4.4949,0.0
2007-09-30,86.05,14237696.0,19504.696,,4.5477,0.0
2007-10-31,75.8,10500563.0,17181.3592,,4.006,0.0
2007-11-30,80.05,11692344.0,18144.6939,,4.2306,0.0
2007-12-31,109.25,46245622.0,24763.3706,,5.7738,0.0
2008-01-31,81.0,31977032.0,18360.0276,,4.2808,0.0
2008-02-29,86.35,14724981.0,19572.6961,,4.5636,0.0
2008-03-31,83.4,13556866.0,18904.0284,,1.6988,0.0
2008-04-30,87.55,11225885.0,19844.6965,,1.7833,0.0
2008-05-31,80.5,5224314.0,18246.6941,,1.6397,0.0
2008-06-30,66.65,50329130.0,15107.356,,1.3576,0.0
2008-07-31,66.7,7939603.0,15118.6894,,1.3586,0.0
2008-08-31,74.75,10070823.0,16943.3588,,1.5226,0.0
2008-09-30,61.9,4546694.0,14030.6878,,1.2609,0.0
2008-10-31,59.5,5350143.0,13486.6869,,1.212,0.0
2008-11-30,60.8,5348338.0,13781.3541,,1.2385,0.0
2008-12-31,65.85,7690234.0,14926.0224,,1.3413,0.0
2009-01-31,65.2,5335323.0,14778.6889,,1.3281,0.0
2009-02-28,64.9,2786886.0,14710.6888,,1.322,0.0
2009-03-31,67.6,6523540.0,15322.6897,106.2753,1.4492,0.0
2009-04-30,68.15,4517706.0,15447.3566,107.1399,1.461,0.0
2009-05-31,99.15,24349146.0,22474.0338,155.8756,2.1255,0.0
2009-06-30,95.85,39993158.0,21726.0327,150.6876,2.0548,0.0
2009-07-31,102.85,22691571.0,23312.7017,161.6925,2.2048,0.0
2009-08-31,111.45,34661476.0,35366.8522,175.2127,2.3892,0.0
2009-09-30,110.7,11445903.0,35128.8518,174.0336,2.3731,0.0
2009-10-31,101.6,10945875.0,32241.1142,159.7273,2.178,0.0
2009-11-30,107.9,7743722.0,34239.0856,169.6317,2.3131,0.0
2009-12-31,136.9,36722319.0,43441.4349,215.2231,2.9348,0.0
2010-01-31,141.85,23268502.0,45012.1807,223.0051,3.0409,0.0
2010-02-28,156.45,39190137.0,49645.2785,245.9581,3.3539,0.0
2010-03-31,183.2,73350692.0,58133.6851,69.9237,3.2009,0.0
2010-04-30,170.55,74145017.0,54120.8894,65.0954,2.9799,0.0
2010-05-31,143.45,58898354.0,45521.2055,54.7519,2.5064,0.0
2010-06-30,152.35,97005465.0,48345.4559,58.1489,2.6619,0.0
2010-07-31,155.6,53887852.0,63026.8988,59.3893,2.7187,0.0
2010-08-31,152.6,28779697.0,61812.4304,58.2443,2.6663,0.0
2010-09-30,157.75,24900875.0,63898.4986,60.2099,2.7562,0.0
2010-10-31,160.2,28070391.0,64890.9001,61.145,2.799,0.0
2010-11-30,148.65,19189049.0,60214.2781,56.7366,2.5972,0.0
2010-12-31,146.55,11981475.0,59363.6223,55.9351,2.5605,0.0
2011-01-31,129.65,15841946.0,52521.6668,49.4847,2.2653,0.0
2011-02-28,146.4,22616823.0,59307.1502,55.8779,2.5579,0.0
2011-03-31,150.9,11071560.0,61130.1159,46.7183,1.8597,0.0
2011-04-30,155.1,8967748.0,62833.6947,48.0186,1.9115,0.0
2011-05-31,162.25,8683244.0,65730.2835,50.2322,1.9996,0.0
2011-06-30,162.75,7363880.0,65932.8421,50.387,2.0057,0.0
2011-07-31,166.75,7419916.0,67553.3114,51.6254,2.055,0.0
2011-08-31,152.6,8108143.0,61827.5376,47.2446,1.8806,0.0
2011-09-30,125.85,19502567.0,50989.4863,38.9628,1.551,0.0
2011-10-31,124.5,8674743.0,50442.5192,38.5449,1.5343,0.0
2011-11-30,113.6,12188643.0,46026.2666,35.1703,1.4,0.0
2011-12-31,84.2,27310013.0,34115.937,26.0681,1.0377,0.0
2012-01-31,104.75,16289537.0,42442.3325,32.4303,1.2909,0.0
2012-02-29,108.65,17709380.0,44022.5244,33.6378,1.339,0.0
2012-03-31,100.2,12270760.0,40598.7753,63.8217,1.2484,0.0
2012-04-30,106.8,13029030.0,43273.1906,68.0255,1.3307,0.0
2012-05-31,98.3,10595251.0,39829.1633,62.6115,1.2248,0.0
2012-06-30,101.4,7261864.0,41085.2203,64.586,1.2634,0.0
2012-07-31,98.2,7219077.0,39788.6453,62.5478,1.2235,0.0
2012-08-31,90.9,9102413.0,36830.8336,57.8981,1.1326,0.0
2012-09-30,102.9,9140287.0,41695.4298,65.5414,1.2821,0.0
2012-10-31,101.85,5402576.0,41269.9663,64.8726,1.269,0.0
2012-11-30,112.15,7872417.0,45443.5613,71.4331,1.3973,0.0
2012-12-31,114.95,13359674.0,46578.1308,73.2166,1.4322,0.0
2013-01-31,109.95,4466236.0,44552.1138,70.0318,1.3699,0.0
2013-02-28,97.05,8426006.0,39324.9899,61.8153,1.2092,0.0
2013-03-31,100.25,4436768.0,40622.0324,8.3754,0.9282,0.0
2013-04-30,101.15,2775709.0,40987.2129,8.4506,0.9365,0.0
2013-05-31,88.55,19270668.0,38980.1786,7.3979,0.8199,0.0
2013-06-30,86.1,5457579.0,39523.2554,7.1933,0.7972,0.0
2013-07-31,97.7,8398402.0,44848.1075,8.1624,0.9046,0.0
2013-08-31,95.15,10209464.0,43677.5581,7.9493,0.881,0.0
2013-09-30,97.65,4206432.0,45190.1182,8.1582,0.9041,0.0
2013-10-31,98.2,4099486.0,45444.7921,8.2042,0.9092,0.0
2013-11-30,108.95,7612037.0,50420.5691,9.1023,1.0087,0.0
2013-12-31,102.55,3812284.0,47458.7367,8.5676,0.9495,0.0
2014-01-31,101.0,3841126.0,46741.4179,8.4381,0.9351,0.0
2014-02-28,94.5,3053816.0,43733.3069,7.895,0.8749,0.0
2014-03-31,97.7,5171117.0,45214.2231,8.1749,0.913,0.0
2014-04-30,99.65,9369067.0,46116.6564,,0.9312,0.0
2014-05-31,105.55,9908595.0,48847.0956,,0.9863,0.0
2014-06-30,121.95,17447184.0,56437.0145,,1.1396,0.0
2014-07-31,117.9,14145768.0,54562.7225,,1.1017,0.0
2014-08-31,120.05,8055860.0,55557.717,,1.1218,0.0
2014-09-30,116.9,18742873.0,54099.9344,,1.0924,0.0
2014-10-31,121.5,4814319.0,56228.8526,,1.1354,0.0
2014-11-30,106.7,6651892.0,49379.5767,,0.9971,0.0
2014-12-31,111.05,6380251.0,51392.7084,,1.0377,0.0
2015-01-31,114.0,8080550.0,52757.9357,,1.0653,0.0
2015-02-28,162.15,74950101.0,75041.2366,,1.5153,0.0
