TATACONS IN Equity,price,volume,mc,pe,bm,div
2001-08-31,15.3,12707763.0,8711.2892,,,0.889
2001-09-30,12.86,7344185.0,7317.0198,,,0.889
2001-10-31,15.08,14276857.0,8581.9675,,,0.889
2001-11-30,17.52,22265119.0,9973.4099,,,0.889
2001-12-31,16.68,19730866.0,9492.7298,,,0.889
2002-01-31,16.27,17149768.0,9259.4172,,,0.889
2002-02-28,17.64,24589728.0,10040.8738,,,0.889
2002-03-31,16.74,24583583.0,9526.4618,,,0.889
2002-04-30,16.43,8922127.0,9349.3691,,,0.0
2002-05-31,15.47,7367521.0,8804.0361,,,0.6914
2002-06-30,20.77,57041296.0,11823.0446,,,0.6914
2002-07-31,16.42,17694981.0,9346.5581,,,0.6914
2002-08-31,15.66,7910214.0,8913.6649,,,0.6914
2002-09-30,15.31,11287426.0,8714.0842,,,0.6914
2002-10-31,14.57,5307510.0,8292.435,,,0.6914
2002-11-30,17.2,12523116.0,9787.8843,,,0.6914
2002-12-31,17.19,13560563.0,9782.2623,,,0.6914
2003-01-31,15.88,6555492.0,9040.1596,,,0.6914
2003-02-28,17.42,13653919.0,9917.19,,,0.6914
2003-03-31,18.76,7985245.0,10676.1587,,,0.6914
2003-04-30,19.79,4807735.0,11263.6566,,,0.6914
2003-05-31,22.43,10778568.0,12764.7279,,,0.6914
2003-06-30,22.3,16180609.0,12691.642,,,0.6914
2003-07-31,20.55,10458701.0,11699.3608,,,0.0
2003-08-31,23.8,21688905.0,13548.9955,,,0.6914
2003-09-30,24.05,23725933.0,13686.7342,,,0.6914
2003-10-31,26.04,29746386.0,14822.3762,,,0.6914
2003-11-30,25.62,14911630.0,14580.6306,,,0.6914
2003-12-31,33.87,49796178.0,19280.6141,,,0.6914
2004-01-31,34.69,44577781.0,19744.4283,,,0.6914
2004-02-29,35.3,28199181.0,20090.1806,,,0.6914
2004-03-31,32.69,14787780.0,18608.7863,,,0.6914
2004-04-30,37.62,9077302.0,21414.1592,,,0.6914
2004-05-31,32.61,14217853.0,18563.8104,,,0.6914
2004-06-30,36.26,12233146.0,20641.1356,,,0.6914
2004-07-31,41.44,26413539.0,23589.8693,,,0.6914
2004-08-31,40.84,21405394.0,23244.1169,,,0.8396
2004-09-30,41.74,19150450.0,23755.718,,,0.8396
2004-10-31,40.42,10538694.0,23007.9933,,,0.8396
2004-11-30,43.72,9045411.0,24882.927,,,0.8396
2004-12-31,46.74,10270855.0,26606.0668,,,0.8396
2005-01-31,48.35,60032064.0,27519.6402,,,0.8396
2005-02-28,53.88,70082513.0,30667.9545,,,0.8396
2005-03-31,51.61,45432505.0,29374.8968,,,0.8396
2005-04-30,50.63,26602226.0,28815.5088,,,0.8396
2005-05-31,56.56,63725913.0,32191.5137,,,0.8396
2005-06-30,61.25,59314454.0,34861.9589,,,0.8396
2005-07-31,67.11,42359720.0,38195.7989,,,0.9877
2005-08-31,80.93,59797332.0,46066.5846,,,0.9877
2005-09-30,83.07,40640524.0,47280.9344,,,0.9877
2005-10-31,73.77,42938607.0,41990.642,,,0.9877
2005-11-30,86.04,29946706.0,48970.3423,,,0.9877
2005-12-31,93.75,49698519.0,53363.9274,,,0.9877
2006-01-31,92.07,20670016.0,52402.5671,,,0.9877
2006-02-28,91.8,135294318.0,52253.5844,,,0.9877
2006-03-31,85.63,108882824.0,48737.0298,,,0.9877
2006-04-30,82.56,56032369.0,46850.8522,,,0.9877
2006-05-31,70.75,66183981.0,40267.5021,,,0.9877
2006-06-30,75.65,54825462.0,43058.82,,,0.9877
2006-07-31,82.28,33385929.0,46831.1752,,,1.1853
2006-08-31,78.94,80377687.0,44930.9427,,,1.1853
2006-09-30,74.11,107752680.0,42181.7896,,,1.1853
2006-10-31,75.63,54094711.0,43050.3871,,,1.1853
2006-11-30,70.87,55048227.0,40340.588,,,1.1853
2006-12-31,71.24,36007757.0,42575.3151,,,1.1853
2007-01-31,70.48,20011268.0,42120.7849,,,1.1853
2007-02-28,61.04,21851157.0,36480.478,,,1.1853
2007-03-31,59.99,19789546.0,35851.8095,,,1.1853
2007-04-30,76.66,49476392.0,45813.1051,,,1.1853
2007-05-31,90.9,119516413.0,54325.2166,,,1.1853
2007-06-30,84.66,72270323.0,53006.0711,,,1.1853
2007-07-31,76.15,54068762.0,47675.4717,,,1.4816
2007-08-31,74.39,48592753.0,46571.6294,,,1.4816
2007-09-30,79.6,28996854.0,49833.7641,,,1.4816
2007-10-31,81.09,40547289.0,50767.5481,,,1.4816
2007-11-30,75.02,31395999.0,46970.5721,,,1.4816
2007-12-31,89.63,72935165.0,56116.7081,,,1.4816
2008-01-31,81.59,65262680.0,51082.9321,,,1.4816
2008-02-29,81.15,18396808.0,50807.7441,,,1.4816
2008-03-31,81.66,20324595.0,51126.2201,3.2442,,1.4816
2008-04-30,90.24,26346941.0,56497.0241,3.585,,1.4816
2008-05-31,85.19,43038048.0,53337.0001,3.3845,,1.4816
2008-06-30,73.73,28501290.0,46160.4681,2.8756,,1.4816
2008-07-31,75.06,19103473.0,46992.2161,2.9274,,1.4816
2008-08-31,70.01,28293884.0,43835.2841,2.7308,,3.457
2008-09-30,66.07,15575916.0,41364.7761,2.4138,,3.457
2008-10-31,50.15,15572433.0,31396.1681,1.8321,,3.457
2008-11-30,52.27,20221418.0,32722.6361,1.9095,,3.457
2008-12-31,59.27,18433518.0,37107.0921,4.6236,,3.457
2009-01-31,59.85,12781731.0,37468.8561,4.6687,,3.457
2009-02-28,57.27,37804162.0,35857.9241,4.4679,,3.457
2009-03-31,57.74,17535382.0,36148.5721,5.16,,3.457
2009-04-30,67.02,21830989.0,41958.4401,5.9893,,3.457
2009-05-31,68.46,42752239.0,42864.3961,6.1186,,3.457
2009-06-30,71.23,59995404.0,44595.9161,7.3673,,3.457
2009-07-31,84.05,36357744.0,52622.7481,8.6933,,3.457
2009-08-31,93.33,51492473.0,58429.5241,9.6526,,1.7285
2009-09-30,88.6,60734356.0,55470.4801,8.2176,,1.7285
2009-10-31,84.61,55626304.0,52975.2361,7.848,,1.7285
2009-11-30,89.07,44434907.0,55767.3121,8.2616,,1.7285
2009-12-31,92.95,26703894.0,58194.5321,15.6827,,1.7285
2010-01-31,90.39,45217364.0,56592.8761,15.2511,,1.7285
2010-02-28,92.6,13642701.0,57978.0921,15.6244,,1.7285
2010-03-31,96.68,16057437.0,60532.0841,15.5102,,1.7285
2010-04-30,104.01,18015132.0,65120.616,16.6859,,1.7285
2010-05-31,107.06,40861183.0,67028.3762,17.1748,,1.7285
2010-06-30,120.06,43708068.0,75166.523,16.4993,,1.7285
2010-07-31,114.63,25672994.0,71765.3228,15.7527,,1.7285
2010-08-31,119.02,35524983.0,74517.2029,16.3567,,1.9754
2010-09-30,118.72,37281688.0,74331.6829,33.8687,1.8871,1.9754
2010-10-31,123.12,40287102.0,77083.563,35.1226,1.9569,1.9754
2010-11-30,111.56,29832115.0,69848.2828,31.8259,1.7733,1.9754
2010-12-31,106.77,23061148.0,66849.0426,33.5923,1.6838,1.9754
