POLICYBZ IN Equity,price,volume,mc,pe,bm,div
2021-11-30,1215.6,78459946.0,546411.9642,,22.2971,0.0
2021-12-31,950.3,22288749.0,427159.6656,,17.4308,0.0
2022-01-31,795.05,19674337.0,357374.8208,,14.5831,0.0
2022-02-28,662.05,24988643.0,297591.3466,,12.1436,0.0
2022-03-31,694.3,16358742.0,312087.7153,,6.293,0.0
2022-04-30,668.25,8917600.0,300378.2454,,6.0569,0.0
2022-05-31,663.65,24622997.0,298310.5463,,6.0152,0.0
2022-06-30,572.95,37119437.0,257540.9138,,5.1931,0.0
2022-07-31,468.25,21689833.0,210478.2842,,4.2441,0.0
2022-08-31,503.05,29975216.0,226120.8774,,4.5595,0.0
2022-09-30,472.55,23506699.0,212411.1333,,4.2831,0.0
2022-10-31,386.05,13834017.0,173529.4001,,3.4991,0.0
2022-11-30,452.75,193025982.0,203511.0372,,4.1036,0.0
2022-12-31,448.3,73496798.0,201787.1593,,4.0633,0.0
2023-01-31,428.55,25557221.0,192897.3614,,3.8843,0.0
2023-02-28,558.25,67463132.0,251277.4518,,5.0598,0.0
2023-03-31,638.9,56928060.0,287579.3354,,5.7225,0.0
2023-04-30,600.1,20184171.0,270114.821,,5.375,0.0
2023-05-31,605.95,49192634.0,272748.0017,,5.4274,0.0
2023-06-30,696.8,59490879.0,313641.072,,6.2411,0.0
2023-07-31,731.55,28340319.0,329282.6151,,6.5523,0.0
2023-08-31,774.65,33334572.0,348682.6298,,6.9384,0.0
2023-09-30,765.25,20434466.0,344451.5361,,6.8542,0.0
2023-10-31,700.7,25753757.0,315396.5257,,6.276,0.0
2023-11-30,833.05,25338772.0,375401.3651,,7.4614,0.0
2023-12-31,794.65,39146769.0,358096.9867,,7.1175,0.0
2024-01-31,1002.4,34798686.0,452286.3523,,8.9783,0.0
2024-02-29,1167.4,83300938.0,526734.9239,,10.4561,0.0
2024-03-31,1124.25,38514246.0,507265.4944,749.5,8.7944,0.0
2024-04-30,1264.9,37595511.0,570727.2616,843.2667,9.8946,0.0
2024-05-31,1294.4,89552278.0,584037.7638,862.9333,10.1254,0.0
2024-06-30,1397.25,31528130.0,637193.7915,931.5,10.9299,0.0
2024-07-31,1453.0,24517774.0,662617.6984,968.6667,11.366,0.0
2024-08-31,1772.25,52154288.0,808206.618,1181.5,13.8633,0.0
2024-09-30,1619.95,43154999.0,738875.3362,1079.9667,12.6719,0.0
2024-10-31,1701.15,30059578.0,775911.4653,1134.1,13.3071,0.0
2024-11-30,1893.9,25657574.0,869102.9943,1262.6,14.8149,0.0
2024-12-31,2108.85,35443892.0,968427.8516,1405.9,16.4963,0.0
2025-01-31,1726.8,39037877.0,793045.4746,1151.2,13.5078,0.0
2025-02-28,1463.6,34900718.0,672168.9579,975.7333,11.4489,0.0
2025-03-31,1589.75,50222667.0,730104.2641,204.601,11.3506,0.0
2025-04-30,1625.3,30072881.0,746430.8604,209.1763,11.6045,0.0
2025-05-31,1761.6,33187531.0,809027.628,226.7181,12.5776,0.0
2025-06-30,1823.9,35091215.0,837639.3566,234.7362,13.0224,0.0
2025-07-31,1812.1,26153582.0,832220.1207,233.2175,12.9382,0.0
2025-08-31,1770.8,23112303.0,813252.795,227.9022,12.6433,0.0
2025-09-30,1702.0,28329336.0,781741.1335,219.0476,12.1521,0.0
2025-10-31,1785.4,39832850.0,820047.3677,229.7812,12.7475,0.0
2025-11-30,1818.9,27542173.0,839204.5822,234.0927,12.9867,0.0
2025-12-31,1825.6,32059814.0,844659.0053,234.955,13.0346,0.0
2026-01-31,1654.5,28004357.0,765495.3573,212.9344,11.8129,0.0
2026-02-28,1481.6,88207517.0,685526.0525,190.6821,10.5785,0.0
2026-03-31,1473.4,4392199.0,681731.9806,189.6268,10.5199,0.0
