FB IN Equity,price,volume,mc,pe,bm,div
2000-06-30,1.18,5263238.0,1024.2448,2.037,0.2738,0.0636
2000-07-31,0.99,2752022.0,860.1882,1.7107,0.2299,0.0636
2000-08-31,1.06,2582774.0,920.0467,1.8297,0.2459,0.0636
2000-09-30,1.01,3053541.0,876.8156,1.7438,0.2344,0.0636
2000-10-31,1.06,2990038.0,920.0467,1.8297,0.2459,0.0636
2000-11-30,1.21,4462934.0,1053.0655,2.0943,0.2815,0.0636
2000-12-31,1.32,6156673.0,1146.1786,2.2795,0.3064,0.0636
2001-01-31,1.45,7102334.0,1265.8956,2.5176,0.3384,0.0636
2001-02-28,1.48,14080059.0,1285.8484,2.5572,0.3437,0.0636
2001-03-31,1.16,7398744.0,1008.7259,2.0061,0.2696,0.0636
2001-04-30,1.12,4789877.0,975.4712,1.94,0.2608,0.0636
2001-05-31,1.22,3499866.0,1059.7164,2.1075,0.2833,0.0636
2001-06-30,1.1,2790965.0,957.7354,1.9047,0.256,0.0636
2001-07-31,1.1,1870768.0,962.1693,1.9135,0.2572,0.0636
2001-08-31,1.06,1605756.0,922.2637,1.8342,0.2465,0.0636
2001-09-30,0.95,1979579.0,829.1505,1.649,0.2216,0.0636
2001-10-31,1.05,3180467.0,918.9382,1.8275,0.2456,0.0636
2001-11-30,1.1,4789131.0,958.8438,1.9069,0.2563,0.0636
2001-12-31,1.1,3450392.0,957.7354,1.9047,0.256,0.0636
2002-01-31,1.2,3118851.0,1048.6315,2.0855,0.2803,0.0636
2002-02-28,1.85,95542319.0,1611.7444,3.2054,0.4308,0.0636
2002-03-31,2.66,240233930.0,2316.7441,2.766,0.5152,0.0636
2002-04-30,2.46,111962498.0,2142.7112,2.5582,0.4765,0.0636
2002-05-31,2.32,50317643.0,2018.5603,2.41,0.4489,0.0636
2002-06-30,2.5,47513043.0,2178.1828,2.6005,0.4844,0.0636
2002-07-31,1.93,25206036.0,1680.4708,2.0063,0.3737,0.0636
2002-08-31,2.04,8688677.0,1779.1264,2.1241,0.3956,0.0891
2002-09-30,1.89,5965812.0,1649.4331,1.9693,0.3668,0.0891
2002-10-31,1.84,3879820.0,1603.985,1.915,0.3567,0.0891
2002-11-30,1.9,5245476.0,1653.8671,1.9746,0.3678,0.0891
2002-12-31,2.24,33337219.0,1947.6169,2.3253,0.4331,0.0891
2003-01-31,2.31,93327631.0,2011.9093,2.402,0.4474,0.0891
2003-02-28,2.46,40411731.0,2141.6027,2.5569,0.4762,0.0891
2003-03-31,2.36,46543059.0,2052.9235,1.9545,0.3871,0.0891
2003-04-30,2.43,39207189.0,2118.3244,2.0168,0.3994,0.0891
2003-05-31,3.95,316313648.0,3439.6444,3.2748,0.6485,0.0891
2003-06-30,3.85,170629497.0,3357.6162,3.1967,0.633,0.0891
2003-07-31,4.3,197827569.0,3748.9131,3.5693,0.7068,0.0891
2003-08-31,4.2,57354156.0,3662.4509,3.4869,0.6905,0.1018
2003-09-30,4.01,31446960.0,3496.1774,3.3286,0.6592,0.1018
2003-10-31,4.61,91582649.0,4017.1677,3.8247,0.7574,0.1018
2003-11-30,4.62,91942798.0,4021.6017,3.8289,0.7582,0.1018
2003-12-31,6.84,194986816.0,5955.9167,5.6705,1.1229,0.1018
2004-01-31,6.7,143170499.0,5839.5253,5.5597,1.101,0.1018
2004-02-29,6.46,44183722.0,5627.8037,5.3581,1.0611,0.1018
2004-03-31,9.47,237026977.0,8249.3825,5.9385,1.2696,0.1018
2004-04-30,9.81,77228893.0,8547.5663,6.1532,1.3155,0.1018
2004-05-31,7.68,64135048.0,6690.8456,4.8166,1.0297,0.1018
2004-06-30,8.15,78642648.0,7103.2039,5.1134,1.0932,0.1018
2004-07-31,7.61,42080950.0,6626.5532,4.7703,1.0198,0.1018
2004-08-31,6.8,29791967.0,5921.5535,4.2628,0.9113,0.1018
2004-09-30,7.66,77470878.0,6673.1097,4.8038,1.027,0.1781
2004-10-31,7.6,14500842.0,6619.962,4.7655,1.0188,0.1781
2004-11-30,10.41,44557009.0,9068.6523,6.5282,1.3957,0.1781
2004-12-31,12.55,41067858.0,10934.2607,7.8712,1.6828,0.1781
2005-01-31,11.62,141014926.0,10017.6393,7.2895,1.5584,0.1781
2005-02-28,11.67,77635149.0,10060.4075,7.3206,1.5651,0.1781
2005-03-31,11.83,164523987.0,10198.5818,4.5428,1.4038,0.1781
2005-04-30,10.86,41136246.0,9362.9561,4.1706,1.2888,0.1781
2005-05-31,12.68,105891726.0,10928.9319,4.8682,1.5043,0.1781
2005-06-30,12.07,59534590.0,10399.2636,4.6322,1.4314,0.1781
2005-07-31,13.97,204973979.0,12040.9063,5.3635,1.6574,0.1781
2005-08-31,14.04,212915638.0,12100.1239,5.3899,1.6655,0.1781
2005-09-30,14.36,158646250.0,12343.1665,5.5144,1.704,0.1909
2005-10-31,12.29,120561266.0,10562.0506,4.7187,1.4581,0.1909
2005-11-30,13.35,141017375.0,11470.6493,5.1246,1.5836,0.1909
2005-12-31,13.93,239658805.0,11972.5107,5.3488,1.6529,0.1909
2006-01-31,13.81,185997799.0,11864.2661,5.3005,1.6379,0.1909
2006-02-28,13.16,85542410.0,11309.9225,5.0528,1.5614,0.1909
2006-03-31,15.42,244443089.0,17270.7164,6.1767,1.3823,0.1909
2006-04-30,15.93,150166904.0,17852.1069,6.3786,1.4274,0.1909
2006-05-31,14.51,88097218.0,16249.0082,5.8113,1.3005,0.1909
2006-06-30,12.71,85719740.0,14235.5163,5.0912,1.1394,0.1909
2006-07-31,13.36,41570992.0,14967.2999,5.3527,1.1979,0.1909
2006-08-31,14.94,32067668.0,16737.2119,5.9856,1.3395,0.1909
2006-09-30,16.17,131172228.0,18109.5351,6.4764,1.4493,0.2672
2006-10-31,16.65,69343232.0,18643.9288,6.6675,1.4921,0.2672
2006-11-30,16.54,84315574.0,18528.4997,6.6262,1.4829,0.2672
2006-12-31,16.73,89042066.0,18737.9821,6.7012,1.4996,0.2672
2007-01-31,19.04,106702221.0,21328.7229,7.6277,1.707,0.2672
2007-02-28,16.8,98951437.0,18814.9348,6.7287,1.5058,0.2672
2007-03-31,16.51,57973554.0,18490.0234,6.3235,1.2315,0.2672
2007-04-30,18.62,81188078.0,20858.4564,7.1335,1.3892,0.2672
2007-05-31,20.35,96132585.0,22786.5491,7.7929,1.5176,0.2672
2007-06-30,23.05,53691251.0,25813.3552,8.828,1.7192,0.2672
2007-07-31,27.18,83491417.0,30439.0674,10.41,2.0273,0.2672
2007-08-31,26.45,85662656.0,29618.2386,10.1293,1.9727,0.3054
2007-09-30,28.43,28654136.0,31842.061,10.8896,2.1207,0.3054
2007-10-31,29.79,57800874.0,33364.0499,11.4101,2.2221,0.3054
2007-11-30,31.56,147548557.0,53962.2038,12.0864,2.3538,0.3054
2007-12-31,33.57,53572150.0,57399.5047,12.8563,2.5037,0.3054
2008-01-31,30.96,143042370.0,52953.2448,11.8604,2.3098,0.3054
2008-02-29,29.7,66566160.0,50759.1475,11.374,2.2151,0.3054
2008-03-31,21.66,95719570.0,37024.5205,6.83,0.9454,0.3054
2008-04-30,24.08,60155810.0,41152.6007,7.5915,1.0508,0.3054
2008-05-31,21.93,81424280.0,37478.2208,6.9135,0.9569,0.3054
2008-06-30,18.21,120407410.0,31119.3552,5.7405,0.7946,0.3054
2008-07-31,19.13,105307820.0,32691.9895,6.0306,0.8347,0.4
2008-08-31,21.46,64047550.0,36674.8567,6.7653,0.9364,0.4
2008-09-30,20.55,50182600.0,35127.8632,6.48,0.8969,0.4
2008-10-31,12.88,97841510.0,22016.9426,4.0614,0.5622,0.4
2008-11-30,13.42,113065610.0,22940.2958,4.2317,0.5857,0.4
2008-12-31,16.2,70179750.0,27692.4584,5.1083,0.7071,0.4
2009-01-31,14.04,107632530.0,23991.5685,4.4256,0.6126,0.4
2009-02-28,12.42,54481530.0,21230.8715,3.9164,0.5421,0.4
2009-03-31,13.79,103104160.0,23572.7631,4.9964,0.5497,0.4
2009-04-30,18.73,92146820.0,32017.2482,6.7862,0.7467,0.4
2009-05-31,24.84,237282430.0,42461.743,9.0,0.9902,0.4
2009-06-30,25.11,119769770.0,42914.7366,9.096,1.0008,0.4
2009-07-31,24.03,66156160.0,41068.5739,8.7047,0.9577,0.4
2009-08-31,21.9,153652640.0,37436.6258,7.9348,0.873,0.5
2009-09-30,25.19,188041950.0,43052.1196,9.125,1.004,0.5
2009-10-31,24.01,212615340.0,41043.5336,8.6993,0.9571,0.5
2009-11-30,23.52,123605780.0,40197.3632,8.5199,0.9374,0.5
2009-12-31,23.56,97225690.0,40274.2878,8.5362,0.9392,0.5
2010-01-31,25.51,197983200.0,43599.1388,9.2409,1.0167,0.5
2010-02-28,25.84,56084930.0,44163.2524,9.3605,1.0299,0.5
2010-03-31,26.69,78485260.0,45616.2721,10.3792,0.9874,0.5
2010-04-30,29.23,94589850.0,49958.2369,11.3672,1.0814,0.5
2010-05-31,34.53,262863880.0,59026.7894,13.4306,1.2776,0.5
2010-06-30,31.73,156979760.0,54231.8243,12.3396,1.1739,0.5
2010-07-31,34.63,173991500.0,59189.1857,13.4675,1.2812,0.5
2010-08-31,34.01,170926710.0,58129.3361,13.2264,1.2582,0.5
2010-09-30,39.21,207112930.0,67026.9451,15.2509,1.4508,0.5
2010-10-31,47.2,204869940.0,80685.3304,18.3586,1.7464,0.5
2010-11-30,44.35,157980980.0,75804.8936,17.2482,1.6408,0.5
2010-12-31,39.73,138471610.0,67909.7711,15.4512,1.4699,0.5
2011-01-31,36.42,121563960.0,62259.8833,14.1657,1.3476,0.5
2011-02-28,34.87,123216120.0,59610.1628,13.5628,1.2902,0.5
2011-03-31,41.86,96841130.0,71550.9999,12.8666,1.4267,0.5
2011-04-30,42.0,97415660.0,71790.3295,12.9096,1.4314,0.5
2011-05-31,44.39,112494110.0,75876.0275,13.6443,1.5129,0.5
2011-06-30,45.27,152214510.0,77386.7669,13.9148,1.5429,0.5
2011-07-31,42.65,80122190.0,72907.5151,13.1094,1.4536,0.5
2011-08-31,37.11,117213160.0,63444.6685,11.4079,1.2649,0.85
2011-09-30,36.82,76761520.0,62948.8734,11.3188,1.255,0.85
2011-10-31,41.55,61306140.0,71035.4615,12.7728,1.4163,0.85
2011-11-30,35.81,67555780.0,61213.5908,11.0068,1.2204,0.85
2011-12-31,33.68,137197260.0,57580.6099,10.3535,1.148,0.85
2012-01-31,39.89,101800010.0,68197.4623,12.2625,1.3597,0.85
2012-02-29,40.56,111803540.0,69334.3716,12.467,1.3824,0.85
2012-03-31,42.65,81077230.0,72917.3844,9.6778,1.3045,0.85
2012-04-30,42.0,38953050.0,71797.5512,9.5292,1.2845,0.85
2012-05-31,42.04,55746040.0,71874.4863,9.5394,1.2858,0.85
2012-06-30,44.86,34470050.0,76687.2046,10.1781,1.3719,0.85
2012-07-31,41.43,48627220.0,70831.5882,9.401,1.2672,0.9
2012-08-31,40.64,169070020.0,69489.498,9.2228,1.2432,0.9
2012-09-30,44.7,90148180.0,76413.6576,10.1418,1.3671,0.9
2012-10-31,48.46,104961580.0,82850.5615,10.9961,1.4822,0.9
2012-11-30,48.18,146236460.0,82371.8542,10.9326,1.4736,0.9
2012-12-31,53.82,132279340.0,92014.3876,12.2124,1.6462,0.9
2013-01-31,50.56,135137150.0,86432.3182,11.4715,1.5463,0.9
2013-02-28,49.33,74578150.0,84329.4252,11.1924,1.5087,0.9
2013-03-31,48.07,72312120.0,82175.2423,9.6419,1.3144,0.9
2013-04-30,45.65,139591450.0,78041.0401,9.1565,1.2482,0.9
2013-05-31,45.04,98546990.0,77000.1676,9.0341,1.2316,0.9
2013-06-30,40.92,144060280.0,69973.0512,8.2096,1.1192,0.9
2013-07-31,34.96,101066600.0,59782.718,7.014,0.9562,0.9
2013-08-31,25.62,105730950.0,43796.2054,5.1384,0.7005,0.9
2013-09-30,28.46,165794140.0,48660.5507,5.7091,0.7783,0.9
2013-10-31,41.05,209323188.0,70186.7759,8.2347,1.1226,0.9
2013-11-30,39.42,119114050.0,67408.3712,7.9087,1.0781,0.9
2013-12-31,42.03,87893796.0,71853.8187,8.4303,1.1492,0.9
2014-01-31,39.63,136062896.0,67750.3287,7.9488,1.0836,0.9
2014-02-28,38.4,70811744.0,65657.0766,7.7031,1.0501,0.9
2014-03-31,47.88,167841166.0,81857.6182,9.6376,1.1847,0.9
2014-04-30,45.23,133588716.0,77326.596,9.1041,1.1191,0.9
2014-05-31,58.15,285163136.0,99426.0157,11.7061,1.4389,0.9
2014-06-30,66.85,291896046.0,114303.1853,13.4574,1.6542,0.9
2014-07-31,59.98,257948908.0,102555.7492,12.0734,1.4841,1.0
2014-08-31,60.38,153789574.0,103248.0746,12.154,1.494,1.0
2014-09-30,62.93,201989848.0,107616.3598,12.6673,1.5571,1.0
2014-10-31,71.03,204537038.0,121469.9514,14.2979,1.7575,1.0
2014-11-30,75.9,139048392.0,129829.7666,15.2793,1.8781,1.0
2014-12-31,75.85,134486572.0,129808.0437,15.2692,1.8769,1.0
2015-01-31,70.93,173060598.0,121379.5056,14.2778,1.755,1.0
2015-02-28,71.35,113436998.0,122151.2,14.3633,1.7656,1.0
2015-03-31,66.03,118153472.0,113034.8161,10.6837,2.1732,1.0
2015-04-30,65.7,122702590.0,112510.6244,10.6311,2.1625,1.0
2015-05-31,71.45,118415464.0,122441.1054,11.5615,2.3518,1.1
2015-06-30,73.9,116958490.0,126639.5758,11.9579,2.4325,1.1
2015-07-31,67.75,156844953.0,116181.6978,10.9628,2.23,1.1
2015-08-31,61.4,115403250.0,105324.7895,9.9353,2.021,1.1
2015-09-30,63.95,59340566.0,109702.2281,10.3479,2.1049,1.1
2015-10-31,54.25,122727931.0,93115.0722,8.7783,1.7857,1.1
2015-11-30,58.7,64737350.0,100775.1597,9.4984,1.9321,1.1
2015-12-31,56.0,67319563.0,96169.8623,9.0615,1.8433,1.1
2016-01-31,46.15,134035284.0,79266.3206,7.4676,1.519,1.1
2016-02-29,46.25,75044215.0,79444.6559,7.4838,1.5223,1.1
2016-03-31,46.45,104115465.0,79794.5056,16.4134,0.9909,1.1
2016-04-30,45.85,143222493.0,78766.718,16.2014,0.9781,1.1
2016-05-31,52.35,219940297.0,89939.9392,18.4982,1.1168,1.1
2016-06-30,57.6,202291005.0,98967.5578,20.3534,1.2288,1.1
2016-07-31,64.65,202472908.0,111080.7745,22.8445,1.3792,0.7
2016-08-31,68.75,149215274.0,118125.3403,24.2933,1.4666,0.7
2016-09-30,72.0,242884732.0,123709.4473,25.4417,1.536,0.7
2016-10-31,82.3,169499714.0,141406.771,29.0813,1.7557,0.7
2016-11-30,70.8,282983305.0,121647.6231,25.0177,1.5104,0.7
2016-12-31,66.85,156275524.0,115023.8955,23.6219,1.4261,0.7
2017-01-31,76.05,218053642.0,130853.6612,26.8728,1.6224,0.7
2017-02-28,87.35,230902527.0,150366.8512,30.8657,1.8634,0.7
2017-03-31,91.45,199246036.0,157570.2254,18.1448,1.7627,0.7
2017-04-30,107.6,212655061.0,185397.0066,21.3492,2.074,0.7
2017-05-31,111.45,333525555.0,192334.443,22.1131,2.1482,0.7
2017-06-30,112.85,244773626.0,194750.488,22.3909,2.1752,0.7
2017-07-31,115.25,247343881.0,223932.6633,22.8671,2.2215,0.9
2017-08-31,108.35,159334923.0,210694.9737,21.498,2.0885,0.9
2017-09-30,112.65,188632482.0,219535.9971,22.3512,2.1714,0.9
2017-10-31,121.75,259489212.0,237270.3741,24.1567,2.3468,0.9
2017-11-30,110.65,179230787.0,217210.1642,21.9544,2.1328,0.9
2017-12-31,108.5,158366696.0,213239.3731,21.5278,2.0914,0.9
2018-01-31,100.45,305770433.0,197584.071,19.9306,1.9362,0.9
2018-02-28,94.25,206238198.0,185601.397,18.7004,1.8167,0.9
2018-03-31,89.2,180409235.0,175796.0781,18.1301,1.4342,0.9
2018-04-30,98.3,234675113.0,193869.3941,19.9797,1.5805,0.9
2018-05-31,84.8,457317482.0,167301.3264,17.2358,1.3634,0.9
2018-06-30,81.85,205296214.0,161586.1988,16.6362,1.316,0.9
2018-07-31,89.0,400249444.0,176174.4031,18.0894,1.431,0.9
2018-08-31,81.1,358697166.0,160592.0616,16.4837,1.304,1.0
2018-09-30,70.7,214316987.0,140034.0886,14.3699,1.1367,1.0
2018-10-31,82.75,364514766.0,163947.6715,16.8191,1.3305,1.0
2018-11-30,85.3,214474825.0,169042.6952,17.3374,1.3715,1.0
2018-12-31,93.25,289958188.0,184977.8528,18.9533,1.4993,1.0
2019-01-31,85.9,328294628.0,170424.1024,17.4593,1.3811,1.0
2019-02-28,83.85,186717679.0,166386.688,17.0427,1.3482,1.0
2019-03-31,96.45,260134126.0,191435.8855,14.5038,1.4194,1.0
2019-04-30,92.75,222764934.0,184120.5732,13.9474,1.3649,1.0
2019-05-31,107.35,410068380.0,213133.4956,16.1429,1.5798,1.0
2019-06-30,108.4,195930766.0,215218.1734,16.3008,1.5952,1.0
2019-07-31,92.4,286832039.0,183498.9499,13.8947,1.3598,1.4
2019-08-31,82.9,252324345.0,164754.5598,12.4662,1.22,1.4
2019-09-30,90.4,250514793.0,179660.1139,13.594,1.3303,1.4
2019-10-31,83.8,364430305.0,166804.103,12.6015,1.2332,1.4
2019-11-30,88.9,283264226.0,177005.1103,13.3684,1.3082,1.4
2019-12-31,87.95,176298361.0,175215.4555,13.2256,1.2943,1.4
2020-01-31,91.35,276998230.0,182001.8762,13.7368,1.3443,1.4
2020-02-29,85.9,185393990.0,171152.5805,12.9173,1.2641,1.4
2020-03-31,41.05,446496719.0,81757.0641,5.17,0.5522,1.4
2020-04-30,48.8,484891141.0,97192.3198,6.1461,0.6565,1.4
2020-05-31,44.9,675861085.0,89444.6435,5.6549,0.604,1.4
2020-06-30,51.0,993443418.0,101609.3934,6.4232,0.6861,1.4
2020-07-31,53.9,817894262.0,107407.9221,6.7884,0.7251,1.4
2020-08-31,55.3,903276530.0,110204.3206,6.9647,0.7439,0.0
2020-09-30,48.6,773796360.0,96852.2601,6.1209,0.6538,0.0
2020-10-31,50.45,845307406.0,100579.9578,6.3539,0.6787,0.0
2020-11-30,62.8,927577112.0,125213.3752,7.9093,0.8448,0.0
2020-12-31,66.7,832096439.0,133055.5961,8.4005,0.8973,0.0
2021-01-31,72.3,799808842.0,144229.7308,9.1058,0.9726,0.0
2021-02-28,83.55,573658793.0,166678.1215,10.5227,1.124,0.0
2021-03-31,75.8,504652918.0,151227.8545,9.0887,0.9174,0.0
2021-04-30,80.1,507369108.0,159810.2321,9.6043,0.9695,0.0
2021-05-31,87.25,652286945.0,174085.6136,10.4616,1.056,0.0
2021-06-30,87.1,384362495.0,173787.5849,10.4436,1.0542,0.0
2021-07-31,87.45,438627920.0,174485.9298,10.4856,1.0584,0.7
2021-08-31,81.25,319961225.0,170716.8232,9.7422,0.9834,0.7
2021-09-30,84.3,296794387.0,177125.2701,10.1079,1.0203,0.7
2021-10-31,97.45,666932803.0,204755.1314,11.6847,1.1795,0.7
2021-11-30,86.8,355663008.0,182417.218,10.4077,1.0506,0.7
2021-12-31,83.0,301376173.0,174467.3697,9.952,1.0046,0.7
2022-01-31,100.6,425490622.0,211475.8065,12.0624,1.2176,0.7
2022-02-28,97.0,433512469.0,203918.0421,11.6307,1.174,0.7
2022-03-31,97.4,350757495.0,204788.0167,10.2311,1.0642,0.7
2022-04-30,96.0,282862727.0,201884.9251,10.084,1.0489,0.7
2022-05-31,88.85,330999495.0,186888.571,9.333,0.9708,0.7
2022-06-30,90.2,205388558.0,189728.1835,9.4748,0.9855,0.7
2022-07-31,106.65,317812492.0,224329.3877,11.2027,1.1653,1.8
2022-08-31,117.0,287359326.0,246332.61,12.2899,1.2784,1.8
2022-09-30,118.75,405903439.0,250479.7174,12.4737,1.2975,1.8
2022-10-31,131.5,360730197.0,277598.1849,13.813,1.4368,1.8
2022-11-30,131.45,218487451.0,277779.0751,13.8078,1.4362,1.8
2022-12-31,139.05,327231237.0,294005.7276,14.6061,1.5193,1.8
2023-01-31,134.45,364961483.0,284385.6865,14.1229,1.469,1.8
2023-02-28,129.15,179638546.0,273246.856,13.5662,1.4111,1.8
2023-03-31,132.3,187251255.0,279973.4112,8.8141,1.2664,1.8
2023-04-30,134.95,162307665.0,285634.3185,8.9907,1.2917,1.8
2023-05-31,125.25,314406948.0,265184.0244,8.3444,1.1989,1.8
2023-06-30,126.15,221765832.0,267047.5541,8.4044,1.2075,1.8
2023-07-31,135.65,520394069.0,318458.4752,9.0373,1.2984,1.8
2023-08-31,143.95,342498769.0,338060.888,9.5903,1.3779,1.0
2023-09-30,147.2,316111378.0,345905.7253,9.8068,1.409,1.0
2023-10-31,140.65,295792734.0,341124.0332,9.3704,1.3463,1.0
2023-11-30,147.35,234785321.0,358236.5965,9.8168,1.4104,1.0
2023-12-31,156.15,252377208.0,379817.8084,10.4031,1.4946,1.0
2024-01-31,147.3,360458173.0,358381.844,9.8135,1.4099,1.0
2024-02-29,150.4,384684200.0,366038.2428,10.02,1.4396,1.0
2024-03-31,150.2,257072369.0,365640.6111,8.9618,1.2157,1.0
2024-04-30,162.6,335952820.0,395945.8171,9.7017,1.3161,1.0
2024-05-31,162.05,318223211.0,395336.9512,9.6689,1.3116,1.0
2024-06-30,177.25,311954939.0,433668.2515,10.5758,1.4346,1.0
2024-07-31,201.39,440549236.0,492940.1983,12.0161,1.63,1.0
2024-08-31,194.7,192651258.0,476872.1765,11.6169,1.5759,1.2
2024-09-30,196.73,194937096.0,482129.4098,11.7381,1.5923,1.2
2024-10-31,203.91,335451314.0,499928.5115,12.1665,1.6504,1.2
2024-11-30,210.78,236643843.0,516916.1406,12.5764,1.706,1.2
2024-12-31,200.02,194172836.0,490719.5336,11.9344,1.6189,1.2
2025-01-31,187.21,211342183.0,459408.3552,11.17,1.5152,1.2
2025-02-28,177.62,117796605.0,435971.7861,10.5979,1.4376,1.2
2025-03-31,192.73,148477666.0,473120.4247,11.3504,1.3711,1.2
2025-04-30,196.68,189204092.0,482844.4146,11.583,1.3992,1.2
2025-05-31,202.06,184705262.0,496166.2823,11.8999,1.4375,1.2
2025-06-30,213.12,234180410.0,523424.2208,12.5512,1.5162,1.2
2025-07-31,202.43,161876242.0,497320.1043,11.9217,1.4401,1.2
2025-08-31,191.71,156254607.0,471160.4059,11.2903,1.3639,1.2
2025-09-30,192.93,115420395.0,474277.6045,11.3622,1.3726,1.2
2025-10-31,236.61,288541383.0,581706.9135,13.9346,1.6833,1.2
2025-11-30,257.92,172195433.0,634372.5534,15.1896,1.8349,1.2
2025-12-31,267.1,182868846.0,657355.2559,15.7303,1.9002,1.2
2026-01-31,287.75,283400852.0,708329.3859,16.9464,2.0471,1.2
2026-02-28,299.85,149963149.0,738369.3932,17.659,2.1332,1.2
2026-03-31,289.6,22080889.0,713129.1672,17.0554,2.0603,1.2
