FB IN Equity,price,volume,mc,pe,bm,div
1995-01-31,6.74,,,,,0.0
1995-02-28,6.87,,,,,0.0
1995-03-31,7.35,,,,,0.0
1995-04-30,6.36,,,,,0.0
1995-05-31,6.95,,,,,0.0
1995-06-30,6.72,,,,,0.0
1995-07-31,6.87,,,,,0.0
1995-08-31,5.7,,,,,0.0
1995-09-30,6.03,,,,,0.0
1995-10-31,5.98,,,,,0.0
1995-11-30,4.61,,,,,0.0
1995-12-31,4.53,,,,,0.0
1996-01-31,4.07,,,,,0.0
1996-02-29,4.96,,,,,0.0
1996-03-31,4.99,,,,,0.0
1996-04-30,5.9,,,,,0.0
1996-05-31,5.34,1740816.0,,,,0.0
1996-06-30,5.16,5921919.0,,,,0.0
1996-07-31,4.92,12413630.0,,,,0.0891
1996-08-31,4.6,4313530.0,,,,0.0891
1996-09-30,3.44,16031188.0,,,,0.0891
1996-10-31,3.23,4276278.0,,,,0.0891
1996-11-30,2.89,6910529.0,,,,0.0891
1996-12-31,2.32,13854460.0,,,,0.0891
1997-01-31,2.39,13272250.0,,,,0.0891
1997-02-28,2.55,4343749.0,,,,0.0891
1997-03-31,2.24,7681715.0,,4.2197,0.5899,0.0891
1997-04-30,2.23,6400938.0,,4.1957,0.5865,0.0891
1997-05-31,2.08,12034934.0,,3.92,0.548,0.0891
1997-06-30,2.23,13427902.0,,4.1957,0.5865,0.0891
1997-07-31,2.34,18026721.0,,4.4115,0.6167,0.0891
1997-08-31,1.98,31810763.0,,3.7402,0.5228,0.0891
1997-09-30,1.79,9024501.0,,3.3686,0.4709,0.0891
1997-10-31,1.79,8251351.0,,3.3686,0.4709,0.0891
1997-11-30,1.57,3774663.0,,2.961,0.4139,0.0891
1997-12-31,1.84,2955694.0,,3.4765,0.486,0.0891
1998-01-31,1.63,6680451.0,,3.0689,0.429,0.0891
1998-02-28,1.59,13081349.0,,2.9874,0.4176,0.0891
1998-03-31,1.95,59072888.0,,3.3729,0.4534,0.0891
1998-04-30,2.4,67022170.0,,4.1533,0.5583,0.0891
1998-05-31,2.24,25240734.0,,3.8755,0.5209,0.0891
1998-06-30,1.74,12103152.0,,3.0224,0.4062,0.0891
1998-07-31,1.85,34621769.0,,3.2076,0.4311,0.0763
1998-08-31,1.48,13329111.0,,2.5683,0.3452,0.0763
1998-09-30,1.49,10035039.0,,2.5837,0.3473,0.0763
1998-10-31,1.28,4662990.0,,2.2244,0.299,0.0763
1998-11-30,1.01,7638411.0,,1.7416,0.2341,0.0763
1998-12-31,1.05,3971261.0,913.3958,1.8165,0.2442,0.0763
1999-01-31,0.98,6727999.0,851.3203,1.6931,0.2276,0.0763
1999-02-28,0.91,3635634.0,791.4619,1.574,0.2116,0.0763
1999-03-31,0.9,14288879.0,785.9194,1.563,0.2101,0.0763
1999-04-30,0.75,4350154.0,654.0091,1.3007,0.1748,0.0763
1999-05-31,0.92,9833057.0,805.7106,1.5983,0.2148,0.0763
1999-06-30,0.87,2502335.0,755.701,1.4991,0.2015,0.0763
1999-07-31,1.0,5647396.0,870.1675,1.7261,0.232,0.0763
1999-08-31,1.06,9141250.0,923.5111,1.8319,0.2462,0.0254
1999-09-30,0.92,3016956.0,806.8219,1.6005,0.2151,0.0254
1999-10-31,1.12,5460308.0,981.3,1.9466,0.2616,0.0254
1999-11-30,0.98,2740076.0,855.7202,1.6975,0.2282,0.0254
1999-12-31,1.3,10401357.0,1133.5515,2.2486,0.3022,0.0254
2000-01-31,2.31,23686850.0,2020.3888,4.0078,0.5387,0.0254
2000-02-29,1.56,66234205.0,1359.1504,2.6961,0.3624,0.0254
2000-03-31,1.37,9679252.0,1198.0083,2.3765,0.3194,0.0254
2000-04-30,1.25,1710519.0,1089.0985,2.1604,0.2904,0.0254
2000-05-31,1.16,4754511.0,1008.7259,2.0061,0.2696,0.0636
