CBOI IN Equity,price,volume,mc,pe,bm,div
2007-08-31,106.07,158884832.0,50396.4311,,,0.0
2007-09-30,126.53,68432695.0,60115.9724,,,0.0
2007-10-31,109.6,48474909.0,52073.5667,,,0.0
2007-11-30,115.09,56105855.0,54680.2761,,,0.0
2007-12-31,115.56,34987336.0,54902.5537,,,0.0
2008-01-31,90.93,40643736.0,43202.672,,,0.0
2008-02-29,88.0,14773948.0,41808.3855,,,0.0
2008-03-31,73.92,22511991.0,35119.8521,,,0.0
2008-04-30,78.85,15186875.0,37463.8699,,,0.0
2008-05-31,70.77,10477264.0,33624.5305,,,0.0
2008-06-30,51.89,7754727.0,24652.6005,,,0.0
2008-07-31,49.68,12473254.0,23601.8339,,,1.7012
2008-08-31,50.19,7172222.0,23844.3185,,,1.7012
2008-09-30,41.68,11149744.0,19802.9086,,,1.7012
2008-10-31,30.2,8446852.0,14347.0052,,,1.7012
2008-11-30,28.37,7735548.0,13478.1021,,,1.7012
2008-12-31,36.15,25286696.0,17175.9921,,,1.7012
2009-01-31,33.05,12341583.0,15700.8775,,,1.7012
2009-02-28,28.45,11340029.0,13518.5162,,,1.7012
2009-03-31,28.92,23436433.0,13740.7937,,,1.7012
2009-04-30,36.24,26949253.0,17216.4062,,,1.7012
2009-05-31,64.73,27559656.0,30755.1294,,,1.7012
2009-06-30,80.09,40566722.0,38049.8743,,,1.7012
2009-07-31,86.17,20216869.0,40939.4824,,,1.7012
2009-08-31,86.85,7621411.0,41262.7952,,,1.7012
2009-09-30,136.52,47024413.0,64864.6291,,,1.7012
2009-10-31,113.43,30331140.0,53892.2012,,,1.7012
2009-11-30,127.72,31012835.0,60681.7698,,,1.7012
2009-12-31,138.86,13469227.0,65976.0168,,,1.7012
2010-01-31,127.59,11629961.0,60621.1487,,,1.7012
2010-02-28,126.53,10816846.0,60115.9724,,,1.7012
2010-03-31,124.66,8445056.0,59226.8623,,,1.7012
2010-04-30,137.25,16281255.0,65208.1489,,,1.7012
2010-05-31,123.59,17978002.0,58721.686,,,1.7012
2010-06-30,119.98,14355298.0,57004.0868,,,1.7012
2010-07-31,141.88,29129825.0,67410.7173,,,1.8713
2010-08-31,152.6,35841499.0,72502.8938,,,1.8713
2010-09-30,165.53,37724828.0,78645.8369,,,1.8713
2010-10-31,192.45,55731976.0,91436.8993,,,1.8713
2010-11-30,160.55,60586800.0,76281.6121,,,1.8713
2010-12-31,154.56,33981285.0,73432.4181,,,1.8713
2011-01-31,146.43,22849223.0,69572.8716,,,1.8713
2011-02-28,130.91,18425037.0,62197.2985,,,1.8713
2011-03-31,140.5,41705117.0,90850.8983,,,1.8713
2011-04-30,134.65,24505427.0,87065.5414,,,1.8713
2011-05-31,120.2,19170711.0,77722.0801,,,1.8713
2011-06-30,124.15,16616502.0,80276.175,,,1.8713
2011-07-31,116.2,18437767.0,75135.6548,,,2.3506
2011-08-31,99.15,19836086.0,64111.0169,,,2.3506
2011-09-30,102.7,15090507.0,66406.4694,,,2.3506
2011-10-31,108.05,8508867.0,69865.8132,,,2.3506
2011-11-30,89.8,12849282.0,58065.2478,,,2.3506
2011-12-31,65.8,9227642.0,42546.6961,,,2.3506
2012-01-31,84.95,24462280.0,54929.2072,,,1.5
2012-02-29,102.05,34417968.0,65986.1753,,,1.5
2012-03-31,100.85,16697427.0,65210.2477,,,1.5
2012-04-30,97.4,10201836.0,71697.6417,,,1.5
2012-05-31,76.7,25448118.0,56460.0525,,,1.5
2012-06-30,81.95,13222395.0,60324.6585,,,2.0
2012-07-31,71.8,19160643.0,52853.087,,,2.0
2012-08-31,65.65,12431613.0,48325.9772,,,2.0
2012-09-30,78.2,30879309.0,57564.2256,,,2.0
2012-10-31,69.65,22164209.0,51270.4388,,,2.0
2012-11-30,76.7,17239567.0,56460.0525,,,2.0
2012-12-31,83.85,21419573.0,61723.2778,,,2.0
2013-01-31,84.05,23847153.0,61870.5008,,,2.0
2013-02-28,71.0,6702706.0,52264.1946,,,2.0
2013-03-31,66.7,6884044.0,49098.8983,,,2.0
2013-04-30,71.0,5821498.0,74164.9689,,,2.0
2013-05-31,65.4,23378087.0,68315.3375,,,2.0
2013-06-30,61.8,5611142.0,64554.8527,,,2.5
2013-07-31,56.15,8813596.0,58652.9932,,,2.5
2013-08-31,51.0,6256130.0,53273.4221,,,2.5
2013-09-30,50.3,9861380.0,52542.2183,,,2.5
2013-10-31,54.6,11991999.0,57033.899,,,2.5
2013-11-30,52.2,30341429.0,54526.9144,,,2.5
2013-12-31,51.15,9783160.0,69074.9718,,,2.5
2014-01-31,45.7,10160953.0,61715.0774,,,2.5
2014-02-28,43.75,7292722.0,59081.7207,,,2.5
2014-03-31,49.85,12911508.0,67319.4007,,,2.5
2014-04-30,53.2,21395821.0,71843.3724,,,2.5
2014-05-31,74.95,61523963.0,101215.4279,,,2.5
2014-06-30,77.75,45092211.0,104996.658,,,2.5
2014-07-31,70.15,39057255.0,94733.3191,,,2.5
2014-08-31,64.2,17839541.0,91261.2639,,,0.0
2014-09-30,60.85,13315871.0,86499.1886,,,0.0
