TTLS IN Equity,price,volume,mc,pe,bm,div
2000-10-31,8.76,2118301.0,14193.803,,,0.0
2000-11-30,10.1,4431351.0,16372.0599,,,0.0
2000-12-31,9.32,1576061.0,15107.2655,,,0.0
2001-01-31,9.54,1713534.0,15458.5973,,,0.0
2001-02-28,9.84,2617905.0,15950.4617,,,0.0
2001-03-31,7.37,2909262.0,11945.2797,,1.2205,0.0
2001-04-30,7.72,1010849.0,12507.4366,,1.278,0.0
2001-05-31,9.71,2019421.0,15739.6955,,1.6082,0.0
2001-06-30,8.19,1708975.0,13280.3681,,1.3569,0.0
2001-07-31,7.85,1760467.0,12718.2361,,1.2995,0.0
2001-08-31,8.19,2686450.0,13280.3681,,1.3569,0.0
2001-09-30,7.63,1101436.0,12366.9036,,1.2636,0.0
2001-10-31,7.11,1187125.0,11523.7056,,1.1774,0.0
2001-11-30,7.63,1251014.0,12366.9036,,1.2636,0.0
2001-12-31,6.85,906724.0,11102.1067,,1.1344,0.0
2002-01-31,6.07,1060037.0,9837.3097,,1.0051,0.0
2002-02-28,6.37,2343969.0,10329.1752,,1.0554,0.0
2002-03-31,6.07,1192154.0,9837.3097,,1.1849,0.0
2002-04-30,5.94,8456308.0,9626.5102,,1.1595,0.0
2002-05-31,5.72,5593006.0,9275.1777,,1.1172,0.0
2002-06-30,5.81,76346469.0,9415.7107,,1.1341,0.0
2002-07-31,5.68,14004798.0,9204.9112,,1.1088,0.0
2002-08-31,5.81,8857872.0,9415.7107,,1.1341,0.0
2002-09-30,5.59,2856194.0,9064.3782,,1.0918,0.0
2002-10-31,5.16,1160020.0,8361.7132,,1.0072,0.0
2002-11-30,4.9,753706.0,7940.1143,,0.9564,0.0
2002-12-31,5.42,2172739.0,8783.3122,,1.058,0.0
2003-01-31,5.16,1905939.0,8361.7132,,1.0072,0.0
2003-02-28,4.81,1477106.0,7799.5813,,0.9395,0.0
2003-03-31,3.77,1113394.0,6113.1853,,1.3603,0.0
2003-04-30,4.2,643289.0,6815.8503,,1.5166,0.0
2003-05-31,5.11,1629112.0,8291.4467,,1.8449,0.0
2003-06-30,6.88,6968178.0,11158.3199,,2.4829,0.0
2003-07-31,8.57,14921277.0,13898.7133,,3.0926,0.0
2003-08-31,12.21,49342813.0,19787.0458,,4.4028,0.0
2003-09-30,11.94,10698055.0,19351.3935,,4.3059,0.0
2003-10-31,11.14,6825786.0,18058.4899,,4.0182,0.0
2003-11-30,16.44,59955473.0,26645.056,,5.9288,0.0
2003-12-31,19.76,39267628.0,32041.523,,7.1296,0.0
2004-01-31,16.6,26070976.0,26912.0687,,5.9883,0.0
2004-02-29,15.56,10420442.0,25225.6727,,5.613,0.0
2004-03-31,14.04,8796968.0,22793.0777,,6.381,0.0
2004-04-30,16.47,13661790.0,26732.6219,,7.4839,0.0
2004-05-31,15.82,47331322.0,25677.3846,,7.1885,0.0
2004-06-30,15.56,25827557.0,25255.2906,,7.0704,0.0
2004-07-31,16.08,34219657.0,26099.4786,,7.3067,0.0
2004-08-31,15.6,23653241.0,25325.6396,,7.09,0.0
2004-09-30,15.73,32718349.0,25536.6866,,7.1491,0.0
2004-10-31,15.52,35152140.0,25184.9417,,7.0507,0.0
2004-11-30,15.13,21537027.0,24559.4968,,6.8734,0.0
2004-12-31,28.43,295527427.0,46163.4095,,12.9196,0.0
2005-01-31,26.18,667642516.0,42504.1148,,11.8955,0.0
2005-02-28,26.44,476310074.0,43269.0901,,12.0137,0.0
2005-03-31,22.11,304701927.0,37162.6111,,9.4534,0.0
2005-04-30,21.76,198196478.0,37423.4566,,,0.0
2005-05-31,22.45,118438908.0,38713.0101,,,0.0
2005-06-30,22.41,171318445.0,38638.2746,,,0.0
2005-07-31,26.61,490364303.0,45942.2464,,,0.0
2005-08-31,25.75,265377403.0,44445.7563,,,0.0
2005-09-30,26.57,449421275.0,45999.3943,,,0.0
2005-10-31,23.49,165075881.0,40733.2849,,,0.0
2005-11-30,24.06,188718698.0,42169.4616,,,0.0
2005-12-31,24.1,265394471.0,42253.5465,,,0.0
2006-01-31,22.93,112599434.0,40201.6656,,,0.0
2006-02-28,21.45,73664427.0,37633.227,,,0.0
2006-03-31,20.63,116694405.0,36189.9337,,,0.0
2006-04-30,20.76,77931331.0,34973.4653,,,0.0
2006-05-31,17.94,158501001.0,31476.1188,,,0.0
2006-06-30,18.03,167419916.0,31628.1773,,,0.0
2006-07-31,16.25,67274865.0,28510.9772,,,0.0
2006-08-31,16.34,65010334.0,28663.0357,,,0.0
2006-09-30,16.99,140218602.0,29803.4748,,,0.0
2006-10-31,16.59,93542735.0,34018.538,,,0.0
2006-11-30,15.4,113417214.0,31575.7175,,,0.0
2006-12-31,16.9,104765483.0,34651.8619,,,0.0
2007-01-31,21.18,285751944.0,43427.9209,,,0.0
2007-02-28,19.28,334199171.0,39537.503,,,0.0
2007-03-31,18.62,170881790.0,38180.3805,,,0.0
2007-04-30,25.5,407029085.0,52294.4547,,,0.0
2007-05-31,23.96,614226742.0,49127.8355,,,0.0
2007-06-30,24.97,243635901.0,51208.7567,,,0.0
2007-07-31,25.24,487917039.0,51751.6057,,,0.0
2007-08-31,28.15,686396453.0,57780.7909,,,0.0
2007-09-30,38.38,1479875478.0,78791.9875,,,0.0
2007-10-31,39.97,1544388337.0,84188.9164,,,0.0
2007-11-30,42.66,1284516189.0,90896.2294,,,0.0
2007-12-31,54.97,1338507697.0,117121.6957,,,0.0
2008-01-31,30.66,784290209.0,65791.2732,,,0.0
2008-02-29,31.1,518881170.0,66737.9102,,,0.0
2008-03-31,24.79,375462256.0,53201.4981,,,0.0
2008-04-30,31.63,483895171.0,67884.2681,,,0.0
2008-05-31,27.75,439131038.0,59666.6582,,,0.0
2008-06-30,21.26,266935658.0,45722.3041,,,0.0
2008-07-31,21.93,226330428.0,47145.1973,,,0.0
2008-08-31,23.38,251352065.0,50275.5626,,,0.0
2008-09-30,19.19,188944776.0,41263.9051,,,0.0
2008-10-31,11.96,131177566.0,25706.9386,,,0.0
2008-11-30,17.38,322827596.0,37374.6635,,,0.0
2008-12-31,19.19,111042126.0,41263.9051,,,0.0
2009-01-31,19.99,127394915.0,42971.3771,,,0.0
2009-02-28,20.82,128543996.0,44773.7085,,,0.0
2009-03-31,20.16,216666437.0,43350.8153,,,0.0
2009-04-30,21.26,55187454.0,45722.3041,,,0.0
2009-05-31,29.12,119457004.0,62607.3043,,,0.0
2009-06-30,31.68,410355539.0,68109.3731,,,0.0
2009-07-31,30.49,242411510.0,65548.1571,,,0.0
2009-08-31,29.74,123721735.0,63935.5396,,,0.0
2009-09-30,31.99,156254691.0,68773.392,,,0.0
2009-10-31,23.34,108338884.0,50180.8612,,,0.0
2009-11-30,22.68,73531384.0,48757.9635,,,0.0
2009-12-31,23.6,69455671.0,50750.0203,,,0.0
2010-01-31,22.32,126414793.0,47999.0846,,,0.0
2010-02-28,20.51,55342757.0,44109.8307,,,0.0
2010-03-31,20.87,68726417.0,44868.7096,,,0.0
2010-04-30,20.51,59304140.0,44109.8307,,,0.0
2010-05-31,17.34,50891262.0,37279.9215,,,0.0
2010-06-30,19.68,108613280.0,42307.4936,,,0.0
2010-07-31,19.85,85012216.0,42686.933,,,0.0
2010-08-31,19.76,174796419.0,42497.2133,,,0.0
2010-09-30,19.5,73044982.0,41928.0542,,,0.0
2010-10-31,19.85,136728532.0,42686.933,,,0.0
2010-11-30,17.21,67371376.0,36995.3419,,,0.0
2010-12-31,17.12,36505707.0,36805.6222,,,0.0
2011-01-31,15.18,49664034.0,32631.7888,,,0.0
2011-02-28,12.97,59950652.0,27888.7962,,,0.0
2011-03-31,15.09,52757867.0,32442.0691,65.7692,,0.0
2011-04-30,16.32,107087573.0,35098.1449,71.1538,,0.0
2011-05-31,13.72,42534316.0,29501.4137,59.8077,,0.0
2011-06-30,17.03,126092712.0,36615.9025,74.2308,,0.0
2011-07-31,19.54,147564668.0,42022.914,85.1923,,0.0
2011-08-31,16.59,90928267.0,35667.304,72.3077,,0.0
2011-09-30,15.04,63048023.0,32347.2092,65.5769,,0.0
2011-10-31,15.57,41603507.0,33485.5274,67.8846,,0.0
2011-11-30,12.66,46660632.0,27224.7773,55.1923,,0.0
2011-12-31,10.5,40373304.0,22576.6446,45.7692,,0.0
2012-01-31,13.94,54309974.0,29975.7129,60.7692,,0.0
2012-02-29,13.94,72476300.0,29975.7129,60.7692,,0.0
2012-03-31,12.93,48370461.0,27793.9346,54.4231,,0.0
2012-04-30,12.18,25077597.0,26181.3172,,,0.0
2012-05-31,11.38,19363767.0,24473.84,,,0.0
2012-06-30,12.49,35367709.0,26845.3361,,,0.0
2012-07-31,11.34,38378675.0,24378.9802,,,0.0
2012-08-31,9.4,26043932.0,20205.147,,,0.0
2012-09-30,10.41,59897990.0,22386.9234,,,0.0
2012-10-31,9.57,30140151.0,20584.5864,,,0.0
2012-11-30,10.99,54489613.0,23620.1014,,,0.0
2012-12-31,10.54,26779267.0,22671.5029,,,0.0
2013-01-31,10.32,55069532.0,22197.2037,,,0.0
2013-02-28,8.6,20260644.0,18497.6698,,,0.0
2013-03-31,6.93,23377821.0,14892.9957,,,0.0
2013-04-30,7.5,17650247.0,16126.1736,,,0.0
2013-05-31,6.62,88488919.0,14228.9767,,,0.0
2013-06-30,5.56,97685780.0,11952.3405,,,0.0
2013-07-31,5.82,36322946.0,12521.4995,,,0.0
2013-08-31,5.85,20026066.0,11436.3272,,,0.0
2013-09-30,6.8,53956725.0,13293.5086,,,0.0
2013-10-31,7.0,58240803.0,13684.4941,,,0.0
2013-11-30,6.8,35161939.0,13293.5086,,,0.0
2013-12-31,7.4,34742616.0,14466.4652,,,0.0
2014-01-31,7.2,80096102.0,14075.4797,,,0.0
2014-02-28,7.4,26991045.0,14466.4652,,,0.0
2014-03-31,7.4,25827737.0,14466.4652,,,0.0
2014-04-30,8.95,101285856.0,17496.6032,,,0.0
2014-05-31,11.0,159650648.0,21504.2051,,,0.0
2014-06-30,11.85,141658535.0,23165.8937,,,0.0
2014-07-31,11.75,143084053.0,22970.4009,,,0.0
2014-08-31,11.05,82150871.0,21601.9515,,,0.0
2014-09-30,10.05,91229479.0,19647.0237,,,0.0
2014-10-31,9.25,29609219.0,18083.0815,,,0.0
2014-11-30,8.65,36171138.0,16910.1249,,,0.0
2014-12-31,7.6,30947143.0,14857.4508,,,0.0
2015-01-31,9.15,118791402.0,17887.5888,,,0.0
2015-02-28,8.65,34967073.0,16910.127,,,0.0
2015-03-31,7.85,54766995.0,15346.1827,,,0.0
2015-04-30,7.6,46866447.0,14857.4508,,,0.0
2015-05-31,7.1,22940595.0,13879.9869,,,0.0
2015-06-30,6.6,25764056.0,12902.523,,,0.0
2015-07-31,7.55,60525413.0,14759.7044,,,0.0
2015-08-31,6.5,38209951.0,12707.0303,,,0.0
