NTPCGREE IN Equity,price,volume,mc,pe,bm,div
2024-11-30,124.84,607335480.0,1051942.996,,,0.0
2024-12-31,127.19,653587761.0,1071744.871,,,0.0
2025-01-31,114.91,269843114.0,968269.5423,,,0.0
2025-02-28,87.27,225077486.0,735365.7902,,,0.0
2025-03-31,100.61,228561321.0,847773.028,150.1642,4.5974,0.0
2025-04-30,100.55,222238118.0,847267.4482,150.0746,4.5946,0.0
2025-05-31,111.26,343861737.0,937513.439,166.0597,5.084,0.0
2025-06-30,104.69,309151317.0,882152.453,156.2537,4.7838,0.0
2025-07-31,104.27,213455640.0,878613.3946,155.6269,4.7646,0.0
2025-08-31,102.95,86049353.0,867490.6394,153.6567,4.7043,0.0
2025-09-30,97.21,149964154.0,819123.5071,145.0896,4.442,0.0
2025-10-31,103.14,113339392.0,869091.6421,153.9403,4.713,0.0
2025-11-30,94.95,75416261.0,800080.0021,141.7164,4.3387,0.0
2025-12-31,94.55,92190813.0,796709.4702,141.1194,4.3205,0.0
2026-01-31,86.17,88199013.0,726096.8276,128.6119,3.9375,0.0
2026-02-28,90.14,77602072.0,759549.3564,134.5373,4.119,0.0
2026-03-31,87.3,10220546.0,735618.6058,130.2985,3.9892,0.0
