BATA IN Equity,price,volume,mc,pe,bm,div
1995-01-31,91.12,,,,,0.0
1995-02-28,82.01,,,,,0.0
1995-03-31,66.06,,3728.5301,,,0.0
1995-04-30,52.39,,2957.1101,,,0.0
1995-05-31,44.65,,2519.9721,,,0.0
1995-06-30,35.54,,2005.6921,,,0.0
1995-07-31,37.59,,2121.4051,,,0.0
1995-08-31,27.34,,1542.84,,,0.0
1995-09-30,34.17,,1928.5501,,,0.0
1995-10-31,33.26,,1877.1221,,,0.0
1995-11-30,29.61,,1671.41,,,0.0
1995-12-31,31.89,,1799.98,,,0.0
1996-01-31,26.2,,1478.555,,,0.0
1996-02-29,29.16,,1645.696,,,0.0
1996-03-31,29.39,,1658.553,,,0.0
1996-04-30,36.45,,2057.1201,,,0.0
1996-05-31,33.49,39729.0,1889.9791,,,0.0
1996-06-30,40.09,114359.0,2262.8321,,,0.0
1996-07-31,36.56,67167.0,2063.5486,,,0.0
1996-08-31,33.26,46810.0,1877.1221,,,0.0
1996-09-30,26.77,21625.0,1510.6975,,,0.0
1996-10-31,20.73,546268.0,1169.987,,,0.0
1996-11-30,19.59,26228.0,1105.702,,,0.0
1996-12-31,17.88,111424.0,1009.2745,,,0.0
1997-01-31,31.66,1381106.0,1787.123,,,0.0
1997-02-28,28.7,295078.0,1619.982,,,0.0
1997-03-31,30.07,809743.0,3393.7861,,,0.0
1997-04-30,44.19,2276371.0,4987.8371,,,0.0
1997-05-31,46.24,5568181.0,5219.2316,,,0.0
1997-06-30,46.24,529487.0,5219.2316,,,0.0
1997-07-31,69.59,2242901.0,7854.558,,,0.0
1997-08-31,60.25,903765.0,6800.4274,,,0.0
1997-09-30,62.19,501793.0,7018.9667,,,0.0
1997-10-31,68.11,921924.0,7828.8475,,,0.0
1997-11-30,58.66,261320.0,6620.4539,,,0.0
1997-12-31,76.54,744291.0,8638.7282,,,0.0
1998-01-31,65.83,2399522.0,7430.3347,,,0.0
1998-02-28,69.93,1378181.0,7893.1237,,,0.0
1998-03-31,71.25,2683229.0,8042.2446,,,0.0
1998-04-30,66.47,2100686.0,7502.3241,,,0.0
1998-05-31,73.67,1109086.0,8314.7759,,,0.0
1998-06-30,61.82,739813.0,6977.8299,,,0.0
1998-07-31,101.46,5248663.0,11451.457,,,0.0
1998-08-31,92.07,2083201.0,10392.1844,,,0.0
1998-09-30,109.61,2928138.0,12371.8929,,,0.0
1998-10-31,95.95,2171567.0,10829.2629,,,0.0
1998-11-30,95.72,992232.0,10803.5524,,,0.0
1998-12-31,88.93,1333012.0,10037.3795,,,0.0
1999-01-31,88.79,2371936.0,10021.9532,,,0.0
1999-02-28,106.2,2305963.0,11986.2354,,,0.0
1999-03-31,127.79,2485087.0,14423.8712,,,0.0
1999-04-30,91.21,867449.0,10294.6846,,,0.0
1999-05-31,100.87,862168.0,11384.831,,,0.0
1999-06-30,97.93,710157.0,11053.1591,,,0.0
1999-07-31,82.94,2062480.0,9361.3753,,,0.0
1999-08-31,91.55,4056936.0,10333.2511,,,0.0
1999-09-30,73.58,5883089.0,8304.6531,,,0.0
1999-10-31,64.69,6401766.0,7301.9241,,,0.0
1999-11-30,64.24,5475866.0,7250.5021,,,0.0
1999-12-31,62.87,5669541.0,7096.2361,,,0.0
2000-01-31,65.6,7045763.0,7404.7681,,,0.0
2000-02-29,54.67,2223518.0,6170.6401,,,0.0
2000-03-31,49.66,3590150.0,5604.9981,,,0.0
2000-04-30,39.07,1590479.0,4409.4366,,,0.0
2000-05-31,34.85,1547359.0,3933.7831,,,0.6834
2000-06-30,30.57,1927653.0,3450.4163,,,0.6834
2000-07-31,27.2,5256376.0,3069.8935,,,0.6834
2000-08-31,25.47,2754851.0,2874.4898,,,0.6834
2000-09-30,21.8,2442509.0,2460.5427,,,0.6834
2000-10-31,20.14,1051343.0,2272.8524,,,0.6834
2000-11-30,25.54,2718230.0,2882.0687,,,0.6834
2000-12-31,29.54,9456081.0,3334.5612,,,0.6834
2001-01-31,28.77,5789729.0,3247.1478,,,0.6834
2001-02-28,26.67,9860403.0,3010.6177,,,0.6834
2001-03-31,19.23,4330775.0,2169.9072,,,0.6834
2001-04-30,16.61,1840734.0,1874.2445,,,0.6834
2001-05-31,18.75,13148370.0,2116.0194,,,0.6834
2001-06-30,15.6,2665383.0,1761.2069,,,0.6834
2001-07-31,15.03,436117.0,1696.9293,,,0.6834
2001-08-31,18.36,1758312.0,2072.3106,,,0.6834
2001-09-30,15.35,1774380.0,1732.9248,,,0.6834
2001-10-31,15.15,1039641.0,1709.7848,,,0.6834
2001-11-30,17.06,2662995.0,1925.7576,,,0.6834
2001-12-31,16.1,1718653.0,1817.7712,45.6718,,0.6834
2002-01-31,15.22,506772.0,1717.4981,43.1525,,0.6834
2002-02-28,15.44,2260053.0,1743.2092,43.7985,,0.6834
2002-03-31,19.2,5308101.0,2167.4415,54.4574,,0.6834
2002-04-30,18.2,2767031.0,2054.3129,51.615,,0.6834
2002-05-31,16.04,813130.0,1810.0579,45.478,,0.3417
2002-06-30,19.64,4662449.0,2216.2925,55.6848,,0.3417
