GP IN Equity,price,volume,mc,pe,bm,div
2004-09-30,28.67,453360.0,4472.5238,8.3766,1.5219,1.2667
2004-10-31,29.41,245070.0,4587.9505,8.5927,1.5612,1.2667
2004-11-30,31.17,247380.0,4862.4788,9.1069,1.6546,1.2667
2004-12-31,34.75,568770.0,5419.8545,10.1508,1.8443,1.2667
2005-01-31,40.95,2531520.0,6386.9429,11.962,2.1734,1.2667
2005-02-28,37.42,1255080.0,5836.3264,10.9308,1.986,1.2667
2005-03-31,50.54,9628515.0,7883.8501,12.1003,2.3679,1.2667
2005-04-30,53.93,1072950.0,8412.6291,12.9119,2.5268,1.2667
2005-05-31,54.89,461115.0,8561.8519,13.1409,2.5716,1.2667
2005-06-30,50.76,478020.0,7917.6462,12.1522,2.3781,1.2667
2005-07-31,50.89,384615.0,7938.4438,12.1841,2.3843,1.2667
2005-08-31,57.82,1222455.0,9018.3592,13.8416,2.7087,1.2667
2005-09-30,66.33,2735415.0,10346.8059,15.8805,3.1077,1.4667
2005-10-31,69.39,1508400.0,10824.1108,16.6131,3.251,1.4667
2005-11-30,96.44,943305.0,15042.9039,23.0882,4.5182,1.4667
2005-12-31,93.33,1799145.0,14558.3199,22.3445,4.3726,1.4667
2006-01-31,102.16,2284275.0,15935.121,24.4576,4.7861,1.4667
2006-02-28,94.97,670035.0,14814.1303,22.7371,4.4495,1.4667
2006-03-31,97.69,1038405.0,15238.4014,23.6236,4.1629,1.4667
2006-04-30,103.33,1080465.0,15828.0133,24.9875,4.4032,1.4667
2006-05-31,92.37,1184565.0,14408.5771,22.3372,3.9362,1.4667
2006-06-30,89.71,752460.0,13992.6251,21.6923,3.8225,1.4667
2006-07-31,79.67,615360.0,12427.0858,19.2653,3.3949,1.4667
2006-08-31,76.31,286215.0,11902.4664,18.452,3.2515,1.4667
2006-09-30,70.05,485010.0,10927.0589,16.9399,2.9851,1.5
2006-10-31,69.0,2555220.0,10762.7579,16.6852,2.9402,1.5
2006-11-30,92.62,1564935.0,14447.0527,22.3968,3.9467,1.5
2006-12-31,89.1,3531660.0,13897.4761,21.5448,3.7966,1.5
2007-01-31,94.56,610965.0,14749.1378,22.8651,4.0292,1.5
2007-02-28,82.47,743835.0,12864.3554,19.9432,3.5143,1.5
2007-03-31,76.9,691350.0,11994.4957,13.4814,2.8248,1.5
2007-04-30,101.38,2123190.0,15813.455,17.7738,3.7242,1.5
2007-05-31,101.22,1982445.0,15787.9779,17.7452,3.7182,1.5
2007-06-30,95.31,804780.0,14866.6443,16.7096,3.5012,1.5
2007-07-31,87.75,672270.0,13686.9004,15.3836,3.2234,1.5
2007-08-31,85.0,542655.0,13258.4699,14.9021,3.1225,1.6667
2007-09-30,100.04,1065870.0,15604.7397,17.5389,3.675,1.6667
2007-10-31,101.02,1377690.0,15757.605,17.7107,3.711,1.6667
2007-11-30,99.97,1977135.0,15593.8207,17.5266,3.6724,1.6667
2007-12-31,103.09,1140165.0,16079.974,18.073,3.7869,1.6667
2008-01-31,89.68,2550090.0,13988.2151,15.722,3.2943,1.6667
2008-02-29,86.29,463005.0,13459.4259,15.1277,3.1698,1.6667
2008-03-31,86.1,1102410.0,13430.8287,10.8007,2.5901,1.6667
2008-04-30,94.33,1212150.0,14714.5852,11.8331,2.8376,1.6667
2008-05-31,95.29,322140.0,14864.3308,11.9535,2.8665,1.6667
2008-06-30,85.06,1196790.0,13268.0843,10.6698,2.5587,1.6667
2008-07-31,93.81,1311045.0,14633.4724,11.7679,2.822,1.6667
2008-08-31,98.33,4729920.0,15338.5252,12.3348,2.958,1.6667
2008-09-30,94.27,336465.0,14704.1862,11.8247,2.8356,1.6667
2008-10-31,73.33,1588890.0,11438.9002,9.1989,2.2059,1.6667
2008-11-30,56.25,175650.0,8774.1564,7.0559,1.6921,1.6667
2008-12-31,60.0,427515.0,9359.6201,7.5268,1.805,1.6667
2009-01-31,58.5,651135.0,9125.1226,7.3382,1.7597,1.6667
2009-02-28,46.66,759930.0,7278.2602,5.853,1.4036,1.6667
2009-03-31,48.58,316020.0,7578.2714,6.981,1.2701,1.6667
2009-04-30,62.41,523290.0,9734.5041,8.9673,1.6314,1.6667
2009-05-31,70.17,4164600.0,10945.4683,10.0829,1.8344,1.6667
2009-06-30,81.9,3296130.0,12775.1717,11.7684,2.141,1.6667
2009-07-31,117.86,1715040.0,18383.8724,16.9351,3.081,1.6667
2009-08-31,105.17,662970.0,16405.4627,15.1126,2.7494,1.6667
2009-09-30,121.53,1695690.0,18956.8567,17.4629,3.177,1.6667
2009-10-31,117.3,1345560.0,18296.5202,16.8546,3.0663,1.6667
2009-11-30,120.14,311205.0,18740.0382,17.2631,3.1407,1.6667
2009-12-31,133.54,663375.0,20830.2372,19.1886,3.491,1.6667
2010-01-31,129.21,726255.0,20155.3415,18.5669,3.3779,1.6667
2010-02-28,120.34,761205.0,18771.2352,17.2919,3.1459,1.6667
2010-03-31,132.57,622830.0,20678.4118,17.9695,3.0345,1.6667
2010-04-30,126.67,343365.0,19758.1003,17.1697,2.8994,1.6667
2010-05-31,122.33,390510.0,19082.1653,16.5823,2.8003,1.6667
2010-06-30,119.93,1083870.0,18707.8013,16.257,2.7453,1.6667
2010-07-31,123.33,540750.0,19238.1503,16.7179,2.8231,1.6667
2010-08-31,116.59,287505.0,18186.8114,15.8043,2.6689,1.6667
2010-09-30,117.02,1114800.0,18253.8849,15.8626,2.6787,1.6667
2010-10-31,113.33,1536390.0,17677.2604,15.3615,2.5941,1.6667
2010-11-30,130.26,2437785.0,20318.6064,17.6568,2.9817,1.6667
2010-12-31,138.29,804270.0,21571.1673,18.7453,3.1655,1.6667
2011-01-31,131.6,385035.0,20527.6263,17.8384,3.0124,1.6667
2011-02-28,130.41,225855.0,20342.5235,17.6776,2.9852,1.6667
2011-03-31,128.09,338160.0,19980.6389,12.0268,2.4812,1.6667
2011-04-30,136.66,688755.0,21317.4297,12.8314,2.6472,1.6667
2011-05-31,140.69,100155.0,21945.0107,13.2092,2.7251,1.6667
2011-06-30,189.13,1085895.0,29501.9635,17.7579,3.6636,1.6667
2011-07-31,200.12,1619700.0,31216.24,18.7897,3.8764,1.6667
2011-08-31,215.13,1549500.0,33557.0529,20.1987,4.1671,1.6667
2011-09-30,225.14,1797840.0,35117.9442,21.1383,4.361,2.3333
2011-10-31,231.77,652050.0,36153.1653,21.7614,4.4895,2.3333
2011-11-30,190.0,505290.0,29637.1505,17.8393,3.6804,2.3333
2011-12-31,167.87,476250.0,26185.203,15.7615,3.2517,2.3333
2012-01-31,192.67,334005.0,30053.1105,18.0896,3.732,2.3333
2012-02-29,185.46,460530.0,28929.4979,17.4133,3.5925,2.3333
2012-03-31,213.31,1227825.0,33273.0394,18.3322,3.5546,2.3333
2012-04-30,246.37,1398090.0,38429.2856,21.1731,4.1054,2.3333
2012-05-31,210.73,712080.0,32870.6065,18.1105,3.5116,2.3333
2012-06-30,235.27,477690.0,36698.406,20.2194,3.9205,2.3333
2012-07-31,214.91,191565.0,33522.09,18.4694,3.5812,2.3333
2012-08-31,213.35,215325.0,33279.28,18.3356,3.5553,2.6667
2012-09-30,232.68,1047765.0,36294.4113,19.9968,3.8774,2.6667
2012-10-31,221.3,155685.0,34519.3368,19.0188,3.6877,2.6667
2012-11-30,212.87,414405.0,33203.8887,18.2941,3.5472,2.6667
2012-12-31,232.71,1385805.0,36298.5696,19.9991,3.8778,2.6667
2013-01-31,224.69,203940.0,35048.1139,19.3102,3.7442,2.6667
2013-02-28,201.05,683295.0,31360.7014,17.2786,3.3503,2.6667
2013-03-31,181.84,1318110.0,28363.2473,16.6823,2.6823,2.6667
2013-04-30,161.6,1743075.0,25206.6909,14.8257,2.3838,2.6667
2013-05-31,209.75,2069205.0,32717.2242,19.2431,3.0941,2.6667
2013-06-30,193.49,539880.0,30180.3905,17.7511,2.8542,2.6667
2013-07-31,198.51,379110.0,30963.4196,18.2116,2.9282,2.6667
2013-08-31,179.58,604365.0,28011.7235,16.4755,2.6491,2.6667
2013-09-30,170.17,118905.0,26543.4159,15.6119,2.5102,2.6667
2013-10-31,175.05,104865.0,27305.1268,16.0599,2.5822,2.6667
2013-11-30,174.53,301020.0,27223.4951,16.0119,2.5745,2.6667
2013-12-31,173.6,1017675.0,27078.4327,15.9266,2.5608,2.6667
2014-01-31,169.66,1699515.0,26463.8633,15.5651,2.5027,2.6667
2014-02-28,220.68,9213270.0,34421.5325,20.2456,3.2552,2.6667
2014-03-31,213.68,731085.0,33330.7014,18.9884,2.8144,2.6667
2014-04-30,218.65,385245.0,34105.4108,19.4298,2.8798,2.6667
2014-05-31,206.17,1895550.0,32158.2385,18.3205,2.7154,2.6667
2014-06-30,188.77,1308210.0,29444.6766,16.7746,2.4863,2.6667
2014-07-31,176.81,1992540.0,27579.1328,15.7118,2.3287,2.6667
2014-08-31,179.75,1828350.0,28038.2411,15.9733,2.3675,2.6667
2014-09-30,189.4,3165480.0,29543.465,16.8309,2.4946,2.6667
2014-10-31,198.6,798330.0,30977.456,17.6478,2.6157,2.6667
2014-11-30,205.48,3633768.0,32051.6516,18.2598,2.7064,2.6667
2014-12-31,199.33,1844316.0,31092.3638,17.7133,2.6254,2.6667
2015-01-31,196.87,858267.0,30707.6088,17.4941,2.5929,2.6667
2015-02-28,156.5,1938699.0,24411.1828,13.907,2.0612,2.6667
2015-03-31,140.5,2941425.0,21915.437,11.9541,1.6695,2.6667
2015-04-30,162.62,702921.0,25365.2336,13.8358,1.9323,2.6667
2015-05-31,165.57,288243.0,25825.3798,14.0868,1.9674,2.6667
2015-06-30,152.6,1014906.0,23802.8163,12.9836,1.8133,2.6667
2015-07-31,186.85,4246836.0,29145.1915,15.8976,2.2203,2.6667
2015-08-31,183.42,2747736.0,28609.6541,15.6055,2.1795,2.6667
2015-09-30,213.45,1569951.0,33294.3063,18.1608,2.5364,2.6667
2015-10-31,313.25,12038943.0,48861.2857,26.652,3.7223,2.6667
2015-11-30,471.9,18833211.0,73607.7884,40.1503,5.6075,2.6667
2015-12-31,456.12,27868836.0,71145.8796,38.8074,5.42,2.6667
2016-01-31,407.52,18282522.0,63565.1694,34.6724,4.8425,2.6667
2016-02-29,358.03,13062786.0,55846.6688,30.4623,4.2545,2.6667
2016-03-31,396.15,11744334.0,61792.1702,36.422,3.9211,2.6667
2016-04-30,301.73,17096847.0,47064.8958,27.7413,2.9865,2.6667
2016-05-31,295.4,12716283.0,46077.0113,27.1591,2.9239,2.6667
2016-06-30,290.37,4615905.0,45291.9032,26.6963,2.874,2.6667
2016-07-31,396.15,25020528.0,61792.1702,36.422,3.9211,2.6667
2016-08-31,402.45,9154674.0,62774.8586,37.0012,3.9834,2.6667
2016-09-30,428.87,18291963.0,66895.3767,39.43,4.2449,2.6667
2016-10-31,479.6,11363040.0,74808.8544,44.0944,4.7471,2.6667
2016-11-30,309.65,12517050.0,48299.7514,28.4692,3.0649,2.6667
2016-12-31,340.63,13020324.0,53132.5862,31.3178,3.3716,2.6667
2017-01-31,336.9,8755338.0,52550.2543,30.9746,3.3346,2.6667
2017-02-28,345.5,5556579.0,53891.6974,31.7652,3.4197,2.6667
2017-03-31,377.7,17730405.0,58914.31,42.9367,3.5481,2.6667
2017-04-30,397.8,9415644.0,62049.5434,45.2217,3.7369,2.6667
2017-05-31,409.57,12422874.0,63884.9287,46.5593,3.8475,2.6667
2017-06-30,419.87,10513101.0,65491.5408,47.7302,3.9442,2.6667
2017-07-31,376.87,11537541.0,58784.3252,42.842,3.5403,2.6667
2017-08-31,340.9,19550718.0,53174.1813,38.7533,3.2024,2.6667
2017-09-30,336.07,11775240.0,52420.2695,38.2039,3.157,2.6667
2017-10-31,335.87,5834961.0,52389.0732,38.1811,3.1551,2.6667
2017-11-30,334.53,8589978.0,52181.0991,38.0296,3.1426,2.6667
2017-12-31,329.0,5229354.0,51318.0,37.4005,3.0906,2.6667
2018-01-31,307.57,8453910.0,47974.7909,34.964,2.8893,2.6667
2018-02-28,291.05,9089691.0,45398.4912,33.0864,2.7341,2.6667
2018-03-31,273.75,6414036.0,42700.0068,26.8382,2.381,2.6667
2018-04-30,293.65,7637400.0,45804.0438,28.7892,2.5541,2.6667
2018-05-31,251.1,6345864.0,39167.0199,24.6176,2.184,2.6667
2018-06-30,242.08,5849403.0,37760.5844,23.7337,2.1056,2.6667
2018-07-31,265.73,10085841.0,41449.553,26.0523,2.3113,2.6667
2018-08-31,294.73,8577372.0,45973.0241,28.8954,2.5635,2.6667
2018-09-30,250.47,18372207.0,39068.2315,24.5556,2.1785,2.6667
2018-10-31,257.4,13293363.0,40149.705,25.2353,2.2388,2.6667
2018-11-30,308.8,14561145.0,48167.1675,30.2745,2.6859,2.6667
2018-12-31,295.68,16367379.0,46121.2067,28.9886,2.5718,2.6667
2019-01-31,309.77,18928134.0,48317.9499,30.3693,2.6943,2.6667
2019-02-28,295.2,13151322.0,46045.8156,28.9412,2.5676,2.6667
2019-03-31,386.37,31230654.0,60266.1527,23.1542,2.9561,2.6667
2019-04-30,368.48,14143995.0,57476.6789,22.0825,2.8192,2.6667
2019-05-31,311.88,12564150.0,48648.1112,18.6906,2.3862,2.6667
2019-06-30,276.95,11249931.0,43199.1484,16.5971,2.1189,2.6667
2019-07-31,231.53,3539895.0,36114.9768,13.8753,1.7715,2.6667
2019-08-31,341.57,19288917.0,53278.1698,20.4694,2.6133,2.6667
2019-09-30,320.3,9064107.0,49960.9577,19.195,2.4506,3.3333
2019-10-31,364.25,4267899.0,56816.3561,21.8288,2.7869,3.3333
2019-11-30,440.55,15577758.0,68717.7644,26.4013,3.3706,3.3333
2019-12-31,423.97,9866004.0,66131.0668,25.4075,3.2437,3.3333
2020-01-31,404.38,12430662.0,63076.424,24.2339,3.0939,3.3333
2020-02-29,383.02,10757145.0,59743.6138,22.9535,2.9304,3.3333
2020-03-31,313.5,5924493.0,48900.2818,12.706,2.2356,8.0
2020-04-30,335.0,7503252.0,52253.8896,13.5774,2.3889,8.0
2020-05-31,329.13,5519121.0,51338.7966,13.3396,2.3471,8.0
2020-06-30,339.18,7904448.0,52906.4133,13.747,2.4188,8.0
2020-07-31,305.53,4588224.0,47657.6271,12.3831,2.1788,8.0
2020-08-31,321.33,10220502.0,50122.1389,13.0235,2.2915,8.0
2020-09-30,307.75,4941390.0,48003.3866,12.473,2.1946,8.0
2020-10-31,298.98,2501922.0,46635.9474,12.1177,2.1321,8.0
2020-11-30,302.42,4231140.0,47171.4848,12.2568,2.1566,8.0
2020-12-31,324.05,10633533.0,50545.8903,13.1336,2.3109,8.0
2021-01-31,305.93,5238453.0,47720.0207,12.3994,2.1817,8.0
2021-02-28,299.62,4280028.0,46734.7359,12.1433,2.1366,8.0
2021-03-31,305.25,4562385.0,47613.4332,12.6467,1.844,8.0
2021-04-30,287.3,1650273.0,44813.5605,11.9031,1.7356,8.0
2021-05-31,299.15,3720816.0,46661.9444,12.394,1.8072,0.0
2021-06-30,327.17,20837055.0,51032.0335,13.5548,1.9764,0.0
2021-07-31,340.92,6059034.0,53176.7817,14.1244,2.0595,8.0
2021-08-31,328.2,3806385.0,51193.2136,13.5976,1.9826,8.0
2021-09-30,398.57,10967541.0,62169.1301,16.5129,2.4077,8.0
2021-10-31,431.58,10981419.0,67319.1279,17.8808,2.6072,8.0
2021-11-30,404.47,2126772.0,63089.4225,16.7574,2.4434,8.0
2021-12-31,375.37,2010270.0,58550.3533,15.5517,2.2676,8.0
2022-01-31,371.75,1324359.0,57986.2193,15.4019,2.2457,8.0
2022-02-28,341.13,1549242.0,53210.5777,14.1334,2.0608,8.0
2022-03-31,336.53,1946652.0,52493.0616,11.9834,1.7931,8.0
2022-04-30,405.03,14021112.0,63177.8122,14.4226,2.158,8.0
2022-05-31,384.42,3994821.0,59961.9882,13.6884,2.0482,8.0
2022-06-30,353.05,1872225.0,55069.3604,12.5715,1.8811,8.0
2022-07-31,380.32,1699686.0,59322.463,13.5424,2.0263,8.0
2022-08-31,370.12,3448554.0,57731.4491,13.1792,1.972,9.3333
2022-09-30,382.63,4734663.0,59683.8208,13.6249,2.0387,9.3333
2022-10-31,494.83,10971117.0,77184.9742,17.6202,2.6365,9.3333
2022-11-30,601.65,15560559.0,93846.4259,21.4237,3.2056,9.3333
2022-12-31,659.57,19444650.0,102880.3695,23.4861,3.5142,9.3333
2023-01-31,641.07,12187830.0,99994.7069,22.8273,3.4156,9.3333
2023-02-28,591.83,5481003.0,92315.205,21.0742,3.1533,9.3333
2023-03-31,606.58,5937633.0,94615.9359,13.7029,2.6668,9.3333
2023-04-30,590.1,4417254.0,92044.8366,13.3306,2.5943,9.3333
2023-05-31,580.53,4645365.0,90552.6111,13.1145,2.5523,9.3333
2023-06-30,561.87,3930324.0,87640.9516,12.6928,2.4702,9.3333
2023-07-31,718.48,16872810.0,112070.2949,16.2308,3.1587,9.3333
2023-08-31,717.08,8139858.0,111851.9204,16.1992,3.1526,14.6667
2023-09-30,725.83,3442527.0,113216.7608,16.3968,3.1911,14.6667
2023-10-31,754.67,9217737.0,117714.2349,17.0482,3.3178,14.6667
2023-11-30,674.85,5392581.0,105264.2907,15.2451,2.9669,14.6667
2023-12-31,702.95,2731080.0,109647.3782,15.8799,3.0905,14.6667
2024-01-31,819.98,10463058.0,127902.4435,18.5237,3.605,14.6667
2024-02-29,985.82,8901204.0,153769.4187,22.27,4.3341,14.6667
2024-03-31,1029.73,13825677.0,160619.6177,17.3531,3.7953,14.6667
2024-04-30,1114.97,6787863.0,173914.463,18.7895,4.1094,14.6667
2024-05-31,1294.03,11770650.0,201845.5968,21.8071,4.7694,14.6667
2024-06-30,1374.83,7040988.0,214448.923,23.1687,5.0672,14.6667
2024-07-31,1409.48,18382953.0,219853.691,23.7527,5.1949,14.6667
2024-08-31,2169.47,22260063.0,338397.2289,36.5599,7.9959,18.6667
2024-09-30,2325.87,19440915.0,362792.7762,39.1956,8.5724,18.6667
2024-10-31,2208.38,4460181.0,344467.5191,37.2158,8.1394,18.6667
2024-11-30,1891.05,3520047.0,294969.3072,31.868,6.9698,30.3333
2024-12-31,1742.57,6150705.0,271808.6156,29.3658,6.4225,30.3333
2025-01-31,1505.8,4206306.0,234877.3342,25.3758,5.5499,30.3333
2025-02-28,1729.8,64840200.0,269817.2484,29.1507,6.3755,30.3333
2025-03-31,2256.4,6968853.0,351957.2433,30.5357,6.7093,30.3333
2025-04-30,2705.33,5197866.0,421982.6547,36.611,8.0442,30.3333
2025-05-31,2900.83,4955943.0,452477.0888,39.2567,8.6255,30.3333
2025-06-30,2992.17,9270621.0,466723.4229,40.4927,8.8971,30.3333
2025-07-31,3036.83,16697862.0,473690.6082,41.0972,9.0299,30.3333
2025-08-31,3667.83,41983725.0,572115.0987,49.6365,10.9061,31.6667
2025-09-30,3384.0,35217508.0,527842.2758,45.7954,10.0622,31.6667
2025-10-31,3077.7,11169535.0,480065.0628,41.6502,9.1514,31.6667
2025-11-30,2873.0,5853240.0,448135.5965,38.8801,8.5427,34.0
2025-12-31,2762.3,7019764.0,430868.4156,37.382,8.2136,34.0
2026-01-31,2035.5,24940627.0,317500.8725,27.5462,6.0525,34.0
2026-02-28,2115.4,49954374.0,329963.8151,28.6275,6.29,34.0
2026-03-31,2043.0,1663657.0,318670.7357,27.6477,6.0748,34.0
