GP IN Equity,price,volume,mc,pe,bm,div
1995-01-31,20.67,,3223.6901,,,0.0
1995-02-28,16.67,,2599.75,,,0.0
1995-03-31,19.33,,3015.71,,,0.0
1995-04-30,14.67,,2287.78,,,0.0
1995-05-31,17.13,,2672.543,,,0.0
1995-06-30,15.0,,2339.775,,,0.0
1995-07-31,15.0,,2339.775,,,0.0
1995-08-31,14.0,,2183.79,,,0.0
1995-09-30,15.33,,2391.77,,,0.3333
1995-10-31,15.0,,2339.775,,,0.3333
1995-11-30,12.33,,1923.815,,,0.3333
1995-12-31,11.73,,1830.224,,,0.3333
1996-01-31,9.17,,1429.8625,,,0.3333
1996-02-29,11.0,,1715.835,,,0.3333
1996-03-31,9.67,,1507.855,,,0.3333
1996-04-30,10.67,,1663.84,,,0.3333
1996-05-31,10.0,64500.0,1559.85,,,0.3333
1996-06-30,9.8,105000.0,1528.653,,,0.3333
1996-07-31,8.33,109500.0,1299.875,,,0.3333
1996-08-31,7.98,72210.0,1245.2803,,,0.4
1996-09-30,8.4,95175.0,1310.274,,,0.4
1996-10-31,9.0,139500.0,1403.865,,,0.4
1996-11-30,8.23,123135.0,1284.2765,,,0.4
1996-12-31,8.35,198105.0,1302.4748,,,0.4
1997-01-31,9.2,106545.0,1435.062,,,0.4
1997-02-28,9.67,136620.0,1507.855,,,0.4
1997-03-31,9.07,256005.0,1414.264,,,0.4
1997-04-30,9.32,132420.0,1453.2603,,,0.4
1997-05-31,9.78,584685.0,1526.0533,,,0.4
1997-06-30,9.8,180570.0,1528.653,,,0.4
1997-07-31,14.8,196050.0,2308.578,,,0.4
1997-08-31,14.22,707970.0,2217.5868,,,0.4
1997-09-30,17.25,1044405.0,2690.7413,,,0.4667
1997-10-31,15.47,199290.0,2412.568,,,0.4667
1997-11-30,13.73,148905.0,2142.194,,,0.4667
1997-12-31,15.6,52695.0,2433.366,,,0.4667
1998-01-31,13.47,75510.0,2100.598,,,0.4667
1998-02-28,16.7,1372470.0,2604.9495,,,0.4667
1998-03-31,21.43,810210.0,3343.2786,,,0.4667
1998-04-30,19.09,935640.0,2977.2337,,,0.4667
1998-05-31,20.15,726540.0,3143.0978,,,0.4667
1998-06-30,18.67,262650.0,2911.72,,,0.4667
1998-07-31,20.33,311250.0,3171.6951,,,0.4667
1998-08-31,21.0,484770.0,3275.6851,,,0.4667
1998-09-30,30.1,2227335.0,4695.1486,,,0.6667
1998-10-31,24.22,1379040.0,3777.4368,,,0.6667
1998-11-30,24.95,655770.0,3891.8258,,,0.6667
1998-12-31,24.85,647190.0,3876.2273,,,0.6667
1999-01-31,27.65,847980.0,4312.9853,,,0.6667
1999-02-28,54.72,4478805.0,8534.9794,,,0.6667
1999-03-31,51.67,1832400.0,8059.2251,,,0.6667
1999-04-30,35.93,421950.0,5605.0611,,,0.6667
1999-05-31,37.96,386595.0,5921.1907,,,0.6667
1999-06-30,30.6,76080.0,4773.1411,,,0.6667
1999-07-31,44.34,783870.0,6916.375,,,0.6667
1999-08-31,50.74,372480.0,7914.1591,,,0.8
1999-09-30,51.8,979425.0,8080.5431,,,0.8
1999-10-31,44.67,228420.0,6967.3301,,,0.8
1999-11-30,46.42,74745.0,7240.8238,,,0.8
1999-12-31,37.67,93570.0,5875.4351,,,0.8
2000-01-31,36.67,241935.0,5719.4501,,,0.8
2000-02-29,37.33,884400.0,5823.4401,,,0.8
2000-03-31,25.67,1082265.0,4003.6151,,,0.8
2000-04-30,24.67,125550.0,3847.6301,,,0.9667
2000-05-31,25.4,177000.0,3962.0191,,,0.9667
2000-06-30,27.0,28890.0,4211.5951,,,0.9667
2000-07-31,29.87,127530.0,4658.7521,,,0.9667
2000-08-31,26.0,55365.0,4055.6101,,,0.9667
2000-09-30,25.67,29370.0,4003.6151,,,0.9667
2000-10-31,23.2,21105.0,3618.8521,,,0.9667
2000-11-30,27.72,263325.0,4324.4242,,,0.9667
2000-12-31,36.67,576075.0,5719.4501,,,0.9667
2001-01-31,38.67,550710.0,6032.46,,,0.9667
2001-02-28,26.41,571905.0,4119.044,,,0.9667
2001-03-31,24.88,112725.0,3881.4268,,,0.9667
2001-04-30,22.73,57390.0,3546.0591,,,0.9667
2001-05-31,23.83,37545.0,3717.6426,,,0.9667
2001-06-30,22.26,1648350.0,3472.2262,,,0.0
2001-07-31,22.67,1935735.0,3535.6601,,,0.0
2001-08-31,21.28,385455.0,3319.8808,,,0.0
2001-09-30,19.49,106545.0,3040.6676,,,1.0667
2001-10-31,22.67,54375.0,3535.592,,,1.0667
2001-11-30,26.67,908910.0,4159.52,,,1.0667
2001-12-31,27.16,262920.0,4236.4711,,,1.0667
2002-01-31,25.02,86790.0,3903.1895,,,1.0667
2002-02-28,25.33,147270.0,3951.544,,,1.0667
2002-03-31,24.87,898080.0,3878.7524,8.0556,1.587,1.0667
2002-04-30,23.67,62190.0,3691.574,7.6669,1.5104,0.0
2002-05-31,26.47,108945.0,4128.3236,8.574,1.6891,0.0
2002-06-30,25.33,145125.0,3951.544,8.2068,1.6168,0.0
2002-07-31,24.0,34770.0,3743.568,7.7749,1.5317,0.0
2002-08-31,23.27,23220.0,3629.1812,7.5373,1.4849,0.0
2002-09-30,23.33,16275.0,3639.58,7.5589,1.4891,1.2333
2002-10-31,22.67,54465.0,3535.592,7.343,1.4466,1.2333
2002-11-30,22.21,21525.0,3463.8402,7.1939,1.4172,1.2333
2002-12-31,22.68,63735.0,3537.6717,7.3473,1.4474,1.2333
2003-01-31,22.19,216750.0,3461.7605,7.1896,1.4164,1.2333
2003-02-28,21.4,73125.0,3338.5347,6.9337,1.366,1.2333
2003-03-31,19.63,94410.0,3061.4067,8.0294,1.1648,1.2333
2003-04-30,20.4,30630.0,3182.0328,8.3457,1.2107,1.2333
2003-05-31,21.28,300270.0,3319.8169,8.7071,1.2631,1.2333
2003-06-30,24.0,234330.0,3743.568,9.8185,1.4243,1.2333
2003-07-31,24.65,110460.0,3845.4762,10.0858,1.4631,1.2333
2003-08-31,27.33,376095.0,4263.508,11.1822,1.6222,1.2333
2003-09-30,24.67,365370.0,3848.5958,10.094,1.4643,1.1333
2003-10-31,24.6,583410.0,3836.6372,10.0626,1.4598,1.1333
2003-11-30,25.07,353085.0,3909.9488,10.2549,1.4876,1.1333
2003-12-31,29.13,568290.0,4543.2357,11.9159,1.7286,1.1333
2004-01-31,27.44,1429260.0,4280.146,11.2258,1.6285,1.1333
2004-02-29,26.0,186300.0,4055.532,10.6367,1.543,1.1333
2004-03-31,24.45,686970.0,3814.2798,7.1437,1.2979,1.1333
2004-04-30,27.07,165975.0,4221.9128,7.9072,1.4366,1.1333
2004-05-31,24.67,1352655.0,3847.556,7.2061,1.3093,1.1333
2004-06-30,24.74,383730.0,3858.9946,7.2275,1.3131,1.1333
2004-07-31,25.57,588315.0,3987.9398,7.469,1.357,1.1333
2004-08-31,27.18,297405.0,4240.1107,7.9413,1.4428,1.1333
