PNBHOUSI IN Equity,price,volume,mc,pe,bm,div
2016-11-30,751.09,80925273.0,150212.7229,33.0004,5.3637,0.0
2016-12-31,695.8,10623502.0,139156.0991,30.5713,4.9689,0.0
2017-01-31,749.31,7265215.0,149856.5919,32.9221,5.351,0.0
2017-02-28,888.83,9642034.0,177759.038,39.052,6.3473,0.0
2017-03-31,985.94,10729303.0,197180.598,32.4183,3.5354,0.0
2017-04-30,1148.11,6856761.0,229613.3507,37.7505,4.1169,0.0
2017-05-31,1154.94,8103079.0,232296.5265,37.9752,4.1414,0.0
2017-06-30,1322.04,11197489.0,265905.3503,43.4695,4.7406,0.0
2017-07-31,1243.77,5268682.0,250162.9273,40.896,4.4599,4.9694
2017-08-31,1353.3,7387860.0,272193.9901,44.4975,4.8527,4.9694
2017-09-30,1227.45,4392969.0,246881.1735,40.3595,4.4014,4.9694
2017-10-31,1178.67,3466325.0,237069.2294,38.7554,4.2265,4.9694
2017-11-30,1110.67,4807258.0,223392.4791,36.5196,3.9827,4.9694
2017-12-31,1110.13,3738990.0,223284.1979,36.5019,3.9807,4.9694
2018-01-31,1074.35,5720531.0,216087.6616,35.3254,3.8524,4.9694
2018-02-28,1002.09,3753369.0,201552.9846,32.9493,3.5933,4.9694
2018-03-31,1070.46,6090133.0,215304.6987,25.5829,3.2958,4.9694
2018-04-30,1160.12,2736351.0,233337.6853,27.7257,3.5718,4.9694
2018-05-31,998.11,25373697.0,201743.2494,23.8539,3.073,4.9694
2018-06-30,934.79,14527304.0,188983.5724,22.3407,2.8781,4.9694
2018-07-31,1071.49,4569197.0,216633.8051,25.6077,3.299,7.4542
2018-08-31,1124.29,3872491.0,227315.9178,26.8696,3.4615,7.4542
2018-09-30,734.32,9665931.0,148474.1729,17.5495,2.2609,7.4542
2018-10-31,662.84,13805715.0,134021.9722,15.8413,2.0408,7.4542
2018-11-30,750.8,9679345.0,151806.7197,17.9434,2.3116,7.4542
2018-12-31,764.84,5581208.0,154645.2458,18.2789,2.3548,7.4542
2019-01-31,747.45,4295402.0,151129.2549,17.8632,2.3013,7.4542
2019-02-28,742.1,4329819.0,150049.1023,17.7356,2.2848,7.4542
2019-03-31,716.22,8178463.0,144815.805,12.1471,1.9197,7.4542
2019-04-30,586.52,16142736.0,118593.1837,9.9473,1.572,7.4542
2019-05-31,695.72,27442314.0,141062.213,11.7994,1.8647,7.4542
2019-06-30,641.72,8782503.0,130205.8474,10.8836,1.72,7.4542
2019-07-31,587.59,8382748.0,119239.6829,9.9656,1.5749,7.4542
2019-08-31,533.84,5404575.0,108331.7183,9.0539,1.4309,7.4542
2019-09-30,483.49,3791599.0,98142.8304,8.1999,1.2959,7.4542
2019-10-31,444.23,37529871.0,90173.7166,7.5341,1.1907,7.4542
2019-11-30,441.29,17316058.0,89599.9946,7.4842,1.1828,7.4542
2019-12-31,359.62,16857885.0,73018.6142,6.0992,0.9639,7.4542
