HSCH IN Equity,price,volume,mc,pe,bm,div
1995-01-31,7.0,,,,,0.2
1995-02-28,6.75,,,,,0.2
1995-03-31,6.95,,,,,0.2
1995-04-30,6.5,,,,,0.2
1995-05-31,6.75,,,,,0.2
1995-06-30,6.3,,,,,0.2
1995-07-31,6.45,,,,,0.2
1995-08-31,6.45,,,,,0.2
1995-09-30,5.4,,,,,0.2
1995-10-31,5.35,,,,,0.2
1995-11-30,4.1,,,,,0.2
1995-12-31,4.2,,,,,0.2
1996-01-31,3.75,,,,,0.2
1996-02-29,4.2,,,,,0.2
1996-03-31,3.8,,,,,0.4
1996-04-30,3.55,,,,,0.4
1996-05-31,3.4,147000.0,,,,0.4
1996-06-30,3.43,731000.0,,,,0.4
1996-07-31,2.15,494000.0,,,,0.4
1996-08-31,2.4,422270.0,,,,0.4
1996-09-30,1.9,387270.0,,,,0.4
1996-10-31,1.75,386080.0,,,,0.4
1996-11-30,1.54,216540.0,,,,0.4
1996-12-31,1.77,286540.0,,,,0.4
1997-01-31,1.91,1381810.0,,,,0.4
1997-02-28,1.81,493310.0,,,,0.4
1997-03-31,1.2,732080.0,,,,0.4
1997-04-30,1.17,203270.0,,,,0.4
1997-05-31,0.88,89000.0,,,,0.0
1997-06-30,0.8,143000.0,,,,0.0
1997-07-31,1.0,140000.0,,,,0.0
1997-08-31,0.89,293000.0,,,,0.0
1997-09-30,0.8,2924270.0,,,,0.0
1997-10-31,0.79,55000.0,,,,0.0
1997-11-30,0.5,128000.0,,,,0.0
1997-12-31,0.92,162000.0,,,,0.0
1998-01-31,0.55,162000.0,,,,0.0
1998-02-28,0.66,2925000.0,,,,0.0
1998-03-31,0.55,191000.0,,,,0.0
1998-04-30,0.85,706000.0,,,,0.0
1998-05-31,0.75,159000.0,,,,0.0
1998-06-30,0.6,119000.0,,,,0.0
1998-07-31,0.43,130000.0,,,,0.0
1998-08-31,0.55,24000.0,,,,0.0
1998-09-30,0.4,106000.0,,,,0.0
1998-10-31,0.4,34000.0,,,,0.0
1998-11-30,0.36,21000.0,,,,0.0
1998-12-31,0.37,83000.0,,,,0.0
1999-01-31,0.43,190000.0,,,,0.0
1999-02-28,0.43,258000.0,,,,0.0
1999-03-31,0.55,496000.0,,,,0.0
1999-04-30,0.38,73000.0,,,,0.0
1999-05-31,0.31,18000.0,,,,0.0
1999-06-30,0.38,40000.0,,,,0.0
1999-07-31,0.52,196000.0,,,,0.0
1999-08-31,0.83,1172000.0,,,,0.0
1999-09-30,0.8,371810.0,,,,0.0
1999-10-31,0.8,1211000.0,,,,0.0
1999-11-30,0.65,686000.0,,,,0.0
1999-12-31,0.8,747000.0,,,,0.0
2000-01-31,0.76,957000.0,,,,0.0
2000-02-29,0.74,738000.0,,,,0.0
2000-03-31,0.57,294000.0,,,,0.0
2000-04-30,0.42,71000.0,,,,0.0
2000-05-31,0.45,58000.0,,,,0.0
2000-06-30,0.5,149000.0,,,,0.0
2000-07-31,0.42,54000.0,,,,0.0
2000-08-31,0.47,93000.0,,,,0.0
2000-09-30,0.37,130000.0,,,,0.0
2000-10-31,0.39,59000.0,,,,0.0
2000-11-30,0.43,59000.0,,,,0.0
2000-12-31,0.34,117000.0,,,,0.0
2001-01-31,0.36,21000.0,,,,0.0
2001-02-28,0.55,79250.0,,,,0.0
2001-03-31,0.53,61680.0,,,,0.0
2001-04-30,0.23,12030.0,,,,0.0
2001-05-31,0.26,54710.0,,,,0.0
2001-06-30,0.28,43600.0,,,,0.0
2001-07-31,0.27,33110.0,,,,0.0
2001-08-31,0.4,82180.0,,,,0.0
2001-09-30,0.3,15280.0,,,,0.0
2001-10-31,0.23,27490.0,,,,0.0
2001-11-30,0.25,128390.0,,,,0.0
2001-12-31,0.21,82740.0,,,,0.0
2002-01-31,0.21,91360.0,,,,0.0
2002-02-28,0.19,246930.0,,,,0.0
2002-03-31,0.15,55240.0,,,,0.0
2002-04-30,0.21,224050.0,,,,0.0
2002-05-31,0.18,100200.0,,,,0.0
2002-06-30,0.47,1073250.0,,,,0.0
2002-07-31,0.37,1586790.0,,,,0.0
2002-08-31,0.35,158600.0,,,,0.0
2002-09-30,0.24,359760.0,,,,0.0
2002-10-31,0.21,142140.0,,,,0.0
2002-11-30,0.25,509840.0,,,,0.0
2002-12-31,0.26,324030.0,,,,0.0
2003-01-31,0.28,319580.0,,,,0.0
2003-02-28,0.25,990600.0,,,,0.0
2003-03-31,0.29,410100.0,,,,0.0
2003-04-30,0.25,126920.0,,,,0.0
2003-05-31,0.37,1346880.0,,,,0.0
2003-06-30,0.53,2261340.0,134.4445,,,0.0
2003-07-31,0.53,2791510.0,136.4855,,,0.0
2003-08-31,0.69,4352980.0,176.7933,,,0.0
2003-09-30,0.41,1470750.0,104.5963,,,0.0
2003-10-31,0.32,566010.0,81.6362,,,0.0
2003-11-30,0.43,933320.0,109.6986,,,0.0
2003-12-31,0.56,2795500.0,142.8633,,,0.0
2004-01-31,0.4,1362170.0,102.3003,,,0.0
2004-02-29,0.41,651240.0,104.5963,,,0.0
2004-03-31,0.4,1032870.0,100.7696,,,0.0
2004-04-30,0.43,615740.0,108.423,,,0.0
2004-05-31,0.5,898810.0,127.5565,,,0.0
2004-06-30,0.45,711620.0,114.8008,,,0.0
2004-07-31,0.54,1590030.0,138.0161,,,0.0
2004-08-31,0.63,1891780.0,160.4661,,,0.0
2004-09-30,0.67,3759960.0,171.1808,,,0.0
