ACCE IN Equity,price,volume,mc,pe,bm,div
2006-09-30,41.6,160621360.0,3739.2159,,,0.0
2006-10-31,42.52,300559825.0,3821.91,,,0.0
2006-11-30,74.84,363698710.0,6726.9931,,,0.0
2006-12-31,64.43,281288655.0,5791.2903,,,0.0
2007-01-31,56.58,47329175.0,5085.6931,,,0.0
2007-02-28,42.34,20146335.0,3805.7307,,,0.0
2007-03-31,36.47,11503845.0,3278.1058,27.4151,3.0881,0.0
2007-04-30,45.8,20663155.0,4116.7328,34.4286,3.8781,0.0
2007-05-31,53.26,12387545.0,4787.2749,40.0364,4.5097,0.0
2007-06-30,51.97,7513455.0,4671.3233,39.0667,4.4005,0.0
2007-07-31,58.48,20282035.0,5256.4746,43.9604,4.9517,0.0
2007-08-31,63.02,25394790.0,5664.5525,47.3732,5.3362,0.6
2007-09-30,70.48,17324695.0,6335.0945,52.981,5.9678,0.6
2007-10-31,90.87,13312160.0,8167.8496,68.3085,7.6943,0.6
2007-11-30,96.23,6976685.0,8649.6332,72.3377,8.1482,0.6
2007-12-31,118.03,3605520.0,10609.1261,88.7251,9.9941,0.6
2008-01-31,92.63,2797870.0,8326.0472,69.6315,7.8434,0.8
2008-02-29,85.91,1676780.0,7722.02,64.58,7.2744,0.8
2008-03-31,76.3,2436415.0,6858.2257,20.1852,5.2647,0.8
2008-04-30,90.3,1537420.0,8116.6157,23.8889,6.2307,0.8
2008-05-31,73.45,2638204.0,6602.0534,19.4312,5.0681,0.8
2008-06-30,58.05,1297046.0,5217.8244,15.3571,4.0055,0.8
2008-07-31,62.3,938689.0,5599.8356,16.4815,4.2987,0.8
2008-08-31,69.3,3831259.0,6229.0306,18.3333,4.7817,0.8
2008-09-30,44.75,1675268.0,4022.3538,11.8386,3.0878,0.8
2008-10-31,22.7,1049164.0,2040.3895,6.0053,1.5663,0.8
2008-11-30,16.05,836026.0,1442.6543,4.246,1.1075,0.8
2008-12-31,16.2,3564375.0,1456.137,4.2857,1.1178,0.8
2009-01-31,13.55,2683674.0,1217.9418,3.5847,0.935,0.4
2009-02-28,11.35,2639322.0,1020.1948,3.0026,0.7832,0.4
2009-03-31,11.85,7677639.0,1065.1373,5.6971,0.7441,0.4
2009-04-30,15.65,8905856.0,1406.7003,7.524,0.9827,0.4
2009-05-31,33.25,14604468.0,2988.6763,15.9856,2.0879,0.4
2009-06-30,29.5,6587203.0,2651.6076,14.1827,1.8524,0.4
2009-07-31,31.6,5005306.0,2840.3661,15.1923,1.9843,0.4
2009-08-31,37.05,6818593.0,3330.2393,17.8125,2.3265,0.4
2009-09-30,38.15,4965787.0,3429.1128,18.3413,2.3956,0.4
2009-10-31,33.85,3344830.0,3042.6073,16.274,2.1256,0.4
2009-11-30,29.85,4064889.0,2683.0673,14.351,1.8744,0.4
2009-12-31,40.5,5932555.0,3640.3426,19.4712,2.5431,0.4
2010-01-31,37.85,10864375.0,3402.1473,18.1971,2.3767,0.4
2010-02-28,37.65,3107799.0,3384.1703,18.101,2.3642,0.4
2010-03-31,43.5,9035758.0,3909.9976,16.6031,2.4571,0.4
2010-04-30,50.1,23281117.0,4503.2386,19.1221,2.8299,2.0
2010-05-31,48.2,6289181.0,4332.4571,18.3969,2.7226,2.0
2010-06-30,49.2,4109981.0,4422.3421,18.7786,2.7791,2.0
2010-07-31,56.45,9021221.0,5074.0084,21.5458,3.1886,2.0
2010-08-31,65.25,12837734.0,5864.9964,24.9046,3.6857,2.0
2010-09-30,63.6,8079687.0,5716.6861,24.2748,3.5925,2.0
2010-10-31,60.45,6784310.0,5433.5484,23.0725,3.4145,2.0
2010-11-30,58.85,10793312.0,5289.7324,22.4618,3.3242,2.0
2010-12-31,55.2,3705109.0,4961.6521,21.0687,3.118,2.0
2011-01-31,47.85,3341312.0,4444.5474,18.2634,2.7028,2.0
2011-02-28,42.85,2283966.0,3980.1223,16.355,2.4204,2.0
2011-03-31,43.1,8388522.0,4003.3436,9.4539,1.5673,2.0
2011-04-30,46.85,5646238.0,4351.6624,10.2765,1.7037,1.0
2011-05-31,45.3,3240858.0,4207.6906,9.9365,1.6473,1.0
2011-06-30,48.7,3717521.0,4523.4996,10.6823,1.771,1.0
2011-07-31,48.95,2963776.0,4546.7209,10.7371,1.7801,1.0
2011-08-31,44.75,2385668.0,4156.6038,9.8159,1.6273,1.0
2011-09-30,44.9,3310759.0,4170.5366,9.8488,1.6328,2.0
2011-10-31,40.85,1921901.0,3794.3523,8.9604,1.4855,2.0
2011-11-30,35.05,4918261.0,3255.6193,7.6882,1.2746,2.0
2011-12-31,28.35,3020626.0,2633.2898,6.2185,1.0309,2.0
2012-01-31,34.95,2220668.0,3246.3308,7.6662,1.271,2.0
2012-02-29,34.7,2864236.0,3223.1096,7.6114,1.2619,1.0
2012-03-31,31.2,1510553.0,2898.0121,10.5763,1.0986,1.0
2012-04-30,33.65,2104851.0,3125.5803,11.4068,1.1849,1.0
2012-05-31,28.45,730391.0,2642.5783,9.6441,1.0018,1.0
2012-06-30,29.55,778327.0,2744.7518,10.0169,1.0405,1.0
2012-07-31,27.15,1181637.0,2521.8278,9.2034,0.956,1.0
2012-08-31,18.0,2215633.0,1671.93,6.1017,0.6338,1.0
2012-09-30,25.6,8341372.0,2377.8561,8.678,0.9014,0.2
2012-10-31,24.25,2203787.0,2252.4613,8.2203,0.8539,0.2
2012-11-30,25.1,3202234.0,2483.3941,8.5085,0.8838,0.2
2012-12-31,23.95,8073510.0,2369.6131,8.1186,0.8433,0.2
2013-01-31,18.5,5285927.0,1830.39,6.2712,0.6514,0.2
2013-02-28,11.95,5272711.0,1182.333,4.0508,0.4208,0.2
2013-03-31,11.75,4677782.0,1162.545,15.6667,0.4071,0.2
2013-04-30,11.5,7290016.0,1137.81,15.3333,0.3985,0.2
2013-05-31,12.95,10962324.0,1281.273,17.2667,0.4487,0.2
2013-06-30,11.2,2297903.0,1108.128,14.9333,0.3881,0.2
2013-07-31,10.5,6167773.0,1038.87,14.0,0.3638,0.2
2013-08-31,8.1,3321120.0,801.414,10.8,0.2807,0.2
2013-09-30,8.2,3200425.0,811.308,10.9333,0.2841,0.2
2013-10-31,12.15,8006933.0,1202.121,16.2,0.421,0.2
2013-11-30,13.0,7250070.0,1286.22,17.3333,0.4504,0.2
2013-12-31,13.45,5433444.0,1330.743,17.9333,0.466,0.2
2014-01-31,12.75,6704451.0,1261.485,17.0,0.4418,0.2
2014-02-28,11.85,1825542.0,1172.439,15.8,0.4106,0.2
2014-03-31,14.35,8607466.0,1419.789,30.9903,0.4944,0.2
2014-04-30,18.6,19945556.0,1840.284,40.1686,0.6408,0.2
2014-05-31,29.8,24190663.0,2948.4121,64.3562,1.0267,0.2
2014-06-30,31.95,9337608.0,3161.1331,68.9993,1.1008,0.2
2014-07-31,30.25,8660274.0,2992.9351,65.328,1.0422,0.1
2014-08-31,29.55,4877373.0,2923.6771,63.8163,1.0181,0.1
2014-09-30,33.1,17436076.0,3274.9141,71.4829,1.1404,0.1
2014-10-31,34.65,5864748.0,3428.2711,74.8303,1.1938,0.1
2014-11-30,39.1,17412762.0,3868.5541,84.4405,1.3471,0.1
2014-12-31,37.85,6332738.0,3744.8791,81.741,1.304,0.1
2015-01-31,38.95,5732503.0,3853.7131,84.1165,1.3419,0.1
2015-02-28,37.35,6830465.0,3695.4091,80.6612,1.2868,0.1
2015-03-31,40.55,14515153.0,4012.0171,60.3692,1.3762,0.1
2015-04-30,38.7,7889401.0,3828.9781,57.615,1.3134,0.1
2015-05-31,40.1,5197158.0,3967.4941,59.6993,1.3609,0.1
2015-06-30,41.85,8864937.0,4140.6391,62.3046,1.4203,0.1
2015-07-31,49.3,13507595.0,4877.7421,73.3959,1.6732,0.1
2015-08-31,40.7,16437868.0,4026.8581,60.5925,1.3813,0.1
2015-09-30,37.3,4007024.0,3690.4621,55.5307,1.2659,0.2
2015-10-31,42.5,8318112.0,4204.9501,63.2723,1.4424,0.2
2015-11-30,47.15,5794692.0,4665.0211,70.195,1.6002,0.2
2015-12-31,46.45,5766354.0,4595.7631,69.1529,1.5764,0.2
2016-01-31,39.85,4542196.0,3942.7591,59.3271,1.3524,0.2
2016-02-29,35.35,2549625.0,3497.5291,52.6277,1.1997,0.2
2016-03-31,38.7,3265203.0,3828.9781,46.0714,1.6071,0.2
2016-04-30,40.2,3603864.0,3977.3881,47.8571,1.6694,0.2
2016-05-31,40.15,3120993.0,3972.4411,47.7976,1.6674,0.2
2016-06-30,47.3,8989671.0,4679.8621,56.3095,1.9643,0.2
2016-07-31,48.25,6170469.0,4773.8551,57.4405,2.0037,0.2
2016-08-31,45.65,7218606.0,4516.6111,54.3452,1.8958,0.2
2016-09-30,43.55,4878129.0,4308.8371,51.8452,1.8086,0.2
2016-10-31,46.85,3622555.0,4635.3391,55.7738,1.9456,0.2
2016-11-30,50.1,23006677.0,4956.8941,59.6429,2.0806,0.2
2016-12-31,45.15,3366057.0,4467.1411,53.75,1.875,0.2
2017-01-31,46.85,4083879.0,4635.3391,55.7738,1.9456,0.2
2017-02-28,54.55,13861027.0,5397.1771,64.9405,2.2654,0.2
2017-03-31,59.75,12286725.0,5911.6651,45.6107,2.0989,0.2
2017-04-30,62.55,11123638.0,6188.6972,47.7481,2.1973,0.2
2017-05-31,64.3,9017170.0,6361.8422,49.084,2.2588,0.0
2017-06-30,67.9,12064714.0,6718.0262,51.8321,2.3852,0.0
2017-07-31,70.1,8060744.0,6935.6942,53.5115,2.4625,0.0
2017-08-31,61.7,4796177.0,6104.5982,47.0992,2.1674,0.0
2017-09-30,66.2,14331768.0,7766.7825,50.5344,2.3255,0.3
2017-10-31,87.2,15217278.0,10230.5654,66.5649,3.0632,0.3
2017-11-30,137.5,70917392.0,16131.9122,104.9618,4.8302,0.3
2017-12-31,144.3,24697876.0,16929.7086,110.1527,5.0691,0.3
2018-01-31,172.05,33504644.0,20185.4218,131.3359,6.0439,0.3
2018-02-28,188.0,28731863.0,22056.724,143.5115,6.6042,0.3
2018-03-31,167.65,15193372.0,19669.201,37.759,5.147,0.3
2018-04-30,186.9,20787002.0,21927.6687,42.0946,5.738,0.3
2018-05-31,162.05,13242929.0,19012.1922,36.4977,4.9751,0.3
2018-06-30,126.2,10714465.0,14806.1626,28.4234,3.8745,0.3
2018-07-31,147.95,8462005.0,17357.9378,33.3221,4.5422,0.3
2018-08-31,135.5,7418002.0,15897.2665,30.518,4.16,0.3
2018-09-30,99.45,4916851.0,11667.7724,22.3986,3.0532,0.5
2018-10-31,96.2,4572772.0,11286.4726,21.6667,2.9534,0.5
2018-11-30,92.1,3408210.0,10805.4483,20.7432,2.8276,0.5
2018-12-31,91.2,2824726.0,10699.8576,20.5405,2.7999,0.5
2019-01-31,87.9,6376421.0,10312.6917,19.7973,2.6986,0.5
2019-02-28,80.45,4173934.0,9438.6354,18.1194,2.4699,0.5
2019-03-31,114.6,10078796.0,13445.2158,23.9749,3.0729,0.5
2019-04-30,98.8,10998388.0,11591.5124,20.6695,2.6492,0.5
2019-05-31,106.8,7560845.0,12530.0964,22.3431,2.8637,0.5
2019-06-30,95.25,3270286.0,11175.0157,19.9268,2.554,0.5
2019-07-31,77.6,2501373.0,9104.2648,16.2343,2.0807,0.5
2019-08-31,57.55,3824039.0,6751.9386,12.0397,1.5431,0.5
2019-09-30,74.55,7687580.0,8746.4297,15.5962,1.999,0.5
2019-10-31,82.05,3227806.0,9626.3521,17.1653,2.2001,0.5
2019-11-30,77.8,2942484.0,8828.9926,16.2762,2.0861,0.5
2019-12-31,74.25,2294169.0,8426.1273,15.5335,1.9909,0.5
2020-01-31,86.4,9213352.0,9804.9481,18.0753,2.3167,0.5
2020-02-29,70.05,3538422.0,7949.4979,14.6548,1.8783,0.5
2020-03-31,34.25,3572135.0,3886.7995,7.4945,0.8781,0.5
2020-04-30,46.95,6731218.0,5328.0361,10.2735,1.2037,0.5
2020-05-31,45.3,4438345.0,5140.7888,9.9125,1.1614,0.5
2020-06-30,54.45,11929355.0,6179.16,11.9147,1.396,0.5
2020-07-31,56.35,14079858.0,6394.7781,12.3304,1.4447,0.5
2020-08-31,61.75,13368710.0,7007.5874,13.512,1.5831,0.5
