POLYCAB IN Equity,price,volume,mc,pe,bm,div
2019-04-30,639.25,37514828.0,95021.8948,,3.1706,0.0
2019-05-31,610.85,10430977.0,90800.3511,,3.0297,0.0
2019-06-30,622.05,1195045.0,92465.1852,,3.0426,3.0
2019-07-31,560.4,2668209.0,83301.1652,,,3.0
2019-08-31,614.75,1138990.0,91380.0701,,,3.0
2019-09-30,685.45,3107142.0,101889.3356,,2.8967,3.0
2019-10-31,855.5,5816614.0,127166.5717,,3.6153,3.0
2019-11-30,924.25,4944776.0,137408.5756,,3.9058,3.0
2019-12-31,992.25,7397280.0,147676.3224,21.2467,3.9306,3.0
2020-01-31,984.55,9241182.0,146530.3333,21.0819,3.9001,3.0
2020-02-29,1062.7,7162094.0,158191.4529,22.7553,4.2096,3.0
2020-03-31,742.05,6262323.0,110475.9387,14.499,2.8797,7.0
2020-04-30,723.6,3665639.0,107752.1971,14.1385,2.8081,7.0
2020-05-31,679.4,3866837.0,101176.0428,13.2749,2.6365,7.0
2020-06-30,789.3,9339968.0,117552.914,15.7989,2.9529,7.0
2020-07-31,820.3,8913091.0,122188.3181,16.4194,3.0688,7.0
2020-08-31,892.85,7911741.0,133002.6288,17.8715,3.3403,7.0
2020-09-30,819.9,3290309.0,122135.6951,15.8131,2.8988,7.0
2020-10-31,920.7,7971300.0,137220.0839,17.7572,3.2552,7.0
2020-11-30,958.4,7502142.0,142857.4287,18.4843,3.3885,7.0
2020-12-31,1036.85,15242828.0,154566.6542,18.942,3.4553,7.0
2021-01-31,1222.9,18242506.0,182327.4782,22.3409,4.0753,7.0
2021-02-28,1337.1,8071351.0,199361.9523,24.4272,4.4559,7.0
2021-03-31,1379.55,6269778.0,205707.9976,23.3032,4.3273,7.0
2021-04-30,1467.05,7811504.0,218774.9242,24.7813,4.6018,7.0
2021-05-31,1674.25,8149042.0,249701.921,28.2813,5.2517,0.0
2021-06-30,1975.05,7388273.0,294597.512,35.1683,6.1001,0.0
2021-07-31,1850.65,7254256.0,276042.0638,32.9532,5.7159,10.0
2021-08-31,2067.5,8785598.0,308387.3055,36.8145,6.3856,10.0
2021-09-30,2389.0,18162190.0,356342.0909,43.7457,7.2935,10.0
2021-10-31,2261.4,18069063.0,337309.3363,41.4092,6.9039,10.0
2021-11-30,2305.95,8127687.0,344331.6808,42.225,7.0399,10.0
2021-12-31,2466.5,7967058.0,368467.7391,46.0847,7.0641,10.0
2022-01-31,2523.9,13120821.0,377042.6624,47.1572,7.2285,10.0
2022-02-28,2374.85,6141717.0,354846.577,44.3723,6.8016,10.0
2022-03-31,2364.4,6281843.0,353343.1238,42.0727,6.3737,10.0
2022-04-30,2486.15,11097817.0,371537.8139,44.2391,6.7019,10.0
2022-05-31,2441.8,6830591.0,364938.8283,43.4499,6.5824,10.0
2022-06-30,2201.2,8156045.0,329313.0112,33.3323,5.9283,14.0
2022-07-31,2317.45,9914341.0,346704.7237,35.0927,6.2414,14.0
2022-08-31,2470.15,6096627.0,369579.7154,37.405,6.6526,14.0
2022-09-30,2560.75,6465394.0,383218.8034,36.2317,6.5696,14.0
2022-10-31,2777.45,7694855.0,415648.1755,39.2978,7.1256,14.0
2022-11-30,2565.0,8649060.0,383901.0927,36.2919,6.5805,14.0
2022-12-31,2569.1,12654470.0,384611.5266,32.9089,6.1936,14.0
2023-01-31,2921.25,6143414.0,437394.3952,37.4198,7.0426,14.0
2023-02-28,3081.35,7598407.0,461376.8677,39.4706,7.4286,14.0
2023-03-31,2880.05,6148575.0,431309.1311,33.9189,6.4987,14.0
2023-04-30,3205.35,4158223.0,480050.1338,37.75,7.2327,14.0
2023-05-31,3423.5,9130849.0,512736.6296,40.3192,7.725,14.0
2023-06-30,3551.15,7610948.0,532192.9705,36.6514,8.1549,20.0
2023-07-31,4816.8,24781297.0,722099.4837,49.7141,,20.0
2023-08-31,5123.05,13236635.0,768412.9551,52.8749,,20.0
2023-09-30,5343.05,11395127.0,801494.18,49.6382,11.1394,20.0
2023-10-31,4922.1,12707654.0,738953.864,45.7275,10.2618,20.0
2023-11-30,5267.9,15572144.0,791007.2929,48.9401,10.9827,20.0
2023-12-31,5484.85,9962051.0,823622.0516,49.311,10.8056,20.0
2024-01-31,4343.15,57585527.0,652213.7454,39.0466,8.5564,20.0
