DOMS IN Equity,price,volume,mc,pe,bm,div
2023-12-31,1250.8,20628638.0,75907.5948,68.3871,,0.0
2024-01-31,1404.55,5998343.0,85238.2573,76.7933,,0.0
2024-02-29,1514.05,3187638.0,91883.5097,82.7802,,0.0
2024-03-31,1565.75,2336775.0,95021.0398,58.8186,11.6676,0.0
2024-04-30,1838.95,2889455.0,111600.7926,69.0815,13.7034,0.0
2024-05-31,1925.45,3925320.0,116850.2386,72.331,14.3479,0.0
2024-06-30,2040.2,2342220.0,123814.0989,76.6416,15.203,0.0
2024-07-31,2364.75,2485408.0,143510.1413,88.8336,17.6215,0.0
2024-08-31,2607.25,3754377.0,158226.7961,97.9433,19.4285,0.0
2024-09-30,2700.5,3226436.0,163885.8808,101.4463,20.1234,2.5
2024-10-31,2785.1,3362110.0,169020.021,104.6243,20.7538,2.5
2024-11-30,2995.85,2030888.0,181809.856,112.5413,22.3243,2.5
2024-12-31,2621.4,7886887.0,159085.5205,98.4748,19.534,2.5
2025-01-31,2482.25,3477998.0,150640.8916,93.2476,18.4971,2.5
2025-02-28,2406.55,2647643.0,146046.8678,90.4038,17.933,2.5
2025-03-31,2877.25,4269422.0,174612.3498,86.3002,17.4124,2.5
2025-04-30,2746.0,3589686.0,166647.1501,82.3635,16.6181,2.5
2025-05-31,2447.8,3071314.0,148550.2163,73.4193,14.8134,2.5
2025-06-30,2519.7,1993318.0,152914.5104,75.5759,15.2486,2.5
2025-07-31,2342.6,1541961.0,142166.739,70.2639,14.1768,2.5
2025-08-31,2431.7,6118378.0,147574.0029,72.9364,14.716,2.5
2025-09-30,2486.3,4243427.0,150887.5451,74.5741,15.0464,3.15
2025-10-31,2572.1,1645232.0,156094.54,77.1476,15.5657,3.15
2025-11-30,2510.0,969589.0,152326.4056,75.2849,15.1899,3.15
2025-12-31,2615.4,2623794.0,158722.9009,78.4463,15.8277,3.15
2026-01-31,2382.0,1015925.0,144558.3658,71.4457,14.4152,3.15
2026-02-28,2332.0,883424.0,141525.1996,69.946,14.1127,3.15
2026-03-31,2149.5,146264.0,130449.5782,64.4721,13.0082,3.15
