TECHM IN Equity,price,volume,mc,pe,bm,div
2006-08-31,134.61,141994096.0,62391.3327,,,0.0
2006-09-30,154.6,134649736.0,71655.3072,,,0.0
2006-10-31,247.43,262110772.0,114678.6182,,,0.0
2006-11-30,280.63,170902976.0,130230.2025,,,0.0
2006-12-31,418.14,187488120.0,194179.8751,,,0.0
2007-01-31,435.79,195480804.0,202476.291,,,0.0
2007-02-28,358.88,77434932.0,168411.1401,,,0.0
2007-03-31,356.78,103718220.0,167444.2152,,,0.375
2007-04-30,397.35,51520808.0,192661.8193,,,0.375
2007-05-31,373.23,74510464.0,181015.9132,,,0.375
2007-06-30,348.76,28915280.0,169151.4835,,,0.375
2007-07-31,331.41,37471024.0,160736.6504,,,0.375
2007-08-31,323.15,19391836.0,156729.2983,,,0.375
2007-09-30,333.53,27382528.0,161808.8578,,,0.375
2007-10-31,301.79,31029252.0,146411.6051,,,0.375
2007-11-30,256.68,12181804.0,124550.1025,,,0.375
2007-12-31,282.73,14176216.0,137222.9532,,,0.375
2008-01-31,171.11,12540016.0,83051.1605,,,0.375
2008-02-29,172.66,22384808.0,83815.2136,,,0.375
2008-03-31,176.31,14553448.0,85591.1851,,,0.375
2008-04-30,228.4,26693884.0,110946.4849,,,0.375
2008-05-31,216.11,37159452.0,105048.0534,,,0.0
2008-06-30,178.84,15019776.0,86929.406,,,0.0
2008-07-31,189.73,13290892.0,92221.6065,,,1.375
2008-08-31,186.89,8099060.0,90935.2724,,,1.375
2008-09-30,154.8,10188192.0,75355.8964,,,1.375
2008-10-31,82.5,11827756.0,40160.6692,,,2.375
2008-11-30,56.4,12491564.0,27460.2354,,,2.375
2008-12-31,61.86,11553740.0,30121.9156,,,2.375
2009-01-31,59.48,21775724.0,28959.9943,,,2.375
2009-02-28,62.16,24102832.0,30268.9355,,,2.375
2009-03-31,66.28,22982656.0,32271.5765,,,2.375
2009-04-30,81.98,145742432.0,39916.4464,,,2.375
2009-05-31,118.41,112274076.0,57659.1181,,,2.375
2009-06-30,183.03,354249256.0,89219.1244,,,2.375
2009-07-31,212.04,208310956.0,103361.8363,,,2.375
2009-08-31,237.21,140805044.0,115675.2553,,,0.0
2009-09-30,234.04,98652960.0,114199.5366,,,0.0
2009-10-31,233.59,45865516.0,113979.9573,,,0.0
2009-11-30,232.16,67139872.0,113430.5109,,,0.0
2009-12-31,247.8,27620044.0,121159.2343,,,0.0
2010-01-31,243.13,43818252.0,118873.4416,,,0.0
2010-02-28,222.71,18224764.0,108940.5317,,,0.0
2010-03-31,213.28,34350116.0,104351.2764,,,0.0
2010-04-30,193.55,69667920.0,94700.2206,,,0.0
2010-05-31,159.05,28623260.0,78576.4275,,,0.0
2010-06-30,183.55,55755100.0,91091.0175,,,0.0
2010-07-31,175.05,30558624.0,86872.6919,,,0.875
2010-08-31,159.56,20009752.0,79551.801,,,0.875
2010-09-30,188.0,86372868.0,94544.3727,,,0.875
2010-10-31,182.31,27175452.0,91684.154,,,0.875
2010-11-30,159.82,14601600.0,80410.5143,,,0.875
2010-12-31,175.6,16784680.0,88347.1691,,,0.875
2011-01-31,162.74,17905448.0,81921.7983,,,0.875
2011-02-28,161.31,22073488.0,81226.5198,,,0.875
2011-03-31,169.04,40115704.0,85136.8862,,,0.875
2011-04-30,171.6,22928696.0,86455.8536,,,0.875
2011-05-31,169.45,20107320.0,85440.3481,,,0.875
2011-06-30,180.81,19528804.0,91656.9673,,,0.875
2011-07-31,193.99,21332312.0,98536.1069,,,0.875
2011-08-31,162.2,20297672.0,82418.8798,,,1.0
2011-09-30,143.54,23927920.0,73027.7475,,,1.0
2011-10-31,146.38,14439128.0,74471.3858,,,1.0
2011-11-30,141.34,18571312.0,71940.1103,,,1.0
2011-12-31,143.43,13094768.0,73036.1961,,,1.0
2012-01-31,163.0,11897212.0,83030.6371,,,1.0
2012-02-29,150.13,15828476.0,76499.4951,,,1.0
2012-03-31,180.19,47235068.0,91852.3103,,,1.0
2012-04-30,175.44,7798156.0,89463.6539,,,1.0
2012-05-31,168.39,23303768.0,85886.1811,,,1.0
2012-06-30,177.08,11525220.0,90328.5092,,,1.0
2012-07-31,178.28,11362928.0,90957.8277,,,1.0
2012-08-31,199.65,116312596.0,101900.7982,,,1.0
2012-09-30,243.01,83023660.0,124073.6257,,,1.0
2012-10-31,237.11,49483744.0,121061.2935,,,1.0
2012-11-30,220.03,29571616.0,112438.845,,,1.0
2012-12-31,233.06,79519692.0,119101.3672,,,1.0
2013-01-31,249.74,51588816.0,127763.0086,,,1.0
2013-02-28,262.76,43983320.0,134496.8877,,,1.0
2013-03-31,264.88,42286708.0,135578.178,,,1.0
2013-04-30,238.31,30864068.0,122129.4399,,,1.0
2013-05-31,241.88,49034164.0,124229.6071,,,1.0
2013-06-30,264.95,55275860.0,136165.5979,,,1.0
2013-07-31,311.58,125975116.0,289460.4921,,,1.0
2013-08-31,343.75,110481080.0,319431.2611,,,1.0
2013-09-30,333.94,105726136.0,310416.3277,,,1.25
2013-10-31,387.76,103357412.0,360502.0818,,,1.25
2013-11-30,424.39,138214704.0,395593.9728,,,1.25
2013-12-31,459.46,71571308.0,428498.6704,,,1.25
2014-01-31,446.74,63435036.0,416799.0108,,,1.25
2014-02-28,466.81,78425432.0,435629.4592,,,1.25
2014-03-31,448.84,79521124.0,419165.5169,,,1.25
2014-04-30,458.04,70623048.0,427855.9487,,,1.25
2014-05-31,480.75,98231792.0,449157.1194,,,1.25
2014-06-30,538.0,69656104.0,504338.8466,,,1.25
2014-07-31,537.65,55538124.0,505103.401,,,5.0
2014-08-31,590.75,49800868.0,555237.6825,,,5.0
2014-09-30,622.42,38350224.0,586203.6797,,,5.0
2014-10-31,629.42,73407460.0,592975.0004,,,5.0
2014-11-30,660.01,41382244.0,621860.1344,,,5.0
2014-12-31,648.39,37505400.0,611192.1785,,,5.0
2015-01-31,717.13,51608556.0,688424.8556,,,5.0
2015-02-28,715.83,54324188.0,687252.1331,,,5.0
2015-03-31,629.7,97085738.0,604918.9759,,,5.0
2015-04-30,621.35,62245562.0,597174.6914,,,5.0
2015-05-31,554.4,84592200.0,532975.0997,,,5.0
2015-06-30,477.8,82314944.0,459425.3763,,,5.0
2015-07-31,530.7,76855938.0,510379.8326,,,6.0
2015-08-31,515.0,48901086.0,495374.9292,,,6.0
2015-09-30,557.35,32743296.0,536236.3546,,3.8935,6.0
2015-10-31,539.15,31948956.0,520923.0839,,3.7664,6.0
2015-11-30,533.45,29986731.0,515633.9617,,3.7266,6.0
2015-12-31,521.65,25026575.0,504353.5964,,3.6441,6.0
2016-01-31,501.4,40583962.0,484965.8683,,3.5027,6.0
2016-02-29,415.55,40836453.0,401967.8507,,2.9029,6.0
