TMPV IN Equity,price,volume,mc,pe,bm,div
2017-07-31,269.15,116608458.0,1416179.94,10.9055,,0.2
2017-08-31,227.95,168264493.0,1198465.911,9.2364,,0.0
2017-09-30,243.06,231618899.0,1272310.437,8.2225,1.0439,0.0
2017-10-31,259.34,123252681.0,1359412.826,8.7734,1.1138,0.0
2017-11-30,244.66,264048924.0,1284614.727,8.2768,1.0508,0.0
2017-12-31,261.43,147492734.0,1371026.833,7.968,1.0883,0.0
2018-01-31,241.85,182415997.0,1267679.891,7.3711,,0.0
2018-02-28,223.93,194534767.0,1173239.407,6.825,,0.0
2018-03-31,197.87,174473513.0,1036938.409,7.4921,0.7043,0.0
2018-04-30,206.07,257633934.0,1080231.628,7.8027,0.7335,0.0
2018-05-31,171.02,328097803.0,901485.7186,6.4755,0.6087,0.0
2018-06-30,163.03,305992213.0,858236.8456,14.2382,0.5674,0.0
2018-07-31,159.88,245767500.0,835722.2279,13.9632,,0.0
2018-08-31,161.94,329558628.0,844598.4847,14.143,,0.0
2018-09-30,135.42,278262104.0,705165.8109,127.7565,0.4837,0.0
2018-10-31,108.42,480877702.0,566804.7965,102.2852,0.3872,0.0
2018-11-30,104.09,372507710.0,544151.6704,98.2018,0.3718,0.0
2018-12-31,104.55,324055353.0,545757.8298,97.5736,0.3694,0.0
2019-01-31,109.69,333423156.0,570808.7957,,,0.0
2019-02-28,107.42,448382749.0,556955.6512,,,0.0
2019-03-31,105.49,373958472.0,546622.856,,0.5954,0.0
2019-04-30,129.73,856240289.0,670778.6199,,0.7322,0.0
2019-05-31,104.49,620392436.0,541045.1605,,0.5897,0.0
2019-06-30,98.4,354995929.0,509840.7458,,0.5667,0.0
2019-07-31,82.09,626020568.0,424653.4138,,,0.0
2019-08-31,70.65,951544332.0,364158.4706,,,0.0
2019-09-30,71.1,1168661541.0,366120.5812,,0.4621,0.0
2019-10-31,107.57,1236396579.0,554651.9336,,0.6992,0.0
2019-11-30,97.77,590216321.0,502588.4598,,0.6354,0.0
2019-12-31,112.08,855358820.0,573747.295,,0.7228,0.0
2020-01-31,106.91,926054539.0,583319.626,,,0.0
2020-02-29,78.06,1099135360.0,426545.0944,,,0.0
2020-03-31,43.01,1713258755.0,235209.7673,,0.2454,0.0
2020-04-30,56.45,1239324830.0,308259.8156,,0.322,0.0
2020-05-31,52.67,1190237955.0,287097.6925,,0.3004,0.0
2020-06-30,59.48,2186171358.0,323857.2365,,0.3434,0.0
2020-07-31,63.35,1307240069.0,342329.9877,,,0.0
2020-08-31,86.69,1970742646.0,468249.2994,,,0.0
2020-09-30,80.7,1660397644.0,443694.2019,,0.574,0.0
2020-10-31,80.3,1364868680.0,437999.7142,,0.5712,0.0
2020-11-30,109.18,1371288318.0,596835.9312,,0.7767,0.0
2020-12-31,111.3,1266430408.0,606147.2561,,0.793,0.0
2021-01-31,159.03,3293952424.0,864586.5521,,,0.0
2021-02-28,195.51,2156310176.0,1137737.731,,,0.0
2021-03-31,182.7,1539806266.0,1067182.694,,1.2664,0.0
2021-04-30,177.89,1213642737.0,1040709.971,,1.2331,0.0
2021-05-31,192.96,1113079315.0,1135030.352,,1.3376,0.0
2021-06-30,205.58,755528930.0,1206496.182,,1.4332,0.0
2021-07-31,177.95,981580473.0,1047067.747,,,0.0
2021-08-31,173.92,544960360.0,1023360.491,,,0.0
