RCF IN Equity,price,volume,mc,pe,bm,div
2018-09-30,59.7,36210620.0,32935.7796,41.7483,1.1242,0.6
2018-10-31,59.5,25609928.0,32825.442,41.6084,1.1204,0.6
2018-11-30,58.25,24962794.0,32135.8318,40.7343,1.0969,0.6
2018-12-31,64.0,40307209.0,35308.0384,44.7552,1.2052,0.6
2019-01-31,63.25,34189403.0,34894.2723,44.2308,1.191,0.6
2019-02-28,52.6,24315738.0,29018.7941,36.7832,0.9905,0.6
2019-03-31,58.35,33161777.0,32191.0006,24.2116,1.0629,0.6
2019-04-30,57.05,28372850.0,31473.8061,23.6722,1.0393,0.6
2019-05-31,63.6,31993961.0,35087.3632,26.39,1.1586,0.6
2019-06-30,60.55,18677827.0,33404.7145,25.1245,1.103,0.6
2019-07-31,49.5,24546757.0,27308.561,20.5394,0.9017,0.6
2019-08-31,41.05,15618813.0,22646.7965,17.0332,0.7478,0.6
2019-09-30,48.15,31993726.0,26563.782,19.9793,0.8771,0.77
2019-10-31,55.65,30714239.0,30701.4428,23.0913,1.0138,0.77
2019-11-30,49.9,21410214.0,27529.2362,20.7054,0.909,0.77
2019-12-31,46.7,17146877.0,25763.8343,19.3776,0.8507,0.77
2020-01-31,53.85,72224430.0,29708.4042,22.3444,0.981,0.77
2020-02-29,38.4,26925730.0,21184.823,15.9336,0.6995,0.77
2020-03-31,28.35,35463311.0,15640.3576,7.56,0.492,0.77
2020-04-30,39.4,78450008.0,21736.5111,10.5067,0.6837,0.77
2020-05-31,39.9,54874174.0,22012.3552,10.64,0.6924,0.77
2020-06-30,46.4,96575160.0,25598.3278,12.3733,0.8052,0.77
2020-07-31,46.7,65997872.0,25763.8343,12.4533,0.8104,0.77
2020-08-31,47.4,53090523.0,26150.0159,12.64,0.8226,0.77
2020-09-30,42.6,18099281.0,23501.9131,11.36,0.7393,0.77
2020-10-31,42.35,19210340.0,23363.9904,11.2933,0.7349,0.77
2020-11-30,47.1,22836127.0,25984.5089,12.56,0.8174,0.0
2020-12-31,53.6,78344709.0,29570.4814,14.2933,0.9302,2.84
2021-01-31,54.0,83198154.0,29791.1566,14.4,0.9371,2.84
2021-02-28,75.9,170255461.0,41873.1257,20.24,1.3172,1.2
2021-03-31,77.45,216798641.0,42728.2423,11.3851,1.2818,1.2
2021-04-30,73.35,83144571.0,40466.3211,10.7824,1.214,1.2
2021-05-31,83.0,198243100.0,45790.1111,12.2009,1.3737,1.2
2021-06-30,83.6,96587203.0,46121.124,12.2891,1.3836,1.2
2021-07-31,84.1,112410242.0,46396.9692,12.3626,1.3919,1.2
2021-08-31,72.15,56680464.0,39804.2964,10.606,1.1941,1.2
2021-09-30,82.7,122152110.0,45624.6059,12.1568,1.3687,1.2
2021-10-31,76.65,68590273.0,42286.8929,11.2675,1.2686,5.82
2021-11-30,69.85,31905693.0,38535.4138,10.2679,1.156,7.17
2021-12-31,76.2,60693364.0,42038.6332,11.2013,1.2611,4.33
2022-01-31,79.65,102312548.0,43941.9572,11.7085,1.3182,4.33
2022-02-28,71.05,52646968.0,39197.4395,10.4443,1.1759,3.13
2022-03-31,89.45,194922975.0,49348.5005,7.0267,1.2713,3.13
2022-04-30,100.2,346750426.0,55279.1476,7.8712,1.424,3.13
2022-05-31,95.7,152555035.0,52796.5512,7.5177,1.3601,3.13
2022-06-30,78.15,72959274.0,43114.425,6.139,1.1107,3.13
2022-07-31,87.7,46050346.0,48383.0464,6.8892,1.2464,3.13
2022-08-31,99.2,154862133.0,54727.4595,7.7926,1.4098,3.13
2022-09-30,94.0,116829808.0,51858.6814,7.3841,1.3359,3.13
2022-10-31,101.9,51239208.0,56217.0174,8.0047,1.4482,1.35
2022-11-30,119.7,180903290.0,66037.0656,9.403,1.7012,1.35
2022-12-31,134.55,359106835.0,74229.6339,10.5695,1.9122,4.1
2023-01-31,120.85,177076737.0,66671.5069,9.4933,1.7175,4.1
2023-02-28,97.5,96851690.0,53789.5898,7.6591,1.3857,4.1
2023-03-31,95.35,71525870.0,52603.4603,5.4424,1.146,4.1
2023-04-30,109.0,96191341.0,60134.0029,6.2215,1.3101,4.1
2023-05-31,102.55,69037246.0,56575.6147,5.8533,1.2326,4.1
2023-06-30,109.05,84520098.0,60161.5873,6.2243,1.3107,4.1
2023-07-31,114.95,91806238.0,63416.5471,6.5611,1.3816,4.1
2023-08-31,121.55,159180490.0,67057.6886,6.9378,1.4609,4.1
2023-09-30,126.45,155172439.0,69760.9602,7.2175,1.5198,4.1
2023-10-31,127.35,191071874.0,70257.4795,7.2688,1.5306,4.1
2023-11-30,128.65,66429599.0,70974.6741,7.343,1.5462,4.1
2023-12-31,159.5,275962146.0,87994.2519,9.1039,1.917,3.7
2024-01-31,183.15,261230098.0,101041.6755,10.4538,2.2013,3.7
2024-02-29,141.6,101740002.0,78119.035,8.0822,1.7019,3.7
2024-03-31,128.25,49056875.0,70753.9988,31.4338,1.5362,3.7
2024-04-30,150.65,74530324.0,83111.8123,36.924,1.8045,3.7
2024-05-31,154.1,104754531.0,85015.1362,37.7696,1.8459,3.7
2024-06-30,193.19,489156424.0,106580.624,47.3505,2.3141,3.7
2024-07-31,218.59,488184504.0,120593.5018,53.576,2.6183,3.7
2024-08-31,201.24,113636844.0,111021.7132,49.3235,2.4105,3.7
2024-09-30,181.36,55015052.0,100054.1538,44.451,2.1724,1.24
2024-10-31,161.39,64597970.0,89036.9425,39.5564,1.9332,1.24
2024-11-30,179.04,56472529.0,98774.2374,43.8824,2.1446,1.24
2024-12-31,173.8,80461368.0,95883.3918,42.598,2.0818,1.24
2025-01-31,163.19,82309697.0,90029.981,39.9975,1.9547,1.24
2025-02-28,117.02,50336152.0,64558.5415,28.6814,1.4017,1.24
2025-03-31,125.52,50772243.0,69247.8903,28.5923,1.4593,1.24
2025-04-30,136.46,66035658.0,75283.3581,31.0843,1.5865,1.24
2025-05-31,149.56,82924933.0,82510.4722,34.0683,1.7388,1.24
2025-06-30,159.13,101830722.0,87790.1274,36.2483,1.85,1.24
2025-07-31,152.37,36195094.0,84060.7158,34.7084,1.7714,1.24
2025-08-31,148.93,49561163.0,82162.9087,33.9248,1.7314,1.24
2025-09-30,145.82,40216867.0,80447.1587,33.2164,1.6953,1.24
2025-10-31,149.28,25078246.0,82355.9996,34.0046,1.7355,1.32
2025-11-30,141.35,26551950.0,77981.1129,32.1982,1.6433,1.32
2025-12-31,146.24,41869906.0,80678.8677,33.3121,1.7002,1.32
2026-01-31,137.29,26656954.0,75741.2592,31.2733,1.5961,1.32
2026-02-28,126.78,23852612.0,69943.0173,28.8793,1.4739,2.32
2026-03-31,114.48,4726122.0,63157.2555,26.0774,1.3309,2.32
