ATHERENE IN Equity,price,volume,mc,pe,bm,div
2025-05-31,313.0,63455256.0,116579.8761,,18.4753,0.0
2025-06-30,332.3,18649648.0,123768.3477,,19.6145,0.0
2025-07-31,350.35,19047881.0,130491.2447,,20.6799,0.0
2025-08-31,450.15,50028746.0,167662.7196,,26.5707,0.0
2025-09-30,565.5,106788473.0,215073.3583,,33.3794,0.0
2025-10-31,691.95,103786286.0,263165.3586,,40.8433,0.0
2025-11-30,717.95,125811861.0,273279.0047,,42.378,0.0
2025-12-31,754.75,52026581.0,287867.1665,,44.5502,0.0
2026-01-31,621.25,35927866.0,237218.8151,,36.6701,0.0
2026-02-28,710.9,43936623.0,271802.2479,,41.9618,0.0
2026-03-31,678.8,5484808.0,259529.2764,,40.0671,0.0
