BLUEJET IN Equity,price,volume,mc,pe,bm,div
2023-11-30,360.1,43308229.0,62464.8995,39.034,9.166,0.0
2023-12-31,368.1,14481709.0,63852.6229,39.9012,9.3696,0.0
2024-01-31,354.15,8814870.0,61432.7803,38.389,9.0145,0.0
2024-02-29,344.0,6920715.0,59672.1062,37.2888,8.7562,0.0
2024-03-31,382.9,3529641.0,66419.9112,40.5615,7.8583,0.0
2024-04-30,387.8,5291889.0,67269.8918,41.0806,7.9588,0.0
2024-05-31,382.3,2703856.0,66315.832,40.498,7.8459,0.0
2024-06-30,404.0,3584361.0,70080.0317,42.7967,8.2913,0.0
2024-07-31,473.3,7897231.0,82101.1857,50.1378,9.7135,0.0
2024-08-31,488.85,9184915.0,84798.573,51.7851,10.0327,0.0
2024-09-30,508.0,5003618.0,88120.4359,53.8137,10.4257,1.0
2024-10-31,472.8,2122436.0,82014.4529,50.0849,9.7033,1.0
2024-11-30,519.4,4578003.0,90097.9417,55.0213,10.6597,1.0
2024-12-31,564.7,8308485.0,97955.9255,59.82,11.5893,1.0
2025-01-31,750.45,10879504.0,130177.1282,79.497,15.4015,1.0
2025-02-28,754.0,12160120.0,130792.9305,79.8731,15.4744,1.0
2025-03-31,884.85,8489316.0,153490.8813,50.3042,18.1393,1.0
2025-04-30,711.15,11771685.0,123359.937,40.4292,,1.0
2025-05-31,904.8,13222397.0,156951.5165,51.4383,,1.0
2025-06-30,877.75,7341659.0,152259.2768,49.9005,,1.0
2025-07-31,805.95,22356235.0,139804.4593,45.8186,,1.0
2025-08-31,667.85,9427979.0,115848.8841,37.9676,,1.0
2025-09-30,630.15,19987592.0,109309.2376,35.8243,,1.2
2025-10-31,656.4,7294243.0,113862.705,37.3167,,1.2
2025-11-30,578.45,14820410.0,100341.0751,32.8852,,1.2
2025-12-31,530.2,5924296.0,91971.3683,30.1421,,1.2
2026-01-31,417.75,6361526.0,72465.1813,23.7493,,1.2
2026-02-28,405.3,25623413.0,70305.5368,23.0415,,1.2
2026-03-31,386.95,1742775.0,67122.4483,21.9983,,1.2
