MHSC IN Equity,price,volume,mc,pe,bm,div
1995-01-31,170.0,,,,,0.0
1995-02-28,172.5,,,,,0.0
1995-03-31,182.5,,,,,0.0
1995-04-30,161.0,,,,,0.0
1995-05-31,140.0,,,,,0.0
1995-06-30,140.0,,,,,0.0
1995-07-31,142.5,,,,,0.0
1995-08-31,127.5,,,,,0.0
1995-09-30,128.5,,,,,0.0
1995-10-31,119.5,,,,,0.0
1995-11-30,107.0,,,,,0.0
1995-12-31,115.0,,,,,0.0
1996-01-31,97.0,,,,,0.0
1996-02-29,104.0,,,,,0.0
1996-03-31,100.0,,,7.023,1.1541,0.0
1996-04-30,123.0,,,8.6382,1.4195,0.0
1996-05-31,108.0,7300.0,1234.224,7.5848,1.2464,0.0
1996-06-30,142.75,109000.0,1631.3471,10.0253,1.6475,0.0
1996-07-31,124.75,30500.0,1425.6431,8.7611,1.4397,2.0
1996-08-31,123.25,43870.0,1408.5011,8.6558,1.4224,2.0
1996-09-30,107.0,15522.0,1222.796,7.5146,1.2349,2.0
1996-10-31,100.0,54662.0,1142.8,7.023,1.1541,2.0
1996-11-30,86.0,31266.0,982.808,6.0397,0.9925,2.0
1996-12-31,90.63,18470.0,1035.6625,6.3646,1.0459,2.0
1997-01-31,93.0,44400.0,1062.804,6.5314,1.0733,2.0
1997-02-28,90.0,13514.0,1028.52,6.3207,1.0387,2.0
1997-03-31,85.5,35042.0,977.094,6.1317,0.869,2.0
1997-04-30,115.5,79706.0,1319.9341,8.2831,1.1739,2.0
1997-05-31,106.75,152822.0,1219.939,7.6556,1.0849,2.0
1997-06-30,114.5,35900.0,1308.5061,8.2114,1.1637,2.0
1997-07-31,113.63,16720.0,1298.5066,8.1487,1.1548,2.0
1997-08-31,107.0,29508.0,1222.796,7.6736,1.0875,2.0
1997-09-30,102.25,27404.0,1168.513,7.3329,1.0392,2.0
1997-10-31,92.0,17271.0,1051.376,6.5978,0.935,2.0
1997-11-30,72.0,13050.0,822.816,5.1635,0.7318,2.0
1997-12-31,76.0,23380.0,868.528,5.4504,0.7724,2.0
1998-01-31,65.0,19460.0,742.82,4.6615,0.6606,2.0
1998-02-28,66.5,12011.0,759.962,4.7691,0.6759,2.0
1998-03-31,69.0,24821.0,788.532,5.3476,0.6325,2.0
1998-04-30,80.75,82442.0,922.811,6.2582,0.7402,2.0
1998-05-31,66.5,18734.0,759.962,5.1538,0.6096,2.0
1998-06-30,62.6,14431.0,715.3928,4.8516,0.5739,2.0
1998-07-31,66.35,18400.0,758.3141,5.1422,0.6082,2.0
1998-08-31,61.0,20841.0,697.169,4.7276,0.5592,2.0
1998-09-30,67.2,28762.0,768.0288,5.2081,0.616,2.0
1998-10-31,73.7,16151.0,842.3173,5.7119,0.6756,2.0
1998-11-30,68.0,28143.0,777.172,5.2701,0.6234,2.0
1998-12-31,68.9,19888.0,787.4581,5.3398,0.6316,2.0
1999-01-31,61.9,30858.0,707.4551,4.7973,0.5674,2.0
1999-02-28,55.0,19074.0,628.595,4.2626,0.5042,2.0
1999-03-31,72.5,115191.0,828.6025,4.8433,0.595,2.0
1999-04-30,64.3,95251.0,734.8847,4.2955,0.5277,2.0
1999-05-31,63.75,102048.0,728.5987,4.2588,0.5232,2.0
1999-06-30,65.25,47950.0,745.7422,4.359,0.5355,2.0
1999-07-31,60.0,59227.0,685.74,4.0083,0.4924,2.0
1999-08-31,59.5,99216.0,680.0255,3.9749,0.4883,2.0
1999-09-30,53.6,55800.0,612.5944,3.5807,0.4399,2.0
1999-10-31,52.6,59918.0,601.1654,3.5139,0.4317,2.0
1999-11-30,49.95,20550.0,570.8785,3.3369,0.4099,2.0
1999-12-31,46.0,50700.0,525.734,3.073,0.3775,2.0
2000-01-31,47.2,81450.0,539.4488,3.1532,0.3873,2.0
2000-02-29,50.0,93448.0,571.45,3.3402,0.4103,2.0
2000-03-31,47.05,95800.0,537.7344,2.3094,0.336,2.0
2000-04-30,44.05,13300.0,503.4474,2.1622,0.3146,2.0
2000-05-31,41.0,32450.0,468.589,2.0125,0.2928,2.0
2000-06-30,43.1,19168.0,492.5899,2.1155,0.3078,2.0
2000-07-31,39.4,8957.0,450.3026,1.9339,0.2814,2.0
2000-08-31,38.1,5969.0,435.4449,1.8701,0.2721,2.0
2000-09-30,33.5,15103.0,382.8715,1.6443,0.2393,2.0
2000-10-31,25.65,7707.0,293.1538,1.259,0.1832,2.0
2000-11-30,30.25,19222.0,345.7272,1.4848,0.216,2.0
2000-12-31,27.3,12885.0,312.0117,1.34,0.195,2.0
2001-01-31,27.0,37696.0,308.583,1.3253,0.1928,2.0
2001-02-28,27.55,29390.0,314.8689,1.3523,0.1968,2.0
2001-03-31,21.5,38721.0,245.7235,10.7769,0.1526,2.0
2001-04-30,19.6,12120.0,224.0084,9.8246,0.1391,2.0
2001-05-31,21.5,13337.0,245.7235,10.7769,0.1526,2.0
2001-06-30,19.75,15258.0,225.7227,9.8997,0.1402,0.0
2001-07-31,18.4,7707.0,210.2862,9.2231,0.1306,1.0
2001-08-31,17.15,9317.0,196.0005,8.5965,0.1217,1.0
2001-09-30,16.8,9681.0,192.0005,8.4211,0.1192,1.0
2001-10-31,26.65,52059.0,304.5722,13.3584,0.1891,1.0
2001-11-30,25.7,32874.0,293.715,12.8822,0.1824,1.0
2001-12-31,19.5,23423.0,222.8577,9.7744,0.1384,1.0
2002-01-31,36.05,246247.0,412.001,18.0702,0.2559,1.0
2002-02-28,36.0,308068.0,411.4296,18.0451,0.2555,1.0
2002-03-31,47.2,571045.0,539.4299,10.7036,0.3237,1.0
2002-04-30,96.75,794693.0,1105.7171,21.9402,0.6636,1.0
2002-05-31,83.2,280540.0,950.8595,18.8674,0.5706,1.0
2002-06-30,88.25,77494.0,1008.574,20.0126,0.6053,1.0
2002-07-31,81.4,109492.0,930.2881,18.4592,0.5583,1.0
2002-08-31,71.95,31998.0,822.2878,16.3162,0.4935,1.0
2002-09-30,62.75,70094.0,717.1447,14.2299,0.4304,1.0
2002-10-31,66.8,38485.0,763.4305,15.1484,0.4582,1.0
2002-11-30,64.85,11378.0,741.1447,14.7062,0.4448,1.0
2002-12-31,66.75,96722.0,762.8591,15.137,0.4578,1.0
2003-01-31,54.0,75663.0,617.1444,12.2457,0.3704,1.0
2003-02-28,69.0,58896.0,788.5734,15.6473,0.4732,1.0
2003-03-31,68.0,170436.0,777.1448,230.0585,0.4661,1.0
2003-04-30,62.55,8660.0,714.8589,211.62,0.4288,1.0
2003-05-31,71.5,57894.0,817.1449,241.8998,0.4901,1.0
2003-06-30,99.0,97600.0,1131.4314,334.9381,0.6786,1.0
2003-07-31,90.2,167382.0,1030.8597,305.1658,0.6183,0.6
2003-08-31,88.3,80606.0,1009.1454,298.7377,0.6053,0.6
2003-09-30,93.75,70349.0,1071.4313,317.1762,0.6427,0.6
2003-10-31,103.65,104121.0,1184.5744,350.6701,0.7105,0.6
2003-11-30,143.4,239046.0,1638.8613,485.1528,0.983,0.6
2003-12-31,190.0,358351.0,2171.4341,642.8105,1.3024,0.6
2004-01-31,175.0,166824.0,2000.0051,592.0623,1.1996,0.6
2004-02-29,157.6,50759.0,1801.1474,533.1944,1.0803,0.6
2004-03-31,144.7,56673.0,1653.7185,27.3124,0.9708,0.6
2004-04-30,137.75,33474.0,1574.2897,26.0006,0.9242,0.6
2004-05-31,114.55,22500.0,1309.1462,21.6216,0.7685,0.6
2004-06-30,126.5,64258.0,1445.7179,23.8771,0.8487,0.6
2004-07-31,129.05,114323.0,1474.8609,24.3585,0.8658,2.0
2004-08-31,130.75,23949.0,1494.2895,24.6793,0.8772,2.0
2004-09-30,139.0,103041.0,1588.5754,26.2365,0.9326,2.0
2004-10-31,137.0,162544.0,1565.7182,25.859,0.9191,2.0
2004-11-30,159.15,204585.0,1818.8617,30.0399,1.0678,2.0
2004-12-31,166.75,502358.0,1905.7191,31.4744,1.1187,2.0
2005-01-31,157.95,256792.0,1805.1474,29.8134,1.0597,2.0
2005-02-28,168.15,539292.0,1921.7191,31.7387,1.1281,2.0
2005-03-31,184.55,2106311.0,2109.1482,19.7635,1.2053,2.0
2005-04-30,182.5,403546.0,2085.7196,19.544,1.1919,2.0
2005-05-31,206.8,562788.0,2363.4345,22.1462,1.3506,2.0
2005-06-30,218.55,553941.0,2497.7206,23.4046,1.4273,2.5
2005-07-31,258.3,1362346.0,2952.0075,27.6614,1.6869,2.5
2005-08-31,290.7,1596441.0,3322.2941,31.1311,1.8985,2.5
2005-09-30,290.2,1303437.0,3316.5798,31.0776,1.8952,2.5
2005-10-31,277.85,689069.0,3175.4366,29.755,1.8146,2.5
2005-11-30,312.15,645583.0,3567.4376,33.4282,2.0386,2.5
2005-12-31,396.35,1025338.0,4529.7257,42.4452,2.5885,2.5
2006-01-31,316.3,677153.0,3614.8663,33.8726,2.0657,2.5
2006-02-28,348.1,256955.0,3978.2958,37.2781,2.2734,2.5
2006-03-31,386.4,206693.0,4416.0112,28.7362,2.3996,2.5
2006-04-30,450.0,262023.0,5044.0127,33.466,2.7946,2.5
2006-05-31,372.9,159732.0,4261.7251,27.7322,2.3158,2.5
2006-06-30,305.0,166029.0,3485.7231,22.6825,1.8941,4.5
2006-07-31,274.95,55338.0,3142.2937,20.4477,1.7075,4.5
2006-08-31,276.3,42064.0,3157.7223,20.5481,1.7159,4.5
2006-09-30,285.45,79228.0,3262.294,21.2286,1.7727,4.5
2006-10-31,292.65,151050.0,3344.5799,21.7641,1.8174,4.5
2006-11-30,301.0,156613.0,3440.0087,22.3851,1.8693,4.5
2006-12-31,302.6,180251.0,3458.2945,22.5041,1.8792,4.5
2007-01-31,376.95,265635.0,4308.0109,28.0334,2.3409,4.5
2007-02-28,325.55,121570.0,3720.5808,24.2108,2.0217,4.5
2007-03-31,304.0,197046.0,3474.2945,29.1243,1.8078,4.5
2007-04-30,299.0,60508.0,3417.1515,28.6453,1.7781,4.5
2007-05-31,284.7,87812.0,3253.7225,27.2753,1.6931,4.5
2007-06-30,279.95,75849.0,3199.4367,26.8202,1.6648,4.5
2007-07-31,268.2,68562.0,3065.1506,25.6945,1.595,3.0
2007-08-31,297.55,436829.0,3400.58,28.5064,1.7695,3.0
2007-09-30,350.8,1273476.0,4009.2932,33.6079,2.0862,3.0
2007-10-31,310.0,388491.0,3542.99,29.6991,1.8435,3.0
2007-11-30,329.65,182673.0,3767.5698,31.5817,1.9604,3.0
2007-12-31,337.7,136579.0,3859.5733,32.3529,2.0083,3.0
2008-01-31,310.0,249968.0,3542.99,29.6991,1.8435,3.0
2008-02-29,322.0,172350.0,3680.138,30.8488,1.9149,3.0
2008-03-31,274.45,352007.0,3136.689,26.6783,1.601,3.0
2008-04-30,278.05,46397.0,3177.8334,27.0283,1.622,3.0
2008-05-31,279.95,35731.0,3199.5485,27.213,1.6331,3.0
2008-06-30,280.0,136794.0,3200.12,27.2178,1.6334,6.0
2008-07-31,232.05,39004.0,2652.0994,22.5568,1.3537,6.0
2008-08-31,205.35,10916.0,2346.9451,19.9614,1.1979,6.0
2008-09-30,190.15,19034.0,2173.2243,18.4838,1.1092,6.0
2008-10-31,80.0,30991.0,914.32,7.7765,0.4667,6.0
2008-11-30,63.55,545311.0,726.3129,6.1775,0.3707,6.0
2008-12-31,70.5,171453.0,805.7445,6.8531,0.4113,6.0
2009-01-31,68.5,73823.0,782.8865,6.6587,0.3996,6.0
2009-02-28,71.0,56656.0,811.459,6.9017,0.4142,6.0
2009-03-31,79.3,50798.0,906.3197,8.3124,0.4146,6.0
2009-04-30,82.3,49072.0,940.6067,8.6268,0.4303,6.0
2009-05-31,160.05,186374.0,1829.2114,16.7767,0.8368,6.0
2009-06-30,140.3,115084.0,1603.4887,14.7065,0.7335,5.5
2009-07-31,139.65,84344.0,1596.0598,14.6384,0.7301,5.5
2009-08-31,160.8,124428.0,1837.7832,16.8553,0.8407,5.5
2009-09-30,166.6,96802.0,1904.0714,17.4633,0.871,5.5
2009-10-31,176.0,123422.0,2011.504,18.4486,0.9202,5.5
2009-11-30,184.85,58895.0,2112.6506,19.3763,0.9665,5.5
2009-12-31,220.2,189599.0,2516.6658,23.0818,1.1513,5.5
2010-01-31,240.0,92153.0,2742.96,25.1572,1.2548,5.5
2010-02-28,237.0,85205.0,2708.673,24.8428,1.2391,5.5
2010-03-31,350.5,740320.0,4005.8645,47.6223,1.9974,5.5
2010-04-30,366.35,259640.0,4187.0141,49.7758,2.0877,5.5
2010-05-31,329.95,95587.0,3770.9985,44.8302,1.8803,5.5
2010-06-30,345.55,59092.0,3949.2909,46.9497,1.9692,5.5
2010-07-31,380.2,252468.0,4345.3058,51.6576,2.1667,5.5
2010-08-31,417.5,1128841.0,4771.6075,56.7255,2.3792,5.5
2010-09-30,401.25,205073.0,4585.8862,54.5177,2.2866,5.5
2010-10-31,411.2,192180.0,4699.6048,55.8696,2.3433,5.5
2010-11-30,412.5,102411.0,4714.4625,56.0462,2.3507,5.5
2010-12-31,404.15,76397.0,4619.0303,54.9117,2.3031,5.5
2011-01-31,343.55,42247.0,3926.4329,46.678,1.9578,5.5
2011-02-28,350.0,59080.0,4000.15,47.5543,1.9946,5.5
2011-03-31,326.05,72402.0,3726.4254,17.1515,1.7718,5.5
2011-04-30,370.15,52652.0,4230.4443,19.4713,2.0114,5.5
2011-05-31,344.05,26718.0,3932.1474,18.0984,1.8696,5.5
2011-06-30,349.0,21380.0,3988.721,18.3588,1.8965,9.0
2011-07-31,341.2,43599.0,3899.5748,17.9484,1.8541,9.0
2011-08-31,333.85,50034.0,3815.5716,17.5618,1.8141,9.0
2011-09-30,310.3,45650.0,3546.4187,16.323,1.6862,9.0
2011-10-31,323.75,19260.0,3700.1387,17.0305,1.7593,9.0
2011-11-30,305.0,27203.0,3485.845,16.0442,1.6574,9.0
2011-12-31,300.0,33926.0,3428.7,15.7812,1.6302,9.0
2012-01-31,305.8,55608.0,3494.9882,16.0863,1.6617,9.0
2012-02-29,315.0,43130.0,3600.135,16.5702,1.7117,9.0
2012-03-31,308.5,43847.0,3525.7232,16.0442,1.7411,9.0
2012-04-30,328.8,52971.0,3757.7238,,1.8557,9.0
2012-05-31,326.0,49454.0,3725.7237,,1.8399,9.0
2012-06-30,323.4,39694.0,3696.0093,,1.8252,9.0
2012-07-31,344.0,105112.0,3931.4385,,1.9415,1.0
2012-08-31,344.8,66586.0,3940.5814,,1.946,1.0
2012-09-30,361.2,81983.0,4128.0104,,2.0385,1.0
2012-10-31,372.2,59661.0,4253.725,,2.1006,1.0
