TRENT IN Equity,price,volume,mc,pe,bm,div
1995-01-31,18.39,,2618.4,,,0.1839
1995-02-28,17.24,,2454.75,,,0.1839
1995-03-31,17.01,,2422.02,,,0.1839
1995-04-30,14.71,,2094.72,,,0.1839
1995-05-31,15.17,,2160.18,,,0.1839
1995-06-30,14.25,,2029.26,,,0.1839
1995-07-31,14.99,,2187.786,,,0.1839
1995-08-31,13.42,,1959.612,,,0.2758
1995-09-30,13.79,,2013.3,,,0.2758
1995-10-31,14.02,,2046.855,,,0.2758
1995-11-30,11.72,,1711.305,,,0.2758
1995-12-31,12.18,,1778.415,,,0.2758
1996-01-31,11.72,,1711.305,,,0.2758
1996-02-29,11.95,,1744.86,,,0.2758
1996-03-31,11.31,,1650.906,,,0.2758
1996-04-30,18.16,,2650.845,,,0.2758
1996-05-31,20.69,1127795.0,3019.95,,,0.2758
1996-06-30,21.42,1654172.0,3127.326,,,0.2758
1996-07-31,24.63,5990256.0,3595.4182,,,0.3448
1996-08-31,22.11,1008773.0,3227.991,,,0.3448
1996-09-30,17.73,402222.0,2588.7682,,,0.3448
1996-10-31,22.25,2749112.0,3248.124,,,0.3448
1996-11-30,24.27,1116495.0,3543.408,,,0.3448
1996-12-31,23.29,351552.0,3399.1215,,,0.3448
1997-01-31,19.82,514338.0,2892.441,,,0.3448
1997-02-28,20.96,644453.0,3060.216,,,0.3448
1997-03-31,21.26,951568.0,3103.8375,,,0.3448
1997-04-30,24.02,1035124.0,3506.4975,,,0.3448
1997-05-31,33.47,9975995.0,4885.608,,,0.3448
1997-06-30,37.91,13812271.0,5532.8071,,,0.3448
1997-07-31,38.04,1531256.0,5552.9386,,,0.4597
1997-08-31,28.14,4148720.0,4106.8259,,,0.4597
1997-09-30,27.01,2105334.0,3942.4186,,,0.4597
1997-10-31,27.61,2011771.0,4046.4314,,,0.4597
1997-11-30,23.7,1677119.0,3459.2626,,,0.4597
1997-12-31,26.32,2089075.0,3841.7611,,,0.4597
1998-01-31,23.93,4285317.0,3492.8151,,,0.4597
1998-02-28,13.27,8322867.0,1936.6502,,,0.4597
1998-03-31,18.28,50253462.0,2668.0947,,,0.4597
1998-04-30,17.11,46586725.0,2497.648,,,0.4597
1998-05-31,16.31,6801714.0,2380.8853,,,0.4597
1998-06-30,8.22,11333123.0,1199.1663,,,11.0339
1998-07-31,7.51,3141948.0,1095.8246,,,11.0339
1998-08-31,8.17,3277544.0,1192.4558,,,11.0339
1998-09-30,7.0,2778150.0,1021.3381,,,11.0339
1998-10-31,6.36,2764088.0,928.0621,,,11.0339
1998-11-30,6.28,2879564.0,915.9832,,,11.0339
1998-12-31,8.7,6638820.0,1269.6266,,,11.0339
1999-01-31,8.79,14835682.0,1283.0476,,,11.0339
1999-02-28,7.05,3987729.0,1029.3907,,,11.0339
1999-03-31,11.92,23650983.0,1739.3615,,,11.0339
1999-04-30,10.88,15259089.0,1587.7042,,,11.0339
1999-05-31,20.93,51627382.0,3055.2905,,,11.0339
1999-06-30,20.02,68044239.0,2855.7886,,,11.0339
1999-07-31,20.62,48852941.0,2942.3674,,,0.4138
1999-08-31,23.2,104964161.0,3309.6714,,,0.4138
1999-09-30,19.13,46275347.0,2729.8558,,,0.4138
1999-10-31,12.3,25901223.0,1754.5325,,,0.4138
1999-11-30,13.49,21151563.0,1924.4106,,,0.4138
1999-12-31,12.11,19715653.0,1726.9847,,,0.4138
