ENDU IN Equity,price,volume,mc,pe,bm,div
2016-10-31,619.15,63261272.0,87091.3985,29.0954,1.8772,0.0
2016-11-30,593.2,10033435.0,83441.1978,27.8759,1.7985,0.0
2016-12-31,576.75,2910742.0,81127.294,27.1029,1.7487,0.0
2017-01-31,614.9,3149801.0,86493.5814,28.8957,1.8643,0.0
2017-02-28,705.9,2818201.0,99293.9108,33.172,2.1402,0.0
2017-03-31,768.5,1790839.0,108099.4056,32.73,6.2509,0.0
2017-04-30,806.1,1589964.0,113388.3291,34.3313,6.5568,0.0
2017-05-31,841.4,2011171.0,118353.7279,35.8348,6.8439,0.0
2017-06-30,875.45,1970039.0,123143.2982,37.2849,7.1209,0.0
2017-07-31,904.5,2240232.0,127229.5542,38.5221,7.3571,2.5
2017-08-31,997.3,1782010.0,140283.0673,42.4744,8.112,2.5
2017-09-30,992.7,1757744.0,139636.0182,42.2785,8.0746,2.5
2017-10-31,1158.6,1382293.0,162971.9862,49.3441,9.424,2.5
2017-11-30,1274.55,1100742.0,179281.8406,54.2824,10.3671,2.5
2017-12-31,1363.3,3343420.0,191765.6689,58.0622,11.089,2.5
2018-01-31,1194.85,1619150.0,168071.0111,50.888,9.7188,2.5
2018-02-28,1378.95,1647515.0,193967.0342,58.7287,11.2163,2.5
2018-03-31,1264.85,2724600.0,177917.4033,45.531,8.1882,2.5
2018-04-30,1274.0,781860.0,179204.4684,45.8603,8.2474,2.5
2018-05-31,1309.5,1957175.0,184197.9995,47.1382,8.4772,2.5
2018-06-30,1249.2,679644.0,175716.0297,44.9676,8.0869,2.5
2018-07-31,1387.35,1003798.0,195148.6022,49.9406,8.9812,2.5
2018-08-31,1517.6,1593197.0,213469.9381,54.6292,9.8244,4.0
2018-09-30,1326.15,613904.0,186540.0359,47.7376,8.585,4.0
2018-10-31,1209.75,1062087.0,170166.8804,43.5475,7.8315,4.0
2018-11-30,1118.8,460769.0,157373.5943,40.2736,7.2427,4.0
2018-12-31,1282.8,461812.0,180442.3014,46.1771,8.3044,4.0
2019-01-31,1147.95,740429.0,161473.9164,41.3229,7.4314,4.0
2019-02-28,1298.1,1106033.0,182594.443,46.7279,8.4034,4.0
2019-03-31,1160.85,10134679.0,163288.4671,32.9881,6.3668,4.0
