HOMEFIRS IN Equity,price,volume,mc,pe,bm,div
2021-02-28,537.65,45883855.0,46983.5082,49.7364,4.5099,0.0
2021-03-31,448.4,6472629.0,39184.2371,36.249,2.8387,0.0
2021-04-30,497.7,4123504.0,43492.4059,40.2344,3.1509,0.0
2021-05-31,568.85,4959432.0,49763.9173,45.9863,3.6013,0.0
2021-06-30,541.25,2800676.0,47359.0346,43.7551,3.4266,0.0
2021-07-31,600.15,6128220.0,52512.7487,48.5166,3.7994,0.0
2021-08-31,570.65,3335920.0,49933.0391,46.1318,3.6127,0.0
2021-09-30,590.1,4035536.0,51645.9674,47.7041,3.7358,0.0
2021-10-31,705.25,6593405.0,61735.1526,57.0129,4.4648,0.0
2021-11-30,809.4,5549491.0,70871.1053,65.4325,5.1242,0.0
2021-12-31,774.2,2306945.0,67809.7339,62.5869,4.9013,0.0
2022-01-31,751.8,1805114.0,65847.7886,60.7761,4.7595,0.0
2022-02-28,680.1,1649250.0,59584.2425,54.9798,4.3056,0.0
2022-03-31,769.45,2177059.0,67429.7528,36.1924,4.2848,0.0
2022-04-30,702.4,1715611.0,61553.913,33.0386,3.9115,0.0
2022-05-31,778.0,4028324.0,68194.6494,36.5945,4.3324,0.0
2022-06-30,743.7,1154978.0,65212.3422,34.9812,4.1414,0.0
2022-07-31,827.7,1524617.0,72577.996,38.9323,4.6092,0.0
2022-08-31,969.6,7458249.0,85038.2958,45.6068,5.3994,0.0
2022-09-30,873.55,3599249.0,76636.4882,41.0889,4.8645,0.0
2022-10-31,726.25,2882423.0,63723.7982,34.1604,4.0443,0.0
2022-11-30,733.7,4878442.0,64433.5443,34.5108,4.0858,0.0
2022-12-31,731.65,2865375.0,64272.4776,34.4144,4.0743,0.0
2023-01-31,738.4,2286428.0,64865.4377,34.7319,4.1119,0.0
2023-02-28,724.65,1267129.0,63699.5756,34.0851,4.0354,0.0
2023-03-31,742.55,16045165.0,65356.8503,28.5486,3.5963,0.0
2023-04-30,712.45,2005121.0,62707.5456,27.3914,3.4505,0.0
2023-05-31,720.9,10674191.0,63502.7394,27.7163,3.4914,2.6
2023-06-30,784.0,5479925.0,69076.7457,30.1423,3.797,2.6
2023-07-31,870.1,4696231.0,76662.8526,33.4525,4.214,2.6
2023-08-31,834.25,4030147.0,73545.8599,32.0742,4.0404,2.6
2023-09-30,811.25,3200780.0,71529.5772,31.1899,3.929,2.6
2023-10-31,902.25,4927499.0,79553.2339,34.6886,4.3697,2.6
2023-11-30,898.45,14455069.0,79225.3641,34.5425,4.3513,2.6
2023-12-31,930.1,6648242.0,82176.2268,35.7593,4.5046,2.6
2024-01-31,984.7,4554981.0,87133.526,37.8585,4.7691,2.6
2024-02-29,868.2,4667187.0,76830.898,33.3795,4.2048,2.6
2024-03-31,897.8,3689012.0,79469.8147,25.9105,3.746,2.6
2024-04-30,912.55,3905914.0,80775.4282,26.3362,3.8075,2.6
2024-05-31,817.95,3950703.0,72485.4137,23.6061,3.4128,2.6
2024-06-30,1035.5,12958067.0,92066.9708,29.8846,4.3205,3.4
2024-07-31,1040.1,8005019.0,92597.2521,30.0173,4.3397,3.4
2024-08-31,1153.0,5934183.0,102648.4296,33.2756,4.8107,3.4
2024-09-30,1186.4,17645889.0,105792.7995,34.2395,4.9501,3.4
2024-10-31,1179.8,14874911.0,105281.0245,34.0491,4.9226,3.4
2024-11-30,1052.15,2902733.0,93890.0067,30.3651,4.39,3.4
2024-12-31,1055.55,35365526.0,94661.4569,30.4632,4.4041,3.4
2025-01-31,995.95,6974143.0,89316.544,28.7431,4.1555,3.4
2025-02-28,1018.65,15542749.0,91501.5849,29.3983,4.2502,3.4
2025-03-31,1014.15,9100527.0,91329.8259,23.6785,3.6224,3.4
2025-04-30,1229.3,13146288.0,126546.769,28.7018,4.3908,3.4
2025-05-31,1274.8,6338610.0,131513.7247,29.7642,4.5534,3.7
2025-06-30,1378.5,7584347.0,142211.8525,32.1854,4.9237,3.7
2025-07-31,1212.0,11662024.0,125161.5396,28.2979,4.329,3.7
2025-08-31,1218.6,7783789.0,125843.1123,28.452,4.3526,3.7
2025-09-30,1216.0,4975337.0,125929.6641,28.3913,4.3433,3.7
2025-10-31,1195.1,3860572.0,123765.248,27.9033,4.2687,3.7
2025-11-30,1111.0,6584029.0,115132.3589,25.9398,3.9683,3.7
2025-12-31,1102.2,5150499.0,114544.1643,25.7343,3.9369,3.7
2026-01-31,1178.7,18293555.0,122697.5262,27.5204,4.2101,3.7
2026-02-28,1083.1,11871340.0,112908.8653,25.2883,3.8686,3.7
2026-03-31,1047.5,2443977.0,109197.707,24.4572,3.7415,3.7
