EMCURE IN Equity,price,volume,mc,pe,bm,div
2024-07-31,1306.1,21193004.0,246981.351,47.4256,8.0142,0.0
2024-08-31,1410.45,5064822.0,266713.7635,51.2146,8.6545,0.0
2024-09-30,1469.4,3438784.0,277861.1111,53.3551,9.0162,0.0
2024-10-31,1439.1,3594581.0,272131.4312,52.2549,8.8303,0.0
2024-11-30,1365.0,2796384.0,258119.2437,49.5643,8.3756,0.0
2024-12-31,1447.1,2115774.0,274126.8258,52.5454,8.8794,0.0
2025-01-31,1228.5,1888220.0,232717.024,44.6078,7.5381,0.0
2025-02-28,981.7,2838531.0,185965.2442,35.6463,6.0237,0.0
2025-03-31,1072.4,2996881.0,203146.7127,29.4373,4.5703,0.0
2025-04-30,1021.9,4046831.0,193633.0323,28.0511,4.355,0.0
2025-05-31,1329.9,4693049.0,251993.9032,36.5056,5.6676,0.0
2025-06-30,1293.8,4122748.0,245153.5543,35.5147,5.5138,0.0
2025-07-31,1409.6,10330333.0,267130.9659,38.6934,6.0073,0.0
2025-08-31,1393.4,3011010.0,264060.9307,38.2487,5.9383,3.0
2025-09-30,1279.9,1496972.0,242551.7333,35.1331,5.4546,3.0
2025-10-31,1318.9,2616608.0,250017.0767,36.2037,5.6208,3.0
2025-11-30,1414.3,13994535.0,268101.5631,38.8224,6.0273,3.0
2025-12-31,1364.5,2714612.0,258671.7404,37.4554,5.8151,3.0
2026-01-31,1463.8,5125684.0,277496.2943,40.1812,6.2383,3.0
2026-02-28,1455.5,3699487.0,275922.8422,39.9533,6.2029,3.0
2026-03-31,1452.0,444897.0,275259.3382,39.8573,6.188,3.0
