KKB IN Equity,price,volume,mc,pe,bm,div
2006-10-31,521.87,856976.0,41396.1849,20.6237,9.3632,5.3333
2006-11-30,563.87,739395.0,44727.7634,22.2835,10.1168,5.3333
2006-12-31,545.73,676963.0,43289.3676,21.5669,9.7914,5.3333
2007-01-31,511.33,1362316.0,40560.6461,20.2074,9.1742,5.3333
2007-02-28,513.53,425321.0,40735.1574,20.2944,9.2137,5.3333
2007-03-31,486.73,714532.0,38609.293,4.5817,5.8201,5.3333
2007-04-30,442.93,619651.0,35134.9326,4.1694,5.2964,5.3333
2007-05-31,479.93,363078.0,38069.8946,4.5177,5.7388,5.3333
2007-06-30,571.33,390600.0,45320.044,5.3781,6.8317,5.3333
2007-07-31,583.73,861694.0,46303.6529,5.4948,6.98,5.3333
2007-08-31,620.13,326072.0,49191.0209,5.8375,7.4153,5.3333
2007-09-30,681.6,565019.0,54066.5568,6.4161,8.1502,5.3333
2007-10-31,545.93,752547.0,43305.0698,5.139,6.528,5.3333
2007-11-30,599.8,491917.0,47577.9354,5.646,7.1721,5.3333
2007-12-31,692.67,653344.0,54944.398,6.5202,8.2826,5.3333
2008-01-31,449.07,746193.0,35621.3152,4.2272,5.3697,5.3333
2008-02-29,456.8,660146.0,36234.7464,4.3,5.4622,2.6667
2008-03-31,304.27,972743.0,24135.3448,2.7154,3.2381,2.6667
2008-04-30,374.67,1087414.0,29719.684,3.3437,3.9874,2.6667
2008-05-31,305.07,392843.0,24198.8032,2.7225,3.2466,2.6667
2008-06-30,256.47,393429.0,20343.7054,2.2888,2.7294,2.6667
2008-07-31,229.67,353377.0,18217.849,2.0496,2.4442,5.3333
2008-08-31,191.0,195966.0,15150.693,1.7046,2.0327,5.3333
2008-09-30,161.87,620413.0,12839.7496,1.4446,1.7226,5.3333
2008-10-31,164.6,620477.0,13056.5658,1.4689,1.7517,5.3333
2008-11-30,99.33,132204.0,7879.418,0.8865,1.0571,5.3333
2008-12-31,114.0,404758.0,9042.822,1.0174,1.2132,5.3333
2009-01-31,89.33,333512.0,7086.188,0.7972,0.9507,5.3333
2009-02-28,104.73,879289.0,8307.7622,0.9347,1.1146,5.3333
2009-03-31,101.6,476135.0,8059.2168,9.4864,0.9935,5.3333
2009-04-30,134.73,1206944.0,10687.4522,12.58,1.3175,5.3333
2009-05-31,236.47,958437.0,18757.2454,22.0788,2.3124,5.3333
2009-06-30,242.27,397002.0,19217.3188,22.6204,2.3691,5.3333
2009-07-31,255.67,210851.0,20280.247,23.8715,2.5001,2.6667
2009-08-31,253.33,155848.0,20095.16,23.6536,2.4773,2.6667
2009-09-30,278.13,485504.0,22062.3704,25.9692,2.7198,2.6667
2009-10-31,296.93,585875.0,23553.6428,27.7246,2.9037,2.6667
2009-11-30,318.93,323251.0,25301.2362,29.7787,3.1188,2.6667
2009-12-31,349.4,285545.0,27718.1812,32.6234,3.4167,2.6667
2010-01-31,323.87,648911.0,25692.6015,30.2393,3.167,2.6667
2010-02-28,318.07,141779.0,25232.4828,29.6978,3.1103,2.6667
2010-03-31,347.4,196829.0,27559.5209,32.4366,3.3972,2.6667
2010-04-30,292.45,10061080.0,23198.1,20.6137,2.9463,2.6667
2010-05-31,260.4,440120.0,20655.7882,18.3547,2.6234,2.6667
