IIFL IN Equity,price,volume,mc,pe,bm,div
2005-05-31,7.31,350088551.0,3510.5307,4.7033,2.3509,0.0
2005-06-30,7.79,185065733.0,3741.086,5.0122,2.5053,0.0
2005-07-31,7.96,107125559.0,3821.5628,5.12,2.5592,0.0
2005-08-31,9.68,209197677.0,4648.0818,6.2274,3.1127,0.0
2005-09-30,12.88,543257728.0,6211.4861,8.2847,4.1411,0.0
2005-10-31,10.62,208931077.0,5121.2534,6.8306,3.4143,0.0
2005-11-30,12.56,69549725.0,6069.9419,8.0837,4.0406,0.0
2005-12-31,14.54,153762329.0,7023.9775,9.3542,4.6757,0.0
2006-01-31,14.44,61178275.0,6975.8381,9.2901,4.6436,0.3885
2006-02-28,13.88,26818757.0,6719.9038,8.9288,4.463,0.3885
2006-03-31,16.1,45909476.0,7807.5622,7.1685,1.9241,0.3885
2006-04-30,16.71,18211479.0,8027.1842,7.4387,1.9967,0.3885
2006-05-31,14.72,46238319.0,7331.135,6.5555,1.7596,0.3885
2006-06-30,10.39,41119573.0,5217.4874,4.6278,1.2422,0.3885
2006-07-31,10.51,25131774.0,5274.3228,4.6782,1.2557,0.5828
2006-08-31,15.11,95282542.0,7593.5106,6.7289,1.8062,0.5828
2006-09-30,16.83,111471070.0,8453.6685,7.4911,2.0107,0.5828
2006-10-31,17.65,82795258.0,8870.0942,7.8601,2.1098,0.5828
2006-11-30,24.89,260985313.0,12552.0086,11.0804,2.9742,0.5828
2006-12-31,27.64,72315730.0,13940.8387,12.3064,3.3032,0.5828
2007-01-31,28.67,90214673.0,14459.3657,12.7641,3.4261,0.5828
2007-02-28,26.87,62818329.0,13572.627,11.9636,3.2112,0.5828
2007-03-31,30.34,19355780.0,16706.6848,9.5711,2.4104,0.7771
2007-04-30,38.68,36108079.0,21421.3936,12.1996,3.0723,0.7771
2007-05-31,59.83,137401687.0,33135.4344,18.8708,4.7524,0.7771
2007-06-30,64.64,217208530.0,35799.3126,20.3879,5.1345,0.7771
2007-07-31,68.31,211592158.0,38274.6484,21.545,5.4259,0.7771
2007-08-31,61.48,153087045.0,34450.2288,19.3923,4.8837,0.7771
2007-09-30,75.93,132676626.0,44727.4961,23.9507,6.0317,0.5828
2007-10-31,99.69,91464728.0,58722.5125,31.4447,7.919,0.5828
2007-11-30,112.7,36714955.0,66425.3502,35.5475,8.9522,0.5828
2007-12-31,174.64,39250232.0,102932.0649,55.084,13.8723,0.5828
2008-01-31,105.43,44095594.0,62140.9632,33.2547,8.3748,0.5828
2008-02-29,100.74,26595612.0,63509.847,31.7762,8.0025,0.5828
2008-03-31,69.63,44394453.0,43897.8555,59.4417,6.8721,0.5828
2008-04-30,85.83,48243748.0,54107.9483,73.2669,8.4704,0.5828
2008-05-31,65.63,31208248.0,41410.1342,56.024,6.477,0.0
2008-06-30,45.65,33534180.0,28802.2043,38.9667,4.505,1.1656
2008-07-31,58.86,55717246.0,37140.8125,50.248,5.8092,1.1656
2008-08-31,58.31,28380210.0,36817.0778,49.7764,5.7547,1.1656
2008-09-30,44.2,28731189.0,27909.4896,37.7334,4.3624,1.1656
2008-10-31,25.86,46384669.0,16328.2022,22.0756,2.5522,1.1656
2008-11-30,16.26,35660689.0,10265.8925,13.8794,1.6046,1.1656
2008-12-31,23.05,73564194.0,14555.2626,19.6786,2.2751,1.1656
2009-01-31,20.54,107366346.0,12968.1957,17.5329,2.027,3.8854
2009-02-28,22.51,51271219.0,14212.113,19.2146,2.2214,3.8854
2009-03-31,26.56,42651009.0,16771.4372,5.3937,0.5017,3.8854
2009-04-30,34.58,103246763.0,21832.8939,7.0214,0.6531,3.8854
2009-05-31,68.64,117858607.0,43336.9361,13.9371,1.2964,3.8854
2009-06-30,55.19,119433457.0,34843.9833,11.2057,1.0423,2.7198
2009-07-31,61.89,164587545.0,39044.7183,12.5668,1.1689,2.7198
2009-08-31,61.48,168916147.0,38787.5631,12.484,1.1612,1.1656
2009-09-30,67.46,96569096.0,42559.1715,13.698,1.2741,1.1656
2009-10-31,58.56,71560551.0,36944.6182,11.8909,1.106,1.1656
2009-11-30,59.76,52770015.0,37701.7971,12.1346,1.1287,1.1656
2009-12-31,58.38,44326399.0,36530.2592,11.8541,1.1026,1.1656
2010-01-31,53.6,53299327.0,33657.5582,10.8839,1.0124,2.9141
2010-02-28,51.81,28125393.0,32534.2177,10.5206,0.9786,2.9141
2010-03-31,51.7,28510042.0,32557.2709,6.5065,0.9459,2.9141
2010-04-30,49.28,29443890.0,31041.326,6.2015,0.9015,2.9141
2010-05-31,43.73,41697921.0,27559.5711,5.5033,0.8,2.9141
2010-06-30,43.86,38289468.0,27691.6045,5.5204,0.8025,2.9141
2010-07-31,41.15,45673560.0,26036.1467,5.1784,0.7528,2.9141
2010-08-31,42.23,63831498.0,27050.3799,5.3152,0.7727,2.9141
2010-09-30,52.08,66914129.0,33454.3626,6.5549,0.9529,2.9141
2010-10-31,52.85,39884433.0,33948.9054,6.6518,0.967,1.7484
