DMART IN Equity,price,volume,mc,pe,bm,div
2017-03-31,637.85,146595148.0,398072.2809,,,0.0
2017-04-30,736.5,84251166.0,459638.2141,,,0.0
2017-05-31,745.15,33142421.0,465036.5448,,,0.0
2017-06-30,815.1,21818255.0,508691.2537,,,0.0
2017-07-31,919.7,28927552.0,573970.4895,,,0.0
2017-08-31,1039.8,17923766.0,648923.0347,,,0.0
2017-09-30,1078.45,27889117.0,673043.8995,,,0.0
2017-10-31,1140.6,31950727.0,711830.7495,,,0.0
2017-11-30,1118.1,11579375.0,697788.8493,,,0.0
2017-12-31,1181.35,15944167.0,737262.1922,,,0.0
2018-01-31,1179.65,16808653.0,736201.2486,,,0.0
2018-02-28,1348.15,15196227.0,841359.4998,,,0.0
2018-03-31,1324.8,15429699.0,826787.1271,,,0.0
2018-04-30,1490.65,16919020.0,930291.5391,,,0.0
2018-05-31,1572.15,54567107.0,981154.4247,,,0.0
2018-06-30,1485.4,15944473.0,927015.0955,,,0.0
2018-07-31,1654.9,12404029.0,1032797.416,,,0.0
2018-08-31,1604.5,10557639.0,1001343.558,,,0.0
2018-09-30,1395.95,8021775.0,871190.7382,,,0.0
2018-10-31,1337.95,19186011.0,834993.838,,,0.0
2018-11-30,1492.5,10842022.0,931446.0954,,,0.0
2018-12-31,1606.65,14249257.0,1002685.339,,,0.0
2019-01-31,1374.85,16828270.0,858022.5556,,,0.0
2019-02-28,1455.8,10154650.0,908542.1947,,,0.0
2019-03-31,1471.1,8795838.0,918090.6874,,,0.0
2019-04-30,1295.5,13116240.0,808501.4516,,,0.0
2019-05-31,1323.1,12522391.0,825726.1834,,,0.0
2019-06-30,1397.9,7036076.0,872407.703,,,0.0
2019-07-31,1482.7,12295483.0,925330.0674,,,0.0
2019-08-31,1571.15,21244481.0,980530.3402,,,0.0
2019-09-30,1860.6,12006309.0,1161171.595,,18.6207,0.0
2019-10-31,1994.65,8901094.0,1244830.12,,19.9623,0.0
2019-11-30,1822.5,8644653.0,1140897.284,,18.2394,0.0
2019-12-31,1838.35,11654091.0,1152572.594,,18.8504,0.0
2020-01-31,2133.95,27576131.0,1339639.802,,,0.0
2020-02-29,2323.95,35757688.0,1505395.993,,,0.0
2020-03-31,2187.5,13446591.0,1417007.137,105.4725,12.7892,0.0
2020-04-30,2383.65,6461901.0,1544068.142,114.9301,13.936,0.0
2020-05-31,2269.35,10969133.0,1470027.495,109.419,13.2677,0.0
2020-06-30,2317.15,10039143.0,1500991.125,143.2108,13.394,0.0
2020-07-31,2063.45,25104234.0,1336650.686,127.5309,,0.0
2020-08-31,2251.25,13045814.0,1458302.773,139.1378,,0.0
2020-09-30,2203.15,15270591.0,1427144.811,156.4737,12.6069,0.0
2020-10-31,2239.9,18705490.0,1450950.566,159.0838,12.8172,0.0
2020-11-30,2289.2,10948210.0,1482885.859,162.5852,13.0993,0.0
2020-12-31,2763.6,17497908.0,1790190.18,186.2264,15.3373,0.0
2021-01-31,2651.5,15755477.0,1717574.636,178.6725,,0.0
2021-02-28,2994.2,11981992.0,1939567.028,201.7655,,0.0
2021-03-31,2859.05,11756353.0,1852020.276,168.3775,15.2008,0.0
2021-04-30,2852.9,9041975.0,1848036.462,168.0153,15.1681,0.0
2021-05-31,3069.4,8127742.0,1988279.686,180.7656,16.3192,0.0
2021-06-30,3344.1,8641748.0,2166223.398,187.5547,17.3902,0.0
2021-07-31,3500.8,6106142.0,2267729.638,196.3432,,0.0
2021-08-31,3954.8,5951470.0,2561819.348,221.8059,,0.0
2021-09-30,4250.2,7724621.0,2753171.992,200.3866,21.6836,0.0
2021-10-31,4635.45,22838514.0,3002727.191,218.5502,23.6491,0.0
