GRAV IN Equity,price,volume,mc,pe,bm,div
2010-11-30,57.92,810688040.0,3944.352,11.5057,9.7886,0.0
2010-12-31,50.65,364417460.0,3449.265,10.0615,8.56,0.0
2011-01-31,45.42,77591515.0,3093.102,9.0226,7.6761,0.0
2011-02-28,50.67,35359675.0,3450.627,10.0655,8.5633,0.0
2011-03-31,75.53,134569460.0,5143.593,29.1622,6.5487,0.0
2011-04-30,70.76,89768830.0,4818.756,27.3205,6.1351,0.0
2011-05-31,70.64,29230830.0,4810.584,27.2741,6.1247,0.0
2011-06-30,68.56,19213345.0,4668.936,26.471,5.9444,0.0
2011-07-31,71.64,23406030.0,4878.684,27.6602,6.2114,0.8
2011-08-31,65.37,30207335.0,4451.697,25.2394,5.6678,0.8
2011-09-30,76.95,139102285.0,5240.295,29.7104,6.6718,0.8
2011-10-31,102.09,110386570.0,6952.3289,39.417,8.8515,0.8
2011-11-30,82.17,60810675.0,5595.777,31.7259,7.1244,0.8
2011-12-31,72.99,32458925.0,4970.619,28.1815,6.3285,0.8
2012-01-31,111.89,53831135.0,7619.7089,43.2008,9.7012,0.8
2012-02-29,152.25,35634320.0,10368.2249,58.7838,13.2006,1.0
2012-03-31,133.53,34020975.0,9093.3929,60.4208,10.5172,1.0
2012-04-30,170.98,64240930.0,11643.7379,77.3665,13.4669,1.0
2012-05-31,177.25,22324726.0,12070.7247,80.2036,13.9607,1.0
2012-06-30,173.7,16565974.0,11828.9697,78.5973,13.6811,1.0
2012-07-31,168.65,14848480.0,11485.0647,76.3122,13.2834,0.8
2012-08-31,161.2,11348932.0,10977.7198,72.9412,12.6966,0.8
2012-09-30,170.4,11158385.0,11604.2397,77.1041,13.4212,1.0
2012-10-31,169.15,8883682.0,11519.1147,76.5385,13.3228,1.0
2012-11-30,166.15,4329091.0,11319.401,75.181,13.0865,1.0
2012-12-31,183.35,9175866.0,12491.1958,82.9638,14.4412,1.0
2013-01-31,164.9,6414392.0,11234.2415,74.6154,12.988,1.0
2013-02-28,88.0,5571327.0,5995.2289,39.819,6.9311,1.1
2013-03-31,30.1,2371224.0,2050.6408,10.7885,2.0632,1.1
2013-04-30,35.7,7318735.0,2432.1554,12.7957,2.4471,1.1
2013-05-31,25.6,2402204.0,1744.0666,9.1756,1.7548,1.1
2013-06-30,21.6,3169055.0,1471.555,7.7419,1.4806,1.1
2013-07-31,23.3,4196822.0,1587.3719,8.3513,1.5971,0.8
2013-08-31,24.4,1411934.0,1662.3122,8.7455,1.6725,0.8
2013-09-30,27.05,2205555.0,1842.8502,9.6953,1.8542,0.6
2013-10-31,26.35,1253799.0,1795.1609,9.4444,1.8062,0.6
2013-11-30,36.65,3190310.0,2498.6197,13.1362,2.5122,0.6
2013-12-31,36.25,4137190.0,2471.3497,12.9928,2.4848,0.6
2014-01-31,53.4,9290150.0,3640.5537,19.1398,3.6603,0.6
2014-02-28,42.7,2242639.0,2911.0795,15.3047,2.9269,0.6
2014-03-31,34.7,2425727.0,2365.6782,11.0863,2.117,0.6
2014-04-30,33.55,2780485.0,2287.2767,10.7188,2.0469,0.6
2014-05-31,41.45,1930602.0,2825.8605,13.2428,2.5289,0.6
2014-06-30,68.8,7224097.0,4690.4512,21.9808,4.1975,0.6
2014-07-31,73.0,7474805.0,4978.2433,23.3227,4.4537,0.8
2014-08-31,75.2,4158424.0,5128.2726,24.0256,4.588,0.8
2014-09-30,86.9,8496976.0,5926.1554,27.7636,5.3018,0.8
2014-10-31,90.8,2802324.0,6192.1164,29.0096,5.5397,0.8
2014-11-30,67.8,2582651.0,4627.6604,21.6613,4.1365,0.8
2014-12-31,58.65,3035962.0,4003.131,18.738,3.5782,0.8
2015-01-31,55.15,3986661.0,3764.24,17.6198,3.3647,0.8
2015-02-28,44.15,1741277.0,3013.4581,14.1054,2.6936,0.5
2015-03-31,36.3,2177657.0,2477.6412,37.4227,2.0986,0.5
2015-04-30,36.1,3223880.0,2463.9903,37.2165,2.0871,0.5
2015-05-31,31.5,1152257.0,2150.0192,32.4742,1.8211,0.5
2015-06-30,30.9,1069452.0,2109.0664,31.8557,1.7864,0.5
2015-07-31,34.9,2334025.0,2382.0848,35.9794,2.0177,0.2
2015-08-31,28.05,3826517.0,1915.5745,28.9175,1.6217,0.2
2015-09-30,28.4,2426867.0,1939.4765,29.2784,1.6419,0.2
