APTUS IN Equity,price,volume,mc,pe,bm,div
2021-08-31,369.45,55398561.0,183092.2508,66.4478,1.7971,0.0
2021-09-30,316.45,23001402.0,156826.4793,56.9155,1.5393,0.0
2021-10-31,330.0,13349354.0,163541.5964,59.3525,1.6052,0.0
2021-11-30,312.9,13873242.0,155067.1682,56.277,1.522,0.0
2021-12-31,339.9,6877773.0,168902.4605,61.1331,1.6533,0.0
2022-01-31,361.5,7986796.0,179635.8913,65.018,1.7584,0.0
2022-02-28,343.75,9216992.0,170815.5952,61.8255,1.672,0.0
2022-03-31,340.55,7133083.0,169225.4573,44.9274,5.803,0.0
2022-04-30,326.95,4574652.0,162467.3712,43.1332,5.5713,0.0
2022-05-31,285.75,6501050.0,141994.3456,37.6979,4.8692,0.0
2022-06-30,281.8,8663466.0,140031.5192,37.1768,4.8019,0.0
2022-07-31,282.3,3822471.0,140347.4214,37.2427,4.8104,0.0
2022-08-31,359.75,12560489.0,178852.2311,47.4604,6.1302,0.0
2022-09-30,307.3,21704099.0,153033.1724,40.5409,5.2364,0.0
2022-10-31,315.7,5571857.0,157216.3115,41.6491,5.3796,0.0
2022-11-30,313.8,8089096.0,156270.1253,41.3984,5.3472,0.0
2022-12-31,303.8,8462340.0,151290.1978,40.0792,5.1768,2.0
2023-01-31,277.85,2056660.0,138367.2859,36.6557,4.7346,2.0
2023-02-28,242.05,2693114.0,120539.1454,31.9327,4.1246,2.0
2023-03-31,242.9,24829698.0,120971.548,24.0257,3.6226,2.0
2023-04-30,240.0,3529143.0,119527.2602,23.7389,3.5794,2.0
2023-05-31,262.0,8979325.0,130493.7508,25.9149,3.9075,4.0
2023-06-30,248.25,36494993.0,123645.3192,24.5549,3.7024,4.0
2023-07-31,283.0,21045956.0,141128.2798,27.9921,4.2207,4.0
2023-08-31,268.95,15235333.0,134121.7344,26.6024,4.0111,4.0
2023-09-30,292.4,13960607.0,145815.9329,28.9219,4.3609,4.0
2023-10-31,288.75,10225872.0,144049.8678,28.5608,4.3064,4.0
2023-11-30,289.75,21297004.0,144563.2293,28.6597,4.3214,4.0
2023-12-31,319.75,22004865.0,159530.9493,31.6271,4.7688,2.0
2024-01-31,374.65,16881995.0,186921.877,37.0574,5.5876,2.0
2024-02-29,352.15,23452073.0,175696.087,34.8318,5.252,2.0
2024-03-31,309.15,7770001.0,154242.3549,25.1956,4.0936,2.0
2024-04-30,327.05,14493556.0,163173.0945,26.6544,4.3306,2.0
2024-05-31,299.8,53696095.0,149592.4055,24.4336,3.9698,4.5
2024-06-30,329.95,21687719.0,164636.4716,26.8908,4.369,4.5
2024-07-31,315.9,11865217.0,157625.8869,25.7457,4.1829,4.5
2024-08-31,327.95,16630774.0,163638.5236,26.7278,4.3425,4.5
2024-09-30,357.6,23918316.0,178565.1913,29.1443,4.7351,4.5
2024-10-31,355.7,52487147.0,177758.6491,28.9894,4.7099,4.5
2024-11-30,320.0,18921242.0,159917.8176,26.0799,4.2372,6.5
2024-12-31,289.45,23098952.0,144671.2022,23.5901,3.8327,6.5
2025-01-31,303.0,17628881.0,151443.6838,24.6944,4.0121,6.5
2025-02-28,307.55,11388440.0,153717.8381,25.0652,4.0724,4.5
2025-03-31,294.75,7914596.0,147320.2172,19.5977,3.4128,4.5
2025-04-30,318.65,10925730.0,159265.7751,21.1868,3.6896,4.5
2025-05-31,340.65,14331241.0,170261.6861,22.6496,3.9443,4.5
2025-06-30,323.95,150115223.0,161917.8267,21.5392,3.7509,4.5
2025-07-31,327.65,36794595.0,163805.5907,21.7852,3.7938,4.5
2025-08-31,317.6,22365480.0,158917.8642,21.117,3.6774,4.5
2025-09-30,319.75,91446385.0,160079.076,21.26,3.7023,4.5
2025-10-31,317.6,24803327.0,159009.691,21.117,3.6774,4.5
2025-11-30,279.1,33987903.0,139734.2719,18.5572,3.2316,4.5
2025-12-31,279.1,24494612.0,139751.7156,18.5572,3.2316,4.5
2026-01-31,275.4,15039348.0,137901.7955,18.3112,3.1888,4.5
2026-02-28,244.0,35605296.0,122178.7876,16.2234,2.8252,4.5
2026-03-31,231.3,5097171.0,115819.4834,15.379,2.6782,4.5
