RAINBOW IN Equity,price,volume,mc,pe,bm,div
2022-05-31,497.2,35595830.0,50466.6388,,7.9457,0.0
2022-06-30,465.95,2932720.0,47294.7111,,7.432,0.0
2022-07-31,489.0,2384825.0,49634.3249,,,0.0
2022-08-31,610.7,11273513.0,61987.0803,,,0.0
2022-09-30,630.85,4877674.0,64032.3392,,6.7666,2.0
2022-10-31,689.05,4500242.0,69939.7374,,7.3909,2.0
2022-11-30,745.55,9325781.0,75674.5827,,7.9969,2.0
2022-12-31,739.2,25064024.0,75030.047,43.6364,8.168,2.0
2023-01-31,766.95,2833008.0,77846.7188,45.2745,,2.0
2023-02-28,740.55,3159528.0,75167.0743,43.7161,,2.0
2023-03-31,730.5,2317797.0,74146.9824,34.9689,6.9956,2.0
2023-04-30,791.35,3024877.0,80323.36,37.8818,7.5783,2.0
2023-05-31,989.3,5583196.0,100415.6189,47.3576,9.474,2.0
2023-06-30,961.1,4448345.0,97553.2714,45.4421,9.3605,3.0
2023-07-31,1104.0,6098510.0,112057.8624,52.1986,,3.0
2023-08-31,1059.45,7578379.0,107535.9623,50.0922,,3.0
2023-09-30,1028.35,7456268.0,104379.2598,48.302,9.1607,3.0
2023-10-31,1063.15,5371783.0,107911.5185,49.9366,9.4708,3.0
2023-11-30,1073.3,4270696.0,108941.7607,50.4133,9.5612,3.0
2023-12-31,1193.05,4244719.0,121096.5877,55.0554,10.6306,3.0
2024-01-31,1217.6,3223389.0,123588.4541,56.1883,,3.0
2024-02-29,1357.2,7420792.0,137758.0896,62.6304,,3.0
2024-03-31,1297.55,6057271.0,131703.514,60.6899,10.4616,3.0
2024-04-30,1375.2,2773988.0,139585.12,64.3218,11.0876,3.0
2024-05-31,1300.7,7964131.0,132023.2443,60.8372,10.487,3.0
2024-06-30,1245.85,3039538.0,126455.8767,58.6835,10.158,3.0
2024-07-31,1184.55,4478083.0,120285.9435,55.796,,3.0
2024-08-31,1267.5,2711431.0,128716.7455,59.7033,,3.0
2024-09-30,1399.85,9810237.0,142157.1094,61.3969,10.5817,3.0
2024-10-31,1614.2,5392564.0,163924.7106,70.7982,12.202,3.0
2024-11-30,1589.4,8403165.0,161406.2291,69.7105,12.0145,3.0
2024-12-31,1499.55,2387814.0,152281.8112,63.974,11.2522,3.0
2025-01-31,1423.75,3120663.0,144584.1944,60.7402,,3.0
2025-02-28,1239.6,3166337.0,125883.4539,52.884,,3.0
2025-03-31,1401.7,5263492.0,142344.98,58.4773,9.6952,3.0
2025-04-30,1381.7,6705338.0,140313.9466,57.6429,9.5569,3.0
2025-05-31,1402.5,3674129.0,142426.2214,58.5106,9.7008,3.0
2025-06-30,1562.0,4370736.0,158623.7132,61.6174,10.4665,3.0
2025-07-31,1524.4,5340913.0,154805.3703,60.1341,,3.0
2025-08-31,1502.1,2166239.0,152552.0082,59.2544,,3.0
2025-09-30,1356.0,2913454.0,137714.2155,54.2617,9.0724,3.0
2025-10-31,1369.4,6640049.0,139075.1082,54.7979,9.1621,3.0
2025-11-30,1351.3,3429436.0,137236.8875,54.0736,9.041,3.0
2025-12-31,1320.0,2099001.0,134058.0859,52.03,8.8188,3.0
2026-01-31,1138.1,3322394.0,115584.4754,44.8601,,3.0
2026-02-28,1189.7,3371167.0,120824.9279,46.894,,3.0
2026-03-31,1213.1,457924.0,123201.4097,47.8163,,3.0
