GUJS IN Equity,price,volume,mc,pe,bm,div
2006-02-28,36.95,184248513.0,20035.8894,,,0.0
2006-03-31,36.75,84712140.0,19927.4408,,,0.0
2006-04-30,37.05,28550041.0,19873.2164,,,0.0
2006-05-31,34.95,53560609.0,18951.4029,,,0.0
2006-06-30,31.45,17615596.0,17053.5513,,,0.0
2006-07-31,32.55,12565342.0,17650.019,,,0.0
2006-08-31,35.5,14346835.0,19249.6367,,,0.0
2006-09-30,38.6,28390158.0,20930.5908,,,0.25
2006-10-31,38.6,16537430.0,20930.5908,,,0.25
2006-11-30,41.3,14465356.0,22394.6477,,,0.25
2006-12-31,44.7,15718648.0,24238.2749,,,0.25
2007-01-31,50.5,25395806.0,27383.2859,,,0.25
2007-02-28,46.05,21846617.0,24985.4669,,,0.25
2007-03-31,47.0,10226641.0,25500.9108,28.4848,2.6412,0.25
2007-04-30,52.25,11704234.0,28361.4843,31.6667,2.9362,0.25
2007-05-31,57.8,19683182.0,31374.0439,35.0303,3.2481,0.25
2007-06-30,58.55,26532919.0,31781.1466,35.4848,3.2902,0.25
2007-07-31,56.35,17347532.0,30592.6674,34.1515,3.1666,0.25
2007-08-31,59.05,7746133.0,32058.5095,35.7879,3.3183,0.25
2007-09-30,65.75,24333583.0,35695.9375,39.8485,3.6949,0.5
2007-10-31,59.1,17766415.0,32087.7541,35.8182,3.3212,0.5
2007-11-30,73.2,126997387.0,41128.4145,44.3636,4.1135,0.5
2007-12-31,96.45,201993244.0,54191.7841,58.4545,5.4201,0.5
2008-01-31,79.7,205162041.0,44780.5619,48.303,4.4788,0.5
2008-02-29,70.8,52420393.0,39790.0753,42.9091,3.9786,0.5
2008-03-31,56.15,41147091.0,31556.677,34.0303,3.1554,0.5
2008-04-30,68.4,63835987.0,38441.2801,41.4545,3.8438,0.5
2008-05-31,63.7,52556861.0,35800.8852,38.6061,3.5797,0.5
2008-06-30,55.75,26262001.0,31332.7998,33.7879,3.1329,0.5
