CGPOWER IN Equity,price,volume,mc,pe,bm,div
2006-05-31,28.63,22715175.0,53123.398,7.8856,2.3389,0.8163
2006-06-30,24.7,21586877.0,45828.7168,6.8027,2.0177,0.8163
2006-07-31,28.2,22929930.0,52319.5692,7.7662,2.3035,0.8163
2006-08-31,29.52,16313452.0,54762.4374,8.1289,2.4111,0.8163
2006-09-30,34.78,21822246.0,64515.7283,9.5766,2.8405,0.8163
2006-10-31,33.72,33580896.0,62551.9785,9.2851,2.754,0.4898
2006-11-30,37.39,37476584.0,69359.6446,10.2957,3.0537,0.4898
2006-12-31,41.26,32353348.0,76539.1039,11.3614,3.3698,0.4898
2007-01-31,38.62,35379645.0,71645.4399,10.635,3.1544,0.4898
2007-02-28,38.89,41175946.0,72140.3048,10.7084,3.1762,0.6735
2007-03-31,39.43,33306149.0,73148.3629,8.9774,2.6107,0.7347
2007-04-30,43.56,20764730.0,80809.6046,9.9177,2.8841,0.7347
2007-05-31,48.59,45127371.0,90138.7243,11.0626,3.217,0.7347
2007-06-30,50.07,29339625.0,92887.9737,11.4,3.3152,0.7347
2007-07-31,57.97,33410659.0,107550.6373,13.1996,3.8385,0.7347
2007-08-31,60.42,38800279.0,112096.063,13.7574,4.0007,0.7347
2007-09-30,66.12,31168706.0,122671.6419,15.0553,4.3781,0.7347
2007-10-31,80.36,37133290.0,149082.7932,18.2967,5.3207,0.7347
2007-11-30,83.83,24675158.0,155516.0438,19.0863,5.5503,0.8
2007-12-31,77.73,38190576.0,144207.4523,17.6984,5.1467,0.8
2008-01-31,64.54,26729880.0,119739.106,14.6954,4.2735,0.8
2008-02-29,62.32,22182918.0,115615.2274,14.1893,4.1263,0.9714
2008-03-31,54.43,18327769.0,100970.8763,8.5807,2.682,0.9714
2008-04-30,49.33,23555854.0,91513.4481,7.777,2.4308,0.9143
2008-05-31,45.59,29579083.0,84585.332,7.1882,2.2468,0.9143
2008-06-30,43.84,29931815.0,81322.8859,6.911,2.1601,0.9143
2008-07-31,46.68,26572959.0,86601.4505,7.3595,2.3003,0.9143
2008-08-31,53.6,30057353.0,99431.295,8.4499,2.6411,0.9143
2008-09-30,45.78,27436353.0,84933.5707,7.2178,2.256,0.9143
2008-10-31,30.27,22887237.0,56158.0623,4.7724,1.4917,1.0857
2008-11-30,23.35,21490679.0,43309.8894,3.6806,1.1504,1.0857
2008-12-31,26.69,27016035.0,49523.1998,4.2086,1.3154,1.0857
2009-01-31,25.6,31991799.0,47488.753,4.0357,1.2614,1.0857
2009-02-28,24.55,22574039.0,45545.948,3.8706,1.2098,1.0857
2009-03-31,24.4,141012874.0,45271.0228,2.7952,0.8549,1.1429
2009-04-30,31.64,35094343.0,58705.7028,3.6247,1.1086,1.1429
2009-05-31,51.88,47300778.0,96242.1622,5.9424,1.8175,1.1429
2009-06-30,57.72,39872791.0,107074.2166,6.6112,2.022,1.1429
2009-07-31,58.21,26507766.0,107990.6341,6.6678,2.0393,1.1429
2009-08-31,64.07,31273480.0,118859.3452,7.3389,2.2446,1.1429
2009-09-30,61.97,27230443.0,114973.7352,7.099,2.1712,1.1429
2009-10-31,75.57,40676468.0,140193.5438,8.6561,2.6475,1.2
2009-11-30,77.92,30310079.0,144555.691,8.9255,2.7298,1.2
2009-12-31,84.43,24279402.0,156634.0732,9.6713,2.9579,1.2
2010-01-31,85.74,29801744.0,159071.7436,9.8218,3.004,1.2
2010-02-28,82.28,21403121.0,152638.493,9.4246,2.8825,1.5429
2010-03-31,90.23,41182503.0,167397.2111,7.0165,2.3114,1.5429
2010-04-30,91.11,25228883.0,169033.0145,7.085,2.3339,1.5429
2010-05-31,83.14,42767457.0,154246.635,6.4653,2.1298,1.2571
2010-06-30,89.14,25119902.0,165376.5129,6.9318,2.2835,1.2571
2010-07-31,95.63,35493839.0,177404.4788,7.4359,2.4495,1.2571
2010-08-31,102.46,24757795.0,190073.9362,7.967,2.6245,1.2571
2010-09-30,108.13,25989922.0,200594.3971,8.4079,2.7697,1.2571
2010-10-31,109.94,29627046.0,203962.2275,8.5491,2.8162,2.0571
2010-11-30,115.85,28012550.0,214931.7325,9.0089,2.9677,2.0571
2010-12-31,107.18,15288545.0,198830.2954,8.334,2.7454,1.6
2011-01-31,96.32,23300949.0,178687.4618,7.4897,2.4673,1.6
2011-02-28,84.61,22953190.0,156972.974,6.5795,2.1674,2.4
2011-03-31,94.31,24722753.0,174966.811,6.5268,1.8475,2.2
2011-04-30,87.21,35591336.0,161784.1604,6.035,1.7083,2.2
2011-05-31,91.36,27481780.0,169482.0586,6.3222,1.7896,2.2
2011-06-30,89.57,19892624.0,166178.3772,6.1989,1.7547,2.2
2011-07-31,58.59,188204132.0,108700.7374,4.0549,1.1478,2.2
2011-08-31,52.01,71567679.0,96480.324,3.599,1.0188,2.2
2011-09-30,52.73,47105679.0,97827.4562,3.6493,1.033,2.2
2011-10-31,48.27,66955469.0,89552.2156,3.3406,0.9456,2.2
2011-11-30,43.76,26899120.0,81180.7514,3.0283,0.8572,2.2
2011-12-31,43.6,30896325.0,80892.0802,3.0175,0.8542,2.2
2012-01-31,46.11,57007971.0,85542.8937,3.191,0.9033,2.2
2012-02-29,49.29,87815045.0,91444.6156,3.4112,0.9656,1.6
2012-03-31,47.75,53161367.0,88589.9868,8.2049,0.8483,1.4
2012-04-30,45.44,38795433.0,84291.9932,7.8068,0.8072,1.4
2012-05-31,38.74,65761135.0,71879.1312,6.6572,0.6883,1.4
2012-06-30,41.91,34417652.0,77748.7792,7.2008,0.7445,1.4
2012-07-31,40.16,50435924.0,74509.2467,6.9008,0.7135,1.0
2012-08-31,37.31,24117488.0,69216.9412,6.4106,0.6628,1.0
2012-09-30,43.6,84047870.0,80892.0879,7.4919,0.7746,1.0
2012-10-31,43.21,53146422.0,80154.3726,7.4236,0.7676,1.0
2012-11-30,39.54,63868190.0,73354.5618,6.7938,0.7024,1.4
2012-12-31,40.08,48866609.0,74348.8738,6.8859,0.712,1.4
2013-01-31,36.98,118084115.0,68607.5242,6.3542,0.657,1.4
2013-02-28,31.38,44296118.0,58215.3606,5.3917,0.5575,1.2
2013-03-31,32.43,29244026.0,60171.9099,5.4927,0.5842,0.8
2013-04-30,31.88,30978179.0,59145.5234,,0.5742,0.8
2013-05-31,32.45,81769581.0,60203.9845,,0.5845,0.8
2013-06-30,30.22,59693094.0,56066.3638,,0.5443,0.8
2013-07-31,29.11,58649594.0,54013.5908,,0.5244,0.8
2013-08-31,28.04,67866598.0,52024.9669,,0.5051,0.8
2013-09-30,29.75,44552780.0,55200.3502,,0.5359,0.8
2013-10-31,36.51,44293133.0,67741.5105,,0.6577,0.8
2013-11-30,43.19,61450903.0,80122.298,,0.7779,0.8
2013-12-31,44.5,60089147.0,82559.966,,0.8016,0.8
2014-01-31,40.04,57698712.0,72577.2047,,0.7212,0.8
2014-02-28,44.43,61361187.0,80536.8809,,0.8003,1.2
2014-03-31,55.46,94426358.0,100530.0832,14.3688,0.9538,1.2
2014-04-30,56.92,112161207.0,103162.4171,14.745,0.9788,1.2
2014-05-31,63.14,110114987.0,114443.8479,16.3575,1.0858,1.2
2014-06-30,69.4,112874429.0,125787.9533,17.9789,1.1934,1.2
2014-07-31,67.24,149005641.0,121870.7898,17.419,1.1563,1.2
2014-08-31,67.34,86197272.0,122058.8136,17.4459,1.158,1.2
2014-09-30,69.54,116934884.0,126038.6517,18.0147,1.1958,1.2
2014-10-31,65.18,107979291.0,118141.6502,16.886,1.1209,1.2
2014-11-30,65.92,178505272.0,119489.1544,17.0786,1.1337,1.2
2014-12-31,65.02,125945518.0,117859.6144,16.8457,1.1182,1.2
2015-01-31,65.54,63843877.0,118799.7336,16.98,1.1271,1.2
2015-02-28,61.15,105172559.0,110840.0251,15.8424,1.0516,1.2
2015-03-31,57.4,75032994.0,104039.8617,9.7613,0.8371,1.2
2015-04-30,58.33,67932811.0,105732.0763,9.92,0.8507,1.2
2015-05-31,58.14,50199939.0,105387.3659,9.8877,0.848,1.2
2015-06-30,56.19,42038995.0,101846.2502,9.5554,0.8195,1.2
2015-07-31,63.52,97676734.0,115133.2686,10.8021,0.9264,0.8
2015-08-31,59.11,56715971.0,107142.2552,10.0523,0.8621,0.8
2015-09-30,59.04,45207875.0,107016.9059,10.0406,0.8611,0.8
2015-10-31,60.17,35459933.0,109053.8309,10.2317,0.8775,0.4
2015-11-30,66.68,35538712.0,120867.996,11.3401,0.9725,0.4
2015-12-31,66.48,40070009.0,120491.9483,11.3048,0.9695,0.4
2016-01-31,59.28,48963812.0,107455.6282,10.0817,0.8646,0.4
2016-02-29,44.92,293411583.0,81414.3255,7.6385,0.6551,0.4
2016-03-31,48.85,427944744.0,30616.5497,26.694,0.6672,0.0
2016-04-30,57.65,145702656.0,36131.9158,31.5027,0.7874,0.0
2016-05-31,66.05,145146491.0,41396.5835,36.0929,0.9021,0.0
2016-06-30,73.75,143612604.0,46222.5289,40.3005,1.0073,0.0
2016-07-31,78.5,85804576.0,49199.5732,42.8962,1.0721,0.0
2016-08-31,83.3,102682308.0,52207.9547,45.5191,1.1377,0.0
2016-09-30,75.05,70862840.0,47037.2989,41.0109,1.025,0.0
2016-10-31,76.65,56429706.0,48040.0928,41.8852,1.0469,0.0
2016-11-30,77.3,95930231.0,48447.4778,42.2404,1.0557,0.0
2016-12-31,59.3,213285424.0,37166.047,32.4044,0.8099,0.0
2017-01-31,64.3,73037173.0,40299.7778,35.1366,0.8782,0.0
2017-02-28,68.95,94905145.0,43214.1474,37.6776,0.9417,0.0
2017-03-31,77.65,69863357.0,48666.8389,62.1781,1.2661,0.0
2017-04-30,78.6,46387302.0,49262.2478,62.9389,1.2816,0.0
2017-05-31,82.75,114753020.0,51863.2443,66.262,1.3493,0.0
2017-06-30,82.1,38186440.0,51455.8593,65.7415,1.3387,0.0
2017-07-31,84.85,40595834.0,53179.4112,67.9435,1.3835,0.0
2017-08-31,80.35,47183415.0,50359.0535,64.3402,1.3101,0.0
2017-09-30,78.75,65992992.0,49356.2597,63.059,1.284,0.0
2017-10-31,82.9,44971614.0,51957.2562,66.3821,1.3517,0.0
2017-11-30,86.55,87641286.0,54244.8787,69.3048,1.4112,0.0
2017-12-31,92.8,63616740.0,58162.0421,74.3095,1.5131,0.0
2018-01-31,90.9,103799580.0,56971.2244,72.7881,1.4821,0.0
2018-02-28,83.5,52015443.0,52333.3029,66.8625,1.3615,0.0
2018-03-31,77.6,42788318.0,48635.5006,61.1372,1.6871,0.0
2018-04-30,83.85,30054645.0,52552.664,,1.823,0.0
2018-05-31,61.5,55709010.0,38544.8877,,1.3371,0.0
2018-06-30,55.95,322069811.0,35066.4466,,1.2164,0.0
2018-07-31,64.05,186172602.0,40143.0904,,1.3925,0.0
2018-08-31,59.0,124308266.0,36978.0224,,1.2827,0.0
2018-09-30,44.8,73311733.0,28078.2272,,0.974,0.0
2018-10-31,35.45,72275742.0,22218.1507,,0.7707,0.0
2018-11-30,38.75,163860261.0,24286.413,,0.8425,0.0
2018-12-31,44.85,180816663.0,28109.5645,,0.9751,0.0
2019-01-31,37.6,118946799.0,23565.6549,,0.8175,0.0
2019-02-28,32.2,675934524.0,20181.2258,,0.7001,0.0
2019-03-31,42.7,454417245.0,26762.0603,,1.2561,0.0
2019-04-30,37.6,223816901.0,23565.6549,,1.1061,0.0
2019-05-31,35.45,270659899.0,22218.1507,,1.0428,0.0
2019-06-30,28.55,159384524.0,17893.6024,,0.8399,0.0
