NYKAA IN Equity,price,volume,mc,pe,bm,div
2021-11-30,406.74,453117792.0,1154155.224,,182.8854,0.0
2021-12-31,350.26,252089544.0,993880.1908,,157.9457,0.0
2022-01-31,275.26,119350578.0,781062.9436,,,0.0
2022-02-28,215.21,186700602.0,611889.7069,,,0.0
2022-03-31,281.59,107595030.0,801023.8932,,59.7824,0.0
2022-04-30,282.37,47820024.0,803228.4809,,59.9469,0.0
2022-05-31,249.09,91501644.0,708723.1216,,52.8826,0.0
2022-06-30,234.49,87872586.0,667252.4054,,50.5083,0.0
2022-07-31,232.85,40489740.0,662594.5487,,,0.0
2022-08-31,231.74,58324464.0,659536.0779,,,0.0
2022-09-30,212.02,42196128.0,603678.0699,1311.4433,44.3463,0.0
2022-10-31,192.13,169325694.0,547040.2445,1188.4021,40.1857,0.0
2022-11-30,172.3,693428715.0,490757.9014,1065.7732,36.039,0.0
2022-12-31,154.85,240653199.0,441225.3208,1689.2727,33.0689,0.0
2023-01-31,136.7,392572124.0,389509.2112,1491.2727,,0.0
2023-02-28,139.95,241683688.0,399015.7876,1526.7273,,0.0
2023-03-31,124.25,231579316.0,354416.505,1733.7209,25.7194,0.0
2023-04-30,122.6,253856085.0,349709.9679,1710.6977,25.3779,0.0
2023-05-31,125.05,185433775.0,356704.8899,1744.8837,25.885,0.0
2023-06-30,148.6,269515107.0,423932.8571,1981.3333,30.6149,0.0
2023-07-31,143.9,119949679.0,410524.4827,1918.6667,,0.0
2023-08-31,133.55,139417648.0,381068.5125,1780.6667,,0.0
2023-09-30,153.2,170314502.0,437191.9223,1915.0,31.4237,0.0
2023-10-31,139.35,73835503.0,397689.0523,1741.875,28.5829,0.0
2023-11-30,175.8,219634975.0,501806.2931,2197.5,36.0593,0.0
2023-12-31,173.95,111142870.0,496620.2711,1581.3636,35.3722,0.0
2024-01-31,163.25,277149536.0,466072.2004,1484.0909,,0.0
2024-02-29,156.9,166078166.0,448001.4937,1426.3636,,0.0
2024-03-31,161.95,84990797.0,462526.8694,1349.5833,36.6435,0.0
2024-04-30,176.75,143228033.0,504833.9525,1472.9167,39.9923,0.0
2024-05-31,164.2,103927499.0,469014.1903,1368.3333,37.1526,0.0
2024-06-30,176.44,123033827.0,504059.5081,1357.2308,39.9696,0.0
2024-07-31,192.99,206180055.0,551373.626,1484.5385,,0.0
2024-08-31,207.7,565249352.0,593434.7796,1597.6923,,0.0
2024-09-30,195.61,186771349.0,559041.2195,1304.0667,42.8447,0.0
2024-10-31,181.67,137889522.0,519257.6295,1211.1333,39.7914,0.0
2024-11-30,172.06,134742249.0,491821.0155,1147.0667,37.6865,0.0
2024-12-31,163.76,200505165.0,468190.4759,909.7778,35.4721,0.0
2025-01-31,168.9,176074847.0,482895.3409,938.3333,,0.0
2025-02-28,158.8,182160768.0,454018.8285,882.2222,,0.0
2025-03-31,179.08,133869228.0,512016.7849,778.6087,39.3486,0.0
2025-04-30,194.37,126993316.0,555756.2114,845.087,42.7082,0.0
2025-05-31,203.26,377780737.0,581175.1171,883.7391,44.6615,0.0
2025-06-30,208.39,161695468.0,595932.0686,744.25,46.1117,0.0
2025-07-31,209.62,273756112.0,599559.3147,748.6429,,0.0
2025-08-31,230.15,157579167.0,658389.6314,821.9643,,0.0
2025-09-30,232.38,101816702.0,664904.0317,645.5,47.9143,0.0
2025-10-31,247.94,160053717.0,709505.1402,688.7222,51.1226,0.0
2025-11-30,267.31,160670119.0,765111.8716,742.5278,55.1165,0.0
2025-12-31,265.15,132369053.0,758998.1739,541.1224,54.3412,0.0
2026-01-31,237.5,102220624.0,679849.3921,484.6939,,0.0
2026-02-28,265.48,186584142.0,760084.6527,541.7959,,0.0
2026-03-31,260.8,10985883.0,746685.5061,532.2449,,0.0
