NSLNISP IN Equity,price,volume,mc,pe,bm,div
2023-02-28,33.35,98514746.0,97735.7051,,0.5733,0.0
2023-03-31,31.05,174742069.0,90995.3116,,0.5337,0.0
2023-04-30,36.9,122820122.0,108139.3559,,0.6343,0.0
2023-05-31,43.7,161232179.0,128067.4756,,0.7512,0.0
2023-06-30,43.5,117856438.0,127481.3545,,0.7478,0.0
2023-07-31,47.9,119453190.0,140376.0202,,0.8234,0.0
2023-08-31,56.4,205588508.0,165286.1699,,0.9695,0.0
2023-09-30,51.45,209349412.0,150779.671,,0.8844,0.0
2023-10-31,40.15,186563721.0,117663.8249,,0.6902,0.0
2023-11-30,44.35,112064747.0,129972.3694,,0.7624,0.0
2023-12-31,51.4,213005756.0,150633.1407,,0.8836,0.0
2024-01-31,69.65,409172319.0,204116.6975,,1.1973,0.0
2024-02-29,61.4,485174178.0,179939.1992,,1.0554,0.0
2024-03-31,54.7,274838648.0,160304.14,,1.035,0.0
2024-04-30,64.5,612498055.0,189024.0773,,1.2204,0.0
2024-05-31,60.1,267492184.0,176129.4116,,1.1372,0.0
2024-06-30,56.7,181205167.0,166165.3517,,1.0728,0.0
2024-07-31,58.24,207562547.0,170678.4847,,1.102,0.0
2024-08-31,53.64,106461941.0,157197.6978,,1.0149,0.0
2024-09-30,53.95,125269169.0,158106.1856,,1.0208,0.0
2024-10-31,47.49,95586241.0,139174.4718,,0.8986,0.0
2024-11-30,45.98,64134842.0,134749.257,,0.87,0.0
2024-12-31,43.15,96338793.0,126455.6424,,0.8165,0.0
2025-01-31,42.14,92878635.0,123495.7305,,0.7974,0.0
2025-02-28,35.4,81392129.0,103743.4471,,0.6698,0.0
2025-03-31,33.36,141159391.0,97765.0112,,0.7455,0.0
2025-04-30,35.35,87204562.0,103596.9168,,0.7899,0.0
2025-05-31,38.09,97377028.0,111626.7768,,0.8512,0.0
2025-06-30,40.99,98684600.0,120125.5338,,0.916,0.0
2025-07-31,36.57,47208315.0,107172.2559,,0.8172,0.0
2025-08-31,37.82,251588378.0,110835.5132,,0.8451,0.0
2025-09-30,44.86,232484331.0,131466.9784,,1.0025,0.0
2025-10-31,43.05,170591294.0,126162.5818,,0.962,0.0
2025-11-30,41.87,81070263.0,122704.4669,,0.9356,0.0
2025-12-31,44.25,95253452.0,129679.3089,,0.9888,0.0
2026-01-31,42.46,94850898.0,124433.5244,,0.9488,0.0
2026-02-28,40.57,93577632.0,118894.6793,,0.9066,0.0
2026-03-31,38.69,13051169.0,113385.1363,,0.8646,0.0
