IPRU IN Equity,price,volume,mc,pe,bm,div
2020-06-30,425.8,74564839.0,611394.7196,57.248,7.8501,2.35
2020-07-31,452.25,62535003.0,649373.5602,60.8042,8.3377,0.8
2020-08-31,422.65,42628063.0,606874.2555,56.8245,7.792,0.8
2020-09-30,420.9,45076997.0,604364.8345,56.5405,7.3652,0.8
2020-10-31,403.35,40577031.0,579171.3678,54.1829,7.0581,0.8
2020-11-30,441.7,44083430.0,634238.2376,59.3346,7.7292,0.0
2020-12-31,498.85,59151026.0,716300.0789,66.8321,8.0414,0.0
2021-01-31,481.0,45769835.0,690686.736,64.4407,7.7537,0.0
2021-02-28,461.55,71638640.0,662766.5086,61.8349,7.4401,0.0
2021-03-31,445.6,67283918.0,639865.9777,66.8645,7.024,0.0
2021-04-30,521.95,89484861.0,749522.2387,78.3212,8.2276,0.0
2021-05-31,554.25,63850139.0,795969.4125,83.1679,8.7367,0.0
2021-06-30,612.7,43856626.0,880148.277,181.4534,10.3835,2.0
2021-07-31,632.95,33575900.0,909237.5462,187.4505,10.7267,2.0
2021-08-31,659.1,43751932.0,946802.2224,195.195,11.1699,2.0
2021-09-30,671.85,40696963.0,965117.6956,153.7064,11.0391,2.0
2021-10-31,618.4,28627314.0,888336.3592,141.4781,10.1609,2.0
2021-11-30,593.05,27357958.0,852322.4462,135.6785,9.7444,2.0
2021-12-31,560.8,22954667.0,806030.5333,126.8493,8.878,2.0
2022-01-31,560.45,27624180.0,805527.4829,126.7701,8.8725,2.0
2022-02-28,479.15,41143140.0,688683.7808,108.3806,7.5854,2.0
2022-03-31,500.9,35962634.0,719946.626,94.8496,7.8614,2.0
2022-04-30,525.75,31838843.0,755666.08,99.5551,8.2514,2.0
2022-05-31,521.6,31541282.0,749712.9768,98.7693,8.1863,2.0
2022-06-30,489.0,35307598.0,702927.0921,63.8388,7.7681,0.55
2022-07-31,553.6,22996049.0,795793.72,72.2724,8.7943,0.55
2022-08-31,594.6,29867059.0,855027.2997,77.6249,9.4456,0.55
2022-09-30,525.95,20904724.0,756602.8721,88.3912,7.8601,0.55
2022-10-31,507.55,23135249.0,730137.1163,85.2989,7.5851,0.55
2022-11-30,476.2,54414967.0,685039.2224,80.0302,7.1166,0.55
2022-12-31,451.3,34470315.0,649222.9611,84.8268,6.4348,0.55
2023-01-31,452.4,41915243.0,650805.3791,85.0336,6.4505,0.55
2023-02-28,408.9,45508713.0,588228.8589,76.8573,5.8302,0.55
2023-03-31,435.7,47240896.0,626785.5572,77.1116,6.2122,0.55
2023-04-30,434.5,41107091.0,625061.9915,76.8992,6.1951,0.55
2023-05-31,466.0,32645570.0,670377.6537,82.4742,6.6443,0.55
2023-06-30,572.5,55201712.0,823746.4832,95.5101,7.8319,0.55
2023-07-31,579.5,48379519.0,833978.1333,96.6779,7.9277,0.6
2023-08-31,563.9,29171208.0,811672.8702,94.0753,7.7143,0.6
2023-09-30,566.2,40868236.0,815111.9358,89.9149,7.6089,0.6
2023-10-31,525.25,35446602.0,756313.4502,83.4118,7.0586,0.6
2023-11-30,562.6,38360438.0,810133.2971,89.3432,7.5605,0.6
2023-12-31,534.85,53743965.0,770213.658,84.4002,6.9569,0.6
