KIMS IN Equity,price,volume,mc,pe,bm,div
2021-06-30,189.41,83381615.0,75790.3176,35.2456,8.7747,0.0
2021-07-31,241.09,92629155.0,96469.4958,44.8623,11.1689,0.0
2021-08-31,257.08,70461420.0,102867.7174,47.8377,11.9097,0.0
2021-09-30,244.26,15828590.0,97737.9363,45.4522,11.3157,0.0
2021-10-31,223.11,19197610.0,89274.9978,41.5166,10.3359,0.0
2021-11-30,248.17,19007625.0,99302.4795,46.1798,11.4969,0.0
2021-12-31,285.13,29413175.0,114091.6145,53.0573,13.2091,0.0
2022-01-31,269.48,13490185.0,107829.4402,50.1451,12.4841,0.0
2022-02-28,253.55,17761870.0,101455.227,47.1809,11.7461,0.0
2022-03-31,276.64,14285275.0,110694.435,33.0277,7.9791,0.0
2022-04-30,267.99,8116705.0,107233.2332,31.995,7.7296,0.0
2022-05-31,262.3,14679825.0,104956.4427,31.3157,7.5655,0.0
2022-06-30,236.91,6966055.0,94796.9151,28.2844,6.8332,0.0
2022-07-31,248.39,3529805.0,99390.5101,29.655,7.1643,0.0
2022-08-31,240.75,3657880.0,96333.4486,28.7428,6.9439,0.0
2022-09-30,302.79,46000445.0,121158.0681,36.1497,8.7333,0.0
2022-10-31,297.07,8240475.0,118869.2734,35.4668,8.5683,0.0
2022-11-30,299.49,15371790.0,119837.6096,35.7557,8.6381,0.0
2022-12-31,309.46,13093060.0,123826.9948,36.946,8.9257,0.0
2023-01-31,301.45,2872920.0,120621.882,35.9897,8.6947,0.0
2023-02-28,268.86,5137840.0,107581.3541,32.0989,7.7547,0.0
2023-03-31,280.29,12834785.0,112154.9421,33.344,6.7177,0.0
2023-04-30,302.11,3545865.0,120885.9737,35.9398,7.2407,0.0
2023-05-31,324.43,21640775.0,129817.0747,38.5951,7.7756,0.0
2023-06-30,357.5,32250440.0,143049.6693,42.5291,8.5682,0.0
2023-07-31,382.76,18193885.0,153157.1788,45.5341,9.1736,0.0
2023-08-31,399.66,14821860.0,159919.5268,47.5446,9.5787,0.0
2023-09-30,395.36,13845500.0,158198.9293,47.0331,9.4756,0.0
2023-10-31,377.43,8420840.0,151024.4382,44.9001,9.0459,0.0
2023-11-30,391.08,10451580.0,156486.3347,46.5239,9.373,0.0
2023-12-31,395.84,13214540.0,158390.996,47.0902,9.4871,0.0
2024-01-31,427.22,12753350.0,170947.3558,50.8232,10.2392,0.0
2024-02-29,451.44,16143865.0,180638.7208,53.7045,10.8197,0.0
2024-03-31,411.85,10976500.0,164797.2204,53.1419,9.0134,0.0
2024-04-30,406.67,8689375.0,162724.5007,52.4735,8.9,0.0
2024-05-31,365.24,9540030.0,146146.7446,47.1277,7.9933,0.0
2024-06-30,416.87,10016700.0,166805.9178,53.7897,9.1233,0.0
2024-07-31,429.36,9995345.0,171803.6531,55.4013,9.3966,0.0
2024-08-31,506.2,14319935.0,202550.3289,65.3161,11.0783,0.0
2024-09-30,556.55,13768174.0,222697.3243,71.8129,12.1802,0.0
2024-10-31,544.9,7005900.0,218035.7057,70.3097,11.9252,0.0
2024-11-30,589.55,11525447.0,235901.9091,76.071,12.9024,0.0
2024-12-31,598.0,11312542.0,239283.0831,77.1613,13.0873,0.0
2025-01-31,609.2,12224735.0,243764.6392,78.6065,13.3324,0.0
2025-02-28,521.05,12339667.0,208492.3921,67.2323,11.4033,0.0
2025-03-31,639.6,17719597.0,255928.8628,66.5557,11.9716,0.0
2025-04-30,656.85,15616556.0,262831.2595,68.3507,12.2945,0.0
2025-05-31,684.25,12389568.0,273795.0663,71.2019,12.8073,0.0
2025-06-30,673.6,11409803.0,269533.5866,70.0937,12.608,0.0
2025-07-31,751.2,15885587.0,300584.368,78.1686,14.0605,0.0
2025-08-31,723.9,11786036.0,289660.575,75.3278,13.5495,0.0
2025-09-30,700.15,6550736.0,280157.2753,72.8564,13.1049,0.0
2025-10-31,721.05,8701437.0,288520.1791,75.0312,13.4961,0.0
2025-11-30,685.1,6898238.0,274135.1844,71.2903,12.8232,0.0
2025-12-31,608.6,9569347.0,243524.5558,63.3299,11.3914,0.0
2026-01-31,603.75,9203822.0,241583.882,62.8252,11.3006,0.0
2026-02-28,745.05,11327832.0,298123.5135,77.5286,13.9453,0.0
2026-03-31,706.5,883852.0,282698.1576,73.5172,13.2238,0.0
