DATAPATT IN Equity,price,volume,mc,pe,bm,div
2021-12-31,759.9,27452634.0,39428.6653,,16.3975,0.0
2022-01-31,721.8,13561242.0,37451.784,,15.5754,0.0
2022-02-28,613.55,5147086.0,31835.0541,,13.2395,0.0
2022-03-31,702.9,5823546.0,36471.1263,36.6243,6.3482,0.0
2022-04-30,797.9,9885207.0,41400.358,41.5742,7.2062,0.0
2022-05-31,764.65,4149311.0,39675.1269,39.8418,6.9059,0.0
2022-06-30,640.5,2541226.0,33233.3993,33.373,5.7847,0.0
2022-07-31,776.15,2608150.0,40271.8234,40.441,7.0098,0.0
2022-08-31,1067.2,6930280.0,55373.4329,55.606,9.6384,3.5
2022-09-30,1129.6,7255714.0,58611.1598,53.7224,9.9106,3.5
2022-10-31,1334.95,7417047.0,69266.0834,63.4886,11.7123,3.5
2022-11-30,1345.15,5626325.0,69795.3272,63.9737,11.8018,3.5
2022-12-31,1095.55,3472116.0,56844.4194,52.103,9.6119,3.5
2023-01-31,1392.5,4218586.0,72252.1601,66.2256,12.2172,3.5
2023-02-28,1305.9,7086207.0,67758.7762,62.107,11.4574,3.5
2023-03-31,1375.7,3108810.0,77017.1462,57.9087,6.5991,3.5
2023-04-30,1662.95,6863695.0,93098.5412,70.0002,7.977,3.5
2023-05-31,1689.1,4322857.0,94562.522,71.101,8.1025,3.5
2023-06-30,1868.2,5337228.0,104589.2509,78.64,8.9616,3.5
2023-07-31,2037.7,5862149.0,114078.5336,85.775,9.7747,3.5
2023-08-31,2372.2,6333148.0,132805.1713,99.8554,11.3793,4.5
2023-09-30,2101.2,7415708.0,117633.5157,76.1405,9.7921,4.5
2023-10-31,1867.4,2419610.0,104544.4637,67.6684,8.7026,4.5
2023-11-30,2012.7,3310453.0,112678.9344,72.9336,9.3797,4.5
2023-12-31,1861.2,2683617.0,104197.3631,67.4437,8.6737,4.5
2024-01-31,1905.5,4011857.0,106677.4529,69.049,8.8801,4.5
2024-02-29,2484.35,21213387.0,139083.7734,90.0246,11.5777,4.5
2024-03-31,2422.0,8689840.0,135593.1729,74.6485,11.4458,4.5
2024-04-30,2969.95,12984968.0,166269.5887,91.5368,,4.5
2024-05-31,2962.4,12191323.0,165846.9098,91.3041,,4.5
2024-06-30,3001.4,12885823.0,168030.2846,92.5061,,4.5
2024-07-31,3188.4,21178682.0,178499.2868,98.2697,,6.5
2024-08-31,2804.35,5286618.0,156998.6435,86.4329,,6.5
2024-09-30,2315.7,4815127.0,129642.077,70.0127,9.6086,6.5
2024-10-31,2419.85,8688947.0,135472.8074,73.1616,10.0407,6.5
2024-11-30,2503.4,4801197.0,140150.268,75.6876,10.3874,6.5
2024-12-31,2470.7,4649344.0,138319.5922,74.699,10.2517,6.5
2025-01-31,2207.4,3323013.0,123579.0132,66.7384,9.1592,6.5
2025-02-28,1437.75,14841526.0,80490.9514,43.4688,5.9657,6.5
2025-03-31,1689.95,56648423.0,94610.1084,42.6578,7.0051,6.5
2025-04-30,2486.6,37716913.0,139209.7373,62.7669,,6.5
2025-05-31,2848.2,33856616.0,159453.5405,71.8944,,6.5
2025-06-30,2900.7,21715411.0,162392.6989,73.2196,,6.5
2025-07-31,2640.9,5839461.0,147848.0637,66.6617,,6.5
2025-08-31,2402.8,5678320.0,134518.2807,60.6516,,7.9
2025-09-30,2549.4,7247688.0,142725.5306,61.1566,9.281,7.9
2025-10-31,2744.0,7406168.0,153620.0109,65.8248,9.9894,7.9
2025-11-30,2970.8,19581443.0,166317.1751,71.2654,10.8151,7.9
2025-12-31,2626.6,7692474.0,147047.493,63.0085,9.562,7.9
2026-01-31,2671.8,13264202.0,149577.9684,64.0928,9.7266,7.9
2026-02-28,3210.2,22309535.0,179719.7373,77.0083,11.6866,7.9
2026-03-31,3376.3,5835098.0,189018.6773,80.9928,12.2913,7.9
