BOS IN Equity,price,volume,mc,pe,bm,div
1995-01-31,610.0,,23210.5004,,,1.0
1995-02-28,590.0,,22449.5004,,,1.0
1995-03-31,585.0,,22259.2504,,,1.0
1995-04-30,580.0,,22069.0004,,,1.0
1995-05-31,591.0,,22487.5504,,,2.0
1995-06-30,591.0,,22487.5504,,,2.0
1995-07-31,592.0,,22525.6004,,,2.0
1995-08-31,592.0,,22525.6004,,,2.0
1995-09-30,610.0,,23210.5004,,,2.0
1995-10-31,598.0,,22753.9004,,,2.0
1995-11-30,590.0,,22449.5004,,,2.0
1995-12-31,597.0,,22715.8504,,,2.0
1996-01-31,597.0,,22715.8504,,,2.0
1996-02-29,635.0,,24161.7504,,,2.0
1996-03-31,637.5,,24256.8754,,,2.0
1996-04-30,695.0,,26444.7505,,,2.2
1996-05-31,735.0,69300.0,27966.7505,,,2.2
1996-06-30,764.9,23900.0,29104.4455,,,2.2
1996-07-31,720.0,34900.0,27396.0005,,,2.2
1996-08-31,710.0,9410.0,27015.5005,,,2.2
1996-09-30,710.0,46090.0,27015.5005,,,2.2
1996-10-31,659.1,18770.0,25078.7554,,,2.2
1996-11-30,647.28,54930.0,24628.8142,,,2.2
1996-12-31,583.7,241540.0,22209.7854,,,2.2
1997-01-31,571.45,13380.0,21743.6729,,,2.2
1997-02-28,590.0,19160.0,22449.5004,,,2.2
1997-03-31,581.83,59950.0,22138.4416,,,2.2
1997-04-30,600.0,50060.0,22830.0004,,,2.4
1997-05-31,712.28,93530.0,27102.0642,,,2.4
1997-06-30,701.55,170030.0,26693.978,,,2.4
1997-07-31,650.0,27600.0,24732.5004,,,2.4
1997-08-31,600.0,27220.0,22830.0004,,,2.4
1997-09-30,600.0,103520.0,22830.0004,,,2.4
1997-10-31,574.5,48900.0,21878.7504,,,2.4
1997-11-30,556.9,9840.0,21190.0454,,,2.4
1997-12-31,495.0,20600.0,18834.7503,,,2.4
1998-01-31,420.5,5480.0,16000.0253,,,2.4
1998-02-28,407.5,60560.0,15505.3753,,,2.4
1998-03-31,520.0,43550.0,19786.0003,,,2.4
1998-04-30,548.0,77510.0,20851.4004,,,2.6
1998-05-31,524.0,40810.0,19938.2003,,,2.6
1998-06-30,383.5,56290.0,14592.1753,,,2.6
1998-07-31,371.68,86340.0,14142.234,,,2.6
1998-08-31,345.0,33810.0,13127.2502,,,2.6
1998-09-30,343.7,33090.0,13077.7852,,,2.6
1998-10-31,345.5,7160.0,13146.2752,,,2.6
1998-11-30,350.0,12700.0,13317.5002,,,2.6
1998-12-31,363.2,18560.0,13819.7602,,,2.6
1999-01-31,363.63,57030.0,13835.9315,,,2.6
1999-02-28,390.0,117100.0,14839.5003,,,2.6
1999-03-31,360.0,25120.0,13698.0002,,,2.6
1999-04-30,350.0,9850.0,13317.5002,,,2.2
1999-05-31,358.0,33890.0,13621.9002,,,2.2
1999-06-30,398.9,29680.0,15178.1453,,,2.2
1999-07-31,521.21,167060.0,19832.0413,,,2.2
1999-08-31,596.5,64200.0,22696.8254,,,2.2
1999-09-30,544.0,15510.0,20699.2004,,,2.2
1999-10-31,487.0,96250.0,18530.3503,,,2.2
1999-11-30,530.0,549190.0,20166.5004,,,2.2
1999-12-31,500.0,304720.0,19025.0003,,,2.2
2000-01-31,478.1,339810.0,18191.7053,,,2.2
2000-02-29,381.55,129830.0,14517.9778,,,2.2
2000-03-31,368.7,137430.0,14029.4036,,,2.2
2000-04-30,374.99,32020.0,14268.9344,,,2.6
2000-05-31,385.0,131850.0,13879.2501,,,2.6
2000-06-30,365.0,89810.0,13158.2501,,,2.6
2000-07-31,334.9,26970.0,12073.1451,,,2.6
2000-08-31,327.5,13610.0,11806.3751,,,2.6
2000-09-30,349.07,27880.0,12583.9733,,,2.6
2000-10-31,336.1,57410.0,12116.4051,,,2.6
2000-11-30,347.5,41090.0,12527.3751,,,2.6
2000-12-31,353.5,35700.0,12743.6751,,,2.6
2001-01-31,326.0,15630.0,11752.3001,,,2.6
2001-02-28,297.5,77510.0,10129.8749,,,2.6
2001-03-31,269.68,20970.0,9182.6041,,,2.6
2001-04-30,238.75,24030.0,8129.4374,,,3.1
2001-05-31,242.5,28430.0,8257.1249,,,3.1
2001-06-30,229.01,14670.0,7797.6204,,,3.1
2001-07-31,200.43,10780.0,6824.4712,,,3.1
2001-08-31,195.0,14790.0,6639.7499,,,3.1
2001-09-30,165.0,24330.0,5618.25,,,3.1
