JWL IN Equity,price,volume,mc,pe,bm,div
2021-01-31,23.05,6520511.0,2062.5753,,2.1611,0.0
2021-02-28,20.25,1230865.0,1812.0239,,1.8986,0.0
2021-03-31,15.3,2042844.0,1369.0847,10.2,0.9361,0.0
2021-04-30,16.4,1158177.0,1467.5156,10.9333,1.0034,0.0
2021-05-31,19.95,3755774.0,1785.1791,13.3,1.2206,0.0
2021-06-30,32.45,15387509.0,2903.7123,21.6333,1.9853,0.0
2021-07-31,37.0,10009627.0,3310.8583,24.6667,2.2637,0.0
2021-08-31,30.6,2939562.0,2738.1693,20.4,1.8722,0.0
2021-09-30,32.45,3141626.0,2903.7122,21.6333,1.9853,0.0
2021-10-31,32.8,2799443.0,2935.0311,21.8667,2.0068,0.0
2021-11-30,31.75,3652085.0,2841.0744,21.1667,1.9425,0.0
2021-12-31,43.7,10471474.0,3910.3921,29.1333,2.6736,0.0
2022-01-31,49.55,9447746.0,4433.8657,33.0333,3.0315,0.0
2022-02-28,39.85,6085426.0,3565.8839,26.5667,2.4381,0.0
2022-03-31,43.65,3259325.0,3905.918,34.1016,2.4773,0.0
2022-04-30,56.5,8496469.0,5055.7701,44.1406,3.2065,0.0
2022-05-31,56.45,13910675.0,5051.296,44.1016,3.2037,0.0
2022-06-30,54.85,9208968.0,4908.1237,42.8516,3.1129,0.0
2022-07-31,58.8,9837965.0,22781.9082,45.9375,3.3371,0.0
2022-08-31,79.95,21268886.0,30976.4211,62.4609,4.5374,0.0
2022-09-30,71.85,9585571.0,27838.0971,56.1328,4.0777,0.0
2022-10-31,73.5,2311704.0,28477.3853,57.4219,4.1713,0.0
2022-11-30,86.2,4523854.0,33397.9675,67.3438,4.8921,0.0
2022-12-31,91.8,8867304.0,35567.6731,71.7188,5.2099,0.0
2023-01-31,123.1,11480685.0,47694.7773,96.1719,6.9863,0.0
2023-02-28,92.9,9615877.0,35993.8652,72.5781,5.2723,0.0
2023-03-31,92.2,5676181.0,35722.652,29.5513,4.4465,0.0
2023-04-30,105.15,8709163.0,40740.0961,33.7019,5.0711,0.0
2023-05-31,131.3,30861094.0,52452.647,42.0833,6.3322,0.0
2023-06-30,173.8,35582696.0,69430.8458,55.7051,8.3818,0.0
2023-07-31,205.4,41226078.0,82054.636,65.8333,9.9058,0.0
2023-08-31,343.35,46907911.0,137163.8718,110.0481,16.5587,0.0
2023-09-30,327.25,44290239.0,130732.1306,104.8878,15.7823,0.5
2023-10-31,312.6,20273281.0,124879.6456,100.1923,15.0757,0.5
2023-11-30,347.85,19619677.0,138961.5634,111.4904,16.7757,0.5
2023-12-31,318.95,36044104.0,131501.0517,102.2276,15.382,0.5
2024-01-31,404.0,48875844.0,166566.6245,129.4872,19.4837,0.5
2024-02-29,371.85,38651327.0,153311.3845,119.1827,17.9332,0.3
