PNB IN Equity,price,volume,mc,pe,bm,div
2002-04-30,8.0,16132025.0,10612.0996,,,0.0
2002-05-31,7.79,26297695.0,10333.532,,,0.0
2002-06-30,9.73,27475065.0,12906.9661,,,0.0
2002-07-31,8.6,7717695.0,11408.0071,,,0.0
2002-08-31,9.07,7463150.0,12031.4679,,,0.0
2002-09-30,8.89,4946765.0,11792.6957,,,0.0
2002-10-31,8.25,2021050.0,10943.7277,,,0.0
2002-11-30,9.01,3798525.0,11951.8772,,,0.0
2002-12-31,14.58,50250975.0,19340.5515,,,0.0
2003-01-31,14.29,99404715.0,18955.8629,,,0.0
2003-02-28,16.68,85760335.0,22126.2277,,,0.0
2003-03-31,20.37,141772890.0,27021.0586,,,0.0
2003-04-30,23.64,85733180.0,31358.7543,,,0.0
2003-05-31,35.88,282260220.0,47595.2667,,,0.0
2003-06-30,31.02,208729750.0,41148.4162,,,0.0
2003-07-31,33.93,116284080.0,45008.5675,,,0.7
2003-08-31,34.38,51388535.0,45605.4981,,,0.7
2003-09-30,37.31,91299615.0,49492.1796,,,0.7
2003-10-31,40.56,201977600.0,53803.345,,,0.7
2003-11-30,36.94,96670535.0,49001.3699,,,0.7
2003-12-31,48.27,113893965.0,64030.756,,,1.2
2004-01-31,51.46,88142925.0,68262.3307,,,1.2
2004-02-29,48.59,54390775.0,64455.24,,,1.2
2004-03-31,66.78,86985830.0,88584.5015,,,1.2
2004-04-30,75.02,62521080.0,99514.9641,,,1.2
2004-05-31,52.29,59305960.0,69363.3361,,,1.2
2004-06-30,56.39,89457650.0,74802.0371,,,0.6
2004-07-31,53.49,82363085.0,70955.151,,,0.6
2004-08-31,53.02,45580135.0,70331.6902,,,0.6
2004-09-30,51.89,36050490.0,68832.7311,,,0.6
2004-10-31,49.01,14638640.0,65012.3752,,,0.6
2004-11-30,69.7,44190605.0,92457.9178,,,0.6
2004-12-31,81.04,46780100.0,107500.569,,,0.6
2005-01-31,82.21,242233630.0,109052.5886,,,0.6
2005-02-28,91.5,171244965.0,121375.8893,,,0.9
2005-03-31,78.67,424601870.0,135824.7345,,,0.9
2005-04-30,69.23,157345435.0,109141.957,,,0.9
2005-05-31,76.41,123881445.0,120461.3164,,,0.9
2005-06-30,75.9,119715070.0,119657.295,,,1.2
2005-07-31,84.84,144356805.0,133751.3164,,,1.2
2005-08-31,80.37,106013545.0,126704.3057,,,1.2
2005-09-30,90.12,125723810.0,142075.3021,,,1.2
2005-10-31,80.84,91711870.0,127445.2666,,,1.2
2005-11-30,87.32,84865255.0,137661.0672,,,1.2
2005-12-31,93.25,123591690.0,147009.7861,,,1.2
2006-01-31,93.07,106117510.0,146726.0138,,,1.2
2006-02-28,88.42,76658525.0,139395.2309,,,1.2
2006-03-31,94.08,86497145.0,148318.2914,,,1.2
2006-04-30,86.58,62705005.0,131906.7968,,,1.2
2006-05-31,80.99,82839390.0,127681.7434,,,1.2
2006-06-30,65.11,61729130.0,102646.7257,,,1.8
2006-07-31,76.05,69489205.0,119893.7719,,,1.8
2006-08-31,94.29,128549065.0,148649.359,,,1.8
2006-09-30,105.26,95342470.0,165943.7006,,,1.8
2006-10-31,103.82,76576405.0,163673.5227,,,1.8
2006-11-30,109.0,102473230.0,171839.8572,,,1.8
2006-12-31,101.4,75637205.0,159858.3625,,,1.8
