IRCTC IN Equity,price,volume,mc,pe,bm,div
2019-10-31,176.34,651031900.0,141072.0,46.114,13.2211,0.0
2019-11-30,179.45,191680865.0,143560.0,46.9273,13.4543,0.0
2019-12-31,186.69,95844665.0,149352.0,48.8206,13.9971,0.0
2020-01-31,242.06,156876470.0,193648.0,63.3002,18.1485,0.0
2020-02-29,348.76,687832650.0,279008.0,91.2029,26.1484,2.0
2020-03-31,196.51,217747620.0,157208.0,30.6377,11.9657,2.0
2020-04-30,264.87,125278270.0,211896.0,41.2956,16.1282,2.0
2020-05-31,282.07,119708000.0,225656.0,43.9772,17.1755,2.0
2020-06-30,271.73,153732455.0,217384.0,42.3651,16.5459,2.0
2020-07-31,267.17,83548875.0,213736.0,41.6542,16.2683,2.0
2020-08-31,268.85,69574170.0,215080.0,41.9161,16.3706,2.0
2020-09-30,276.8,91609500.0,221440.0,43.1556,16.8546,2.0
2020-10-31,263.04,24731655.0,210432.0,41.0103,16.0168,2.5
2020-11-30,270.69,38959295.0,216552.0,42.203,16.4826,2.5
2020-12-31,287.56,494936360.0,230048.0,44.8332,17.5098,2.5
2021-01-31,291.22,147483620.0,232976.0,45.4038,17.7327,2.5
2021-02-28,351.93,274922195.0,281544.0,54.869,21.4294,0.5
2021-03-31,351.4,358939070.0,281120.0,750.8547,19.3102,0.5
2021-04-30,358.28,140318070.0,286624.0,765.5556,19.6883,0.5
2021-05-31,380.64,119853700.0,304512.0,813.3333,20.917,0.5
2021-06-30,406.77,188659480.0,325416.0,869.1667,22.3529,0.5
2021-07-31,466.26,200748905.0,373008.0,996.2821,25.622,0.5
2021-08-31,550.4,281446940.0,440320.0,1176.0684,30.2457,0.5
2021-09-30,759.7,577564400.0,607760.0,1623.2906,41.7472,1.5
2021-10-31,845.7,959754346.0,676560.0,1807.0513,46.4731,1.0
2021-11-30,795.15,251230225.0,636120.0,1699.0385,43.6952,1.0
2021-12-31,831.75,109529792.0,665400.0,1777.2436,45.7065,1.0
2022-01-31,868.0,113884188.0,694400.0,1854.7009,47.6985,1.0
2022-02-28,809.35,95398967.0,647480.0,1729.3803,44.4755,2.0
2022-03-31,774.7,87987942.0,619760.0,94.017,33.1367,2.0
2022-04-30,745.95,52156044.0,596760.0,90.5279,31.9069,2.0
2022-05-31,692.65,65583639.0,554120.0,84.0595,29.6271,2.0
2022-06-30,576.2,51036345.0,460960.0,69.9272,24.6461,2.0
2022-07-31,637.1,46557995.0,509680.0,77.318,27.251,2.0
2022-08-31,710.75,112803999.0,568600.0,86.2561,30.4013,4.5
2022-09-30,706.0,59935346.0,564800.0,85.6796,30.1981,3.5
2022-10-31,741.2,50919112.0,592960.0,89.9515,31.7038,3.5
2022-11-30,736.2,50061916.0,588960.0,89.3447,31.4899,3.5
2022-12-31,639.7,79381381.0,511760.0,77.6335,27.3623,3.5
2023-01-31,636.6,24781570.0,509280.0,77.2573,27.2297,3.5
2023-02-28,609.25,27465742.0,487400.0,73.9381,26.0598,5.0
2023-03-31,572.8,23761132.0,458240.0,45.5688,18.4893,5.0
2023-04-30,617.8,22289919.0,494240.0,49.1488,19.9419,5.0
2023-05-31,649.5,38190107.0,519600.0,51.6706,20.9651,5.0
2023-06-30,635.1,36462038.0,508080.0,50.5251,20.5003,5.0
2023-07-31,640.65,22888368.0,512520.0,50.9666,20.6794,5.0
2023-08-31,672.0,56298927.0,537600.0,53.4606,21.6914,4.0
2023-09-30,680.85,66584328.0,544680.0,54.1647,21.977,4.0
2023-10-31,665.35,35996892.0,532280.0,52.9316,21.4767,4.0
2023-11-30,705.75,33700585.0,564600.0,56.1456,22.7808,8.0
2023-12-31,887.5,221259786.0,710000.0,70.6046,28.6475,8.0
2024-01-31,977.2,177799702.0,781760.0,77.7407,31.5429,8.0
2024-02-29,927.4,75792533.0,741920.0,73.7788,29.9354,4.5
2024-03-31,929.7,41951803.0,743760.0,66.933,23.0281,4.5
2024-04-30,1038.75,76651203.0,831000.0,74.784,25.7292,4.5
2024-05-31,1020.35,68758908.0,816280.0,73.4593,25.2735,4.5
2024-06-30,989.25,85366077.0,791400.0,71.2203,24.5032,4.5
2024-07-31,987.65,61604258.0,790120.0,71.1051,24.4635,4.5
2024-08-31,932.8,29880603.0,746240.0,67.1562,23.1049,6.5
2024-09-30,928.55,38640377.0,742840.0,66.8503,22.9996,6.5
2024-10-31,821.3,34421262.0,657040.0,59.1289,20.3431,6.5
2024-11-30,815.95,26952175.0,652760.0,58.7437,20.2106,8.0
2024-12-31,786.9,25561993.0,629520.0,56.6523,19.4911,8.0
2025-01-31,822.3,37114066.0,657840.0,59.2009,20.3679,8.0
2025-02-28,670.95,28683989.0,536760.0,48.3045,16.619,11.0
2025-03-31,727.5,29439119.0,582000.0,44.2518,15.887,11.0
