TRCL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,43.75,,10587.5003,,,0.09
1995-02-28,46.0,,11132.0004,,,0.09
1995-03-31,43.75,,10587.5003,,,0.09
1995-04-30,46.25,,11192.5004,,,0.09
1995-05-31,46.0,,11012.4002,,,0.09
1995-06-30,45.5,,10892.7002,,,0.09
1995-07-31,46.0,,11012.4002,,,0.09
1995-08-31,44.05,,10545.5702,,,0.2
1995-09-30,45.25,,10832.8502,,,0.2
1995-10-31,43.5,,10413.9002,,,0.2
1995-11-30,39.0,,9336.6002,,,0.2
1995-12-31,44.0,,10533.6002,,,0.2
1996-01-31,46.0,,11012.4002,,,0.2
1996-02-29,55.0,,13167.0003,,,0.2
1996-03-31,55.0,,13167.0003,,,0.2
1996-04-30,66.25,,15860.2504,,,0.2
1996-05-31,59.75,63000.0,14304.1503,,,0.2
1996-06-30,61.5,902000.0,14735.3994,,,0.2
1996-07-31,55.72,1985000.0,13350.811,,,0.275
1996-08-31,54.0,1747200.0,12938.3995,,,0.275
1996-09-30,52.5,1134400.0,12577.8015,,,0.275
1996-10-31,47.98,1932000.0,11494.8096,,,0.275
1996-11-30,43.56,1793000.0,10437.5746,,,0.275
1996-12-31,40.0,1691200.0,9583.9996,,,0.275
1997-01-31,38.7,5976000.0,9272.5196,,,0.275
1997-02-28,38.13,2971000.0,9134.7497,,,0.275
1997-03-31,34.75,375000.0,8326.0997,,,0.275
1997-04-30,35.75,2570000.0,8565.6997,,,0.275
1997-05-31,33.01,1032000.0,7909.1957,,,0.275
1997-06-30,40.38,1841000.0,9673.8496,,,0.275
1997-07-31,42.51,182000.0,10184.1976,,,0.275
1997-08-31,40.56,1543000.0,9718.7746,,,0.275
1997-09-30,40.5,583000.0,9703.7996,,,0.275
1997-10-31,35.0,3088000.0,8973.3192,,,0.275
1997-11-30,29.21,518200.0,6998.4162,,,0.275
1997-12-31,22.88,1774000.0,5480.8498,,,0.275
1998-01-31,17.35,3621000.0,4157.6588,,,0.275
1998-02-28,19.27,3790000.0,4616.4928,,,0.275
1998-03-31,21.45,2167000.0,5139.4198,,,0.275
1998-04-30,22.07,3544000.0,5287.9718,,,0.275
1998-05-31,21.53,2408000.0,5158.2883,,,0.275
1998-06-30,17.88,12394000.0,4282.8498,,,0.275
1998-07-31,21.93,8234000.0,5253.2298,,,0.275
1998-08-31,21.71,4111000.0,5201.7158,,,0.275
1998-09-30,24.33,6898800.0,5828.8688,,,0.275
1998-10-31,21.25,8265000.0,5091.7993,,,0.275
1998-11-30,20.0,7989400.0,4791.9998,,,0.275
1998-12-31,20.3,2879000.0,4864.7783,,,0.275
1999-01-31,17.56,6900000.0,4206.1778,,,0.275
1999-02-28,17.3,2085000.0,4145.0798,,,0.275
1999-03-31,19.02,4175200.0,4557.1918,,,0.275
1999-04-30,16.25,2350000.0,3893.4999,,,0.275
1999-05-31,19.01,4322200.0,4589.2554,,,0.275
1999-06-30,22.77,5390000.0,5496.6781,,,0.275
1999-07-31,26.0,10847000.0,6276.4001,,,0.275
1999-08-31,39.15,23274200.0,9449.784,,,0.275
1999-09-30,39.9,12867000.0,9632.4636,,,0.275
1999-10-31,36.4,6291000.0,8787.6237,,,0.275
1999-11-30,35.43,3741000.0,8551.8969,,,0.275
1999-12-31,34.88,4334000.0,8420.9374,,,0.275
2000-01-31,26.0,4844400.0,6276.4001,,,0.275
2000-02-29,20.34,4092000.0,4909.4726,,,0.275
2000-03-31,19.49,10325200.0,4704.1617,,,0.275
2000-04-30,18.02,8176200.0,4351.2351,,,0.275
2000-05-31,21.89,12432200.0,5284.2461,,,0.275
2000-06-30,20.1,9832000.0,4851.0539,,,0.275
2000-07-31,19.67,6190800.0,4749.0624,,,0.275
2000-08-31,24.48,7262800.0,5913.7036,,,0.275
2000-09-30,20.18,3412800.0,4875.3668,,,0.275
2000-10-31,20.26,3079800.0,4895.1178,,,0.275
2000-11-30,24.32,12077600.0,5876.0739,,,0.275
2000-12-31,25.34,10654200.0,6122.5059,,,0.275
2001-01-31,26.55,11140600.0,6414.7215,,,0.275
2001-02-28,25.0,10815000.0,6039.7579,,,0.275
2001-03-31,21.5,8250600.0,5189.7382,,,0.275
2001-04-30,21.37,4927000.0,5158.7181,,,0.275
2001-05-31,22.98,3999400.0,5546.1651,,,0.275
2001-06-30,21.35,5488600.0,5131.6207,,,0.275
2001-07-31,22.25,3066000.0,5371.1501,,,0.275
2001-08-31,22.5,3051800.0,5431.5001,,,0.275
2001-09-30,20.9,905800.0,5045.2601,,,0.275
2001-10-31,21.38,2587800.0,5159.9251,,,0.275
2001-11-30,22.75,1833800.0,5491.8501,,,0.275
2001-12-31,21.55,3783000.0,5201.8082,,,0.275
2002-01-31,21.87,2468800.0,5279.4181,,,0.275
2002-02-28,21.83,811400.0,5268.5551,,,0.275
2002-03-31,21.25,1450200.0,5129.7501,,,0.275
2002-04-30,21.25,2327200.0,5129.7501,,,0.275
2002-05-31,21.37,1340200.0,5158.7181,,,0.275
2002-06-30,21.0,1037200.0,5069.4001,,,0.275
2002-07-31,20.2,908000.0,4877.0924,,,0.3
2002-08-31,20.2,1205800.0,4878.2999,,,0.3
2002-09-30,20.25,3452800.0,4890.3749,,,0.3
2002-10-31,18.82,1269000.0,4545.2109,,,0.3
2002-11-30,19.75,251400.0,4769.6249,,,0.3
2002-12-31,19.57,556400.0,4726.8191,,,0.3
2003-01-31,18.0,352000.0,4346.9999,,,0.3
2003-02-28,18.51,235200.0,4468.9574,,,0.3
2003-03-31,17.25,1446600.0,4165.8749,,,0.3
2003-04-30,17.0,615000.0,4105.4999,,,0.3
2003-05-31,23.63,588600.0,5705.4374,,,0.3
2003-06-30,27.32,1230400.0,6598.1421,,,0.3
2003-07-31,28.54,1303400.0,6891.5644,,,0.3
2003-08-31,29.65,2614600.0,7160.4749,,,0.3
2003-09-30,31.05,2916200.0,7497.3674,,,0.3
2003-10-31,31.01,2193000.0,7489.8205,,,0.3
2003-11-30,35.87,2281520.0,8662.2884,,,0.3
2003-12-31,41.34,2620580.0,9982.7335,,,0.25
2004-01-31,39.6,4379320.0,9563.7171,,,0.25
2004-02-29,40.4,1037920.0,9756.3197,,,0.25
2004-03-31,38.72,1446460.0,9351.7938,,,0.25
2004-04-30,42.34,3817460.0,10226.0528,,,0.25
2004-05-31,33.43,1176980.0,8073.0089,,,0.25
2004-06-30,32.14,455860.0,7762.0673,,,0.25
2004-07-31,32.78,596900.0,7917.6017,,,0.375
2004-08-31,41.87,558580.0,10114.5534,,,0.45
2004-09-30,42.25,748180.0,10205.7408,,,0.45
2004-10-31,42.47,1586200.0,10259.487,,,0.45
2004-11-30,42.49,493880.0,10262.5065,,,0.45
2004-12-31,50.01,3331920.0,12079.6115,,,0.45
2005-01-31,44.75,5095920.0,10809.6308,,,0.45
2005-02-28,52.49,7670520.0,12678.6703,,,0.45
2005-03-31,49.02,4894480.0,11840.471,,,0.45
2005-04-30,48.75,2227000.0,11776.4587,,,0.45
2005-05-31,49.46,1319160.0,11947.3596,,,0.45
2005-06-30,50.84,4494580.0,12280.1029,,,0.45
2005-07-31,56.98,3549280.0,13762.6529,,,0.45
2005-08-31,69.3,4643000.0,16739.2266,,,0.5
2005-09-30,72.45,4638720.0,17499.5241,,,0.5
2005-10-31,66.6,1844580.0,16086.4215,,,0.5
2005-11-30,77.49,3460260.0,18718.778,,,0.5
2005-12-31,81.27,3531420.0,19630.048,,,0.5
2006-01-31,90.24,2400560.0,21797.4092,,,0.5
2006-02-28,99.95,3486760.0,24142.314,,,0.75
2006-03-31,108.19,13334380.0,26133.3393,,,0.75
2006-04-30,157.85,12651220.0,36312.509,,,0.75
2006-05-31,120.7,5660280.0,29155.8087,,,0.75
2006-06-30,110.78,5148900.0,26760.1771,,,0.75
2006-07-31,135.22,9047200.0,32663.2018,,,0.75
2006-08-31,141.53,2963500.0,34187.4201,,,0.75
