FNXP IN Equity,price,volume,mc,pe,bm,div
1995-01-31,11.8,,7654.8962,,,0.0
1995-02-28,11.4,,7395.4082,,,0.0
1995-03-31,10.5,,6811.5602,,,0.0
1995-04-30,8.9,,5773.6081,,,0.0
1995-05-31,8.85,,5741.1721,,,0.0
1995-06-30,8.2,,6049.6321,,,0.0
1995-07-31,9.25,,6824.2801,,,0.0
1995-08-31,7.55,,5570.0881,,,0.2
1995-09-30,7.55,,5570.0881,,,0.2
1995-10-31,7.8,,5754.5281,,,0.2
1995-11-30,5.75,,4242.1201,,,0.2
1995-12-31,6.25,,4611.0001,,,0.2
1996-01-31,5.25,,3873.2401,,,0.2
1996-02-29,5.45,,4020.7921,,,0.2
1996-03-31,5.0,,3688.8,,,0.2
1996-04-30,5.2,,3836.3521,,,0.2
1996-05-31,5.05,2387000.0,3725.688,,,0.2
1996-06-30,4.0,3446500.0,2951.04,,,0.2
1996-07-31,3.3,3131500.0,2434.608,,,0.2
1996-08-31,3.19,1620740.0,2353.4544,,,0.2
1996-09-30,2.73,1505225.0,2014.0848,,,0.2
1996-10-31,2.66,3200595.0,1962.4416,,,0.2
1996-11-30,2.48,991955.0,1829.6448,,,0.2
1996-12-31,2.98,2008020.0,2198.5248,,,0.2
1997-01-31,2.67,6376745.0,1969.8192,,,0.2
1997-02-28,2.93,1302225.0,2161.6368,,,0.2
1997-03-31,2.43,1483155.0,1792.7568,,,0.2
1997-04-30,2.37,1549005.0,1748.4912,,,0.2
1997-05-31,1.99,806165.0,1468.1424,,,0.2
1997-06-30,2.03,1007535.0,1509.2746,,,0.2
1997-07-31,2.62,1459205.0,1947.9308,,,0.1
1997-08-31,2.24,2881500.0,1665.4065,,,0.1
1997-09-30,1.96,825205.0,1457.2307,,,0.1
1997-10-31,1.98,604230.0,1434.9261,,,0.1
1997-11-30,1.64,504515.0,1219.3155,,,0.1
1997-12-31,1.69,749350.0,1256.4897,,,0.1
1998-01-31,1.56,1011050.0,1159.8366,,,0.1
1998-02-28,1.71,9008000.0,1271.3594,,,0.1
1998-03-31,1.75,1282545.0,1301.0988,,,0.1
1998-04-30,1.87,3152090.0,1390.317,,,0.1
1998-05-31,1.78,1000050.0,1323.4034,,,0.1
1998-06-30,1.46,732225.0,1085.4881,,,0.1
1998-07-31,1.26,438845.0,936.7911,,,0.1
1998-08-31,1.1,560685.0,817.8335,,,0.1
1998-09-30,1.01,2487850.0,750.9199,,,0.0
1998-10-31,1.16,612755.0,862.4426,,,0.0
1998-11-30,1.73,1251670.0,1286.2291,,,0.0
1998-12-31,1.41,1102450.0,1048.3139,,,0.0
1999-01-31,1.52,1660485.0,1130.0972,,,0.0
1999-02-28,2.15,17318930.0,1598.4928,,,0.0
1999-03-31,2.65,13915400.0,1970.2353,,,0.0
1999-04-30,3.16,14326100.0,2349.4127,,,0.0
1999-05-31,4.4,18660735.0,3271.3341,,,0.0
1999-06-30,4.35,11296270.0,3234.1599,,,0.0
1999-07-31,4.42,10215975.0,3286.2038,,,0.0
1999-08-31,6.71,16980290.0,4988.7846,,,0.0
1999-09-30,8.83,50044625.0,6564.9728,,,0.25
1999-10-31,6.98,17531655.0,5189.5255,,,0.25
1999-11-30,6.85,12955735.0,5092.8725,,,0.25
1999-12-31,6.84,9935505.0,5085.4376,,,0.25
2000-01-31,6.1,8505175.0,4535.2587,,,0.25
2000-02-29,5.85,9214530.0,4349.3874,,,0.25
2000-03-31,5.59,8610975.0,4156.0813,,,0.3
2000-04-30,4.04,2061495.0,3003.6795,,,0.3
2000-05-31,3.75,2081185.0,2788.0689,,,0.3
2000-06-30,3.67,996325.0,2728.5901,,,0.3
2000-07-31,3.0,1093230.0,2230.4551,,,0.3
2000-08-31,2.95,1676255.0,2193.2808,,,0.3
2000-09-30,2.53,1923270.0,1881.0171,,,0.3
2000-10-31,3.09,1976215.0,2297.3687,,,0.3
2000-11-30,5.28,11772190.0,3925.601,,,0.3
2000-12-31,4.56,4619940.0,3390.2963,,,0.3
2001-01-31,3.91,2617735.0,2907.0303,,,0.3
2001-02-28,4.59,9071820.0,3412.6008,,,0.3
2001-03-31,3.66,5950450.0,2721.1588,,,0.3
2001-04-30,4.28,4366140.0,3182.1202,,,0.3
2001-05-31,4.62,9415125.0,3431.0313,,,0.0
2001-06-30,4.19,3652805.0,3074.402,,,0.0
2001-07-31,4.18,2102505.0,3017.7216,,,0.0
2001-08-31,4.5,6370070.0,3219.2012,,,0.0
2001-09-30,4.78,2683165.0,3399.7655,,,0.0
2001-10-31,5.26,3635475.0,3699.1976,,,0.3
2001-11-30,6.13,4753585.0,4285.9518,,,0.3
2001-12-31,5.95,4632755.0,4097.0243,,,0.3
2002-01-31,6.14,3083440.0,4159.6874,,,0.3
2002-02-28,6.62,13150400.0,4484.8747,,,0.3
2002-03-31,5.68,1988130.0,3683.0141,,,0.3
2002-04-30,5.74,915250.0,3708.5654,,,0.3
2002-05-31,4.96,686740.0,3204.614,,,0.3
2002-06-30,5.93,1604535.0,3831.3228,,,0.3
2002-07-31,6.23,2765395.0,4025.1503,,,0.4
2002-08-31,6.11,1222060.0,3947.6193,,,0.4
2002-09-30,5.98,869415.0,3863.6274,,,0.4
2002-10-31,5.8,765595.0,3747.3309,,,0.4
2002-11-30,5.8,603405.0,3747.3309,,,0.4
2002-12-31,5.85,1146300.0,3779.6355,,,0.4
2003-01-31,6.08,1807510.0,3928.2365,,,0.4
2003-02-28,6.46,1655250.0,4173.7513,,,0.4
2003-03-31,6.75,1774920.0,4361.1179,,,0.4
2003-04-30,7.4,1437385.0,4781.0774,,,0.4
2003-05-31,7.91,2555850.0,5110.5841,,,0.4
2003-06-30,8.79,4296840.0,5679.1446,,,0.4
2003-07-31,7.28,5471120.0,4514.2515,,,0.4
2003-08-31,11.34,22251280.0,7031.8148,,,0.4
2003-09-30,11.1,15814465.0,6882.9934,,,0.4
2003-10-31,10.26,8466070.0,6362.1182,,,0.4
2003-11-30,12.28,24870290.0,7614.699,,,0.2
2003-12-31,16.44,23131765.0,10194.2713,,,0.2
2004-01-31,11.38,20105180.0,7056.6184,,,0.2
2004-02-29,10.21,8262300.0,6331.1137,,,0.2
2004-03-31,10.08,5295845.0,6250.5021,,,0.2
2004-04-30,11.17,8392470.0,6926.3996,,,0.2
2004-05-31,11.39,9568155.0,7062.8193,,,0.8
2004-06-30,11.54,4986810.0,7155.8327,,,0.8
2004-07-31,12.87,15427985.0,7980.5518,,,0.8
2004-08-31,12.86,4375590.0,7974.3509,,,0.8
2004-09-30,13.21,10966415.0,8191.3822,,,0.8
2004-10-31,12.75,10207065.0,7906.141,,,0.8
2004-11-30,13.21,11640250.0,8191.3822,,,0.8
2004-12-31,13.68,18380655.0,8482.8243,,,0.8
2005-01-31,11.15,34058350.0,6913.9978,,,0.8
2005-02-28,14.89,138628825.0,9233.1325,,,0.8
2005-03-31,14.14,136526660.0,8768.0654,,,0.8
2005-04-30,14.18,73574120.0,8792.869,,,0.8
2005-05-31,15.6,103890950.0,9673.3961,,,0.8
2005-06-30,13.92,53603680.0,8631.6457,,,0.6
2005-07-31,13.91,39067735.0,8625.4448,,,0.6
2005-08-31,14.66,51468760.0,9090.512,,,0.6
2005-09-30,15.59,133561465.0,9667.1952,,,0.6
2005-10-31,14.48,115184445.0,8978.8959,,,0.6
2005-11-30,15.77,24102645.0,9778.8113,,,0.6
2005-12-31,15.55,51194160.0,9642.3916,,,0.6
2006-01-31,14.37,39563970.0,8910.686,,,0.6
2006-02-28,15.1,38461815.0,9363.3513,,,0.6
2006-03-31,13.9,29826245.0,8619.2439,,,0.6
2006-04-30,19.21,127519630.0,10975.584,,,0.6
2006-05-31,18.25,296686875.0,11316.6332,,,0.6
2006-06-30,16.21,72303495.0,10051.6507,,,0.6
2006-07-31,14.62,40257730.0,9065.7084,,,0.6
2006-08-31,16.0,63853815.0,9921.4319,,,0.6
2006-09-30,19.25,244777600.0,11936.7227,,,0.6
2006-10-31,18.15,58932905.0,11254.6243,,,0.6
2006-11-30,18.27,83464660.0,11329.035,,,0.6
2006-12-31,16.9,19057215.0,10479.5124,,,0.6
2007-01-31,17.24,35327810.0,10690.3429,,,0.6
2007-02-28,14.86,27968535.0,9214.5299,,,0.6
2007-03-31,13.83,21569005.0,8575.8377,,,0.6
2007-04-30,14.59,23051605.0,9047.1057,,,0.6
2007-05-31,16.41,48868035.0,10175.6686,,,0.6
2007-06-30,16.14,50751430.0,10008.2444,,,0.6
2007-07-31,15.6,42422825.0,9673.3961,,,0.6
2007-08-31,14.65,22648540.0,9084.3111,,,0.6
2007-09-30,15.73,46482290.0,9754.0155,,,0.6
2007-10-31,14.85,31887475.0,9208.3363,,,0.6
2007-11-30,16.74,70684675.0,10380.3064,,,0.6
2007-12-31,23.85,168516105.0,14789.1462,,,0.6
2008-01-31,16.52,88783600.0,10243.8866,,,0.6
2008-02-29,15.34,28206150.0,9512.1804,,,0.6
2008-03-31,13.14,29134270.0,8147.9825,,,0.6
2008-04-30,14.31,13587745.0,8873.4877,,,0.6
2008-05-31,14.0,20641295.0,8681.2598,,,0.6
2008-06-30,11.12,10168760.0,6895.4007,,,0.6
2008-07-31,11.65,11036925.0,7224.0484,,,0.6
2008-08-31,10.96,10530455.0,6796.1863,,,0.6
2008-09-30,9.29,5954430.0,5760.636,,,0.6
2008-10-31,6.43,11752375.0,3987.1786,,,0.6
2008-11-30,5.63,4436270.0,3491.1066,,,0.6
2008-12-31,6.03,8113235.0,3739.1426,,,0.6
2009-01-31,5.65,5632950.0,3503.5084,,,0.6
2009-02-28,5.42,2718860.0,3360.8877,,,0.6
2009-03-31,5.65,3335510.0,3503.5084,,,0.6
2009-04-30,6.26,9412835.0,3881.7633,,,0.6
2009-05-31,9.15,23011435.0,5673.8234,,,0.6
2009-06-30,9.73,33174595.0,6033.4756,,,0.6
2009-07-31,10.13,22647380.0,6281.5116,,,0.6
2009-08-31,10.88,33441515.0,6773.7737,,,0.2
2009-09-30,11.96,28129235.0,7446.1703,,,0.2
2009-10-31,9.56,21201955.0,5951.9556,,,0.2
2009-11-30,9.68,8550400.0,6027.0824,,,0.2
2009-12-31,11.25,24280910.0,7004.6154,,,0.2
2010-01-31,11.43,74074790.0,7116.6893,,,0.2
2010-02-28,10.66,16624100.0,6637.2623,,,0.2
2010-03-31,13.07,35813645.0,8137.8066,,,0.2
2010-04-30,16.17,101061725.0,10067.9673,,,0.2
2010-05-31,14.12,52262475.0,8791.5707,,,0.2
2010-06-30,16.65,69908115.0,10366.8309,,,0.2
2010-07-31,17.1,57018505.0,10647.0155,,,0.6
2010-08-31,19.8,110357265.0,12328.1232,,,0.6
2010-09-30,21.34,79706700.0,13286.9772,,,0.6
2010-10-31,23.25,75690470.0,14476.2053,,,0.6
2010-11-30,20.84,40206400.0,12975.661,,,0.6
2010-12-31,19.47,16212205.0,12122.6545,,,0.6
2011-01-31,17.27,18343985.0,10752.863,,,0.6
2011-02-28,16.71,13501370.0,10404.1888,,,0.6
2011-03-31,17.47,18923125.0,10877.3895,,,0.6
2011-04-30,20.57,21532455.0,12807.5502,,,0.6
2011-05-31,16.74,9012305.0,10422.8678,,,0.6
2011-06-30,14.99,10635790.0,9333.2609,,,0.6
2011-07-31,14.6,9240030.0,9090.4343,,,0.6
2011-08-31,13.98,17911585.0,8704.4021,,,0.6
2011-09-30,12.69,6002600.0,7901.2062,,,0.6
2011-10-31,12.9,3493905.0,8031.959,,,0.6
2011-11-30,9.81,4784845.0,6108.0247,,,0.6
2011-12-31,9.16,7876505.0,5703.3136,,,0.6
2012-01-31,10.67,7886790.0,6643.4886,,,0.6
2012-02-29,11.38,11463505.0,7085.5577,,,0.6
2012-03-31,10.05,10998850.0,6257.4565,8.2921,0.9418,0.6
2012-04-30,11.77,25526635.0,7328.3843,9.7112,1.103,0.6
2012-05-31,11.67,10140830.0,7266.1211,9.6287,1.0936,0.6
2012-06-30,12.28,4941955.0,7645.9269,10.132,1.1508,0.6
2012-07-31,11.57,17720740.0,7176.9635,9.5462,1.0842,0.6
2012-08-31,11.57,9821205.0,7176.9635,9.5462,1.0842,0.6
2012-09-30,12.61,11582760.0,7822.0839,10.4043,1.1817,0.6
2012-10-31,12.96,19352930.0,8039.1917,10.6931,1.2145,0.6
2012-11-30,12.32,10286580.0,7642.1945,10.165,1.1545,0.6
2012-12-31,12.29,22728815.0,7623.5853,10.1403,1.1517,0.6
2013-01-31,15.76,79396820.0,9776.0541,13.0033,1.4769,0.6
2013-02-28,17.39,41035450.0,10787.1561,14.3482,1.6297,0.6
2013-03-31,19.18,23849545.0,11897.5074,8.742,1.6502,0.6
2013-04-30,20.99,16714835.0,13020.2649,9.567,1.8059,0.6
2013-05-31,26.53,58736390.0,16456.7712,12.0921,2.2826,0.6
2013-06-30,24.81,14052770.0,15389.8424,11.3081,2.1346,0.6
2013-07-31,24.72,8727750.0,15334.0147,11.2671,2.1269,0.6
2013-08-31,20.76,6151720.0,12877.5948,9.4622,1.7862,1.1
2013-09-30,22.14,7689065.0,13737.3589,10.0912,1.9049,1.1
2013-10-31,25.81,6889450.0,16014.5091,11.7639,2.2207,1.1
2013-11-30,32.54,17338490.0,20190.3188,14.8314,2.7997,1.1
2013-12-31,33.5,12425390.0,20785.9766,15.2689,2.8823,1.1
2014-01-31,31.01,15416195.0,19240.9891,14.134,2.6681,1.1
2014-02-28,37.42,22283030.0,23218.2461,17.0556,3.2196,1.1
2014-03-31,38.2,14981870.0,23702.2181,13.9314,3.0015,1.1
2014-04-30,44.54,22884395.0,27636.0417,16.2436,3.4996,1.1
2014-05-31,50.81,24893440.0,31526.432,18.5303,3.9923,1.1
2014-06-30,57.65,15319940.0,35770.4941,21.0248,4.5297,1.1
2014-07-31,55.82,10918320.0,34635.0213,20.3574,4.3859,1.1
2014-08-31,57.62,10736760.0,35751.8798,21.0139,4.5273,1.1
2014-09-30,65.27,17185630.0,40498.5281,23.8038,5.1284,1.4
2014-10-31,64.18,12402240.0,39822.2083,23.4063,5.0428,1.4
2014-11-30,56.14,19565885.0,34833.5739,20.4741,4.4111,1.4
2014-12-31,52.28,15689885.0,32438.533,19.0664,4.1078,1.4
2015-01-31,58.11,26186175.0,36055.9134,21.1926,4.5658,1.4
2015-02-28,57.8,15624445.0,35863.4554,21.0795,4.5415,1.4
2015-03-31,56.74,14194000.0,35205.8601,73.6883,4.4712,1.4
2015-04-30,55.06,9710580.0,34163.4589,71.5065,4.3388,1.4
2015-05-31,55.0,12965250.0,34126.2302,71.4286,4.334,1.4
2015-06-30,51.28,6095650.0,31818.0561,66.5974,4.0409,1.4
2015-07-31,55.14,7017405.0,34213.097,71.6104,4.3451,1.4
2015-08-31,51.4,10951025.0,31892.5134,66.7532,4.0504,0.4
2015-09-30,52.02,3193300.0,32277.209,67.5584,4.0992,0.4
2015-10-31,62.67,12838505.0,38885.2882,81.3896,4.9384,0.4
2015-11-30,60.76,6216005.0,37700.1773,78.9091,4.7879,0.4
2015-12-31,60.13,2859490.0,37309.2768,78.0909,4.7383,0.4
2016-01-31,63.58,6394265.0,39449.9222,82.5714,5.0102,0.4
2016-02-29,61.42,5132350.0,38109.692,79.7662,4.8399,0.4
2016-03-31,72.83,12729575.0,45189.3336,17.5325,2.8412,0.4
2016-04-30,72.36,6919710.0,44897.7095,17.4194,2.8229,0.4
2016-05-31,77.59,13791735.0,48142.8037,18.6784,3.0269,0.4
2016-06-30,85.48,10809230.0,53038.3666,20.5778,3.3347,0.4
2016-07-31,94.27,8322845.0,58492.3586,22.6938,3.6776,2.0
2016-08-31,97.18,10212310.0,60297.9464,23.3943,3.7911,2.0
2016-09-30,90.21,6699470.0,55973.2224,21.7164,3.5192,2.0
2016-10-31,92.63,4144445.0,57474.7765,22.299,3.6136,2.0
2016-11-30,88.32,6231645.0,54800.521,21.2614,3.4455,2.0
2016-12-31,87.0,4417330.0,53981.4915,20.9437,3.394,2.0
2017-01-31,99.03,5835265.0,61445.8287,23.8397,3.8633,2.0
2017-02-28,107.54,12194175.0,66726.0873,25.8883,4.1953,2.0
2017-03-31,115.79,10487315.0,71845.0218,20.2501,3.1038,2.0
2017-04-30,115.61,6713000.0,71733.336,20.2186,3.0989,2.0
2017-05-31,121.8,9006225.0,75574.0881,21.3012,3.2649,2.0
2017-06-30,120.76,8741135.0,74928.7921,21.1193,3.237,2.0
2017-07-31,121.43,9450760.0,75344.5116,21.2364,3.2549,2.3
2017-08-31,122.22,5348230.0,75834.6884,21.3746,3.2761,2.3
2017-09-30,126.96,7228285.0,78775.7489,22.2036,3.4032,2.3
2017-10-31,143.25,5542240.0,88883.3179,25.0525,3.8398,2.3
2017-11-30,129.92,9739360.0,80612.3627,22.7212,3.4825,2.3
2017-12-31,131.94,6700665.0,81865.7261,23.0745,3.5367,2.3
2018-01-31,129.32,8722365.0,80240.0766,22.6163,3.4664,2.3
2018-02-28,130.62,19079890.0,81046.6933,22.8437,3.5013,2.3
2018-03-31,131.95,5354065.0,81871.9276,26.7213,2.9291,2.3
2018-04-30,131.1,5375585.0,81344.5222,26.5492,2.9102,2.3
2018-05-31,123.58,11554290.0,76678.5359,25.0263,2.7433,2.3
2018-06-30,115.57,8109900.0,71708.5159,23.4042,2.5655,2.3
2018-07-31,114.71,6644380.0,71174.9058,23.2301,2.5464,2.3
2018-08-31,126.33,7796075.0,78384.8474,25.5832,2.8043,2.3
2018-09-30,105.04,3233305.0,65174.8941,21.2718,2.3317,2.0
2018-10-31,109.33,15682375.0,67836.74,22.1405,2.427,2.0
2018-11-30,110.77,2885610.0,68730.2268,22.4322,2.4589,2.0
2018-12-31,108.91,5923380.0,67576.1397,22.0555,2.4176,2.0
2019-01-31,102.73,2962950.0,63741.5925,20.804,2.2805,2.0
2019-02-28,94.91,4673960.0,58889.4631,19.2203,2.1069,2.0
2019-03-31,97.85,3399525.0,60713.6652,16.5343,2.3567,2.0
2019-04-30,92.76,3554585.0,57555.4377,15.6742,2.2341,2.0
2019-05-31,99.03,5453165.0,61445.8279,16.7337,2.3851,2.0
2019-06-30,101.39,4862685.0,62910.1534,17.1325,2.442,2.0
2019-07-31,105.34,5860000.0,65361.0372,17.7999,2.5371,2.0
2019-08-31,100.72,4935325.0,62494.4339,17.0193,2.4258,2.0
2019-09-30,119.19,5595935.0,73954.6423,20.1403,2.8707,2.0
2019-10-31,121.05,5093890.0,75108.7294,20.4545,2.9155,2.0
2019-11-30,116.13,3141720.0,72055.983,19.6232,2.797,2.0
2019-12-31,109.24,3137180.0,67780.8971,18.4589,2.631,2.0
2020-01-31,112.11,4056225.0,69561.6658,18.9439,2.7002,2.0
2020-02-29,108.62,3633705.0,67396.2014,18.3542,2.6161,2.0
2020-03-31,78.55,7877190.0,48738.4609,14.6494,2.4541,2.0
2020-04-30,80.33,4448350.0,49842.9098,14.9814,2.5097,2.0
2020-05-31,85.0,3540125.0,52740.5369,15.8523,2.6556,2.0
2020-06-30,99.61,10291250.0,61805.7045,18.577,3.1121,2.0
2020-07-31,92.09,5344285.0,57139.7182,17.1746,2.8772,2.0
2020-08-31,101.07,10921780.0,62711.6008,18.8493,3.1577,2.0
2020-09-30,100.41,6275060.0,62302.086,18.7262,3.1371,2.0
2020-10-31,104.49,6310840.0,64833.6339,19.4871,3.2646,2.0
2020-11-30,126.17,18305670.0,78285.5736,23.5304,3.9419,2.0
2020-12-31,129.21,13101135.0,80171.8235,24.0974,4.0369,2.0
2021-01-31,115.42,7966510.0,71615.4467,21.5256,3.6061,2.0
2021-02-28,122.62,36379510.0,76082.8805,22.8683,3.831,2.0
2021-03-31,127.2,14886440.0,78924.6649,53.4872,12.5723,2.0
2021-04-30,151.25,28399156.0,93847.1317,63.6002,14.9493,2.0
2021-05-31,170.0,20909276.0,105481.0737,71.4845,16.8025,0.0
2021-06-30,183.95,31609148.0,114136.7265,77.3504,18.1813,0.0
2021-07-31,177.0,25830598.0,109824.4122,74.428,17.4944,0.0
2021-08-31,167.95,16829829.0,104209.0962,70.6225,16.5999,0.0
2021-09-30,208.8,35296864.0,129555.5778,87.7998,20.6375,4.0
2021-10-31,220.1,27616973.0,136566.9668,92.5514,21.7543,4.0
2021-11-30,211.85,15372610.0,131448.0323,89.0823,20.9389,4.0
2021-12-31,207.0,9567604.0,128438.7193,87.0429,20.4596,4.0
2022-01-31,167.45,14573640.0,103898.8577,70.4122,16.5505,4.0
2022-02-28,152.9,15266210.0,94870.9188,64.294,15.1124,4.0
2022-03-31,154.65,12793834.0,95956.7534,9.1293,2.4431,4.0
2022-04-30,156.2,12528690.0,96918.4926,9.2208,2.4676,4.0
2022-05-31,157.0,10117667.0,97414.8741,9.268,2.4802,4.0
2022-06-30,136.2,8820558.0,84508.9545,8.0401,2.1516,4.0
2022-07-31,132.75,9676036.0,82368.3091,7.8365,2.0971,4.0
2022-08-31,152.05,18087493.0,94343.5134,8.9758,2.402,6.0
2022-09-30,136.6,16160892.0,84757.1452,8.0638,2.158,4.0
2022-10-31,133.95,11466440.0,83112.8814,7.9073,2.1161,4.0
2022-11-30,157.55,27173104.0,97756.1364,9.3005,2.4889,4.0
2022-12-31,187.3,47301124.0,116215.3243,11.0567,2.9589,4.0
2023-01-31,172.45,12188445.0,107001.2423,10.18,2.7243,4.0
2023-02-28,169.05,12020107.0,104891.6208,9.9793,2.6706,4.0
2023-03-31,170.6,9787050.0,105853.36,42.2277,2.1514,4.0
2023-04-30,167.5,6206581.0,103929.8816,41.4604,2.1123,4.0
