KECI IN Equity,price,volume,mc,pe,bm,div
2006-03-31,80.34,110633935.0,15613.4364,35.3692,5.0107,0.0
2006-04-30,79.44,21484760.0,15289.3194,34.9735,4.9546,0.0
2006-05-31,59.34,11204615.0,11533.1634,26.1261,3.7013,0.0
2006-06-30,48.73,12733280.0,9515.2608,21.4557,3.0396,0.24
2006-07-31,43.02,10165360.0,8399.1171,18.9389,2.683,0.24
2006-08-31,48.27,9678495.0,9453.9874,21.2517,3.0107,0.24
2006-09-30,48.54,5699415.0,9529.1907,21.37,3.0275,0.24
2006-10-31,57.53,9200145.0,11293.5188,25.3267,3.588,0.24
2006-11-30,70.05,23925265.0,13752.6648,30.8415,4.3693,0.24
2006-12-31,68.54,4321905.0,13473.6072,30.1766,4.2751,0.24
2007-01-31,89.37,24029405.0,17583.8388,39.3463,5.5741,0.24
2007-02-28,98.6,10980025.0,19399.4623,43.409,6.1497,0.24
2007-03-31,95.42,6360615.0,18793.1508,42.0099,5.9515,0.24
2007-04-30,101.11,7307270.0,19913.5503,44.5144,6.3063,0.24
2007-05-31,97.2,4089495.0,19170.7293,42.793,6.0624,0.24
2007-06-30,103.82,5570910.0,20477.2846,45.7095,6.4756,0.24
2007-07-31,114.16,8536785.0,22516.6072,50.2617,7.1205,0.9
2007-08-31,107.81,3207290.0,21281.4305,47.4635,6.7241,0.9
2007-09-30,111.63,8168265.0,22037.0177,49.1481,6.9627,0.9
2007-10-31,137.56,9765615.0,27154.4196,60.5612,8.5796,0.9
2007-11-30,143.31,7765905.0,28314.9474,63.0943,8.9385,0.9
2007-12-31,151.39,3413670.0,29911.187,66.6512,9.4424,0.9
2008-01-31,136.18,3726260.0,26907.2545,59.9576,8.4941,0.9
2008-02-29,146.31,3042640.0,26803.2604,64.4153,9.1256,0.9
2008-03-31,130.93,2363730.0,31617.4343,57.644,8.1663,0.9
2008-04-30,121.38,5402080.0,29311.4498,53.4395,7.5707,0.9
2008-05-31,104.32,9135185.0,25191.7157,45.9285,6.5066,0.9
2008-06-30,80.82,3235195.0,19516.8181,35.5823,5.0409,1.0
2008-07-31,73.75,2050010.0,17809.5191,32.4696,4.5999,1.0
2008-08-31,78.24,4273145.0,18919.5276,34.4464,4.88,1.0
2008-09-30,75.04,6413460.0,18145.9847,33.0375,4.6804,1.0
2008-10-31,22.61,10735690.0,5467.55,9.9544,1.4102,1.0
2008-11-30,24.67,25555390.0,5966.9824,10.8614,1.5387,1.0
2008-12-31,32.95,13306420.0,7969.6826,14.5068,2.0552,1.0
2009-01-31,32.14,5737220.0,7773.7019,14.1501,2.0046,1.0
2009-02-28,25.32,1999075.0,6124.1485,11.1475,1.5793,1.0
2009-03-31,30.47,4734880.0,7369.779,6.4364,1.347,1.0
2009-04-30,41.26,4634580.0,9979.5563,8.7157,1.824,1.0
2009-05-31,83.01,14090770.0,20085.1828,17.5349,3.6697,1.0
2009-06-30,81.5,6200685.0,19719.8217,17.2159,3.603,1.0
2009-07-31,93.41,7309920.0,22601.5772,19.7317,4.1295,1.0
2009-08-31,107.45,7589690.0,25998.7097,22.6975,4.7502,1.0
2009-09-30,114.34,5480900.0,27665.821,24.1529,5.0548,1.0
2009-10-31,110.62,4776115.0,26765.7261,23.3671,4.8903,1.0
2009-11-30,112.68,5152585.0,27264.1657,23.8023,4.9814,1.0
2009-12-31,117.79,5751025.0,28521.0221,24.8817,5.2073,1.0
2010-01-31,116.42,5282415.0,28189.2979,24.5923,5.1468,1.0
2010-02-28,114.06,2798610.0,27617.8605,24.0938,5.0424,1.0
2010-03-31,117.02,2759205.0,28334.5786,15.2768,3.6681,1.0
2010-04-30,112.43,2835005.0,27223.1812,14.6775,3.5242,1.0
2010-05-31,96.0,3843900.0,23244.9115,12.5326,3.0092,1.0
2010-06-30,96.69,2671250.0,24414.225,12.6227,3.0309,1.2
2010-07-31,101.35,5811515.0,25590.875,13.2311,3.1769,1.2
2010-08-31,91.05,3521390.0,23008.6532,11.8864,2.8541,1.2
2010-09-30,100.07,20464960.0,25288.0387,13.064,3.1368,1.2
2010-10-31,97.58,5430495.0,24658.807,12.7389,3.0587,1.2
2010-11-30,92.29,4621090.0,23322.0056,12.0483,2.8929,1.2
2010-12-31,103.75,7605452.0,26217.9666,13.5444,3.2522,1.2
2011-01-31,88.65,5271462.0,22402.1469,11.5731,2.7788,1.2
2011-02-28,79.05,6993393.0,19976.1953,10.3198,2.4779,1.2
2011-03-31,82.6,6793818.0,20873.292,10.325,2.2434,1.2
2011-04-30,84.9,3909705.0,21821.2536,10.6125,2.3058,1.2
2011-05-31,81.6,3627169.0,20973.0776,10.2,2.2162,1.2
2011-06-30,79.35,6634811.0,20394.7759,9.9188,2.1551,1.2
2011-07-31,79.1,4269197.0,20330.5201,9.8875,2.1483,1.2
2011-08-31,62.4,2907352.0,16038.2358,7.8,1.6948,1.2
2011-09-30,60.3,4526938.0,15498.4875,7.5375,1.6377,1.2
2011-10-31,57.5,1624791.0,14778.8231,7.1875,1.5617,1.2
2011-11-30,40.7,3856372.0,10460.8365,5.0875,1.1054,1.2
2011-12-31,35.1,5668703.0,9021.5077,4.3875,0.9533,1.2
2012-01-31,53.45,16850291.0,13737.8799,6.6813,1.4517,1.2
2012-02-29,62.0,10628778.0,15935.4266,7.75,1.6839,1.2
2012-03-31,65.15,6670389.0,16749.3099,8.0037,1.5119,1.2
2012-04-30,57.05,5141875.0,14666.8938,7.0086,1.324,1.2
2012-05-31,50.7,4988685.0,13034.3824,6.2285,1.1766,1.2
2012-06-30,55.8,6039523.0,14345.5332,6.855,1.295,1.2
2012-07-31,56.95,5229623.0,14641.1849,6.9963,1.3216,1.2
2012-08-31,56.4,3152381.0,14499.7863,6.9287,1.3089,1.2
2012-09-30,73.4,7135960.0,18870.2893,9.0172,1.7034,1.2
2012-10-31,63.5,9453370.0,16325.114,7.801,1.4736,1.2
2012-11-30,65.0,5861368.0,16710.7466,7.9853,1.5085,1.2
2012-12-31,66.7,3922168.0,17147.7969,8.1941,1.5479,1.2
2013-01-31,61.0,7220733.0,15682.393,7.4939,1.4156,1.2
2013-02-28,50.6,7807388.0,13008.6735,6.2162,1.1743,1.2
2013-03-31,59.05,4598163.0,15181.0706,23.3399,1.3233,1.2
2013-04-30,53.85,7008006.0,13844.2108,21.2846,1.2068,1.2
2013-05-31,41.75,6092804.0,10733.4411,16.502,0.9356,1.2
2013-06-30,32.15,5111114.0,8265.3914,12.7075,0.7205,1.2
2013-07-31,27.9,4288664.0,7172.7658,11.0277,0.6252,1.2
2013-08-31,24.0,5101535.0,6170.1211,9.4862,0.5378,0.5
2013-09-30,27.1,7203868.0,6967.0951,10.7115,0.6073,0.5
2013-10-31,36.3,6467787.0,9332.3082,14.3478,0.8135,0.5
2013-11-30,44.7,11039005.0,11491.8505,17.668,1.0017,0.5
2013-12-31,57.15,14473085.0,14692.6009,22.5889,1.2807,0.5
2014-01-31,52.95,8395287.0,13612.8297,20.9289,1.1866,0.5
2014-02-28,54.0,5554556.0,13882.7725,21.3439,1.2101,0.5
2014-03-31,67.55,9690487.0,17366.32,25.9808,1.4574,0.5
2014-04-30,75.35,11466861.0,19371.6094,28.9808,1.6257,0.5
2014-05-31,117.95,20309074.0,30323.5743,45.3654,2.5448,0.5
2014-06-30,126.7,12805998.0,32573.0976,48.7308,2.7336,0.5
2014-07-31,119.8,12912934.0,30799.1878,46.0769,2.5847,0.6
2014-08-31,101.15,10228415.0,26004.4895,38.9038,2.1823,0.6
2014-09-30,107.15,9424677.0,27547.0198,41.2115,2.3118,0.6
2014-10-31,109.8,5639701.0,28228.304,42.2308,2.369,0.6
2014-11-30,100.5,7821809.0,25837.3821,38.6538,2.1683,0.6
2014-12-31,94.0,11725227.0,24166.3076,36.1538,2.0281,0.6
2015-01-31,94.3,8834903.0,24243.4341,36.2692,2.0346,0.6
2015-02-28,81.65,15841139.0,20991.2362,31.4038,1.7616,0.6
2015-03-31,80.05,18733440.0,20579.9247,12.7875,1.5476,0.6
2015-04-30,98.25,43880998.0,25258.9332,15.6949,1.8995,0.6
2015-05-31,121.3,37902113.0,31184.8204,19.377,2.3451,0.6
2015-06-30,130.15,47563911.0,33460.0525,20.7907,2.5162,0.6
2015-07-31,145.85,50329814.0,37496.3401,23.2987,2.8197,0.9
2015-08-31,130.4,22638236.0,33524.3246,20.8307,2.521,0.9
2015-09-30,142.05,15744214.0,36519.4042,22.6917,2.7462,0.9
2015-10-31,133.85,13792147.0,34411.2795,21.3818,2.5877,0.9
2015-11-30,158.3,15832193.0,40697.0904,25.2875,3.0604,0.9
2015-12-31,155.55,13483925.0,39990.0973,24.8482,3.0072,0.9
2016-01-31,123.0,11490760.0,31621.8706,19.6486,2.3779,0.9
2016-02-29,100.8,14033492.0,25914.5086,16.1022,1.9488,0.9
2016-03-31,122.3,8895173.0,31441.9087,21.2696,2.4366,1.0
2016-04-30,125.5,5922260.0,32264.5916,21.8261,2.5004,1.0
2016-05-31,138.55,13245906.0,35619.5949,24.0957,2.7604,1.0
2016-06-30,144.1,10567613.0,37046.4354,25.0609,2.871,1.0
2016-07-31,143.35,5152493.0,36853.6191,24.9304,2.856,1.0
2016-08-31,135.3,6477679.0,34784.0577,23.5304,2.6956,1.0
2016-09-30,125.95,13876847.0,32380.2813,21.9043,2.5093,1.0
2016-10-31,127.05,7334899.0,32663.0785,22.0957,2.5313,1.0
2016-11-30,145.75,17056614.0,37470.6312,25.3478,2.9038,1.0
2016-12-31,140.45,5225070.0,36108.0628,24.4261,2.7982,1.0
2017-01-31,148.0,8268665.0,38049.0801,25.7391,2.9487,1.0
2017-02-28,166.95,11157966.0,42920.9049,29.0348,3.3262,1.0
2017-03-31,208.6,24714192.0,53628.6358,17.5885,3.3806,1.0
2017-04-30,219.35,13221226.0,56392.3359,18.4949,3.5548,1.0
2017-05-31,259.95,20228958.0,66830.1241,21.9182,4.2128,0.0
2017-06-30,257.75,17218927.0,66264.5297,21.7327,4.1772,0.0
2017-07-31,304.6,24030625.0,78309.1202,25.683,4.9364,1.6
2017-08-31,312.6,19745552.0,80365.8272,26.3575,5.0661,1.6
2017-09-30,306.95,9484260.0,78913.2779,25.8811,4.9745,1.6
2017-10-31,292.8,8082575.0,75275.4773,24.688,4.7452,1.6
2017-11-30,322.2,14360456.0,82833.8757,27.1669,5.2217,1.6
2017-12-31,383.4,21505732.0,98567.6845,32.3272,6.2135,1.6
2018-01-31,351.55,12626318.0,90379.4196,29.6417,5.6973,1.6
2018-02-28,415.25,26907668.0,106755.9456,35.0126,6.7296,1.6
2018-03-31,389.75,12002751.0,100200.1922,21.8639,5.0164,1.6
2018-04-30,406.15,12941940.0,104416.4415,22.7839,5.2275,1.6
2018-05-31,361.1,12774199.0,92834.6104,20.2567,4.6477,1.6
2018-06-30,334.95,15339376.0,86111.7495,18.7898,4.3111,1.6
2018-07-31,332.75,8038044.0,85546.1551,18.6664,4.2828,2.4
2018-08-31,302.0,18277798.0,77640.6877,16.9414,3.887,2.4
2018-09-30,296.0,11281438.0,76098.1575,16.6048,3.8098,2.4
2018-10-31,284.15,12135865.0,73051.6603,15.9401,3.6572,2.4
2018-11-30,293.5,7125152.0,75455.4366,16.4646,3.7776,2.4
2018-12-31,301.45,6563924.0,77499.2891,16.9105,3.8799,2.4
2019-01-31,244.95,6096227.0,62973.7962,13.741,3.1527,2.4
2019-02-28,264.0,10773473.0,67871.3297,14.8097,3.3979,2.4
2019-03-31,299.75,13059986.0,77062.2389,15.8421,3.1646,2.4
2019-04-30,285.85,6315499.0,73488.7106,15.1075,3.0179,2.4
2019-05-31,320.1,12939474.0,82293.9872,16.9176,3.3795,2.4
2019-06-30,321.6,5853335.0,82679.6198,16.9969,3.3953,2.4
2019-07-31,308.85,6504025.0,79401.7431,16.323,3.2607,2.7
2019-08-31,244.9,5886325.0,62960.9418,12.9432,2.5856,2.7
2019-09-30,273.35,8780546.0,70275.1059,14.4468,2.8859,2.7
2019-10-31,271.1,5616509.0,69696.6571,14.3279,2.8622,2.7
2019-11-30,281.85,7345095.0,72460.3571,14.8961,2.9757,2.7
2019-12-31,302.05,6491251.0,77653.5422,15.9636,3.1889,2.7
2020-01-31,338.35,9134328.0,86985.85,17.8821,3.5722,2.7
2020-02-29,310.1,7699671.0,79723.1035,16.3891,3.2739,3.4
2020-03-31,185.5,6948443.0,47689.8926,8.4318,1.7047,3.4
2020-04-30,195.05,13917948.0,50145.0866,8.8659,1.7924,3.4
2020-05-31,196.7,11210476.0,50569.2824,8.9409,1.8076,3.4
2020-06-30,270.65,11806741.0,69580.9673,12.3023,2.4872,3.4
2020-07-31,274.95,8988983.0,70686.4473,12.4977,2.5267,3.4
2020-08-31,322.1,11900707.0,82808.164,14.6409,2.96,3.4
2020-09-30,344.5,11357120.0,88566.9435,15.6591,3.1658,3.4
2020-10-31,325.05,9250519.0,83566.5776,14.775,2.9871,3.4
2020-11-30,359.5,9822001.0,92423.2723,16.3409,3.3037,3.4
2020-12-31,363.95,10641711.0,93567.3155,16.5432,3.3446,3.4
2021-01-31,359.65,7669904.0,92461.8355,16.3477,3.3051,3.4
2021-02-28,430.65,8661256.0,110715.1104,19.575,3.9575,3.4
2021-03-31,410.85,10024185.0,105624.7605,19.1093,3.1439,3.4
2021-04-30,401.4,5734332.0,103195.2753,18.6698,3.0716,0.0
2021-05-31,410.9,11012545.0,105637.6149,19.1116,3.1443,0.0
2021-06-30,452.8,15781982.0,116409.618,21.0605,3.4649,0.0
2021-07-31,426.85,8225602.0,109738.1707,19.8535,3.2663,4.0
2021-08-31,425.75,6279860.0,109455.3735,19.8023,3.2579,4.0
2021-09-30,443.1,14203886.0,113915.8567,20.6093,3.3907,4.0
2021-10-31,477.65,18109975.0,122798.2599,22.2163,3.655,4.0
2021-11-30,425.35,5803437.0,109352.5382,19.7837,3.2548,4.0
2021-12-31,479.1,8343437.0,123171.0381,22.2837,3.6661,4.0
2022-01-31,495.15,6597884.0,127297.3064,23.0302,3.789,4.0
2022-02-28,466.0,4492113.0,119803.1804,21.6744,3.5659,4.0
2022-03-31,378.95,6109842.0,97423.6378,29.3305,2.6913,4.0
2022-04-30,397.35,9356030.0,102154.0638,30.7546,2.822,4.0
2022-05-31,396.1,4444150.0,101832.7034,30.6579,2.8131,4.0
2022-06-30,391.25,6038951.0,100585.8248,30.2825,2.7787,4.0
2022-07-31,459.95,19321710.0,118247.7958,35.5998,3.2666,4.0
2022-08-31,406.75,10660764.0,104570.6945,31.4822,2.8887,4.0
2022-09-30,449.75,21698585.0,115625.4944,34.8104,3.1941,4.0
2022-10-31,440.0,9381556.0,113118.8828,34.0557,3.1249,4.0
2022-11-30,417.8,8138528.0,107411.521,32.3375,2.9672,4.0
2022-12-31,494.45,22118769.0,127117.3445,38.2701,3.5116,4.0
2023-01-31,454.9,8380313.0,116949.4995,35.209,3.2307,4.0
2023-02-28,449.25,6668660.0,115496.9502,34.7717,3.1906,4.0
2023-03-31,456.35,4212882.0,117322.2776,66.6204,3.1108,4.0
2023-04-30,458.95,6064470.0,117990.7074,67.0,3.1285,4.0
2023-05-31,522.5,32514978.0,134328.6733,76.2774,3.5618,4.0
2023-06-30,551.15,15306497.0,141694.2551,80.4599,3.7571,4.0
2023-07-31,633.85,13035616.0,162955.4633,92.5328,4.3208,3.0
2023-08-31,671.45,21454397.0,172621.986,98.0219,4.5771,3.0
2023-09-30,662.5,11731207.0,170321.0451,96.7153,4.5161,3.0
2023-10-31,628.3,5395975.0,161528.6229,91.7226,4.283,3.0
2023-11-30,578.35,11556880.0,148687.0588,84.4307,3.9425,3.0
2023-12-31,589.2,7866780.0,151476.4676,86.0146,4.0164,3.0
2024-01-31,657.65,13162543.0,169074.1665,96.0073,4.483,3.0
2024-02-29,726.65,12024444.0,186813.2641,106.0803,4.9534,3.0
2024-03-31,694.25,13089223.0,178483.6009,51.464,4.3578,3.0
2024-04-30,748.8,30172557.0,192507.7715,55.5078,4.7002,3.0
2024-05-31,738.5,13459101.0,189859.7612,54.7443,4.6356,3.0
2024-06-30,886.9,22533466.0,228011.6754,65.745,5.5671,3.0
2024-07-31,925.35,23079437.0,237896.7232,68.5953,5.8085,3.0
2024-08-31,947.35,36710147.0,243552.6673,70.2261,5.9465,4.0
2024-09-30,1038.55,36761768.0,266999.1267,76.9867,6.519,4.0
2024-10-31,984.9,10125506.0,262180.38,73.0096,6.1822,4.0
2024-11-30,1054.3,22441904.0,280654.66,78.1542,6.6179,4.0
2024-12-31,1198.8,26155420.0,319120.56,88.8658,7.5249,4.0
2025-01-31,840.8,22020743.0,223820.96,62.3277,5.2777,4.0
2025-02-28,686.45,26618556.0,182732.99,50.8858,4.3089,4.0
2025-03-31,782.75,63863593.0,208368.05,35.906,3.8966,4.0
2025-04-30,698.2,26953330.0,185860.84,32.0275,3.4757,4.0
2025-05-31,832.4,46270886.0,221584.88,38.1835,4.1437,4.0
2025-06-30,918.45,26286519.0,244491.39,42.1307,4.5721,4.0
2025-07-31,861.5,10565302.0,229331.3,39.5183,4.2886,5.5
2025-08-31,808.1,18123804.0,215116.22,37.0688,4.0228,5.5
2025-09-30,872.95,31193043.0,232379.29,40.0436,4.3456,5.5
2025-10-31,817.75,9613121.0,217685.05,37.5115,4.0708,5.5
2025-11-30,685.75,42141661.0,182546.65,31.4564,3.4137,5.5
2025-12-31,737.9,23194481.0,196428.98,33.8486,3.6733,5.5
2026-01-31,667.15,11418602.0,177595.33,30.6032,3.3211,5.5
2026-02-28,585.3,13780442.0,155806.86,26.8486,2.9137,5.5
2026-03-31,551.6,2174830.0,146835.9135,25.3028,2.7459,5.5
