SAMMAANC IN Equity,price,volume,mc,pe,bm,div
2013-07-31,187.01,7746884.0,65564.8433,5.2034,1.2655,0.0
2013-08-31,175.65,15427124.0,65043.0551,4.8872,1.1886,5.3483
2013-09-30,162.99,10694999.0,60355.8677,4.535,1.1029,5.3483
2013-10-31,190.58,25154519.0,70571.9689,5.3026,1.2896,11.588
2013-11-30,199.18,13938457.0,74427.6299,5.5419,1.3478,11.588
2013-12-31,212.55,12649486.0,79439.7179,5.9139,1.4383,11.588
2014-01-31,183.89,9632108.0,68905.478,5.1166,1.2444,17.8277
2014-02-28,170.74,13169925.0,63978.8867,4.7507,1.1554,17.8277
2014-03-31,211.75,18779880.0,79351.7767,4.9531,1.3904,17.8277
2014-04-30,266.57,29173280.0,99895.3855,6.2354,1.7504,17.8277
2014-05-31,348.4,21541534.0,130606.8549,8.1495,2.2877,25.8502
2014-06-30,338.77,10901818.0,127061.2415,7.9243,2.2245,25.8502
2014-07-31,365.56,22361973.0,137194.0315,8.5509,2.4004,25.8502
2014-08-31,336.5,17295975.0,127790.1669,7.8711,2.2096,27.633
2014-09-30,358.96,29079533.0,136344.9562,8.3966,2.3571,29.4157
2014-10-31,372.87,13906800.0,141626.7574,8.7219,2.4484,29.4157
2014-11-30,401.79,29984161.0,160062.4007,9.3985,2.6383,29.4157
2014-12-31,409.9,21700116.0,163317.5069,9.5882,2.6916,29.4157
2015-01-31,524.76,57148095.0,209260.1234,12.2748,3.4458,31.1985
2015-02-28,555.47,35104728.0,221555.3649,12.9931,3.6474,31.1985
2015-03-31,497.3,30079972.0,198369.4254,10.1529,2.9912,31.1985
2015-04-30,529.17,31369740.0,211092.7222,10.8035,3.1829,31.1985
2015-05-31,531.22,23953144.0,211954.8153,10.8453,3.1952,31.1985
2015-06-30,554.84,35828703.0,221379.7715,11.3276,3.3373,31.1985
2015-07-31,658.02,40980338.0,262583.9668,13.434,3.9579,32.0899
2015-08-31,673.04,82667413.0,273536.2641,13.7407,4.0483,32.0899
2015-09-30,707.81,83457565.0,332893.4917,14.4504,4.2574,32.0899
2015-10-31,642.29,32340391.0,302079.7247,13.1128,3.8633,32.0899
2015-11-30,612.11,70633870.0,288809.3219,12.4968,3.6818,32.0899
2015-12-31,656.68,30805431.0,309838.1061,13.4067,3.9499,32.0899
2016-01-31,630.17,29855542.0,297783.6373,12.8653,3.7904,32.0899
2016-02-29,512.86,39512424.0,242350.6835,10.4704,3.0848,32.0899
2016-03-31,579.31,41594184.0,273797.6261,10.8606,2.5603,32.0899
2016-04-30,617.95,37748767.0,292060.6313,11.5851,2.7311,32.0899
2016-05-31,640.42,43609397.0,302677.1879,12.0062,2.8304,32.0899
2016-06-30,598.16,27742085.0,282761.4001,11.2141,2.6436,32.0899
2016-07-31,681.42,59094401.0,322117.5059,12.7749,3.0116,32.0899
2016-08-31,730.22,42293980.0,345187.6,13.6898,3.2273,32.0899
2016-09-30,737.53,28994392.0,348642.847,13.8269,3.2596,32.0899
2016-10-31,755.36,29398039.0,357070.2786,14.1611,3.3384,32.0899
2016-11-30,681.95,60029276.0,322370.3288,12.7849,3.0139,32.0899
2016-12-31,579.62,57066043.0,275344.5604,10.8665,2.5617,32.0899
2017-01-31,669.12,55160228.0,318087.7542,12.5443,2.9572,32.0899
2017-02-28,776.66,90404065.0,369252.09,14.5605,3.4325,32.0899
2017-03-31,889.38,64660683.0,422902.3725,14.5022,3.4886,32.0899
2017-04-30,906.49,39040798.0,431144.903,14.7813,3.5557,32.0899
2017-05-31,1034.54,49773858.0,492457.4771,16.8692,4.058,32.0899
2017-06-30,959.27,41800418.0,456661.6646,15.6417,3.7627,32.0899
2017-07-31,1047.6,31470369.0,498714.5113,17.0821,4.1092,32.0899
2017-08-31,1083.48,30037377.0,515835.3055,17.6672,4.2499,32.0899
2017-09-30,1075.68,43105993.0,512121.9703,17.54,4.2193,32.0899
2017-10-31,1108.93,37867364.0,527951.3878,18.0821,4.3498,32.0899
2017-11-30,1074.88,65767074.0,513611.0235,17.5269,4.2162,32.0899
2017-12-31,1066.63,30486062.0,509671.1454,17.3924,4.1839,32.0899
2018-01-31,1239.87,52435597.0,593138.0946,20.2173,4.8634,32.0899
2018-02-28,1117.89,35284144.0,534918.5292,18.2282,4.3849,36.5468
2018-03-31,1102.87,32032360.0,527731.4012,13.5012,3.6755,36.5468
2018-04-30,1165.04,44517107.0,557482.2723,14.2623,3.8827,36.5468
2018-05-31,1107.73,47498903.0,530126.8987,13.5607,3.6917,37.4382
2018-06-30,1018.41,54390718.0,487382.298,12.4673,3.394,37.4382
2018-07-31,1156.17,43161539.0,553312.2185,14.1538,3.8531,37.4382
2018-08-31,1122.48,33464744.0,537316.53,13.7413,3.7408,38.3296
2018-09-30,763.78,125291777.0,365614.19,9.3502,2.5454,38.3296
2018-10-31,743.95,321125711.0,356120.2112,9.1074,2.4793,39.221
2018-11-30,637.88,162415426.0,305343.4257,7.8088,2.1258,39.221
2018-12-31,761.11,229759254.0,364334.103,9.3174,2.5365,39.221
2019-01-31,592.5,164925470.0,284069.4351,7.2534,1.9746,39.221
2019-02-28,584.08,223068950.0,280056.0379,7.1503,1.9465,35.6554
2019-03-31,765.03,202488449.0,366818.9157,8.956,2.2256,35.6554
2019-04-30,619.91,271480712.0,297237.6521,7.2571,1.8034,35.6554
2019-05-31,701.12,234190703.0,336174.0963,8.2078,2.0396,35.6554
2019-06-30,541.7,533253700.0,259836.7751,6.3414,1.5758,35.6554
2019-07-31,477.43,404891397.0,229008.6831,5.5891,1.3889,35.6554
2019-08-31,405.89,627514426.0,194695.8623,4.7516,1.1808,33.8727
2019-09-30,228.11,494621955.0,109416.2099,2.6704,0.6636,33.8727
2019-10-31,184.2,1270041862.0,88358.1859,2.1564,0.5359,33.8727
2019-11-30,258.95,1551660591.0,124210.2734,3.0314,0.7533,31.1985
2019-12-31,279.18,1088450596.0,133916.2053,3.2683,0.8122,31.1985
2020-01-31,273.12,598309543.0,131008.7015,3.1973,0.7945,31.1985
2020-02-29,249.45,891187720.0,119656.6094,2.9203,0.7257,27.633
2020-03-31,86.24,1103319500.0,41367.7933,1.8714,0.261,27.633
2020-04-30,118.29,709165541.0,56739.0819,2.5667,0.358,27.633
2020-05-31,108.88,504657062.0,52228.1752,2.3627,0.3295,27.633
2020-06-30,184.65,1068467667.0,88571.973,4.0068,0.5588,27.633
2020-07-31,169.36,784513120.0,81239.0773,3.675,0.5126,18.7191
2020-08-31,185.59,531894256.0,89020.9257,4.0271,0.5617,18.7191
2020-09-30,140.08,592569718.0,72658.1299,3.0397,0.424,18.7191
2020-10-31,124.79,366522936.0,64728.8496,2.7079,0.3777,11.588
2020-11-30,166.73,456055297.0,86482.3666,3.618,0.5046,11.588
2020-12-31,196.37,572828703.0,101855.4684,4.2611,0.5943,11.588
2021-01-31,170.12,506885282.0,88239.2925,3.6915,0.5149,5.3483
2021-02-28,194.99,555633754.0,101138.8276,4.2311,0.5901,5.3483
2021-03-31,175.16,481857301.0,90851.564,7.0887,0.5631,5.3483
2021-04-30,161.39,385651463.0,83708.2731,6.5314,0.5188,0.0
2021-05-31,199.63,415569146.0,103543.042,8.079,0.6418,8.0225
