GOAGRO IN Equity,price,volume,mc,pe,bm,div
2017-10-31,575.2,37471470.0,110454.9268,40.9505,10.556,0.0
2017-11-30,552.8,6623288.0,106153.4847,39.3557,10.145,0.0
2017-12-31,579.25,4608245.0,111232.6447,41.2388,10.6304,0.0
2018-01-31,570.4,5695604.0,109533.1904,40.6087,10.468,0.0
2018-02-28,605.2,5532681.0,116215.7928,43.0863,11.1066,0.0
2018-03-31,637.8,11141689.0,122475.9297,52.4181,8.6778,0.0
2018-04-30,704.5,8047982.0,135284.2466,57.8999,9.5853,0.0
2018-05-31,633.75,5171194.0,121698.2133,52.0853,8.6227,0.0
2018-06-30,619.35,3071010.0,118932.9995,50.9018,8.4268,0.0
2018-07-31,627.55,1767803.0,120507.6352,51.5757,8.5383,4.5
2018-08-31,582.85,2286225.0,111923.9505,47.902,7.9302,4.5
2018-09-30,514.1,2513279.0,98721.9747,42.2517,6.9948,4.5
2018-10-31,524.95,1986520.0,100805.4865,43.1434,7.1424,4.5
2018-11-30,495.85,1327993.0,95217.4502,40.7518,6.7465,4.5
2018-12-31,502.85,2137884.0,96561.6514,41.3271,6.8417,4.5
2019-01-31,497.0,1865565.0,95438.2833,40.8463,6.7621,4.5
2019-02-28,480.95,1998008.0,92356.222,39.5273,6.5437,4.5
2019-03-31,508.3,3400874.0,97608.208,29.6645,5.9193,4.5
2019-04-30,519.95,3489399.0,99845.3428,30.3444,6.055,4.5
2019-05-31,508.15,1735670.0,97579.4037,29.6558,5.9176,4.5
2019-06-30,503.15,1049996.0,96619.26,29.364,5.8593,4.5
2019-07-31,434.9,1952827.0,83519.0214,25.3809,5.0645,4.5
2019-08-31,449.35,1124394.0,86294.0269,26.2242,5.2328,4.5
2019-09-30,477.0,730364.0,91603.9853,27.8379,5.5548,4.5
2019-10-31,511.7,1150819.0,98267.8392,29.863,5.9589,4.5
2019-11-30,494.45,1379632.0,94955.1165,28.8563,5.758,4.5
2019-12-31,516.95,1340385.0,99276.0592,30.1694,6.02,4.5
2020-01-31,560.1,3817673.0,107562.6671,32.6876,6.5225,4.5
2020-02-29,465.3,5685728.0,89357.0951,27.155,5.4186,4.5
2020-03-31,367.75,4240749.0,70623.408,23.0709,3.8421,4.5
2020-04-30,405.95,2514159.0,77959.4085,25.4674,4.2412,4.5
2020-05-31,374.4,3055452.0,71906.2456,23.4881,3.9116,4.5
2020-06-30,430.8,8623485.0,82743.2494,27.0263,4.5008,4.5
2020-07-31,459.15,7039600.0,88188.4005,28.8049,4.797,5.5
2020-08-31,487.75,6556035.0,93681.5689,30.5991,5.0958,5.5
2020-09-30,509.45,3136150.0,97849.4624,31.9605,5.3225,5.5
2020-10-31,515.6,2395150.0,99030.6851,32.3463,5.3868,5.5
2020-11-30,509.9,2958075.0,97937.4608,31.9887,5.3272,5.5
2020-12-31,535.1,4767644.0,102777.6726,33.5696,5.5905,5.5
2021-01-31,535.2,3133585.0,102796.8798,33.5759,5.5916,5.5
2021-02-28,485.75,3605475.0,93298.9245,30.4737,5.0749,5.5
2021-03-31,523.8,4403926.0,100607.2602,32.0563,4.905,5.5
2021-04-30,499.35,2279429.0,95911.1023,30.56,4.6761,5.5
2021-05-31,550.9,11209794.0,105819.9278,33.7148,5.1588,5.5
2021-06-30,634.15,23537336.0,121817.4672,38.8097,5.9384,5.5
2021-07-31,697.2,8968252.0,133929.0955,42.6683,6.5288,5.5
2021-08-31,632.0,6700329.0,121415.143,38.6781,5.9183,8.0
2021-09-30,640.0,3773280.0,122952.0435,39.1677,5.9932,8.0
2021-10-31,593.6,2018434.0,114038.0204,36.328,5.5587,8.0
2021-11-30,527.25,2031400.0,101291.3515,32.2674,4.9373,8.0
2021-12-31,517.75,3257139.0,99466.2821,31.686,4.8484,8.0
2022-01-31,534.95,2570077.0,102770.6183,32.7387,5.0095,8.0
2022-02-28,464.35,1970443.0,89207.653,28.418,4.3483,8.0
2022-03-31,442.15,3622895.0,84942.7453,21.0949,3.7446,8.0
2022-04-30,545.35,25768683.0,104768.8027,26.0186,4.6186,8.0
2022-05-31,537.65,11504608.0,103305.97,25.6512,4.5534,8.0
