NJCC IN Equity,price,volume,mc,pe,bm,div
1995-01-31,10.1,,,,,0.0
1995-02-28,8.87,,,,,0.0
1995-03-31,8.57,,,,,0.0
1995-04-30,8.87,,,,,0.0
1995-05-31,10.47,,,,,0.0
1995-06-30,8.94,,,,,0.0
1995-07-31,9.49,,,,,0.0
1995-08-31,9.43,,,,,0.0
1995-09-30,10.53,,,,,0.0
1995-10-31,9.79,,,,,0.2938
1995-11-30,10.16,,,,,0.2938
1995-12-31,10.65,,,,,0.2938
1996-01-31,7.96,,,,,0.2938
1996-02-29,8.57,,,,,0.2938
1996-03-31,10.4,,,,,0.2938
1996-04-30,8.14,,,,,0.2938
1996-05-31,8.42,209133.0,,,,0.2938
1996-06-30,6.21,580016.0,,,,0.2938
1996-07-31,5.14,847967.0,,,,0.2938
1996-08-31,4.84,117637.0,,,,0.1836
1996-09-30,5.2,513028.0,,,,0.1836
1996-10-31,4.24,214034.0,,,,0.1836
1996-11-30,3.79,243443.0,,,,0.1836
1996-12-31,2.98,22874.0,,,,0.1836
1997-01-31,3.67,69439.0,,,,0.1836
1997-02-28,3.06,13888.0,,,,0.1836
1997-03-31,3.0,52283.0,,,,0.1836
1997-04-30,2.75,13071.0,,,,0.1836
1997-05-31,2.45,35945.0,,,,0.1836
1997-06-30,2.02,5679256.0,,,,0.1836
1997-07-31,2.39,40846.0,,,,0.1836
1997-08-31,1.9,209133.0,,,,0.1224
1997-09-30,1.62,17972.0,,,,0.1224
1997-10-31,1.44,31860.0,,,,0.1224
1997-11-30,1.14,29409.0,,,,0.1224
1997-12-31,1.01,62086.0,,,,0.1224
1998-01-31,0.8,559201.0,,,,0.1224
1998-02-28,0.9,102932.0,,,,0.1224
1998-03-31,0.89,1440270.0,,,,0.1224
1998-04-30,1.04,7254286.0,,,,0.1224
1998-05-31,0.95,3777457.0,,,,0.1224
1998-06-30,0.61,1744950.0,,,,0.1224
1998-07-31,0.64,707456.0,,,,0.1224
1998-08-31,0.79,767909.0,,,,0.1224
1998-09-30,0.76,151948.0,,,,0.1224
1998-10-31,0.67,71889.0,,,,0.1224
1998-11-30,0.65,204231.0,,,,0.1224
1998-12-31,0.74,222203.0,,,,0.1224
1999-01-31,0.6,718893.0,,,,0.1224
1999-02-28,0.73,379870.0,,,,0.1224
1999-03-31,1.05,2829008.0,,,,0.1224
1999-04-30,1.07,2784077.0,,,,0.1224
1999-05-31,1.03,733598.0,,,,0.1224
1999-06-30,1.36,495056.0,,,,0.1224
1999-07-31,2.14,5112311.0,,,,0.1224
1999-08-31,3.65,15566488.0,,,,0.1224
1999-09-30,3.31,2016169.0,,,,0.1224
1999-10-31,3.92,3903263.0,,,,0.0
1999-11-30,3.58,2347840.0,,,,0.0
1999-12-31,4.29,1253161.0,,,,0.0
2000-01-31,4.64,2484266.0,,,,0.0
2000-02-29,3.19,2127270.0,,,,0.0
2000-03-31,2.57,648638.0,,,,0.0
2000-04-30,2.17,202597.0,,,,0.153
2000-05-31,1.8,78425.0,,,,0.153
2000-06-30,1.87,743401.0,,,,0.153
2000-07-31,1.59,215668.0,,,,0.153
2000-08-31,1.9,143779.0,,,,0.153
2000-09-30,1.47,112736.0,,,,0.153
2000-10-31,1.53,129074.0,,,,0.153
2000-11-30,1.59,133976.0,,,,0.153
2000-12-31,1.47,127440.0,178.8048,,,0.153
2001-01-31,1.49,437871.0,181.0399,,,0.153
2001-02-28,1.33,323502.0,162.0419,,,0.153
2001-03-31,0.91,112736.0,111.008,,,0.153
2001-04-30,0.8,378563.0,97.5976,,,0.153
2001-05-31,1.1,73229.0,133.3586,,,0.153
2001-06-30,0.93,147961.0,113.6156,,,0.0
2001-07-31,0.85,985259.0,103.1853,,,0.0
2001-08-31,0.87,160934.0,105.7928,,,0.0979
2001-09-30,0.91,114712.0,111.008,,,0.0979
2001-10-31,1.34,195996.0,163.5319,,,0.0979
2001-11-30,1.26,84388.0,153.4741,,,0.0979
2001-12-31,1.22,195212.0,149.004,,,0.0979
2002-01-31,1.49,158712.0,181.4124,,,0.0979
2002-02-28,1.38,195000.0,165.9173,,,0.0979
2002-03-31,1.36,95270.0,164.4424,,,0.0979
2002-04-30,1.96,364136.0,235.9712,,,0.0979
2002-05-31,1.71,296690.0,206.4748,,,0.0979
2002-06-30,3.42,1975094.0,412.5809,,,0.0979
2002-07-31,2.66,5842412.0,320.7734,,,0.0979
2002-08-31,2.48,2574749.0,299.3885,,,0.0979
2002-09-30,2.3,272820.0,276.5288,,,0.1347
2002-10-31,2.02,1089090.0,,,,0.1347
2002-11-30,2.09,1929101.0,,,,0.1347
2002-12-31,2.51,3559501.0,,,,0.1347
2003-01-31,2.26,2406331.0,,,,0.1347
2003-02-28,2.37,1232738.0,,,,0.1347
2003-03-31,2.08,1350326.0,,,,0.1347
2003-04-30,2.57,1727566.0,,,,0.1347
2003-05-31,3.32,7277535.0,,,,0.1347
2003-06-30,4.19,20280695.0,,,,0.1347
2003-07-31,4.41,12886863.0,,,,0.1347
2003-08-31,4.27,11014260.0,,,,0.1347
2003-09-30,4.41,9104308.0,,,,0.1836
2003-10-31,5.73,14660568.0,885.4837,,,0.1836
2003-11-30,6.15,12552316.0,949.2726,,,0.1836
2003-12-31,10.75,12795481.0,1659.9276,,,0.1836
2004-01-31,9.0,12857176.0,1390.1244,,,0.1836
2004-02-29,8.74,3490913.0,1349.0161,,,0.1836
2004-03-31,9.3,3660751.0,1435.9579,,,0.1836
2004-04-30,9.82,3483544.0,1516.2846,,,0.1836
2004-05-31,7.99,4627695.0,1233.2511,,,0.1836
2004-06-30,9.02,1989030.0,1687.1575,,,0.1836
2004-07-31,9.79,3740450.0,1831.4275,,,0.1836
2004-08-31,13.81,13383046.0,2583.6925,,,0.1836
2004-09-30,15.39,4576670.0,2879.675,,,0.2448
2004-10-31,20.47,8485880.0,3830.0249,,,0.2448
2004-11-30,20.92,6172645.0,3914.1824,,,0.2448
2004-12-31,25.75,10368384.0,4816.4424,,,0.2448
2005-01-31,27.14,14629149.0,5077.5024,,,0.2448
2005-02-28,30.76,18843219.0,7238.2605,,,0.2448
2005-03-31,38.53,70695611.0,9064.2058,13.7285,3.0845,0.2448
2005-04-30,44.08,96980012.0,10371.744,15.7088,3.5295,0.2448
2005-05-31,47.5,74495141.0,11174.5551,16.9248,3.8027,0.2448
2005-06-30,46.79,15100024.0,12155.7028,16.6739,3.7463,0.2448
2005-07-31,53.69,15439162.0,13947.6553,19.132,4.2986,0.3672
2005-08-31,72.91,64532618.0,18941.1131,25.9815,5.8376,0.3672
2005-09-30,74.04,33768758.0,19235.2668,26.385,5.9282,0.3672
2005-10-31,63.53,20533981.0,16504.4075,22.639,5.0866,0.3672
2005-11-30,74.32,39896287.0,19306.8177,26.4831,5.9503,0.3672
2005-12-31,78.57,34688517.0,20411.8816,27.9989,6.2909,0.3672
2006-01-31,93.87,65678808.0,30692.2083,33.4515,7.5159,0.3672
2006-02-28,93.84,33264830.0,31582.3437,33.4406,7.5135,0.3672
2006-03-31,111.04,81650758.0,37486.65,30.2066,3.9685,0.3672
2006-04-30,117.15,27025403.0,39284.2735,31.8674,4.1867,0.3672
2006-05-31,101.92,57130871.0,34407.9613,27.7258,3.6426,0.3672
2006-06-30,78.14,58979368.0,26380.6423,21.2574,2.7928,0.3672
2006-07-31,78.57,53245711.0,26525.2787,21.374,2.8081,0.3672
2006-08-31,89.22,47124976.0,30120.5258,24.271,3.1887,0.4896
2006-09-30,97.32,38194291.0,32871.1999,26.4729,3.478,0.4896
2006-10-31,109.28,32345761.0,36912.9103,29.7279,3.9056,0.4896
2006-11-30,131.84,66490653.0,44531.1727,35.8633,4.7117,0.4896
2006-12-31,131.56,39976628.0,44438.141,35.7884,4.7019,0.4896
2007-01-31,128.41,29292238.0,43373.4449,34.931,4.5892,0.4896
2007-02-28,95.42,55651082.0,32230.3149,25.9568,3.4102,0.4896
2007-03-31,98.36,78383265.0,33336.7167,34.4111,3.2964,0.9793
2007-04-30,109.86,29661617.0,37236.7184,38.4368,3.682,0.9793
2007-05-31,98.69,39005003.0,33450.8125,34.5289,3.3076,0.9793
2007-06-30,109.07,42087852.0,37156.6414,38.1585,3.6553,0.9793
