NJCC IN Equity,price,volume,mc,pe,bm,div
2007-07-31,117.39,76241914.0,39992.3896,41.0707,3.9343,0.7345
2007-08-31,124.83,33421889.0,42525.797,43.6724,4.1835,0.7345
2007-09-30,154.97,46175250.0,52794.9856,54.2184,5.1938,0.7345
2007-10-31,192.46,54885330.0,71932.9517,67.334,6.4502,0.7345
2007-11-30,192.12,33738094.0,71807.1348,67.2163,6.4389,0.7345
2007-12-31,215.93,18808333.0,80705.8208,75.546,7.2368,0.7345
2008-01-31,162.35,35522278.0,60680.9765,56.7987,5.4409,0.7345
2008-02-29,166.85,22319520.0,62363.7638,58.3726,5.5917,0.7345
2008-03-31,131.41,34077243.0,49131.6687,28.0196,3.1737,0.7345
2008-04-30,129.63,40439051.0,48468.1012,27.6411,3.1309,0.7345
2008-05-31,120.7,31395553.0,45127.0517,25.7358,2.9151,0.2448
2008-06-30,82.08,24671119.0,30687.3105,17.5008,1.9823,0.2448
2008-07-31,79.78,78098970.0,29829.1642,17.0114,1.9269,0.7957
2008-08-31,76.63,77686505.0,28650.6434,16.3393,1.8507,0.7957
2008-09-30,58.85,40846820.0,22003.5716,12.5481,1.4213,0.7957
2008-10-31,38.41,89900698.0,14360.0861,8.1892,0.9276,0.7957
2008-11-30,36.48,74872107.0,13639.2212,7.7782,0.881,0.7957
2008-12-31,44.01,51298942.0,16454.0269,9.3834,1.0628,0.7957
2009-01-31,31.61,105375524.0,11819.8955,6.7406,0.7635,0.7957
2009-02-28,26.53,46433017.0,9920.4738,5.6574,0.6408,0.7957
2009-03-31,37.82,48614616.0,14142.6824,7.803,0.8194,0.7957
2009-04-30,42.35,76502369.0,15836.1427,8.7374,0.9176,0.7957
2009-05-31,85.14,124335790.0,31833.1611,17.5631,1.8444,0.7957
2009-06-30,82.41,137649749.0,30814.7745,17.0013,1.7854,0.7957
2009-07-31,87.19,93493239.0,32599.8116,17.9861,1.8888,0.6733
2009-08-31,83.36,65446171.0,31169.4934,17.197,1.8059,0.6733
2009-09-30,91.69,76990953.0,38436.2534,18.9141,1.9863,0.6733
2009-10-31,91.23,89811313.0,38243.8156,18.8194,1.9763,0.6733
2009-11-30,96.52,63144217.0,40463.2655,19.9116,2.091,0.6733
2009-12-31,101.45,55564834.0,42528.7651,20.928,2.1978,0.6733
2010-01-31,97.5,33013285.0,40873.7995,20.1136,2.1122,0.6733
2010-02-28,94.68,27014600.0,39693.5141,19.5328,2.0512,0.6733
2010-03-31,99.55,27030555.0,41733.3553,14.0823,1.8087,0.6733
2010-04-30,117.76,45564839.0,49366.7234,16.658,2.1395,0.6733
2010-05-31,106.19,29600666.0,44517.2895,15.0216,1.9293,0.6733
2010-06-30,115.34,31374668.0,48353.2173,16.316,2.0956,0.6733
2010-07-31,105.03,27075927.0,44029.7803,14.8571,1.9082,0.7957
2010-08-31,94.56,44156243.0,39642.1973,13.3766,1.7181,0.7957
2010-09-30,96.03,35907260.0,40257.9984,13.5844,1.7447,0.7957
2010-10-31,90.25,68452058.0,37833.2815,12.7662,1.6397,0.7957
2010-11-30,79.9,40267778.0,33497.0153,11.303,1.4517,0.7957
2010-12-31,86.12,45358229.0,36101.3408,12.1818,1.5646,0.7957
2011-01-31,68.98,45601696.0,28916.9944,9.7576,1.2532,0.7957
2011-02-28,61.76,45237913.0,25889.3055,8.7359,1.122,0.7957
2011-03-31,61.69,40826755.0,25863.6472,11.6397,1.0069,0.7957
2011-04-30,62.55,23665334.0,26222.8645,11.8014,1.0209,0.7957
2011-05-31,52.51,62685685.0,22014.8901,9.9076,0.857,0.7957
2011-06-30,49.7,21152765.0,20834.6047,9.3764,0.8111,0.7957
2011-07-31,44.59,21933127.0,18692.1299,8.4122,0.7277,0.6121
2011-08-31,33.02,44007150.0,13842.6961,6.2298,0.5389,0.6121
2011-09-30,36.94,42058974.0,15484.8324,6.9688,0.6028,0.6121
2011-10-31,32.59,20504585.0,13663.0874,6.149,0.5319,0.6121
2011-11-30,22.74,29815408.0,9532.0882,4.2898,0.3711,0.6121
2011-12-31,20.47,28258934.0,8582.7282,3.8626,0.3341,0.6121
2012-01-31,34.83,52366204.0,14599.6183,6.5704,0.5684,0.6121
2012-02-29,36.51,83226973.0,15305.2237,6.888,0.5958,0.6121
2012-03-31,34.49,66049007.0,14458.4972,26.3318,0.5317,0.6121
2012-04-30,30.69,75836143.0,12867.6776,23.4346,0.4732,0.6121
2012-05-31,18.73,85099813.0,7851.4643,14.2991,0.2887,0.6121
2012-06-30,27.79,171030091.0,11648.9046,21.215,0.4284,0.6121
2012-07-31,22.95,106014007.0,9621.8925,17.5234,0.3538,0.6121
2012-08-31,20.35,71164265.0,8531.4114,15.5374,0.3137,0.6121
2012-09-30,28.71,113979695.0,12033.7803,21.9159,0.4425,0.1836
2012-10-31,26.62,110311117.0,11161.3954,20.3271,0.4105,0.1836
2012-11-30,29.23,50315429.0,12251.8765,22.3131,0.4506,0.1836
2012-12-31,35.28,76470468.0,14792.0561,26.9393,0.544,0.1836
2013-01-31,28.67,60901688.0,12020.9511,21.8925,0.4421,0.1836
2013-02-28,23.01,37232258.0,9647.5509,17.5701,0.3548,0.1836
2013-03-31,20.32,36240746.0,8518.5822,15.0909,0.3159,0.1836
2013-04-30,18.94,40732954.0,7941.2686,14.0682,0.2945,0.1836
2013-05-31,19.16,44519807.0,8031.073,14.2273,0.2978,0.1836
2013-06-30,14.9,36667713.0,6247.8156,11.0682,0.2317,0.1836
2013-07-31,14.08,56880500.0,5901.4274,10.4545,0.2188,0.1836
2013-08-31,10.74,33803638.0,4503.0457,7.9773,0.167,0.1836
2013-09-30,10.96,50889047.0,4592.85,8.1364,0.1703,0.1836
2013-10-31,15.82,101112834.0,6632.6913,11.75,0.246,0.1836
2013-11-30,15.45,57759368.0,6478.741,11.4773,0.2403,0.1836
2013-12-31,20.35,90419664.0,8531.4114,15.1136,0.3164,0.1836
2014-01-31,15.18,42356377.0,6363.2783,11.2727,0.236,0.1836
2014-02-28,15.76,37689709.0,6607.0329,11.7045,0.245,0.1836
2014-03-31,21.73,75725961.0,9108.7249,394.4444,0.3293,0.1836
2014-04-30,30.79,127953432.0,12906.1652,558.8889,0.4666,0.1836
2014-05-31,44.34,144995069.0,18589.4964,805.0,0.6721,0.1836
2014-06-30,49.06,86540302.0,20565.1917,890.5556,0.7435,0.1836
2014-07-31,44.8,51835947.0,18781.9343,813.3333,0.679,0.1224
2014-08-31,42.14,35169025.0,17665.7947,765.0,0.6387,0.1224
2014-09-30,38.9,101781204.0,21625.7408,706.1855,0.5896,0.1224
2014-10-31,59.65,65433890.0,33161.3224,1082.8782,0.9041,0.1224
2014-11-30,67.15,140464792.0,37330.8056,1219.0322,1.0178,0.1224
2014-12-31,81.6,193140486.0,45364.0169,1481.3556,1.2368,0.1224
2015-01-31,75.85,91598895.0,42167.4103,1376.9709,1.1496,0.1224
2015-02-28,79.0,157345920.0,43918.6285,1434.1556,1.1974,0.1224
2015-03-31,112.05,232300988.0,62292.1335,91.0976,1.8311,0.1224
2015-04-30,90.9,100597679.0,50534.1806,73.9024,1.4855,0.1224
2015-05-31,82.35,160049318.0,45780.9656,66.9512,1.3458,0.1224
2015-06-30,78.65,145880747.0,43724.0187,63.9431,1.2853,0.1224
2015-07-31,82.5,104739522.0,45864.3553,67.0732,1.3482,0.1224
2015-08-31,71.7,68879673.0,39860.2943,58.2927,1.1717,0.4
2015-09-30,74.8,112693335.0,41583.6822,60.813,1.2224,0.4
2015-10-31,80.35,88775078.0,44669.1024,65.3252,1.3131,0.4
2015-11-30,77.55,65376890.0,43112.494,63.0488,1.2673,0.4
2015-12-31,75.8,75874465.0,42139.6137,61.626,1.2387,0.4
2016-01-31,64.4,95383846.0,35801.9937,52.3577,1.0524,0.4
2016-02-29,61.35,91901529.0,34106.4024,49.878,1.0026,0.4
2016-03-31,75.8,94767020.0,42139.6137,34.9309,1.2423,0.4
2016-04-30,78.1,80379735.0,43418.2564,35.9908,1.28,0.4
2016-05-31,73.6,85893028.0,40916.5643,33.9171,1.2063,0.4
2016-06-30,74.25,70270189.0,41277.9198,34.2166,1.2169,0.4
2016-07-31,81.75,88154511.0,45447.4066,37.6728,1.3398,0.4
2016-08-31,84.9,138433632.0,47198.5911,39.1244,1.3915,0.6
2016-09-30,82.1,131419516.0,45641.9827,37.8341,1.3456,0.6
2016-10-31,92.85,156870909.0,51618.2472,42.788,1.5218,0.6
2016-11-30,80.0,123434369.0,44474.5264,36.8664,1.3112,0.6
2016-12-31,80.6,70503058.0,44808.0853,37.1429,1.321,0.6
2017-01-31,83.05,97797054.0,46170.1177,38.2719,1.3611,0.6
2017-02-28,83.8,87142198.0,46587.0664,38.6175,1.3734,0.6
2017-03-31,81.95,83201289.0,45558.5929,143.7719,1.3214,0.6
2017-04-30,95.45,143874795.0,53063.6693,167.4561,1.5391,0.6
2017-05-31,87.9,125314740.0,48866.3858,154.2105,1.4174,0.6
2017-06-30,87.3,110431073.0,48532.8269,153.1579,1.4077,0.6
2017-07-31,88.9,75021189.0,49422.3174,155.9649,1.4335,0.6
2017-08-31,84.4,77190823.0,46920.6253,148.0702,1.3609,0.4
2017-09-30,82.95,81470949.0,46114.5245,145.5263,1.3376,0.4
2017-10-31,108.85,151257394.0,60513.1524,190.9649,1.7552,0.4
2017-11-30,123.05,187303460.0,68407.3824,215.8772,1.9842,0.4
2017-12-31,133.75,125160994.0,74355.8504,234.6491,2.1567,0.4
2018-01-31,122.5,142181906.0,68101.62,214.9123,1.9753,0.4
2018-02-28,131.7,158000043.0,79105.1556,231.0526,2.1236,0.4
2018-03-31,117.55,86752138.0,70606.0064,39.3144,1.7295,0.4
2018-04-30,133.55,80524196.0,80216.3518,44.6656,1.9649,0.4
2018-05-31,119.95,199653965.0,72047.5582,40.1171,1.7648,0.4
2018-06-30,96.05,195646971.0,57692.1048,32.1237,1.4131,0.4
2018-07-31,92.55,272103140.0,55589.8417,30.9532,1.3617,1.0
2018-08-31,98.65,213724330.0,59253.7859,32.9933,1.4514,1.0
2018-09-30,73.0,197818006.0,43847.2009,24.4147,1.074,1.0
2018-10-31,75.0,234359719.0,45048.4941,25.0836,1.1034,1.0
2018-11-30,87.0,195490822.0,52256.2532,29.097,1.28,1.0
2018-12-31,88.15,218750276.0,52946.9967,29.4816,1.2969,1.0
2019-01-31,79.55,202441466.0,47781.4361,26.6054,1.1704,1.0
2019-02-28,85.6,202515339.0,51415.3479,28.6288,1.2594,1.0
2019-03-31,112.85,232200459.0,67782.9675,11.7186,1.475,1.0
2019-04-30,99.2,160416552.0,59584.1415,10.3011,1.2966,1.0
2019-05-31,97.75,339185514.0,58713.204,10.1506,1.2777,1.0
2019-06-30,97.45,238569076.0,58533.01,10.1194,1.2737,1.0
2019-07-31,73.15,220419512.0,43937.2979,7.5961,0.9561,1.0
2019-08-31,54.9,287342253.0,32975.4977,5.7009,0.7176,1.5
2019-09-30,55.05,430376193.0,33065.5947,5.7165,0.7195,1.5
2019-10-31,57.8,443644094.0,34717.3728,6.0021,0.7555,1.5
2019-11-30,59.45,573791350.0,35708.4397,6.1734,0.7771,1.5
2019-12-31,56.0,318575877.0,33636.2089,5.8152,0.732,1.5
2020-01-31,54.75,294099081.0,32885.4007,5.6854,0.7156,1.5
2020-02-29,35.6,444008127.0,21383.0185,3.6968,0.4653,1.5
2020-03-31,18.75,704860322.0,11434.6235,3.3542,0.2331,1.5
2020-04-30,26.0,633965333.0,15856.0113,4.6512,0.3232,1.5
2020-05-31,22.95,437435572.0,13995.9792,4.1055,0.2853,1.5
2020-06-30,29.15,830495642.0,17777.028,5.2147,0.3623,1.5
2020-07-31,29.0,505161467.0,17685.5511,5.1878,0.3605,1.5
2020-08-31,34.05,365050969.0,20765.2763,6.0912,0.4232,1.5
2020-09-30,35.6,207170057.0,21710.5385,6.3685,0.4425,0.2
2020-10-31,33.9,133313833.0,20673.7991,6.0644,0.4214,0.2
2020-11-30,43.6,196161113.0,26589.311,7.7996,0.5419,0.2
2020-12-31,57.65,365322814.0,35157.6555,10.3131,0.7166,0.2
2021-01-31,58.95,193562791.0,35950.456,10.5456,0.7327,0.2
2021-02-28,89.05,424626653.0,54306.8381,15.9302,1.1069,0.2
2021-03-31,79.0,126022308.0,48177.88,17.9545,0.9316,0.2
2021-04-30,74.65,92743979.0,45525.0473,16.9659,0.8803,0.2
2021-05-31,80.95,119382332.0,49367.0808,18.3977,0.9546,0.2
2021-06-30,86.85,155674848.0,52965.1756,19.7386,1.0242,0.2
2021-07-31,87.8,135081107.0,53544.5304,19.9545,1.0354,0.2
2021-08-31,79.25,82014481.0,48330.3421,18.0114,0.9346,0.8
2021-09-30,82.45,97244700.0,50281.8512,18.7386,0.9723,0.8
2021-10-31,71.15,78175686.0,43390.5847,16.1705,0.8391,0.8
2021-11-30,70.85,102503840.0,43207.6308,16.1023,0.8355,0.8
2021-12-31,70.35,59768093.0,42902.7075,15.9886,0.8296,0.8
2022-01-31,75.0,136875551.0,45738.4941,17.0455,0.8845,0.8
2022-02-28,62.3,84369545.0,37993.4424,14.1591,0.7347,0.8
2022-03-31,58.55,64513425.0,35706.5177,7.402,0.6373,0.8
2022-04-30,68.55,108364879.0,41804.9836,8.6662,0.7462,0.8
2022-05-31,64.55,63760068.0,39365.5973,8.1606,0.7026,0.8
2022-06-30,54.1,45648375.0,32992.7004,6.8394,0.5889,0.8
2022-07-31,58.6,52314425.0,36381.6101,7.4083,0.6378,0.8
2022-08-31,70.05,80086069.0,43980.6535,8.8559,0.7625,2.0
2022-09-30,71.75,75922030.0,45047.9927,9.0708,0.781,2.0
2022-10-31,74.65,49714277.0,46868.7478,9.4374,0.8125,2.0
2022-11-30,82.75,119144091.0,51954.3052,10.4614,0.9007,2.0
2022-12-31,83.9,192432851.0,52676.3287,10.6068,0.9132,2.0
2023-01-31,90.2,186803467.0,56631.7622,11.4033,0.9818,2.0
2023-02-28,89.0,103316239.0,55878.3463,11.2516,0.9687,2.0
2023-03-31,106.1,188487887.0,66614.523,10.8598,1.0802,2.0
2023-04-30,119.8,87980408.0,75216.0212,12.262,1.2197,2.0
2023-05-31,119.25,192201487.0,74870.7056,12.2057,1.2141,2.0
2023-06-30,122.1,89920061.0,76660.0684,12.4974,1.2431,2.0
2023-07-31,158.7,129484202.0,99639.2535,16.2436,1.6157,2.0
2023-08-31,169.6,106514077.0,106482.7813,17.3593,1.7267,2.2
2023-09-30,155.05,193980522.0,97347.6135,15.87,1.5786,2.2
2023-10-31,144.45,124168482.0,90692.4396,14.7851,1.4706,2.2
2023-11-30,166.55,131567607.0,104567.8492,17.0471,1.6956,2.2
2023-12-31,166.75,112795065.0,104693.4185,17.0676,1.6977,2.2
2024-01-31,215.45,200729150.0,135269.5474,22.0522,2.1935,2.2
2024-02-29,247.1,213423700.0,155140.8919,25.2917,2.5157,2.2
2024-03-31,232.35,153274593.0,145880.1547,20.5256,2.1971,2.2
2024-04-30,242.2,155637086.0,152064.4436,21.3958,2.2902,2.2
2024-05-31,286.95,168315460.0,180160.5784,25.3489,2.7134,2.2
2024-06-30,316.45,201996450.0,198682.0528,27.9549,2.9923,2.2
2024-07-31,357.95,208442965.0,224737.6862,31.621,3.3848,2.2
2024-08-31,319.05,116835429.0,200314.4539,28.1846,3.0169,2.2
2024-09-30,301.75,63804774.0,189452.7079,26.6564,2.8533,2.2
2024-10-31,298.8,66968221.0,187600.5605,26.3958,2.8254,2.2
2024-11-30,309.7,66263920.0,194444.0883,27.3587,2.9285,2.2
2024-12-31,273.9,62947121.0,171967.1805,24.1961,2.59,2.2
2025-01-31,252.3,83015544.0,158405.6942,22.288,2.3857,2.2
2025-02-28,175.0,199477855.0,109873.1529,15.4594,1.6548,2.2
2025-03-31,209.48,190948316.0,131521.3033,16.0398,1.7958,2.2
2025-04-30,211.9,96863353.0,133040.692,16.2251,1.8166,2.2
2025-05-31,231.19,114004873.0,145151.8527,17.7021,1.9819,2.2
2025-06-30,230.46,61473021.0,144693.5247,17.6462,1.9757,2.2
2025-07-31,217.71,72092163.0,136688.4807,16.67,1.8664,2.2
2025-08-31,204.5,66198011.0,128394.6272,15.6585,1.7531,2.2
2025-09-30,207.58,65337820.0,130328.3947,15.8943,1.7795,2.2
2025-10-31,212.37,40545354.0,133335.7799,16.2611,1.8206,2.2
2025-11-30,171.41,100343622.0,107619.1836,13.1248,1.4695,2.2
2025-12-31,160.44,94305767.0,100731.7066,12.2848,1.3754,2.2
2026-01-31,146.43,65152747.0,91935.5759,11.2121,1.2553,2.2
2026-02-28,152.64,86070982.0,95834.5032,11.6876,1.3086,2.2
2026-03-31,143.59,9995355.0,90152.4893,10.9946,1.231,2.2
