AXSB IN Equity,price,volume,mc,pe,bm,div
1998-11-30,3.21,132000.0,,,,0.0
1998-12-31,3.24,789000.0,,,,0.0
1999-01-31,3.03,1185500.0,,,,0.0
1999-02-28,2.9,474000.0,,,,0.0
1999-03-31,2.8,1626000.0,,,,0.0
1999-04-30,2.59,193000.0,,,,0.0
1999-05-31,2.8,633500.0,,,,0.0
1999-06-30,3.1,1113500.0,,,,0.2
1999-07-31,3.3,1609500.0,2176.4028,,,0.2
1999-08-31,3.68,1741000.0,2427.0188,,,0.2
1999-09-30,3.48,911500.0,2295.1156,,,0.2
1999-10-31,3.49,1923000.0,2301.7108,,,0.2
1999-11-30,3.29,774500.0,2169.8076,,,0.2
1999-12-31,4.8,8494000.0,3165.6768,,,0.2
2000-01-31,6.19,4794000.0,4082.404,,,0.2
2000-02-29,7.32,16345000.0,4827.6571,,,0.2
2000-03-31,7.91,5445985.0,5216.7715,,,0.2
2000-04-30,7.05,2933080.0,4649.5877,,,0.2
2000-05-31,7.2,2597765.0,4748.5151,,,0.24
2000-06-30,6.64,2080215.0,4379.1862,,,0.24
2000-07-31,7.91,6868220.0,5216.7715,,,0.24
2000-08-31,7.58,2185785.0,4999.1312,,,0.24
2000-09-30,7.21,3672705.0,4755.1103,,,0.24
2000-10-31,7.65,2736890.0,5045.2973,,,0.24
2000-11-30,8.92,8466150.0,5882.8826,,,0.24
2000-12-31,9.06,6484445.0,5975.2059,,,0.24
2001-01-31,8.67,9348185.0,5717.995,,,0.24
2001-02-28,7.44,9419520.0,4906.7916,,,0.24
2001-03-31,4.91,7223340.0,3238.2186,,,0.24
2001-04-30,6.04,4287235.0,3983.4706,,,0.24
2001-05-31,7.3,7159435.0,4814.4595,,,0.24
2001-06-30,6.32,4459740.0,4168.1411,,,0.3
2001-07-31,5.51,1604175.0,3633.9331,,,0.3
2001-08-31,5.74,1031770.0,3785.6161,,,0.3
2001-09-30,5.08,1497225.0,3350.3362,,,0.3
2001-10-31,5.31,1506890.0,3502.0246,,,0.3
2001-11-30,5.57,1729780.0,3673.4985,,,0.3
2001-12-31,5.28,1799225.0,3482.2392,,,0.3
2002-01-31,5.82,2009640.0,3838.3773,,,0.3
2002-02-28,7.38,11362390.0,6577.5432,,,0.3
2002-03-31,7.98,3505675.0,7112.3029,,,0.3
2002-04-30,7.4,2661275.0,6595.3686,,,0.3
2002-05-31,7.18,5003965.0,6399.29,,,0.3
2002-06-30,7.81,2971245.0,7490.2936,,,0.4
2002-07-31,6.93,7881940.0,6646.3169,,,0.4
2002-08-31,7.08,2188470.0,6790.1765,,,0.4
2002-09-30,7.36,1428255.0,7058.7146,,,0.4
2002-10-31,7.2,2718555.0,6905.2643,,,0.4
2002-11-30,7.65,1443640.0,7336.8433,,,0.4
2002-12-31,8.96,13327025.0,8593.2178,,,0.4
2003-01-31,8.47,8368990.0,8123.2762,,,0.4
2003-02-28,8.61,3063590.0,8257.5452,,,0.4
2003-03-31,8.03,2126290.0,7701.2878,,,0.4
2003-04-30,8.87,4776850.0,8506.902,,,0.4
2003-05-31,10.45,17485255.0,10022.2239,,,0.4
2003-06-30,9.74,6347585.0,9341.2881,,,0.44
2003-07-31,16.03,37564980.0,15373.9076,,,0.44
2003-08-31,14.66,8590155.0,16871.9742,,,0.44
2003-09-30,14.24,6182365.0,16396.9256,,,0.44
2003-10-31,14.95,9139900.0,17233.1941,,,0.44
2003-11-30,16.75,7562960.0,19336.5352,,,0.44
2003-12-31,27.03,34942600.0,31207.4334,,,0.44
2004-01-31,32.07,32020195.0,37041.0898,,,0.44
2004-02-29,28.1,10312395.0,32476.1539,,,0.44
