BPCL IN Equity,price,volume,mc,pe,bm,div
2000-03-31,10.98,21595800.0,39525.0,,,0.5208
2000-04-30,7.28,28110888.0,26197.5,,,0.5208
2000-05-31,8.46,77844096.0,30450.0,,,0.5208
2000-06-30,8.04,54918144.0,28927.5,,,0.5208
2000-07-31,7.54,47071104.0,27142.5,,,0.5208
2000-08-31,7.32,38227176.0,26340.0,,,0.5208
2000-09-30,6.77,44578800.0,24375.0,,,0.5208
2000-10-31,7.19,41172048.0,25882.5,,,0.5208
2000-11-30,9.03,93091656.0,32520.0,,,0.5208
2000-12-31,10.12,58131156.0,36435.0,,,0.5208
2001-01-31,12.94,138276612.0,46575.0,,,0.5208
2001-02-28,14.66,169307976.0,52785.0,,,0.5208
2001-03-31,15.88,82372212.0,57180.0,,,0.5208
2001-04-30,16.36,46137144.0,58905.0,,,0.5208
2001-05-31,16.26,49330860.0,58530.0,,,0.5208
2001-06-30,15.66,42686304.0,56370.0,,,0.6667
2001-07-31,15.51,16254744.0,55845.0,,,0.6667
2001-08-31,14.41,8232312.0,51885.0,,,0.625
2001-09-30,13.35,28386096.0,48075.0,,,0.625
2001-10-31,14.57,30264648.0,52440.0,,,0.625
2001-11-30,15.75,18642576.0,56685.0,,,0.625
2001-12-31,15.75,24974664.0,56700.0,,,0.625
2002-01-31,18.0,39250176.0,64800.0,,,0.625
2002-02-28,23.66,235938864.0,85185.0,,,0.625
2002-03-31,27.48,233238852.0,98940.0,10.6266,2.4032,0.625
2002-04-30,24.42,143747688.0,87915.0,9.4425,2.1354,0.625
2002-05-31,21.37,168476808.0,76920.0,8.2616,1.8683,0.625
2002-06-30,22.25,119655348.0,80115.0,8.6047,1.9459,0.625
2002-07-31,24.33,175144872.0,87600.0,9.4086,2.1277,0.625
2002-08-31,22.9,127141968.0,82425.0,8.8528,2.002,0.9167
2002-09-30,14.33,358597656.0,51570.0,5.5388,1.2526,0.9167
2002-10-31,15.74,300274860.0,56655.0,6.085,1.3761,0.9167
2002-11-30,15.87,133265652.0,57135.0,6.1366,1.3878,0.9167
2002-12-31,18.06,437349504.0,65025.0,6.984,1.5794,0.9167
2003-01-31,16.03,319029384.0,57690.0,6.1962,1.4012,0.3333
2003-02-28,18.66,117291768.0,67185.0,7.216,1.6319,0.3333
2003-03-31,18.5,88842408.0,66615.0,4.2902,1.3014,0.3333
2003-04-30,19.26,42243924.0,69330.0,4.465,1.3544,0.3333
2003-05-31,22.3,84255420.0,80265.0,5.1693,1.5681,0.3333
2003-06-30,23.66,132453420.0,85170.0,5.4852,1.6639,0.3333
2003-07-31,22.08,135491424.0,79500.0,5.12,1.5531,1.25
2003-08-31,27.58,109764060.0,99300.0,6.3952,1.9399,1.25
2003-09-30,30.56,192182628.0,110025.0,7.0859,2.1495,1.25
2003-10-31,28.6,116036964.0,102975.0,6.6318,2.0117,1.25
2003-11-30,29.85,76875516.0,107445.0,6.9197,2.099,1.25
2003-12-31,37.52,134169276.0,135075.0,8.6992,2.6388,1.25
2004-01-31,38.64,142678500.0,139110.0,8.959,2.7177,1.5833
2004-02-29,38.53,91788924.0,138705.0,8.9329,2.7097,1.5833
2004-03-31,39.9,96947820.0,143640.0,7.0623,2.19,1.5833
2004-04-30,39.19,87346800.0,141090.0,6.9369,2.1511,1.5833
2004-05-31,24.67,127957788.0,88800.0,4.366,1.3539,1.5833
