BAF IN Equity,price,volume,mc,pe,bm,div
1995-01-31,1.51,,,,,0.0
1995-02-28,1.33,,,,,0.0
1995-03-31,1.29,,,,,0.0
1995-04-30,1.19,,,,,0.0
1995-05-31,1.07,,,,,0.0
1995-06-30,1.09,,,,,0.0
1995-07-31,1.23,,,,,0.0
1995-08-31,1.01,,,,,0.0
1995-09-30,1.0,,,,,0.0
1995-10-31,0.85,,,,,0.0
1995-11-30,0.71,,,,,0.0
1995-12-31,0.76,,,,,0.0
1996-01-31,0.58,,,,,0.0
1996-02-29,0.65,,,,,0.0
1996-03-31,0.57,,,,,0.0
1996-04-30,0.7,,,,,0.0
1996-05-31,0.6,2329148.0,,,,0.0
1996-06-30,0.59,7122467.0,,,,0.0
1996-07-31,0.51,6548619.0,,,,0.0178
1996-08-31,0.53,8675232.0,,,,0.0178
1996-09-30,0.41,4118204.0,,,,0.0178
1996-10-31,0.41,3769394.0,,,,0.0178
1996-11-30,0.36,3319317.0,,,,0.0178
1996-12-31,0.39,2081606.0,,,,0.0178
1997-01-31,0.42,6582375.0,,,,0.0178
1997-02-28,0.44,2115361.0,,,,0.0178
1997-03-31,0.43,7009948.0,,,,0.0178
1997-04-30,0.38,3668127.0,,,,0.0178
1997-05-31,0.32,4230723.0,,,,0.0178
1997-06-30,0.33,3803150.0,,,,0.0178
1997-07-31,0.35,2261636.0,,,,0.0178
1997-08-31,0.34,9350347.0,,,,0.0178
1997-09-30,0.31,8877767.0,,,,0.0178
1997-10-31,0.26,8045124.0,,,,0.0178
1997-11-30,0.23,2767973.0,,,,0.0178
1997-12-31,0.3,5265900.0,,,,0.0178
1998-01-31,0.23,1721544.0,,,,0.0178
1998-02-28,0.26,4039440.0,,,,0.0178
1998-03-31,0.26,15111332.0,,,,0.0178
1998-04-30,0.25,4129455.0,,,,0.0178
1998-05-31,0.25,1631529.0,,,,0.0178
1998-06-30,0.22,1699040.0,,,,0.0196
1998-07-31,0.22,3353073.0,,,,0.0196
1998-08-31,0.22,3825654.0,,,,0.0196
1998-09-30,0.26,2182873.0,,,,0.0196
1998-10-31,0.25,1260215.0,,,,0.0196
1998-11-30,0.27,5547198.0,,,,0.0196
1998-12-31,0.3,8135140.0,,,,0.0196
1999-01-31,0.3,9654149.0,,,,0.0196
1999-02-28,0.31,17339212.0,,,,0.0196
1999-03-31,0.26,15223851.0,,,,0.0196
1999-04-30,0.24,1102688.0,,,,0.0196
1999-05-31,0.26,8022621.0,482.3617,,,0.0196
1999-06-30,0.26,2182873.0,486.4845,,,0.0222
1999-07-31,0.27,4016936.0,497.2036,,,0.0222
1999-08-31,0.31,10925617.0,576.3604,,,0.0222
1999-09-30,0.29,9732913.0,542.5539,,,0.0222
1999-10-31,0.32,8382682.0,593.676,,,0.0222
1999-11-30,0.28,1912827.0,511.221,,,0.0222
1999-12-31,0.42,8934026.0,783.3225,,,0.0222
2000-01-31,0.32,7471276.0,595.3251,,,0.0222
2000-02-29,0.35,6919932.0,651.3945,,,0.0222
2000-03-31,0.3,3859409.0,562.3431,,,0.0267
2000-04-30,0.27,978917.0,499.6773,,,0.0267
2000-05-31,0.27,2711713.0,469.9935,,,0.0267
2000-06-30,0.28,2144054.0,494.73,,,0.0267
2000-07-31,0.29,1012673.0,535.9575,,,0.0267
2000-08-31,0.3,954276.0,552.4485,,,0.0267
2000-09-30,0.27,458516.0,,,,0.0267
2000-10-31,0.25,1165924.0,461.748,,,0.0267
2000-11-30,0.26,743077.0,482.3384,,,0.0267
2000-12-31,0.26,2548560.0,477.3913,,,0.0267
2001-01-31,0.26,2744344.0,479.0403,,,0.0267
2001-02-28,0.27,2537984.0,502.9511,,,0.0267
