PLM IN Equity,price,volume,mc,pe,bm,div
1996-06-30,0.63,16000.0,,,,0.0
1999-10-31,0.75,1600.0,,,,0.0
2002-07-31,0.75,,64.8,,,0.0
2002-08-31,0.75,,64.8,,,0.0
2002-09-30,0.75,,64.8,,,0.0
2002-10-31,0.75,,64.8,,,0.0
2002-11-30,0.75,,64.8,,,0.0
2002-12-31,0.59,160000.0,50.76,,,0.0
2003-01-31,0.63,75200.0,54.0,,,0.0
2003-02-28,0.57,44800.0,49.41,,,0.0
2003-03-31,0.74,36800.0,64.26,,,0.0
2003-04-30,0.57,14400.0,49.14,,,0.0
2003-05-31,0.69,99200.0,59.4,,,0.0
2003-06-30,0.97,220800.0,83.7,,,0.0
2003-07-31,0.93,33600.0,80.73,,,0.0
2003-08-31,1.13,99200.0,97.254,,,0.0
2003-09-30,1.07,17600.0,92.61,,,0.0
2003-10-31,0.99,132800.0,85.59,,,0.0
2003-11-30,0.87,145600.0,75.33,,,0.0
2003-12-31,1.71,798400.0,147.96,,,0.0
2004-01-31,1.38,278400.0,118.8,,,0.0
2004-02-29,1.28,168000.0,110.43,,,0.0
2004-03-31,1.13,46400.0,97.2,,,0.0
2004-04-30,1.31,126400.0,112.86,,,0.0
2004-05-31,1.22,873600.0,105.3,,,0.0
2004-06-30,1.03,102400.0,89.1,,,0.0
2004-07-31,1.38,400000.0,118.8,,,0.0
2004-08-31,2.48,596800.0,214.11,,,0.0
2004-09-30,2.19,505600.0,189.0,,,0.0938
2004-10-31,2.3,1164800.0,198.45,,,0.0938
2004-11-30,4.19,11344944.0,362.34,,,0.0938
2004-12-31,4.37,6923728.0,377.73,,,0.0938
2005-01-31,5.26,6507472.0,454.68,,,0.0938
2005-02-28,5.63,5103664.0,486.0,,,0.0938
2005-03-31,4.74,5069904.0,409.59,,,0.0938
2005-04-30,4.47,666976.0,386.37,,,0.0938
2005-05-31,5.68,3550096.0,490.32,,,0.0938
2005-06-30,5.47,4244896.0,472.77,,,0.0938
2005-07-31,6.58,7741664.0,568.35,,,0.0938
2005-08-31,7.1,3942704.0,613.71,,,0.0938
2005-09-30,7.63,11860960.0,659.34,,,0.1125
2005-10-31,6.62,1753648.0,571.86,,,0.1125
2005-11-30,6.98,2231264.0,602.64,,,0.1125
2005-12-31,6.52,2538432.0,563.22,,,0.1125
2006-01-31,6.38,3144592.0,551.07,,,0.1125
2006-02-28,6.13,1457360.0,530.01,,,0.1125
2006-03-31,5.52,3169424.0,476.82,,,0.1125
2006-04-30,5.94,1876992.0,512.19,,,0.1125
2006-05-31,6.75,2745488.0,583.47,,,0.1125
2006-06-30,6.35,1731248.0,548.37,,,0.1125
2006-07-31,6.48,844736.0,560.25,,,0.1125
2006-08-31,6.9,1972384.0,596.16,,,0.125
2006-09-30,6.97,2159920.0,602.37,,,0.125
2006-10-31,7.56,5966272.0,653.4,,,0.125
2006-11-30,7.74,5341056.0,668.79,,,0.125
2006-12-31,9.59,5522144.0,828.36,,,0.125
2007-01-31,8.77,3964944.0,757.62,,,0.125
2007-02-28,8.65,1959232.0,747.63,,,0.125
2007-03-31,7.94,1003072.0,685.8,,,0.125
2007-04-30,8.38,1576928.0,723.6,,,0.125
2007-05-31,8.73,920096.0,754.11,,,0.125
2007-06-30,9.12,1599920.0,787.59,,,0.125
2007-07-31,7.92,1788704.0,684.18,,,0.125
2007-08-31,7.47,1299808.0,645.3,,,0.1563
2007-09-30,8.13,1652064.0,702.27,,,0.1563
2007-10-31,8.32,3394720.0,718.74,,,0.1563
2007-11-30,7.33,1068608.0,633.15,,,0.1563
2007-12-31,9.26,1943472.0,800.01,,,0.1563
2008-01-31,6.19,1231280.0,535.14,,,0.1563
2008-02-29,5.95,604736.0,514.35,,,0.1563
2008-03-31,5.19,4538672.0,448.2,,,0.1563
2008-04-30,5.72,2810240.0,494.37,,,0.1563
2008-05-31,5.35,358144.0,462.24,,,0.1563
2008-06-30,5.0,120432.0,431.73,,,0.1563
2008-07-31,4.69,106352.0,405.0,,,0.1563
2008-08-31,4.29,631152.0,370.44,,,0.1563
2008-09-30,3.55,693056.0,306.72,,,0.1563
2008-10-31,2.38,363344.0,205.2,,,0.1563
2008-11-30,2.35,229312.0,202.77,,,0.1563
2008-12-31,2.81,310528.0,243.0,,,0.1563
2009-01-31,2.66,554288.0,229.77,,,0.1563
2009-02-28,2.31,172016.0,199.53,,,0.1563
2009-03-31,2.63,1033776.0,226.8,,,0.1563
2009-04-30,5.19,1157136.0,448.74,,,0.1563
2009-05-31,6.11,1004048.0,528.12,,,0.1563
2009-06-30,6.11,2044016.0,527.85,,,0.1563
2009-07-31,6.25,189664.0,540.0,,,0.1563
2009-08-31,7.39,790160.0,638.28,,,0.1563
2009-09-30,7.5,648816.0,648.0,,,0.1563
2009-10-31,7.5,718960.0,648.27,,,0.1563
2009-11-30,9.07,2278800.0,784.08,,,0.1563
2009-12-31,8.44,620192.0,729.27,,,0.1563
2010-01-31,11.92,4030576.0,1030.05,,,0.1563
2010-02-28,12.18,7432256.0,1052.46,,,0.1563
2010-03-31,12.21,3073224.0,1055.16,,,0.1563
2010-04-30,15.38,1035696.0,1328.94,,,0.1563
2010-05-31,18.77,2178144.0,1621.62,,,0.1563
2010-06-30,21.28,1884120.0,1838.7,,,0.1563
2010-07-31,23.83,1503752.0,2058.48,,,0.1563
2010-08-31,28.12,2170928.0,2429.46,,,0.3125
2010-09-30,28.21,869848.0,2437.56,,,0.3125
2010-10-31,35.98,2545016.0,3137.3654,,,0.3125
2010-11-30,35.02,534856.0,3083.751,,,0.3125
2010-12-31,40.65,1131432.0,3579.6389,,,0.3125
2011-01-31,33.74,361448.0,2970.9242,,,0.3125
2011-02-28,30.39,264416.0,2675.9232,,,0.3125
2011-03-31,34.75,824064.0,3060.0849,,,0.3125
2011-04-30,34.74,531496.0,3059.5345,,,0.3125
2011-05-31,35.0,259352.0,3082.0999,,,0.3125
2011-06-30,33.94,524864.0,2988.5362,,,0.3125
2011-07-31,40.0,1411344.0,3522.3999,,,0.3125
2011-08-31,34.25,730840.0,3016.0549,,,0.375
2011-09-30,35.65,2838160.0,3139.3389,,,0.375
2011-10-31,35.86,1063408.0,3158.0517,,,0.375
2011-11-30,33.36,1283448.0,2937.9017,,,0.375
