ETERNAL IN Equity,price,volume,mc,pe,bm,div
2021-07-31,133.5,1654753967.0,1047331.487,,,0.0
2021-08-31,134.55,992698015.0,1055568.925,,,0.0
2021-09-30,136.6,683557112.0,1071651.544,,5.2847,0.0
2021-10-31,131.55,231806933.0,1032033.386,,5.0893,0.0
2021-11-30,152.55,1264703215.0,1200780.556,,5.9018,0.0
2021-12-31,137.4,614866639.0,1081528.996,,5.1822,0.0
2022-01-31,90.4,830754944.0,711573.6629,,,0.0
2022-02-28,79.95,578102655.0,629361.0254,,,0.0
2022-03-31,82.3,451465294.0,647860.0675,,3.8109,0.0
2022-04-30,71.75,363356902.0,564811.1767,,3.3224,0.0
2022-05-31,74.65,1466618769.0,587768.3216,,3.4567,0.0
2022-06-30,53.85,1298139863.0,423996.3043,,2.6533,0.0
2022-07-31,46.8,2410912491.0,368487.0388,,,0.0
2022-08-31,57.95,5992539285.0,495399.2679,,,0.0
2022-09-30,62.35,2318353481.0,533013.7076,,2.6992,0.0
2022-10-31,63.1,1354186865.0,539425.2598,,2.7316,0.0
2022-11-30,65.25,2357515683.0,558001.3344,,2.8247,0.0
2022-12-31,59.3,1129012170.0,507118.4541,,2.5366,0.0
2023-01-31,49.75,1394792014.0,425449.2933,,2.1281,0.0
2023-02-28,53.5,1898563745.0,457612.7727,,2.2885,0.0
2023-03-31,51.0,1121469534.0,436228.9983,,2.192,0.0
2023-04-30,64.9,1134960245.0,555122.7841,,2.7895,0.0
2023-05-31,69.05,2104113734.0,592392.8648,,2.9678,0.0
2023-06-30,75.05,1481519200.0,643867.9871,,3.2159,0.0
2023-07-31,84.1,1310408887.0,721509.6297,,3.6037,0.0
2023-08-31,97.6,2660202384.0,839793.9506,,4.1822,0.0
2023-09-30,101.5,1273287025.0,873351.2908,,4.4238,0.0
2023-10-31,105.1,1528243474.0,904327.2972,,4.5807,0.0
2023-11-30,118.55,2031794355.0,1032679.052,,5.1669,0.0
2023-12-31,123.7,1091032448.0,1077540.268,,5.2937,0.0
2024-01-31,139.55,1290619838.0,1215608.281,,5.972,0.0
2024-02-29,165.45,1892691785.0,1459233.22,,7.0803,0.0
2024-03-31,182.1,1129340499.0,1606082.62,455.25,7.7435,0.0
2024-04-30,193.15,769211947.0,1703541.23,482.875,8.2134,0.0
2024-05-31,179.15,1109030432.0,1581354.418,447.875,7.618,0.0
2024-06-30,200.56,944812614.0,1770340.173,290.6667,8.3619,0.0
2024-07-31,229.45,925928059.0,2025351.779,332.5362,9.5664,0.0
2024-08-31,250.53,2090660076.0,2212305.756,363.087,10.4453,0.0
2024-09-30,273.3,1411672982.0,2414434.735,321.5294,11.1792,0.0
2024-10-31,241.75,1267065033.0,2136185.69,284.4118,9.8886,0.0
2024-11-30,279.76,1115260784.0,2472055.051,329.1294,11.4434,0.0
2024-12-31,278.05,1290123111.0,2683279.997,365.8553,8.3915,0.0
2025-01-31,220.35,1784814369.0,2126454.765,289.9342,6.6501,0.0
2025-02-28,222.1,1042013971.0,2143342.879,292.2368,6.703,0.0
2025-03-31,201.7,1640883638.0,1946475.726,336.1667,6.0362,0.0
2025-04-30,232.52,934315333.0,2243899.532,387.5333,6.9586,0.0
2025-05-31,238.31,1556245361.0,2299775.063,397.1833,7.1318,0.0
2025-06-30,264.15,985941752.0,2549140.123,776.9118,7.8318,0.0
2025-07-31,307.8,1029494376.0,2970377.929,905.2941,9.126,0.0
2025-08-31,313.95,1431914457.0,3029727.586,923.3824,9.3083,0.0
2025-09-30,325.5,589685604.0,3141189.136,1550.0,9.6102,0.0
2025-10-31,317.75,648741353.0,3066398.918,1513.0952,9.3814,0.0
2025-11-30,300.1,594675310.0,2896070.229,1429.0476,8.8603,0.0
2025-12-31,278.05,576859061.0,2683279.997,1112.2,8.1922,0.0
2026-01-31,273.6,1245993291.0,2640335.937,1094.4,8.0611,0.0
2026-02-28,246.3,1136364747.0,2376881.364,985.2,7.2568,0.0
2026-03-31,240.4,179843746.0,2319944.237,961.6,7.0829,0.0
