BOI IN Equity,price,volume,mc,pe,bm,div
2017-08-31,144.2,137039903.0,170811.5538,,,0.0
2017-09-30,137.55,55752786.0,162934.3219,,,0.0
2017-10-31,191.1,119945896.0,226366.7678,,,0.0
2017-11-30,195.65,128181026.0,231756.4623,,,0.0
2017-12-31,169.75,66693773.0,201076.7159,,,0.0
2018-01-31,157.2,101542511.0,186210.6612,,,0.0
2018-02-28,116.2,153224116.0,137644.2729,,,0.0
2018-03-31,103.55,340205871.0,122659.7629,,,0.0
2018-04-30,104.05,203882643.0,181356.8993,,,0.0
2018-05-31,98.6,200050159.0,171857.6672,,,0.0
2018-06-30,87.5,148506390.0,152510.6073,,,0.0
2018-07-31,94.4,226100664.0,164537.158,,,0.0
2018-08-31,100.45,209317916.0,175082.1772,,,0.0
2018-09-30,76.9,164770787.0,134035.0366,,,0.0
2018-10-31,86.0,168859950.0,149896.1397,,,0.0
2018-11-30,84.85,238194032.0,147891.7146,,,0.0
2018-12-31,104.1,283814526.0,181444.0482,,,0.0
2019-01-31,102.8,280259826.0,179178.1763,,,0.0
2019-02-28,83.1,205303211.0,144841.5025,,,0.0
2019-03-31,104.25,236522580.0,287655.9222,,,0.0
2019-04-30,88.25,160173050.0,243507.2915,,,0.0
2019-05-31,94.65,230709539.0,310160.7951,,,0.0
2019-06-30,90.15,149444949.0,295414.64,,0.6162,0.0
2019-07-31,72.2,256112946.0,236593.8659,,0.4935,0.0
2019-08-31,65.55,187260019.0,214802.3256,,0.4481,0.0
2019-09-30,62.95,185567103.0,206282.3249,,0.4274,0.0
2019-10-31,71.25,194653845.0,233480.7887,,0.4838,0.0
2019-11-30,75.9,275249321.0,248718.4823,,0.5153,0.0
2019-12-31,70.4,62387374.0,230695.4038,,0.4746,0.0
2020-01-31,67.8,44101724.0,222175.4031,,0.4571,0.0
2020-02-29,51.05,31848562.0,167286.937,,0.3442,0.0
2020-03-31,32.25,56963899.0,105680.778,,0.2345,0.0
2020-04-30,35.2,84552421.0,115347.7019,,0.256,0.0
2020-05-31,31.45,75305256.0,103059.2394,,0.2287,0.0
2020-06-30,48.8,226901082.0,159913.8595,,0.3474,0.0
2020-07-31,47.05,88801690.0,154179.2436,,0.3349,0.0
2020-08-31,54.35,126179717.0,178100.7841,,0.3869,0.0
2020-09-30,40.65,75306711.0,133206.9342,,0.287,0.0
2020-10-31,38.6,36808649.0,126489.2447,,0.2725,0.0
2020-11-30,45.05,78109159.0,147625.4009,,0.318,0.0
2020-12-31,48.7,143730573.0,159586.1714,,0.3393,0.0
2021-01-31,49.8,133819598.0,163190.7872,,0.347,0.0
2021-02-28,82.45,533972931.0,270182.3375,,0.5745,0.0
2021-03-31,67.85,149560359.0,222339.2553,11.0319,0.445,0.0
2021-04-30,66.35,160793313.0,217423.8701,10.788,0.4352,0.0
2021-05-31,77.2,229452764.0,252978.4894,12.5522,0.5063,0.0
2021-06-30,77.9,211635436.0,288081.5385,13.547,0.5666,0.0
2021-07-31,74.4,50540572.0,275138.2088,12.9384,0.5412,0.0
2021-08-31,66.35,56894933.0,245368.5504,11.5385,0.4826,0.0
2021-09-30,55.5,230370569.0,227747.9169,8.0548,0.4189,0.0
2021-10-31,59.9,281788551.0,245803.6076,8.6933,0.4521,0.0
2021-11-30,54.3,170539563.0,222823.6376,7.8806,0.4099,0.0
2021-12-31,51.4,119905032.0,210923.296,6.7102,0.3817,0.0
2022-01-31,54.3,132687095.0,222823.6376,7.0888,0.4032,0.0
2022-02-28,46.85,200725016.0,192252.0704,6.1162,0.3479,0.0
2022-03-31,45.85,98656342.0,188148.5043,5.044,0.333,0.0
2022-04-30,48.15,79367783.0,197586.7063,5.297,0.3497,0.0
2022-05-31,47.95,70787841.0,196765.9931,5.275,0.3482,0.0
2022-06-30,44.35,42896389.0,181993.1552,5.2115,0.3172,0.0
2022-07-31,47.7,49207865.0,195740.1015,5.6052,0.3411,2.0
2022-08-31,51.9,81120365.0,212975.079,6.0987,0.3712,2.0
2022-09-30,48.2,98758516.0,197791.8846,6.1874,0.342,2.0
2022-10-31,60.25,149186109.0,247239.8557,7.7343,0.4275,2.0
2022-11-30,82.3,550263525.0,337723.4876,10.5648,0.5839,2.0
2022-12-31,88.25,829625104.0,362139.7057,11.6271,0.6124,2.0
