ZENT IN Equity,price,volume,mc,pe,bm,div
1995-01-31,6.5,,,,,0.0
1995-02-28,6.0,,,,,0.0
1995-03-31,5.0,,,,,0.0
1995-04-30,4.63,,,,,0.0
1995-05-31,4.0,,,,,0.0
1995-06-30,5.15,,,,,0.0
1995-07-31,5.5,,,,,0.0
1995-08-31,5.7,,,,,0.0
1995-09-30,5.9,,,,,0.0
1995-10-31,5.85,,,,,0.0
1995-11-30,5.0,,,,,0.0
1995-12-31,4.1,,,,,0.0
1996-01-31,3.8,,,,,0.0
1996-02-29,3.9,,,,,0.0
1996-03-31,3.5,,,,,0.0
1996-04-30,3.6,,,,,0.0
1996-05-31,3.65,110500.0,,,,0.0
1996-06-30,4.5,2064500.0,,,,0.0
1996-07-31,2.85,221500.0,,,,0.0
1996-08-31,2.96,218110.0,,,,0.0
1996-09-30,1.5,87020.0,,,,0.0
1996-10-31,1.63,63120.0,,,,0.0
1996-11-30,1.35,33970.0,,,,0.0
1996-12-31,1.35,25480.0,,,,0.0
1997-01-31,1.48,159730.0,,,,0.0
1997-02-28,1.35,23250.0,,,,0.0
1997-03-31,1.23,251490.0,,,,0.0
1997-04-30,1.33,112550.0,,,,0.0
1997-05-31,1.4,101170.0,,,,0.0
1997-06-30,1.02,335970.0,,,,0.0
1997-07-31,1.56,49990.0,,,,0.0
1997-08-31,1.53,258820.0,,,,0.0
1997-09-30,1.6,159050.0,,,,0.0
1997-10-31,1.7,146520.0,,,,0.0
1997-11-30,1.4,37680.0,244.202,,,0.0
1997-12-31,1.07,83860.0,186.6401,,,0.0
1998-01-31,1.05,113660.0,183.1515,,,0.0
1998-02-28,1.5,91750.0,260.7729,,,0.0
1998-03-31,2.17,1079820.0,379.3853,,,0.0
1998-04-30,3.29,864970.0,573.0026,,,0.0
1998-05-31,7.02,660090.0,1224.4987,,,0.0
1998-06-30,5.4,1251810.0,941.0499,,,0.0
1998-07-31,6.46,956490.0,1126.8179,,,0.0
1998-08-31,8.99,1177020.0,1568.1258,,,0.0
1998-09-30,10.15,3823600.0,1770.4646,,,0.0
1998-10-31,7.47,425160.0,1302.9922,,,0.0
1998-11-30,8.55,669900.0,1490.5044,,,0.0
1998-12-31,9.22,815200.0,1608.2447,,,0.0
1999-01-31,21.21,1195770.0,3699.6605,,,0.0
1999-02-28,43.48,5841420.0,7583.3446,,,0.0
1999-03-31,45.58,4581730.0,7949.6476,,,0.0
1999-04-30,28.68,3054670.0,5002.6526,,,0.0
1999-05-31,27.01,3209370.0,4710.4824,,,0.0
1999-06-30,27.6,1439660.0,4814.2682,,,0.0
1999-07-31,35.46,2846040.0,6184.4159,,,0.0
1999-08-31,40.04,4337960.0,6984.1775,,,0.0
1999-09-30,57.44,5587290.0,10018.3875,,,0.0
1999-10-31,58.8,7694310.0,10256.4845,,,0.0
1999-11-30,80.05,5015640.0,13962.25,,,0.0
1999-12-31,66.41,9169480.0,11583.0247,,,0.0
2000-01-31,56.72,3872090.0,9892.7979,,,0.0
2000-02-29,80.57,10910810.0,14052.9536,,,0.0
2000-03-31,74.2,4166750.0,12942.7066,,,0.0
2000-04-30,34.74,1163720.0,6059.6985,,,0.0
2000-05-31,22.51,1533800.0,3926.4195,,,0.0
2000-06-30,24.96,7437600.0,4352.9008,,,0.0
2000-07-31,17.47,2846090.0,3047.2922,,,0.0
2000-08-31,16.59,2783570.0,2893.7938,,,0.0
2000-09-30,15.52,5092630.0,2706.2816,,,0.0
2000-10-31,11.93,1454480.0,2080.0778,,,0.0
2000-11-30,12.29,4891920.0,2142.8726,,,0.0
2000-12-31,11.55,4701070.0,2014.6666,,,0.0
2001-01-31,12.51,3047550.0,2182.1194,,,0.0
2001-02-28,12.99,14404950.0,2264.9737,,,0.0
2001-03-31,6.02,8237310.0,1049.1965,4.343,1.1151,0.0
2001-04-30,5.38,3864260.0,938.4334,3.8845,0.9974,0.0
2001-05-31,8.8,21630500.0,1534.9841,6.3538,1.6314,0.0
2001-06-30,6.9,19683930.0,1203.5671,4.9819,1.2791,0.0
2001-07-31,5.35,702340.0,932.3284,3.8592,0.9909,0.0
2001-08-31,5.76,742350.0,1004.7168,4.1588,1.0678,0.0
2001-09-30,3.79,660310.0,660.2176,2.7329,0.7017,0.0
2001-10-31,5.29,1070590.0,921.8626,3.8159,0.9798,0.0
2001-11-30,8.53,3258180.0,1487.0158,6.1552,1.5804,0.0
2001-12-31,10.46,24233290.0,1824.5379,7.5523,1.9391,0.0
2002-01-31,9.27,12979120.0,2158.8068,6.6931,1.7185,0.0
2002-02-28,8.8,7637770.0,2048.1883,6.3502,1.6305,0.0
2002-03-31,13.68,72171490.0,3186.9764,44.7608,3.0096,0.0
2002-04-30,14.73,80161050.0,3430.337,48.1788,3.2394,0.0
2002-05-31,11.2,31773620.0,2607.1027,36.6166,2.462,0.0
2002-06-30,10.67,6056800.0,2483.6758,34.883,2.3454,0.0
2002-07-31,8.12,8545750.0,1890.9937,26.5589,1.7857,0.0
2002-08-31,9.73,17522090.0,2264.7677,31.8085,2.1387,0.0
2002-09-30,8.51,12979480.0,1981.8172,27.8345,1.8715,0.15
2002-10-31,7.58,6187370.0,1766.4023,24.809,1.6681,0.15
2002-11-30,9.2,6296930.0,2141.3407,30.075,2.0221,0.15
2002-12-31,10.18,16862300.0,2369.5641,33.2803,2.2377,0.15
2003-01-31,9.07,16516090.0,2113.395,29.6825,1.9957,0.15
2003-02-28,8.56,8233440.0,1992.2969,27.9817,1.8814,0.15
2003-03-31,6.62,4406950.0,1540.5078,15.6306,1.3822,0.15
2003-04-30,6.84,2429760.0,1592.906,16.1623,1.4292,0.15
2003-05-31,6.95,3782260.0,1617.3585,16.4104,1.4512,0.15
2003-06-30,8.18,10931650.0,1903.8021,19.3167,1.7082,0.15
2003-07-31,8.05,10754090.0,1873.5276,19.0096,1.681,0.15
2003-08-31,9.02,14754450.0,2099.4222,21.3016,1.8837,0.15
2003-09-30,9.26,19624710.0,2156.478,21.8805,1.9349,0.15
2003-10-31,8.32,8267950.0,1936.4055,19.6475,1.7374,0.15
2003-11-30,11.65,31225960.0,2711.8992,27.516,2.4332,0.15
2003-12-31,13.65,33046380.0,3177.6611,32.2418,2.8511,0.15
2004-01-31,10.66,30341420.0,2482.5114,25.1885,2.2274,0.15
2004-02-29,9.97,11575660.0,2321.8235,23.5581,2.0832,0.15
2004-03-31,7.82,4550620.0,1819.965,14.4814,1.5539,0.15
2004-04-30,8.48,3758140.0,1973.6664,15.7044,1.6851,0.15
2004-05-31,8.0,3969110.0,1864.2123,14.8335,1.5917,0.15
2004-06-30,8.38,2886340.0,1950.3783,15.5191,1.6653,0.15
2004-07-31,11.42,10547490.0,2658.3365,21.1523,2.2697,0.17
2004-08-31,12.34,14843820.0,2872.587,22.8571,2.4526,0.17
2004-09-30,12.56,5055400.0,2923.8838,23.2647,2.4964,0.17
2004-10-31,13.08,11798700.0,3044.9846,24.2283,2.5998,0.17
2004-11-30,16.76,12438050.0,3902.0383,31.0474,3.3315,0.17
2004-12-31,17.49,4458650.0,4073.0957,32.4001,3.4766,0.17
2005-01-31,18.39,13217840.0,4283.9137,34.0771,3.6566,0.17
2005-02-28,18.07,15298090.0,4209.6233,33.4841,3.593,0.17
2005-03-31,20.21,34267730.0,4716.2662,12.0472,3.0831,0.17
2005-04-30,19.06,14629450.0,4447.8988,11.3617,2.9076,0.17
2005-05-31,17.43,16117790.0,4067.6391,10.39,2.659,0.17
2005-06-30,16.79,9603950.0,3926.3351,10.0115,2.5621,0.17
