ZENT IN Equity,price,volume,mc,pe,bm,div
2005-07-31,17.48,19674310.0,4086.4744,10.4198,2.6666,0.23
2005-08-31,18.9,16272200.0,4426.0019,11.2663,2.8832,0.23
2005-09-30,17.73,25787450.0,4152.1345,10.5659,2.704,0.23
2005-10-31,15.91,15668520.0,3725.7941,9.481,2.4263,0.23
2005-11-30,17.41,7739860.0,4077.1736,10.3751,2.6552,0.23
2005-12-31,18.59,22178440.0,4354.0008,11.0785,2.8352,0.23
2006-01-31,20.46,37588920.0,4793.8803,12.1962,3.1212,0.23
2006-02-28,19.88,9980670.0,4657.9834,11.8505,3.0327,0.23
2006-03-31,21.05,11431660.0,4932.2046,14.5252,2.7221,0.23
2006-04-30,26.85,51879820.0,6387.4545,18.5239,3.4715,0.23
2006-05-31,22.51,14652730.0,5285.0294,15.5292,2.9103,0.23
2006-06-30,19.57,10102870.0,4595.7798,13.5039,2.5307,0.23
2006-07-31,20.51,6931950.0,4822.7417,14.1526,2.6523,0.26
2006-08-31,21.83,9911360.0,5132.0396,15.06,2.8223,0.26
2006-09-30,21.9,4568910.0,5149.6754,15.1117,2.832,0.26
2006-10-31,24.41,19915900.0,5770.4404,16.8403,3.156,0.26
2006-11-30,22.69,5281370.0,5375.7779,15.6534,2.9336,0.26
2006-12-31,22.74,7831460.0,5387.922,15.6879,2.94,0.26
2007-01-31,24.49,24287220.0,5804.1054,16.8989,3.167,0.26
2007-02-28,23.68,11032090.0,5611.2827,16.3365,3.0616,0.26
2007-03-31,24.39,7144520.0,5779.5619,10.0691,2.4527,0.26
2007-04-30,30.32,21964700.0,7186.2341,12.5198,3.0497,0.26
2007-05-31,36.5,26724920.0,8650.9744,15.0716,3.6713,0.26
2007-06-30,33.77,10098450.0,8003.9289,13.9444,3.3967,0.26
2007-07-31,26.61,34660700.0,6365.2186,10.9878,2.6765,0.35
2007-08-31,21.08,7938040.0,5047.0832,8.7023,2.1198,0.35
2007-09-30,19.84,7940490.0,4752.0767,8.1924,1.9956,0.35
2007-10-31,18.02,8959340.0,4317.3479,7.4429,1.813,0.35
2007-11-30,16.71,6174890.0,4004.3845,6.8999,1.6807,0.35
2007-12-31,19.07,33257000.0,4568.7367,7.8724,1.9176,0.35
2008-01-31,14.52,16819590.0,3478.3747,5.9936,1.46,0.35
2008-02-29,12.77,7619380.0,3060.2029,5.273,1.2844,0.35
2008-03-31,11.11,7226480.0,2662.4005,4.1564,0.8701,0.35
2008-04-30,15.81,10873360.0,3787.6683,5.9128,1.2378,0.35
2008-05-31,14.13,4537420.0,3385.0563,5.2843,1.1062,0.35
2008-06-30,11.8,2868690.0,2827.9526,4.4145,0.9242,0.35
2008-07-31,14.05,6068250.0,3367.1809,5.2563,1.1004,0.38
2008-08-31,13.79,6361820.0,3303.6718,5.1571,1.0796,0.38
2008-09-30,10.95,2875110.0,2624.2442,4.0965,0.8576,0.38
2008-10-31,10.03,7291160.0,2402.5915,3.7505,0.7851,0.38
2008-11-30,8.57,4055290.0,2055.0845,3.208,0.6716,0.38
2008-12-31,7.89,1787280.0,1890.9174,2.9517,0.6179,0.38
2009-01-31,6.92,2204120.0,1657.2489,2.587,0.5416,0.38
2009-02-28,7.08,983220.0,1695.5945,2.6468,0.5541,0.38
2009-03-31,7.74,6372800.0,1854.9684,2.1429,0.7173,0.38
2009-04-30,9.88,5502670.0,2366.6425,2.7339,0.9151,0.38
2009-05-31,11.99,5246380.0,2872.3251,3.3181,1.1107,0.38
2009-06-30,12.31,6814820.0,2949.0163,3.4067,1.1403,0.38
2009-07-31,17.4,17477010.0,4170.0839,4.8173,1.6125,0.45
2009-08-31,21.29,18391360.0,5101.163,5.8929,1.9725,0.45
2009-09-30,23.21,17138720.0,5563.6693,6.4258,2.1509,0.45
2009-10-31,23.55,16587430.0,5647.3609,6.5199,2.1824,0.45
2009-11-30,29.73,28489600.0,7129.3435,8.2309,2.7551,0.45
2009-12-31,32.46,22983340.0,7784.0057,8.9867,3.0081,0.45
2010-01-31,30.71,35672710.0,6621.0173,8.5036,2.8464,0.45
2010-02-28,28.51,9319040.0,6149.1795,7.8931,2.642,0.45
2010-03-31,27.24,7137730.0,5877.2479,5.023,1.7826,0.45
2010-04-30,32.08,45787110.0,6922.03,5.9155,2.0993,0.45
2010-05-31,29.65,19733080.0,6397.1835,5.4665,1.94,0.45
2010-06-30,33.02,15685810.0,7126.8389,6.0889,2.1608,0.45
2010-07-31,35.44,19736650.0,7651.4251,6.5351,2.3192,0.55
2010-08-31,33.69,5712435.0,7276.6694,6.2124,2.2047,0.55
2010-09-30,32.81,5130495.0,7094.506,6.0502,2.1471,0.55
2010-10-31,30.55,4768890.0,6605.8263,5.6334,1.9992,0.55
2010-11-30,32.23,6014800.0,6971.4938,5.9432,2.1091,0.55
2010-12-31,33.54,2079915.0,7258.7435,6.1848,2.1949,0.55
2011-01-31,32.09,10234580.0,6944.9338,5.9174,2.1,0.55
2011-02-28,31.61,1944950.0,6841.4631,5.8289,2.0686,0.55
2011-03-31,31.3,1563495.0,6777.0445,5.1362,1.5195,0.55
2011-04-30,35.14,4357510.0,7620.9526,5.7663,1.7059,0.55
2011-05-31,35.14,1992805.0,7620.9526,5.7663,1.7059,0.55
2011-06-30,32.36,952645.0,7018.0429,5.3101,1.5709,0.55
2011-07-31,29.13,2012430.0,6318.2388,4.7801,1.4141,0.7
2011-08-31,25.05,1021890.0,5434.4722,4.1106,1.2161,0.7
2011-09-30,23.96,718645.0,5198.6251,3.9317,1.1632,0.7
2011-10-31,26.49,1022540.0,5747.5617,4.3469,1.286,0.7
2011-11-30,25.18,1111430.0,5463.481,4.1319,1.2224,0.7
2011-12-31,28.5,2963715.0,6183.8446,4.6767,1.3836,0.7
2012-01-31,34.73,6198055.0,7535.6114,5.699,1.686,0.7
2012-02-29,35.94,7538910.0,7798.5128,5.8976,1.7447,0.6
2012-03-31,35.99,3449845.0,7811.5938,4.9194,1.3564,0.6
2012-04-30,43.61,31856815.0,9465.5072,5.9609,1.6436,0.6
2012-05-31,44.07,5552300.0,9567.2444,6.0238,1.6609,0.6
2012-06-30,52.03,7179090.0,11298.0546,7.1118,1.9609,0.6
2012-07-31,53.78,9886005.0,11686.2594,7.351,2.0268,1.4
2012-08-31,49.29,5421175.0,10719.6875,6.7373,1.8576,1.4
2012-09-30,55.6,4816565.0,12091.9989,7.5998,2.0954,1.4
2012-10-31,46.05,5957490.0,10025.0158,6.2944,1.7355,1.4
2012-11-30,52.13,2332795.0,11353.1577,7.1255,1.9646,1.4
2012-12-31,56.2,2692890.0,12239.5446,7.6818,2.118,1.4
2013-01-31,50.73,3215615.0,11053.1289,6.9341,1.9119,2.1
2013-02-28,45.02,1550570.0,9809.0255,6.1536,1.6967,1.5
2013-03-31,48.51,1421210.0,10570.5719,6.0456,1.4502,1.5
2013-04-30,49.04,1319710.0,10686.0615,6.1117,1.4661,1.5
2013-05-31,49.71,1638525.0,10836.7303,6.1952,1.4861,1.5
2013-06-30,50.07,1188955.0,10915.9587,6.24,1.4968,1.5
2013-07-31,44.3,3113795.0,9658.0182,5.5209,1.3243,1.8
2013-08-31,45.48,1330570.0,9926.4762,5.668,1.3596,1.8
2013-09-30,46.15,1366300.0,10078.4559,5.7515,1.3797,1.8
2013-10-31,53.81,3179330.0,11751.8547,6.7061,1.6087,1.8
2013-11-30,64.61,7506395.0,14113.7694,8.0521,1.9315,1.8
2013-12-31,71.31,5413720.0,15582.4539,8.8871,2.1318,1.8
2014-01-31,76.56,11002500.0,16735.2367,9.5414,2.2888,1.7
2014-02-28,79.15,5404655.0,17311.9731,9.8642,2.3662,1.7
2014-03-31,75.02,4234315.0,16417.1871,6.8952,1.7363,1.7
2014-04-30,72.31,3908950.0,15824.1375,6.6461,1.6736,1.7
2014-05-31,73.07,3679240.0,16022.0798,6.716,1.6912,1.7
2014-06-30,87.68,5016185.0,19225.6187,8.0588,2.0294,1.7
2014-07-31,84.27,5538595.0,18488.7999,7.7454,1.9504,2.0
2014-08-31,88.86,3426515.0,19506.3249,8.1673,2.0567,2.0
2014-09-30,123.17,16010430.0,27053.1137,11.3208,2.8508,2.0
2014-10-31,121.45,5805415.0,26687.8063,11.1627,2.811,2.0
2014-11-30,118.11,2995330.0,25954.7878,10.8557,2.7337,2.0
2014-12-31,120.88,7480350.0,26569.8246,11.1103,2.7978,2.0
2015-01-31,130.48,5269520.0,28679.9364,11.9926,3.02,2.1
2015-02-28,144.61,3951320.0,31790.3387,13.2914,3.347,2.1
2015-03-31,128.62,11346640.0,28506.5487,10.6739,2.4638,2.1
2015-04-30,139.71,5619435.0,30964.4684,11.5942,2.6762,2.1
2015-05-31,154.82,2920775.0,34320.3281,12.8481,2.9657,2.1
2015-06-30,131.59,4019335.0,29170.7272,10.9203,2.5207,2.1
2015-07-31,191.06,20451295.0,42364.7147,15.8556,3.6599,2.2
2015-08-31,167.29,8163590.0,37112.3316,13.883,3.2046,2.2
2015-09-30,161.59,4194665.0,35905.9318,13.41,3.0954,2.2
2015-10-31,192.64,21496605.0,42821.6041,15.9867,3.6902,2.2
2015-11-30,217.0,15656450.0,48278.7667,18.0083,4.1568,2.2
2015-12-31,217.89,7447310.0,48525.215,18.0822,4.1738,2.2
2016-01-31,180.87,7119730.0,40345.4379,15.01,3.4647,2.3
2016-02-29,168.59,3588360.0,37614.9491,13.9909,3.2295,2.3
2016-03-31,186.67,2796035.0,41656.7431,14.3306,3.2927,2.4
2016-04-30,195.42,5758010.0,43609.3681,15.0023,3.4471,2.4
2016-05-31,189.78,2778265.0,42350.7618,14.5693,3.3476,2.4
2016-06-30,194.2,2500865.0,43337.1164,14.9086,3.4256,2.4
2016-07-31,210.33,3201120.0,46936.641,16.1469,3.7101,2.4
2016-08-31,215.33,10712305.0,48052.4267,16.5308,3.7983,2.4
2016-09-30,198.56,3690715.0,44310.0815,15.2434,3.5025,2.4
2016-10-31,184.93,2459595.0,41268.4497,14.197,3.262,2.4
2016-11-30,201.06,4403165.0,44867.9743,15.4353,3.5466,2.4
2016-12-31,190.0,2099620.0,42556.8392,14.5862,3.3515,2.4
2017-01-31,178.54,1404695.0,39989.9898,13.7064,3.1493,2.4
2017-02-28,183.75,2066275.0,41188.3037,14.1064,3.2412,2.4
2017-03-31,185.01,4852360.0,41470.7378,17.62,2.8208,2.4
2017-04-30,173.04,3191725.0,38824.6717,16.48,2.6383,2.4
2017-05-31,173.18,3793590.0,38865.7153,16.4933,2.6405,1.0
2017-06-30,162.7,1256225.0,36513.7537,15.4952,2.4807,1.0
2017-07-31,160.05,1512505.0,35919.0306,15.2429,2.4403,2.4
2017-08-31,158.88,6474975.0,35665.4581,15.1314,2.4224,2.4
2017-09-30,149.95,1571400.0,33660.8474,14.281,2.2863,2.4
2017-10-31,158.31,1115350.0,35537.5042,15.0771,2.4137,2.4
2017-11-30,170.94,2293650.0,38412.2881,16.28,2.6063,2.4
2017-12-31,178.11,749410.0,40054.571,16.9629,2.7156,2.4
2018-01-31,190.69,3196460.0,42883.6458,18.161,2.9074,2.4
2018-02-28,178.65,1507165.0,40178.4207,17.0143,2.7239,2.4
2018-03-31,180.25,2144105.0,40547.3168,16.7643,2.4296,2.4
2018-04-30,256.04,8052650.0,57596.3107,23.8132,3.4512,2.4
2018-05-31,260.8,6028635.0,58680.5386,24.256,3.5153,2.4
2018-06-30,255.8,2316415.0,57555.5282,23.7909,3.4479,2.4
2018-07-31,247.16,1870925.0,55611.5104,22.9874,3.3315,2.4
2018-08-31,334.59,9088195.0,75299.6702,31.1189,4.5099,2.4
2018-09-30,282.55,5548825.0,63581.341,26.2788,3.8085,2.4
2018-10-31,256.5,2971271.0,57719.3911,23.856,3.4574,2.4
2018-11-30,222.4,3511477.0,50059.5445,20.6845,2.9977,2.4
2018-12-31,232.15,3189939.0,52254.1513,21.5913,3.1291,2.4
2019-01-31,224.65,3337713.0,50572.8531,20.8938,3.028,2.4
2019-02-28,201.7,5750220.0,45407.54,18.7593,2.7187,2.4
2019-03-31,230.1,2187419.0,51810.9255,3.3037,2.6676,2.4
2019-04-30,234.65,1150195.0,52839.6415,3.369,2.7204,2.4
2019-05-31,250.0,1433183.0,56296.4675,3.5894,2.8983,2.4
2019-06-30,258.5,1673104.0,58210.5474,3.7114,2.9969,2.4
2019-07-31,210.65,713475.0,47443.2186,3.0244,2.4421,2.8
2019-08-31,219.95,526882.0,49537.7923,3.1579,2.55,2.8
2019-09-30,219.3,574703.0,49395.5509,3.1486,2.5424,2.8
2019-10-31,178.4,2957408.0,40187.6988,2.5614,2.0683,2.8
2019-11-30,186.6,1271157.0,42036.9924,2.6791,2.1633,2.8
2019-12-31,174.6,828969.0,39333.6488,2.5068,2.0242,2.8
2020-01-31,171.2,3013987.0,38579.3533,2.458,1.9848,2.8
2020-02-29,136.65,1750271.0,30794.1445,1.962,1.5842,2.8
2020-03-31,88.0,1727688.0,19833.1663,7.5278,0.9491,2.8
2020-04-30,84.8,3083714.0,19115.3591,7.2541,0.9146,2.8
2020-05-31,86.85,7137987.0,19577.4638,7.4294,0.9367,2.8
2020-06-30,123.85,10050628.0,27917.8917,10.5945,1.3358,2.8
2020-07-31,159.95,11133445.0,36056.8167,13.6826,1.7251,2.8
2020-08-31,172.3,8233134.0,38840.8223,14.7391,1.8584,2.8
2020-09-30,192.4,9268234.0,43375.8094,16.4585,2.0751,2.8
2020-10-31,177.85,4854017.0,40095.5704,15.2139,1.9182,2.8
2020-11-30,227.7,5289767.0,51337.2832,19.4782,2.4559,2.8
2020-12-31,237.4,7172632.0,53527.2897,20.308,2.5605,2.8
2021-01-31,235.75,4645006.0,53155.2593,20.1668,2.5427,3.0
2021-02-28,295.25,14454853.0,66571.6452,25.2566,3.1844,3.0
2021-03-31,273.95,17812870.0,61808.6779,20.5823,2.6388,3.0
2021-04-30,264.3,3826820.0,59631.4421,19.8573,2.5458,3.0
2021-05-31,285.8,6564233.0,64493.5611,21.4726,2.7529,1.2
2021-06-30,311.35,57576340.0,70259.1681,23.3922,2.999,1.2
2021-07-31,415.9,58911010.0,93851.9004,31.2472,4.0061,1.2
2021-08-31,450.3,31998297.0,101614.5967,33.8317,4.3374,1.2
2021-09-30,477.8,39348870.0,107820.2405,35.8978,4.6023,3.6
2021-10-31,461.65,33444328.0,104175.8351,34.6844,4.4468,3.6
2021-11-30,446.55,74580245.0,100911.1381,33.55,4.3013,3.6
2021-12-31,521.55,50204112.0,117907.1689,39.1848,5.0237,3.6
2022-01-31,415.5,32669274.0,93950.6819,31.2171,4.0022,3.6
2022-02-28,346.35,22442764.0,78321.6418,26.0218,3.3362,3.9
2022-03-31,366.95,17763697.0,83004.6298,19.9105,3.0892,3.9
2022-04-30,323.1,17048630.0,73128.0837,17.5312,2.7201,3.9
2022-05-31,305.8,21531662.0,69212.5287,16.5925,2.5744,3.9
2022-06-30,272.1,9818750.0,61590.1789,14.764,2.2907,3.9
2022-07-31,247.55,12411479.0,56033.9981,13.4319,2.084,5.0
2022-08-31,230.9,41687030.0,52265.1996,12.5285,1.9439,5.0
2022-09-30,211.65,24922588.0,47909.8483,11.484,1.7818,5.0
2022-10-31,223.4,17129730.0,50570.8668,12.1215,1.8807,5.0
2022-11-30,222.9,13737276.0,50457.6822,12.0944,1.8765,5.0
2022-12-31,213.0,25976019.0,48216.6277,11.5572,1.7932,5.0
2023-01-31,230.3,31172216.0,52134.7714,12.4959,1.9388,5.0
2023-02-28,290.3,71790753.0,65717.4301,15.7515,2.4439,5.0
2023-03-31,274.35,27089173.0,62110.0671,18.9599,2.0876,5.0
2023-04-30,278.25,13558134.0,63013.9859,19.2294,2.1173,5.0
2023-05-31,369.65,80875492.0,83714.7741,25.546,2.8127,5.0
2023-06-30,386.95,35886950.0,87632.7116,26.7415,2.9444,5.0
2023-07-31,497.4,76172194.0,112655.0272,34.3746,3.7848,5.0
2023-08-31,526.95,33867500.0,119348.8338,36.4167,4.0097,5.0
2023-09-30,517.4,34892535.0,117197.8169,35.7567,3.937,5.0
2023-10-31,490.05,28679018.0,111004.4853,33.8666,3.7289,5.0
2023-11-30,538.45,20782850.0,121967.8913,37.2115,4.0972,5.0
2023-12-31,610.65,62884095.0,138325.4102,42.2011,4.6466,5.0
2024-01-31,574.25,32158577.0,130081.1095,39.6856,4.3696,5.0
2024-02-29,549.6,22361897.0,124497.3057,37.982,4.182,5.5
2024-03-31,606.75,28872435.0,137469.1292,20.6659,3.8606,5.5
2024-04-30,613.25,33824005.0,138982.8044,20.8873,3.9019,5.5
2024-05-31,610.1,23466519.0,138282.8427,20.78,3.8819,5.5
2024-06-30,747.35,30191985.0,169401.1818,25.4547,4.7552,5.5
2024-07-31,793.35,38988535.0,179829.8663,27.0215,5.0479,9.0
2024-08-31,767.9,20343518.0,174061.0756,26.1546,4.8859,9.0
2024-09-30,675.35,17219050.0,153176.428,23.0024,4.2971,9.0
2024-10-31,703.8,14486326.0,159659.9444,23.9714,4.4781,9.0
2024-11-30,759.1,11345062.0,172209.1717,25.8549,4.8299,9.0
2024-12-31,751.65,13381029.0,170603.6722,25.6012,4.7825,9.0
2025-01-31,870.0,66552145.0,197465.8349,29.6322,5.5356,9.0
2025-02-28,738.45,57971784.0,167689.5743,25.1516,4.6985,9.0
2025-03-31,700.85,37238501.0,159169.6314,24.4625,3.9111,9.0
2025-04-30,719.45,24299437.0,163393.8665,25.1117,4.0149,9.0
2025-05-31,833.05,36267328.0,189236.9434,29.0768,4.6488,9.0
2025-06-30,842.55,14484825.0,191394.9783,29.4084,4.7018,9.0
2025-07-31,806.15,17669591.0,183132.5489,28.1379,4.4987,13.0
2025-08-31,768.1,6989048.0,174529.5807,26.8098,4.2864,13.0
2025-09-30,763.1,11201838.0,173449.5784,26.6353,4.2585,13.0
2025-10-31,797.55,9029983.0,181317.1273,27.8377,4.4507,13.0
2025-11-30,749.65,11371097.0,170427.4146,26.1658,4.1834,13.0
2025-12-31,703.65,6504155.0,159990.6892,24.5602,3.9267,13.0
2026-01-31,650.2,12605454.0,147875.248,22.6946,3.6284,13.4
2026-02-28,564.75,14594102.0,128441.3201,19.712,3.1516,13.4
2026-03-31,548.0,2140917.0,124631.8608,19.1274,3.0581,13.4
