PG IN Equity,price,volume,mc,pe,bm,div
1995-01-31,240.0,,7790.58,50.2092,7.1303,0.8889
1995-02-28,226.67,,7357.77,47.4198,6.7341,0.8889
1995-03-31,213.33,,6924.96,44.6304,6.338,0.8889
1995-04-30,200.0,,6492.15,41.841,5.9419,1.3333
1995-05-31,200.0,,6492.15,41.841,5.9419,1.3333
1995-06-30,217.78,,7069.23,47.8235,6.0138,1.3333
1995-07-31,232.89,,7559.748,51.1419,6.4311,1.3333
1995-08-31,204.44,,6636.42,44.8956,5.6456,1.3333
1995-09-30,213.33,,6924.96,46.8475,5.8911,1.3333
1995-10-31,188.89,,6131.475,41.4796,5.2161,2.0
1995-11-30,164.89,,5352.417,36.2093,4.5533,2.0
1995-12-31,208.89,,6780.69,45.8716,5.7683,2.0
1996-01-31,217.78,,7069.23,47.8235,6.0138,2.0
1996-02-29,266.67,,8656.2,58.5594,7.3638,2.0
1996-03-31,271.11,,8800.47,59.5354,7.4866,2.0
1996-04-30,346.67,,11253.06,76.1273,9.573,2.2222
1996-05-31,315.56,41400.0,10243.17,69.2953,8.7139,2.2222
1996-06-30,316.89,47025.0,10286.451,38.9639,7.7267,2.2222
1996-07-31,266.67,35100.0,8656.2,32.7887,6.5021,2.2222
1996-08-31,293.11,60991.0,9514.6065,36.0402,7.1469,3.3333
1996-09-30,260.0,38729.0,8439.795,31.969,6.3395,3.3333
1996-10-31,227.56,65475.0,7386.624,27.9797,5.5485,3.3333
1996-11-30,224.44,47986.0,7285.635,27.5971,5.4726,3.3333
1996-12-31,225.33,480411.0,7314.489,27.7064,5.4943,3.3333
1997-01-31,275.78,131582.0,8951.9535,33.909,6.7243,3.3333
1997-02-28,263.44,110462.0,8551.6043,32.3925,6.4235,3.3333
1997-03-31,242.33,82476.0,7866.3218,29.7967,5.9088,3.3333
1997-04-30,257.44,44217.0,8356.8398,31.6547,6.2772,3.3333
1997-05-31,268.67,36486.0,8721.1215,33.0346,6.5509,3.3333
1997-06-30,300.56,212220.0,9756.2588,29.7488,6.3343,2.2222
1997-07-31,380.56,318501.0,12353.1188,37.6672,8.0203,2.2222
