PG IN Equity,price,volume,mc,pe,bm,div
1997-08-31,338.56,1193735.0,10989.7673,33.51,7.1352,3.3333
1997-09-30,353.89,456140.0,11487.4988,35.0277,7.4583,3.3333
1997-10-31,349.33,329006.0,11498.319,34.5768,7.3623,3.3333
1997-11-30,296.67,856072.0,9630.0221,29.3639,6.2523,3.3333
1997-12-31,351.83,2125002.0,11420.7734,34.8243,7.415,3.3333
1998-01-31,332.67,494508.0,10798.6091,32.9272,7.0111,3.3333
1998-02-28,455.33,1022511.0,14780.4609,45.0686,9.5963,3.3333
1998-03-31,453.83,1879533.0,14731.7698,44.9202,9.5647,3.3333
1998-04-30,547.83,1705136.0,17783.0801,54.2242,11.5458,3.3333
1998-05-31,533.5,777947.0,17317.8094,52.8055,11.2437,3.3333
1998-06-30,423.0,834342.0,13730.8967,31.7918,7.6554,3.3333
1998-07-31,483.33,558416.0,15689.3619,36.3263,8.7473,3.3333
1998-08-31,531.0,845958.0,17236.2595,39.9088,9.6099,5.0
1998-09-30,506.5,819449.0,16440.9895,38.0674,9.1665,5.0
1998-10-31,500.0,239895.0,16229.9995,37.5789,9.0489,5.0
1998-11-30,502.33,207879.0,16305.7395,37.7543,9.0911,5.0
1998-12-31,528.0,338450.0,17138.8795,39.6833,9.5556,5.0
1999-01-31,585.67,401388.0,19010.7395,44.0174,10.5993,5.0
1999-02-28,568.83,417792.0,18464.3295,42.7523,10.2946,5.0
1999-03-31,668.0,821268.0,21683.2794,50.2054,12.0893,5.0
1999-04-30,585.33,171866.0,18999.9195,43.9924,10.5932,5.0
1999-05-31,724.23,586938.0,23508.6133,54.4318,13.107,5.0
1999-06-30,760.0,498875.0,24669.5993,44.1604,17.6037,5.0
1999-07-31,818.67,386558.0,26573.9193,47.5692,18.9626,23.3333
1999-08-31,900.0,590285.0,29213.9992,52.2952,20.8465,23.3333
1999-09-30,776.67,285278.0,25210.5993,45.1288,17.9898,6.6667
1999-10-31,600.0,288573.0,19475.9995,34.8635,13.8977,6.6667
1999-11-30,543.33,164532.0,17636.5995,31.5708,12.5851,6.6667
1999-12-31,456.67,508094.0,14823.3996,26.535,10.5777,6.6667
2000-01-31,452.33,561749.0,14682.7396,26.2832,10.4773,6.6667
2000-02-29,450.0,412208.0,14606.9996,26.1476,10.4233,6.6667
2000-03-31,388.83,383550.0,12621.5296,22.5935,9.0065,6.6667
2000-04-30,368.33,136139.0,11956.0997,21.4023,8.5316,6.6667
2000-05-31,488.0,389696.0,15840.4796,28.3556,11.3034,8.3333
2000-06-30,445.9,169947.0,14473.9136,20.9671,7.3414,8.3333
2000-07-31,482.43,265391.0,15659.7856,22.685,7.9429,8.3333
2000-08-31,439.5,245343.0,14266.1696,20.6661,7.236,8.3333
2000-09-30,419.07,135861.0,13602.9036,19.7053,6.8996,8.3333
2000-10-31,367.4,101816.0,11925.8037,17.2759,6.049,8.3333
2000-11-30,382.97,110885.0,12431.0976,18.0078,6.3053,6.6667
2000-12-31,463.37,345824.0,15040.8816,21.7884,7.629,6.6667
2001-01-31,462.33,275045.0,15007.3396,21.7398,7.612,6.6667
2001-02-28,460.0,471305.0,14931.5996,21.6301,7.5736,6.6667
2001-03-31,377.6,275414.0,12256.8957,17.7555,6.2169,6.6667
2001-04-30,396.87,161072.0,12882.2916,18.6614,6.5341,6.6667
2001-05-31,380.07,109527.0,12336.9637,17.8715,6.2575,6.6667
2001-06-30,372.67,127601.0,12096.7597,14.9906,6.5814,6.6667
2001-07-31,359.43,37007.0,11667.2057,14.4583,6.3477,1.6667
2001-08-31,323.93,134405.0,10514.8757,13.0303,5.7207,1.6667
2001-09-30,266.03,96353.0,8635.4418,10.7013,4.6982,26.6667
2001-10-31,266.07,97176.0,8636.7232,10.7026,4.6988,26.6667
2001-11-30,288.03,78330.0,9349.7776,11.5862,5.0867,26.6667
2001-12-31,303.33,33338.0,9846.4271,12.2017,5.3569,26.6667
2002-01-31,293.33,55715.0,9521.8196,11.7994,5.1803,25.0
2002-02-28,336.67,72950.0,10928.4521,13.5425,5.9456,25.0
2002-03-31,335.03,109370.0,10875.4328,13.4768,5.9167,25.0
2002-04-30,298.9,78260.0,9702.5178,12.0233,5.2786,25.0
2002-05-31,304.73,31616.0,9891.8721,12.258,5.3816,25.0
2002-06-30,296.67,54701.0,9630.0221,12.5046,4.4202,25.0
2002-07-31,283.37,48482.0,9198.2941,11.944,4.222,25.0
2002-08-31,290.7,12080.0,9436.3396,12.2531,4.3313,25.0
2002-09-30,278.67,24537.0,9045.7286,11.7459,4.152,38.3333
2002-10-31,245.53,45695.0,7970.1958,10.3493,3.6583,38.3333
2002-11-30,247.33,45296.0,8028.6252,10.4252,3.6851,13.3333
2002-12-31,267.5,78369.0,8683.2503,11.2752,3.9856,13.3333
2003-01-31,261.33,38859.0,8483.0757,11.0153,3.8937,13.3333
2003-02-28,253.77,74456.0,8237.456,10.6963,3.781,13.3333
2003-03-31,251.3,25115.0,8157.3861,10.5924,3.7442,13.3333
2003-04-30,274.87,69237.0,8922.3746,11.5857,4.0954,13.3333
2003-05-31,290.2,209186.0,9420.1059,12.232,4.3238,13.3333
2003-06-30,298.6,104237.0,9692.7761,14.2467,4.2077,13.3333
2003-07-31,313.47,119262.0,10175.3591,14.956,4.4172,13.3333
2003-08-31,327.43,141992.0,10628.7274,15.6224,4.614,13.3333
2003-09-30,426.77,944489.0,13853.1606,20.3617,6.0138,13.3333
2003-10-31,405.3,156539.0,13156.3368,19.3375,5.7113,13.3333
2003-11-30,489.23,229544.0,15880.8747,23.3421,6.894,13.3333
2003-12-31,468.9,340595.0,15220.8388,22.372,6.6075,13.3333
2004-01-31,421.05,159534.0,13667.5926,20.089,5.9332,13.3333
2004-02-29,430.6,117847.0,13977.5926,20.5446,6.0678,13.3333
2004-03-31,409.95,366782.0,13307.2784,19.5594,5.7768,13.3333
2004-04-30,419.6,156928.0,13620.5245,20.0198,5.9128,13.3333
2004-05-31,404.4,100055.0,13127.1214,19.2946,5.6986,13.3333
2004-06-30,401.35,48802.0,13028.1161,14.1348,5.2296,13.3333
2004-07-31,429.85,37116.0,13953.2471,15.1385,5.601,13.3333
2004-08-31,481.1,115494.0,15616.8598,16.9434,6.2688,13.3333
2004-09-30,510.85,213757.0,16582.5491,17.9912,6.6564,20.0
2004-10-31,479.4,100427.0,15561.6601,16.8836,6.2466,20.0
2004-11-30,501.8,82435.0,16288.7798,17.6724,6.5385,20.0
2004-12-31,583.75,181500.0,18948.9342,20.5586,7.6063,20.0
2005-01-31,640.6,218900.0,20794.3251,22.5607,8.3471,20.0
2005-02-28,575.4,372872.0,18677.8873,20.2645,7.4975,20.0
2005-03-31,565.55,419483.0,18358.1494,19.9176,7.3691,20.0
2005-04-30,611.55,100945.0,19851.3417,21.5376,7.9685,20.0
2005-05-31,629.25,115484.0,20425.8961,22.161,8.1992,20.0
2005-06-30,640.0,137843.0,20774.8486,16.6718,9.2055,20.0
2005-07-31,681.15,376050.0,22110.6065,17.7437,9.7974,20.0
2005-08-31,805.85,252103.0,26158.4559,20.9921,11.591,20.0
2005-09-30,794.85,324712.0,25801.3882,20.7055,11.4328,20.0
2005-10-31,797.0,223640.0,25871.1787,20.7616,11.4637,20.0
2005-11-30,822.15,174921.0,26687.5653,21.4167,11.8254,40.0
2005-12-31,852.75,215437.0,27680.8628,22.2138,12.2656,40.0
2006-01-31,919.15,377932.0,29836.2533,23.9435,13.2206,40.0
2006-02-28,906.85,331457.0,29436.9867,23.6231,13.0437,40.0
2006-03-31,1109.5,341886.0,36015.1477,28.9021,15.9585,40.0
2006-04-30,1009.6,185631.0,31777.4032,26.2997,14.5216,40.0
2006-05-31,888.45,436528.0,28839.7098,23.1438,12.7791,40.0
2006-06-30,815.65,128567.0,26476.5708,18.9774,9.7105,40.0
2006-07-31,850.45,93631.0,27606.2032,19.7871,10.1248,40.0
2006-08-31,869.75,125771.0,28232.6947,20.2362,10.3546,40.0
2006-09-30,903.5,211556.0,29328.2433,21.0214,10.7564,45.0
2006-10-31,900.0,224631.0,29214.6309,20.94,10.7147,45.0
2006-11-30,906.05,191113.0,29411.0181,21.0807,10.7868,25.0
2006-12-31,856.6,46792.0,27805.8365,19.9302,10.1981,25.0
2007-01-31,882.15,46513.0,28635.2074,20.5247,10.5022,25.0
2007-02-28,825.95,68938.0,26810.916,19.2171,9.8332,25.0
2007-03-31,793.95,47812.0,25772.1736,18.4725,9.4522,25.0
2007-04-30,777.25,55472.0,25230.0798,18.084,9.2534,25.0
2007-05-31,771.75,60537.0,25051.546,17.956,9.1879,25.0
2007-06-30,755.95,83282.0,24538.6669,27.3193,8.4273,25.0
2007-07-31,799.8,172645.0,25962.0687,28.904,8.9161,25.0
2007-08-31,752.85,198560.0,24438.0387,27.2073,8.3927,25.0
2007-09-30,740.05,440092.0,24022.762,26.7447,8.25,20.0
2007-10-31,678.95,299562.0,22039.395,24.5366,7.5689,20.0
2007-11-30,715.7,169546.0,23232.3367,25.8647,7.9786,20.0
2007-12-31,782.15,191314.0,25389.37,28.2662,8.7193,20.0
2008-01-31,754.0,364164.0,24475.5929,27.2489,8.4055,20.0
2008-02-29,730.0,68413.0,23696.5289,26.3815,8.138,20.0
2008-03-31,689.35,95064.0,22376.9893,24.9125,7.6848,20.0
2008-04-30,774.9,72963.0,25154.0278,28.0042,8.6385,20.0
2008-05-31,770.0,43980.0,24994.9689,27.8271,8.5839,20.0
2008-06-30,763.95,515392.0,24798.5798,18.8702,7.1539,20.0
2008-07-31,717.2,164720.0,23281.0281,17.7155,6.7161,20.0
2008-08-31,768.0,68222.0,24930.0469,18.9703,7.1918,20.0
2008-09-30,729.1,192086.0,23667.314,18.0094,6.8275,20.0
2008-10-31,712.25,104420.0,23120.3462,17.5932,6.6697,20.0
2008-11-30,725.45,232489.0,23548.8314,17.9192,6.7933,20.0
2008-12-31,769.1,144025.0,24965.754,18.9974,7.2021,20.0
2009-01-31,726.6,38859.0,23586.1615,17.9476,6.8041,20.0
2009-02-28,730.85,42450.0,23724.1208,18.0526,6.8439,20.0
2009-03-31,750.85,105823.0,24373.3408,18.5466,7.0312,20.0
2009-04-30,801.3,76948.0,26010.9981,19.7928,7.5036,20.0
2009-05-31,857.5,108115.0,27835.3062,21.181,8.0299,20.0
2009-06-30,896.15,108914.0,29089.9238,16.2641,6.6107,20.0
2009-07-31,1023.9,110772.0,33236.8164,18.5826,7.5531,20.0
2009-08-31,1070.8,232558.0,34759.2393,19.4338,7.899,20.0
2009-09-30,1435.55,1065559.0,46599.3885,26.0535,10.5897,22.5
2009-10-31,1460.35,156849.0,47404.4192,26.5036,10.7726,22.5
2009-11-30,1738.15,412325.0,56422.0846,31.5454,12.8219,22.5
2009-12-31,1742.8,219225.0,56573.0303,31.6298,12.8562,22.5
2010-01-31,1593.55,226702.0,51728.2262,28.9211,11.7552,22.5
2010-02-28,1902.7,380862.0,61763.5399,34.5318,14.0357,22.5
2010-03-31,2011.25,187227.0,65287.1833,36.5018,14.8365,22.5
2010-04-30,2036.3,383537.0,66100.3333,36.9564,15.0213,22.5
2010-05-31,1874.2,384914.0,60838.4014,34.0145,13.8255,22.5
2010-06-30,2008.2,402822.0,65188.1752,36.2622,12.1928,22.5
2010-07-31,2122.65,720658.0,68903.3345,38.3288,12.8877,22.5
2010-08-31,2209.2,358861.0,71712.8359,39.8917,13.4132,22.5
2010-09-30,2233.7,126738.0,72508.1304,40.3341,13.5619,22.5
2010-10-31,2000.95,56556.0,64952.833,36.1313,12.1488,22.5
2010-11-30,1928.4,309309.0,62597.7896,34.8212,11.7083,22.5
2010-12-31,1867.25,312345.0,60612.7995,33.717,11.337,22.5
2011-01-31,1669.7,54193.0,54200.1272,30.1499,10.1376,22.5
2011-02-28,1648.15,64798.0,53500.5947,29.7607,10.0068,22.5
2011-03-31,1805.1,183436.0,58595.3485,32.5948,10.9597,22.5
2011-04-30,2000.55,211569.0,64939.8526,36.1241,12.1464,22.5
2011-05-31,1997.9,84277.0,64853.829,36.0762,12.1303,22.5
2011-06-30,1968.05,35745.0,63884.8702,42.3419,10.6362,22.5
2011-07-31,1941.95,74603.0,63037.6341,41.7803,10.4952,22.5
2011-08-31,1953.45,106579.0,63410.9356,42.0278,10.5573,22.5
2011-09-30,1905.2,78976.0,61844.6924,40.9897,10.2965,22.5
2011-10-31,2000.15,64971.0,64926.8662,43.0325,10.8097,22.5
2011-11-30,1887.55,75369.0,61271.7598,40.6099,10.2012,22.5
2011-12-31,1883.95,51294.0,61154.8962,40.5325,10.1817,22.5
2012-01-31,1852.2,52700.0,60124.2595,39.8494,10.0101,22.5
2012-02-29,1954.05,74973.0,63430.4162,42.0407,10.5605,22.5
2012-03-31,2239.2,108662.0,72685.9996,48.1756,12.1016,22.5
2012-04-30,2065.6,347108.0,67050.828,44.4406,11.1634,22.5
2012-05-31,2396.5,54772.0,77792.0699,51.5598,12.9517,22.5
2012-06-30,2197.65,36215.0,71337.2555,39.3491,10.2344,22.5
2012-07-31,2257.45,101512.0,73278.4074,40.4199,10.5129,22.5
2012-08-31,2449.9,63727.0,79525.4673,43.8657,11.4091,22.5
2012-09-30,2469.5,74136.0,80161.7011,44.2167,11.5004,22.5
2012-10-31,2482.1,28933.0,80570.71,44.4423,11.5591,22.5
2012-11-30,2477.65,85981.0,80426.2517,44.3626,11.5383,22.5
2012-12-31,2755.15,181072.0,89434.0963,49.3312,12.8306,22.5
2013-01-31,2502.55,76259.0,81234.5293,44.8084,11.6543,22.5
2013-02-28,2522.9,102411.0,81895.0985,45.1728,11.7491,22.5
2013-03-31,2523.6,46356.0,81917.8291,45.1853,11.7523,22.5
2013-04-30,2734.45,90236.0,88762.1618,48.9606,12.7342,22.5
2013-05-31,2863.0,61238.0,92934.9869,51.2623,13.3329,22.5
2013-06-30,2781.75,358234.0,90297.6505,44.4298,11.2126,22.5
2013-07-31,2808.0,84377.0,91149.7448,44.8491,11.3185,22.5
2013-08-31,2629.1,105719.0,85342.5233,41.9917,10.5973,22.5
2013-09-30,2618.85,54073.0,85009.8008,41.828,10.556,22.5
2013-10-31,2761.5,86711.0,89640.3206,44.1064,11.131,22.5
2013-11-30,2801.7,81123.0,90945.2401,44.7484,11.2931,25.0
2013-12-31,3036.95,68450.0,98581.6281,48.5058,12.2413,25.0
2014-01-31,3100.5,56123.0,100644.5099,49.5208,12.4975,25.0
2014-02-28,3090.15,38598.0,100308.5372,49.3555,12.4557,25.0
2014-03-31,3197.9,80250.0,103806.1814,51.0765,12.8901,25.0
2014-04-30,3403.05,49340.0,110465.5074,54.3531,13.717,25.0
2014-05-31,3811.2,97979.0,123714.3524,60.8721,15.3621,25.0
2014-06-30,4255.4,107384.0,138133.409,45.7373,13.7734,25.0
2014-07-31,4649.6,56292.0,150929.439,49.9742,15.0493,25.0
2014-08-31,5303.85,88391.0,172166.8751,57.0061,17.1669,25.0
2014-09-30,5377.5,466364.0,174557.6042,57.7977,17.4053,27.5
2014-10-31,5398.1,240224.0,175226.2994,58.0191,17.472,27.5
2014-11-30,5576.95,109087.0,181031.9039,59.9414,18.0508,27.5
2014-12-31,5795.15,193475.0,188114.8262,62.2866,18.7571,27.5
2015-01-31,6263.7,210063.0,203324.3139,67.3227,20.2736,27.5
2015-02-28,6923.6,215992.0,224746.9735,74.4153,22.4095,27.5
2015-03-31,7225.15,148074.0,234533.6777,77.6564,23.3856,27.5
2015-04-30,6859.2,257431.0,222654.6818,73.7231,22.2011,27.5
2015-05-31,6375.3,136606.0,206946.9198,68.5221,20.6349,27.5
2015-06-30,6835.0,130392.0,221869.1259,64.1002,18.0575,27.5
2015-07-31,6365.95,130590.0,206643.4241,59.7013,16.8183,27.5
2015-08-31,6045.45,135261.0,196239.7584,56.6956,15.9716,27.5
2015-09-30,6247.3,178782.0,202791.9457,58.5886,16.5049,27.5
2015-10-31,6079.95,127907.0,197359.6538,57.0191,16.0627,30.25
2015-11-30,5840.7,263409.0,189593.4229,54.7754,15.4307,30.25
2015-12-31,5629.95,244225.0,182752.3229,52.7989,14.8739,30.25
2016-01-31,5555.2,346210.0,180325.8829,52.0979,14.6764,30.25
2016-02-29,5771.4,139885.0,187343.8838,54.1255,15.2476,30.25
2016-03-31,6284.25,109319.0,203991.3759,58.9351,16.6025,30.25
2016-04-30,6314.4,65132.0,204970.0631,59.2179,16.6821,30.25
2016-05-31,6194.75,155198.0,201086.1401,58.0958,16.366,30.25
2016-06-30,6263.15,142370.0,203306.4504,48.1199,12.3083,30.25
2016-07-31,6590.45,59297.0,213930.8592,50.6345,12.9515,30.25
2016-08-31,6671.05,254652.0,216547.1823,51.2538,13.1099,30.25
2016-09-30,6805.2,246629.0,220901.8021,52.2845,13.3736,30.25
2016-10-31,7047.35,89043.0,228762.1671,54.1449,13.8494,30.25
2016-11-30,6608.65,99308.0,214521.6344,50.7744,12.9873,36.0
2016-12-31,7084.05,96340.0,229953.466,54.4269,13.9216,36.0
2017-01-31,6954.1,101633.0,225735.2036,53.4285,13.6662,36.0
2017-02-28,7092.2,253440.0,230218.0331,54.4895,13.9376,36.0
2017-03-31,7592.15,207151.0,246446.7676,58.3306,14.9201,36.0
2017-04-30,7368.8,112050.0,239196.6603,56.6146,14.4811,36.0
2017-05-31,7451.25,284158.0,241873.0541,57.2481,14.6432,398.0
2017-06-30,8023.15,101379.0,260437.3486,60.1842,49.5015,398.0
2017-07-31,8041.95,79022.0,261047.6104,60.3252,49.6175,398.0
2017-08-31,8289.2,84500.0,269073.5272,62.1799,51.143,398.0
2017-09-30,8468.35,53369.0,274888.868,63.5237,52.2483,398.0
2017-10-31,8675.25,107370.0,281604.9941,65.0758,53.5249,398.0
2017-11-30,9400.25,73708.0,305139.0336,70.5142,57.998,389.0
2017-12-31,9395.8,195766.0,304994.5833,70.4808,57.9705,389.0
2018-01-31,9271.7,234996.0,300966.206,69.5499,57.2049,389.0
2018-02-28,9392.75,206745.0,304895.5781,70.458,57.9517,389.0
2018-03-31,9555.75,110377.0,310186.678,71.6807,58.9574,389.0
2018-04-30,9536.7,72039.0,309568.301,71.5378,58.8399,389.0
2018-05-31,9301.5,199772.0,301933.5359,69.7735,57.3887,27.0
2018-06-30,9924.75,96563.0,322164.6896,86.003,39.9956,27.0
2018-07-31,10339.0,101520.0,335611.5495,89.5927,41.665,27.0
2018-08-31,10271.75,272458.0,333428.565,89.01,41.394,27.0
2018-09-30,9719.5,187397.0,315502.1236,84.2244,39.1685,27.0
2018-10-31,9368.8,113493.0,304118.1434,81.1854,37.7552,27.0
2018-11-30,9570.35,133512.0,310660.6048,82.932,38.5674,40.0
2018-12-31,9884.1,164561.0,320845.1607,85.6508,39.8318,40.0
2019-01-31,9908.75,85010.0,321645.3178,85.8644,39.9311,40.0
2019-02-28,10762.6,80856.0,349361.9173,93.2634,43.3721,80.0
2019-03-31,10833.55,103732.0,351665.0065,93.8782,43.658,80.0
2019-04-30,10203.65,120074.0,331217.9889,88.4198,41.1196,80.0
2019-05-31,10983.0,133901.0,356516.2635,95.1733,44.2602,80.0
2019-06-30,10714.85,178605.0,347811.9171,82.9837,38.2606,80.0
2019-07-31,10902.35,86288.0,353898.3051,84.4358,38.9301,80.0
2019-08-31,10209.4,155157.0,331404.6381,79.0691,36.4557,80.0
2019-09-30,12126.05,182987.0,393620.5078,93.913,43.2997,80.0
2019-10-31,12242.3,110209.0,397394.0683,94.8134,43.7148,80.0
2019-11-30,11400.05,104618.0,370054.0134,88.2904,40.7073,48.0
2019-12-31,11447.0,110289.0,371578.045,88.654,40.875,48.0
2020-01-31,10991.75,206788.0,356800.2949,85.1282,39.2494,48.0
2020-02-29,11137.1,107172.0,361518.4629,86.2539,39.7684,48.0
2020-03-31,10269.35,218272.0,333350.6592,79.5334,36.6698,48.0
2020-04-30,10556.2,147438.0,342662.0214,81.755,37.6941,48.0
2020-05-31,9893.3,83951.0,321143.7995,76.621,35.327,48.0
2020-06-30,10151.65,148908.0,329530.0306,76.0879,28.4603,48.0
2020-07-31,10351.85,177934.0,336028.67,77.5884,29.0215,48.0
2020-08-31,9986.85,234160.0,324180.5013,74.8527,27.9982,48.0
2020-09-30,9946.7,166299.0,322877.2028,74.5518,27.8857,48.0
2020-10-31,10197.1,123446.0,331005.3711,76.4286,28.5877,48.0
2020-11-30,10519.9,275070.0,341483.6966,78.848,29.4927,105.0
2020-12-31,11072.3,343153.0,359415.0072,82.9883,31.0413,105.0
2021-01-31,11306.15,165725.0,367005.9503,84.741,31.6969,105.0
2021-02-28,12919.1,402834.0,419363.4945,96.8303,36.2188,190.0
2021-03-31,12678.95,123430.0,411568.0487,95.0304,35.5456,190.0
2021-04-30,13548.5,146212.0,439794.2817,101.5477,37.9834,190.0
2021-05-31,13127.45,144203.0,426126.6888,98.3919,36.803,340.0
2021-06-30,13307.1,181276.0,431958.26,66.2737,60.4755,340.0
2021-07-31,12680.6,135746.0,411621.6089,63.1535,57.6283,340.0
2021-08-31,13873.6,282607.0,450347.267,69.0951,63.05,340.0
2021-09-30,14073.8,235683.0,456845.9063,70.0921,63.9598,340.0
2021-10-31,14227.85,115720.0,461846.4827,70.8594,64.6599,340.0
2021-11-30,15040.1,290305.0,488212.7155,74.9046,68.3513,315.0
2021-12-31,15459.35,398102.0,501821.8791,76.9926,70.2566,315.0
2022-01-31,14754.1,432516.0,478928.945,73.4803,67.0515,315.0
2022-02-28,15490.65,280211.0,502837.9001,77.1485,70.3989,340.0
2022-03-31,14415.6,312022.0,467940.9859,71.7944,65.5132,340.0
2022-04-30,14023.9,215220.0,455226.1156,69.8436,63.7331,340.0
2022-05-31,13818.95,86573.0,448573.2877,68.8229,62.8016,190.0
2022-06-30,13369.15,125265.0,433972.4487,75.3744,58.8381,190.0
2022-07-31,14488.9,190228.0,470320.3578,81.6874,63.7662,190.0
2022-08-31,13988.7,156319.0,454083.4977,78.8673,61.5648,190.0
2022-09-30,13885.15,245033.0,450722.1885,78.2835,61.1091,190.0
2022-10-31,14086.9,258747.0,457271.142,79.421,61.997,190.0
2022-11-30,14187.65,159947.0,460541.5611,79.989,62.4404,160.0
2022-12-31,14535.95,141684.0,471847.6355,81.9527,63.9733,160.0
2023-01-31,14171.95,94038.0,460031.9276,79.9005,62.3713,160.0
2023-02-28,13771.35,138180.0,447028.1567,77.6419,60.6082,145.0
2023-03-31,13339.65,98434.0,433014.857,75.208,58.7083,145.0
2023-04-30,14005.1,85418.0,454615.8538,78.9598,61.637,145.0
2023-05-31,13530.3,329606.0,439203.4963,76.2829,59.5474,145.0
2023-06-30,14324.45,119572.0,464982.1898,68.5676,49.1509,145.0
2023-07-31,15763.65,147450.0,511699.681,75.4567,54.0892,145.0
2023-08-31,15956.75,150217.0,517967.8492,76.381,54.7517,145.0
2023-09-30,17952.45,184448.0,582749.74,85.9339,61.5995,145.0
2023-10-31,17540.7,135001.0,569384.032,83.963,60.1867,145.0
2023-11-30,17239.9,191579.0,559619.8426,82.5231,59.1546,185.0
2023-12-31,17366.05,154855.0,563714.7644,83.1269,59.5874,185.0
2024-01-31,17245.15,187739.0,559790.2614,82.5482,59.1726,185.0
2024-02-29,15743.3,203540.0,511039.1051,75.3592,54.0193,265.0
2024-03-31,16928.45,181923.0,549509.9463,81.0323,58.0859,265.0
2024-04-30,16170.3,170383.0,524899.8393,77.4032,55.4845,265.0
2024-05-31,15971.45,184119.0,518445.022,76.4513,54.8022,265.0
2024-06-30,16612.95,176321.0,539268.5841,79.8892,69.5956,265.0
2024-07-31,16904.55,160741.0,548734.1347,81.2914,70.8172,265.0
2024-08-31,16516.25,154218.0,536129.631,79.4241,69.1905,265.0
2024-09-30,16674.65,178620.0,541271.4115,80.1859,69.8541,265.0
2024-10-31,16093.7,195747.0,522413.347,77.3922,67.4204,265.0
2024-11-30,15891.2,199886.0,515840.0479,76.4184,66.572,255.0
2024-12-31,14714.0,113184.0,477627.2695,70.7574,61.6405,255.0
2025-01-31,14500.6,100265.0,470700.1484,69.7312,60.7465,255.0
2025-02-28,13541.9,179147.0,439580.0408,65.1209,56.7303,205.0
2025-03-31,13600.65,262106.0,441487.1091,65.4035,56.9764,205.0
2025-04-30,14243.0,184893.0,462338.2628,68.4924,59.6673,205.0
2025-05-31,13584.0,140242.0,440946.6378,65.3234,56.9066,205.0
2025-06-30,13366.0,260702.0,433870.1974,64.2751,55.9934,205.0
2025-07-31,13729.0,359370.0,445653.4445,66.0207,57.5141,205.0
2025-08-31,13086.0,293425.0,424781.1913,62.9286,54.8204,175.0
2025-09-30,14145.0,396114.0,459157.1107,68.0212,59.2568,175.0
2025-10-31,13351.0,134610.0,433383.2863,64.2029,55.9305,175.0
2025-11-30,12756.0,123458.0,414069.1484,61.3417,53.4379,175.0
2025-12-31,12971.0,161369.0,421048.2067,62.3756,54.3386,175.0
2026-01-31,11766.0,123066.0,381933.0198,56.5809,49.2906,175.0
2026-02-28,11351.0,126152.0,368461.8143,54.5852,47.552,260.0
2026-03-31,11100.0,27984.0,360314.1696,53.3782,46.5006,260.0
