ECLX IN Equity,price,volume,mc,pe,bm,div
2010-08-31,269.95,4545909.0,15449.778,31.3652,7.7107,5.8333
2010-09-30,289.33,3868020.0,16628.2597,33.6164,8.2641,7.5
2010-10-31,302.55,3107648.0,17388.3348,35.153,8.6419,7.5
2010-11-30,348.4,3637289.0,20041.0128,40.4802,9.9515,7.5
2010-12-31,359.93,1031737.0,20748.021,41.8193,10.2807,7.5
2011-01-31,341.1,1872199.0,19666.53,39.6321,9.743,5.0
2011-02-28,325.0,1197923.0,18747.6899,37.7614,9.2831,5.0
2011-03-31,322.48,1391897.0,18602.0348,15.1219,7.8067,5.0
2011-04-30,350.13,721866.0,20205.294,16.4185,8.4761,5.0
2011-05-31,383.78,4028614.0,22164.0047,17.9965,9.2907,5.0
2011-06-30,422.13,6270038.0,24390.4673,19.7948,10.2191,5.0
2011-07-31,404.85,1523034.0,23421.2205,18.9848,9.8009,5.0
2011-08-31,362.0,1693676.0,20989.7016,16.9754,8.7636,11.25
2011-09-30,364.78,1629724.0,21165.704,17.1055,8.8308,11.25
2011-10-31,373.5,465893.0,21673.0847,17.5147,9.042,11.25
2011-11-30,363.33,206915.0,21082.6599,17.0375,8.7957,11.25
2011-12-31,345.03,367909.0,20023.181,16.1794,8.3526,11.25
2012-01-31,359.83,1831245.0,20895.6141,16.8734,8.7109,11.25
2012-02-29,378.7,827356.0,22008.1511,17.7585,9.1679,11.25
2012-03-31,367.18,1291665.0,21338.3757,13.3179,6.2175,11.25
2012-04-30,367.25,766908.0,21355.7338,13.3206,6.2187,11.25
2012-05-31,310.43,983590.0,18098.1503,11.2595,5.2565,11.25
2012-06-30,303.28,1534318.0,17707.9841,11.0002,5.1354,11.25
2012-07-31,340.23,2513272.0,19922.6913,12.3404,5.7611,11.25
2012-08-31,381.08,1420774.0,22377.4106,13.8221,6.4528,8.75
2012-09-30,386.95,1345971.0,22733.6225,14.0352,6.5523,8.75
2012-10-31,341.15,1258733.0,20113.7951,12.374,5.7768,8.75
2012-11-30,364.83,1836681.0,21531.5333,13.2327,6.1777,8.75
2012-12-31,342.4,1062997.0,20258.5757,12.4193,5.7979,8.75
2013-01-31,312.85,2086431.0,18575.2814,11.3475,5.2976,8.75
2013-02-28,303.4,402051.0,18023.4164,11.0047,5.1375,8.75
2013-03-31,301.48,676210.0,18012.8897,10.3369,4.1095,8.75
2013-04-30,304.8,1494150.0,18211.5558,10.4509,4.1548,8.75
2013-05-31,351.43,1052667.0,21018.589,12.0495,4.7903,8.75
2013-06-30,357.68,1043825.0,21422.434,12.2638,4.8755,8.75
2013-07-31,363.5,1466406.0,21849.7384,12.4636,4.9549,8.75
2013-08-31,416.3,934432.0,25052.6499,14.274,5.6746,12.5
2013-09-30,422.95,812854.0,25452.8423,14.502,5.7653,12.5
2013-10-31,501.13,2480280.0,30157.3605,17.1824,6.8309,12.5
2013-11-30,542.6,3109582.0,32653.2958,18.6045,7.3963,12.5
2013-12-31,532.65,2234404.0,32054.5153,18.2633,7.2606,12.5
2014-01-31,609.5,2681309.0,36679.294,20.8983,8.3082,12.5
2014-02-28,666.23,1547792.0,40092.9639,22.8433,9.0814,12.5
2014-03-31,530.53,1291359.0,32019.2086,12.4624,5.4366,12.5
2014-04-30,606.55,3055862.0,36619.9773,14.2483,6.2157,12.5
2014-05-31,547.6,1798202.0,33075.2666,12.8635,5.6116,12.5
2014-06-30,579.8,1243069.0,35060.3961,13.6199,5.9416,12.5
2014-07-31,645.88,1708582.0,39124.6301,15.1721,6.6187,17.5
2014-08-31,680.13,1480410.0,41202.49,15.9766,6.9697,17.5
2014-09-30,696.75,2669943.0,42229.1568,16.3672,7.1401,17.5
2014-10-31,649.58,1044161.0,39384.62,15.259,6.6566,17.5
2014-11-30,629.25,1240703.0,38164.8728,14.7815,6.4483,17.5
2014-12-31,653.6,1846815.0,39661.6057,15.3535,6.6979,17.5
2015-01-31,641.03,776670.0,38902.7005,15.0581,6.569,17.5
2015-02-28,663.3,5673596.0,40258.3304,15.5814,6.7973,17.5
2015-03-31,792.78,3351184.0,48122.8482,20.912,6.7304,17.5
2015-04-30,797.3,1087557.0,48413.4682,21.0314,6.7688,17.5
2015-05-31,790.0,584041.0,48010.6269,20.8388,6.7069,17.5
2015-06-30,744.03,543957.0,45224.2842,19.6261,6.3166,17.5
2015-07-31,742.5,754768.0,45203.1515,19.5859,6.3036,17.5
2015-08-31,836.23,1704348.0,50914.2257,22.0582,7.0993,17.5
2015-09-30,793.43,920320.0,48332.2806,20.9292,6.7359,17.5
2015-10-31,913.78,1830317.0,55717.6786,24.1038,7.7577,17.5
2015-11-30,916.73,1907091.0,55976.0881,24.1816,7.7827,17.5
2015-12-31,948.0,1478334.0,57907.308,25.0065,8.0482,17.5
2016-01-31,939.9,851351.0,57428.8208,24.7929,7.9795,17.5
2016-02-29,881.9,1314084.0,53926.0905,23.2629,7.4871,17.5
2016-03-31,866.1,1521708.0,52990.6249,14.5514,4.8787,17.5
2016-04-30,879.77,473363.0,53832.1593,14.781,4.9557,17.5
2016-05-31,950.47,912581.0,58158.2284,15.9689,5.354,17.5
2016-06-30,964.0,1827827.0,59031.3239,16.1962,5.4302,17.5
2016-07-31,1037.43,1294605.0,63528.0737,17.43,5.8439,0.6667
2016-08-31,1073.43,1268934.0,65732.563,18.0348,6.0466,0.6667
